S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-17,"1,244.00","1,253.00","1,244.00","1,253.00",2.70,125.00,"156,125.00"
2,2026-08-13,"1,220.00","1,220.00","1,220.00","1,220.00",0.0,50.00,"61,000.00"
3,2026-08-11,"1,220.00","1,220.00","1,220.00","1,220.00",-0.47,25.00,"30,500.00"
4,2026-08-10,"1,225.00","1,225.70","1,225.00","1,225.70",3.0,125.00,"153,205.20"
5,2026-08-05,"1,190.00","1,190.00","1,190.00","1,190.00",-1.73,25.00,"29,750.00"
6,2026-07-28,"1,211.00","1,220.00","1,211.00","1,211.00",-2.34,145.00,"175,780.00"
7,2026-07-23,"1,215.00","1,240.00","1,215.00","1,240.00",2.06,450.00,"550,925.00"
8,2026-07-21,"1,177.00","1,215.00","1,177.00","1,215.00",3.4,75.00,"89,300.00"
9,2026-07-17,"1,175.00","1,175.00","1,175.00","1,175.00",-2.89,"1,900.00","2,232,500.00"
10,2026-07-16,"1,225.00","1,245.00","1,210.00","1,210.00",-1.63,"101,780.00","126,688,876.50"
11,2026-07-15,"1,224.00","1,230.00","1,224.00","1,230.00",1.65,215.00,"263,849.00"
12,2026-07-14,"1,175.00","1,210.00","1,173.70","1,210.00",2.98,"3,920.00","4,688,113.70"
13,2026-07-13,"1,188.30","1,189.60","1,155.00","1,175.00",-4.08,"1,295.00","1,511,164.50"
14,2026-07-10,"1,210.00","1,225.00","1,195.00","1,225.00",1.74,"4,705.00","5,692,915.00"
15,2026-07-08,"1,139.10","1,150.00","1,010.00","1,204.10",8.87,"93,146.00","103,582,705.00"
16,2026-07-07,"1,215.00","1,215.00","1,106.00","1,106.00",-7.99,"12,270.00","14,899,297.00"
17,2026-07-06,"1,202.00","1,202.00","1,202.00","1,202.00",0.0,50.00,"60,100.00"
18,2026-07-02,"1,202.00","1,202.00","1,202.00","1,202.00",-0.07,25.00,"30,050.00"
19,2026-06-30,"1,240.00","1,246.30","1,202.80","1,202.80",-0.6,150.00,"185,227.50"
20,2026-06-29,"1,200.00","1,210.00","1,200.00","1,210.00",-1.06,35.00,"42,250.00"
21,2026-06-26,"1,223.00","1,223.00","1,223.00","1,223.00",-1.45,"2,647.00","3,237,281.00"
22,2026-06-23,"1,241.00","1,241.00","1,241.00","1,241.00",2.99,15.00,"18,615.00"
23,2026-06-22,"1,205.00","1,205.00","1,205.00","1,205.00",0.17,25.00,"30,125.00"
24,2026-06-19,"1,258.00","1,258.00","1,203.00","1,203.00",-8.52,"10,355.00","13,011,245.00"
25,2026-06-12,"1,261.00","1,261.00","1,188.00","1,315.00",1.15,"100,933.00","120,140,679.30"
26,2026-06-10,"1,300.00","1,300.00","1,300.00","1,300.00",2.61,10.00,"13,000.00"
27,2026-06-03,"1,266.90","1,266.90","1,266.90","1,266.90",3.0,25.00,"31,672.50"
28,2026-06-02,"1,230.00","1,230.00","1,230.00","1,230.00",-2.91,25.00,"30,750.00"
29,2026-06-01,"1,210.00","1,266.90","1,210.00","1,266.90",6.02,110.00,"135,586.50"
30,2026-05-27,"1,191.70","1,195.00","1,191.70","1,195.00",3.28,"1,444.00","1,725,547.00"
31,2026-05-13,"1,197.00","1,197.00","1,157.00","1,157.00",-5.76,50.0,"58,990.00"
32,2026-05-12,"1,227.70","1,227.70","1,227.70","1,227.70",-2.95,25.0,"30,692.50"
33,2026-05-08,"1,277.90","1,277.90","1,265.00","1,265.00",-1.01,97.0,"122,755.00"
34,2026-04-30,"1,240.70","1,240.70","1,240.70","1,277.90",-0.09,30.0,"37,407.00"
35,2026-04-22,"1,279.00","1,279.00","1,279.00","1,279.00",2.98,25.0,"31,975.00"
36,2026-04-17,"1,242.00","1,242.00","1,242.00","1,242.00",-1.82,25.0,"31,050.00"
37,2026-04-15,"1,265.00","1,265.00","1,265.00","1,265.00",1.99,15.0,"18,975.00"
38,2026-04-13,"1,216.00","1,240.30","1,216.00","1,240.30",2.0,35.0,"42,803.00"
39,2026-04-10,"1,216.00","1,216.00","1,216.00","1,216.00",-1.94,25.0,"30,400.00"
40,2026-04-06,"1,274.00","1,275.00","1,240.00","1,240.00",-0.8,155.0,"194,820.00"
41,2026-04-01,"1,250.00","1,250.00","1,250.00","1,250.00",0.0,75.0,"93,750.00"
42,2026-03-30,"1,250.00","1,250.00","1,250.00","1,250.00",-1.57,25.0,"31,250.00"
43,2026-03-22,"1,198.00","1,270.00","1,198.00","1,270.00",6.01,361.0,"458,397.90"
44,2026-03-10,"1,197.00","1,198.00","1,197.00","1,198.00",-1.16,50.0,"59,875.00"
45,2026-03-03,"1,212.00","1,212.00","1,212.00","1,212.00",0.17,25.0,"30,300.00"
46,2026-02-26,"1,191.00","1,210.00","1,191.00","1,210.00",1.94,50.0,"60,025.00"
47,2026-02-17,"1,214.50","1,214.50","1,187.00","1,187.00",-4.2,136.0,"162,472.00"
48,2026-02-16,"1,239.00","1,239.00","1,239.00","1,239.00",-1.98,100.0,"123,900.00"
49,2026-02-12,"1,216.00","1,239.80","1,216.00","1,264.00",3.95,54.0,"67,023.40"
50,2026-02-05,"1,216.00","1,216.00","1,216.00","1,216.00",-1.94,25.0,"30,400.00"
51,2026-01-13,"1,240.00","1,240.00","1,240.00","1,240.00",-0.16,25.0,"31,000.00"
52,2026-01-08,"1,242.00","1,242.00","1,242.00","1,242.00",-0.8,55.0,"68,310.00"
53,2026-01-06,"1,252.00","1,252.00","1,252.00","1,252.00",-1.96,25.0,"31,300.00"
54,2026-01-01,"1,277.00","1,277.00","1,277.00","1,277.00",-2.0,30.0,"38,310.00"
55,2025-12-29,"1,236.00","1,303.00","1,236.00","1,303.00",4.24,251.0,"325,318.60"
56,2025-12-24,"1,250.00","1,250.00","1,250.00","1,250.00",-0.6,25.0,"31,250.00"
57,2025-12-22,"1,257.60","1,257.60","1,257.60","1,257.60",2.0,25.0,"31,440.00"
58,2025-12-21,"1,233.00","1,233.00","1,233.00","1,233.00",0.24,40.0,"49,320.00"
59,2025-12-18,"1,240.00","1,240.00","1,230.00","1,230.00",0.82,100.0,"123,600.00"
60,2025-12-16,"1,220.00","1,220.00","1,220.00","1,220.00",0.49,25.0,"30,500.00"
61,2025-12-14,"1,214.00","1,214.00","1,214.00","1,214.00",-1.94,25.0,"30,350.00"
62,2025-12-08,"1,238.00","1,238.00","1,238.00","1,238.00",-1.82,25.0,"30,950.00"
63,2025-11-25,"1,261.00","1,261.00","1,261.00","1,261.00",-1.87,25.0,"31,525.00"
64,2025-11-23,"1,235.00","1,295.00","1,235.00","1,285.00",4.47,541.0,"699,219.50"
65,2025-11-19,"1,230.00","1,230.00","1,230.00","1,230.00",-1.68,100.0,"123,000.00"
66,2025-11-18,"1,275.00","1,275.00","1,275.00","1,251.00",-1.88,1.0,"1,251.00"
67,2025-11-17,"1,250.00","1,275.00","1,250.00","1,275.00",0.0,75.0,"95,000.00"
68,2025-11-16,"1,275.00","1,275.00","1,275.00","1,275.00",2.0,50.0,"63,750.00"
69,2025-11-06,"1,250.00","1,250.00","1,250.00","1,250.00",0.81,25.0,"31,250.00"
70,2025-11-04,"1,224.00","1,224.00","1,224.00","1,240.00",1.31,5.0,"6,200.00"
71,2025-11-03,"1,200.00","1,290.00","1,200.00","1,224.00",2.0,437.0,"551,408.50"
72,2025-10-29,"1,200.00","1,200.00","1,200.00","1,200.00",-1.8,25.0,"30,000.00"
73,2025-10-28,"1,222.00","1,222.00","1,222.00","1,222.00",-1.91,45.0,"54,990.00"
74,2025-10-26,"1,198.00","1,245.80","1,198.00","1,245.80",3.99,29.0,"35,738.00"
75,2025-10-19,"1,198.00","1,198.00","1,198.00","1,198.00",1.96,60.0,"71,880.00"
76,2025-10-12,"1,152.70","1,175.00","1,152.70","1,175.00",3.97,50.0,"58,192.50"
77,2025-10-07,"1,130.10","1,130.10","1,130.10","1,130.10",0.57,25.0,"28,252.50"
78,2025-09-23,"1,123.70","1,123.70","1,123.70","1,123.70",-1.0,25.0,"28,092.50"
79,2025-09-08,"1,135.00","1,135.00","1,135.00","1,135.00",0.89,25.0,"28,375.00"
80,2025-09-07,"1,125.00","1,125.00","1,125.00","1,125.00",0.13,25.0,"28,125.00"
81,2025-09-04,"1,121.20","1,123.50","1,121.20","1,123.50",-0.04,100.0,"112,292.50"
82,2025-09-01,"1,124.00","1,124.00","1,124.00","1,124.00",-0.09,100.0,"112,400.00"
83,2025-08-26,"1,125.00","1,125.00","1,125.00","1,125.00",0.0,25.0,"28,125.00"
84,2025-08-24,"1,125.00","1,125.00","1,125.00","1,125.00",-1.88,25.0,"28,125.00"
85,2025-08-20,"1,146.60","1,146.60","1,146.60","1,146.60",-2.0,50.0,"57,330.00"
86,2025-08-12,"1,170.00","1,170.00","1,170.00","1,170.00",-0.02,55.0,"64,355.00"
87,2025-08-05,"1,155.00","1,170.00","1,155.00","1,170.25",-0.39,125.0,"145,900.00"
88,2025-07-31,"1,174.80","1,174.80","1,174.80","1,174.80",-1.99,92.0,"108,081.60"
89,2025-07-28,"1,195.00","1,204.00","1,195.00","1,198.68",1.24,38.0,"45,550.00"
90,2025-07-21,"1,184.00","1,184.00","1,184.00","1,184.00",1.89,15.0,"17,760.00"
91,2025-07-20,"1,162.00","1,162.00","1,162.00","1,162.00",-1.94,45.0,"52,290.00"
92,2025-06-29,"1,154.00","1,185.00","1,154.00","1,185.00",2.69,154.0,"181,707.00"
93,2025-06-24,"1,131.30","1,154.00","1,131.10","1,154.00",0.35,104.0,"118,326.00"
94,2025-06-23,"1,185.00","1,185.00","1,150.00","1,150.00",-1.03,75.0,"87,425.00"
95,2025-06-22,"1,162.00","1,162.00","1,162.00","1,162.00",-1.94,25.0,"29,050.00"
96,2025-06-09,"1,145.00","1,185.00","1,145.00","1,185.00",3.49,236.0,"279,642.90"
97,2025-06-08,"1,145.00","1,145.00","1,145.00","1,145.00",0.0,25.0,"28,625.00"
98,2025-06-05,"1,145.00","1,145.00","1,145.00","1,145.00",-1.56,55.0,"62,975.00"
99,2025-06-04,"1,183.00","1,183.00","1,160.00","1,163.10",-3.64,246.0,"286,168.10"
100,2025-05-26,"1,185.00","1,207.00","1,163.00","1,207.00",1.86,555.0,"654,788.50"
101,2025-05-19,"1,135.00","1,185.00","1,135.00","1,185.00",4.41,254.0,"300,937.50"
