S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-21,"1,090.00","1,099.00","1,081.00","1,100.00",0.92,180.00,"196,395.00"
2,2026-08-20,"1,090.00","1,090.00","1,085.00","1,090.00",0.46,60.00,"65,275.00"
3,2026-08-19,"1,085.00","1,085.00","1,085.00","1,085.00",0.18,20.00,"21,700.00"
4,2026-08-18,"1,080.00","1,083.00","1,076.00","1,083.00",0.09,75.00,"80,975.00"
5,2026-08-17,"1,092.00","1,092.00","1,082.00","1,082.00",-0.92,50.00,"54,350.00"
6,2026-08-14,"1,080.00","1,092.00","1,080.00","1,092.00",0.0,100.00,"108,775.00"
7,2026-08-13,"1,077.40","1,100.00","1,077.40","1,092.00",1.36,275.00,"300,510.00"
8,2026-08-12,"1,077.10","1,077.40","1,077.10","1,077.40",1.24,50.00,"53,862.50"
9,2026-08-10,"1,064.20","1,064.20","1,064.20","1,064.20",-2.55,25.00,"26,605.00"
10,2026-08-07,"1,085.00","1,092.00","1,085.00","1,092.00",0.18,222.00,"241,585.00"
11,2026-08-06,"1,081.10","1,090.00","1,081.10","1,090.00",0.74,150.00,"162,932.50"
12,2026-08-05,"1,082.00","1,082.00","1,082.00","1,082.00",-0.92,25.00,"27,050.00"
13,2026-08-04,"1,100.00","1,100.00","1,092.00","1,092.00",-0.82,50.00,"54,800.00"
14,2026-08-03,"1,095.00","1,101.00","1,085.00","1,101.00",0.71,200.00,"219,125.00"
15,2026-07-31,"1,092.30","1,093.20","1,091.10","1,093.20",0.08,60.00,"65,530.50"
16,2026-07-30,"1,099.00","1,100.00","1,090.60","1,092.30",-0.7,225.00,"246,671.50"
17,2026-07-29,"1,092.70","1,100.00","1,092.70","1,100.00",0.18,170.00,"186,497.50"
18,2026-07-28,"1,086.00","1,097.00","1,086.00","1,098.00",0.04,170.00,"186,138.00"
19,2026-07-27,"1,100.00","1,101.00","1,097.00","1,097.60",-0.31,95.00,"104,406.00"
20,2026-07-24,"1,100.00","1,101.00","1,100.00","1,101.00",-1.7,99.00,"108,925.00"
21,2026-07-23,"1,106.00","1,123.70","1,106.00","1,120.00",2.66,385.00,"431,160.00"
22,2026-07-22,"1,090.00","1,103.00","1,088.00","1,091.00",0.09,491.00,"539,209.50"
23,2026-07-21,"1,100.00","1,107.00","1,086.10","1,090.00",-0.91,634.00,"696,102.00"
24,2026-07-20,"1,090.10","1,100.00","1,089.10","1,100.00",-0.54,200.00,"219,480.00"
25,2026-07-17,"1,105.00","1,108.00","1,085.00","1,106.00",-1.16,619.00,"680,260.80"
26,2026-07-16,"1,108.30","1,109.00","1,107.30","1,119.00",0.97,128.00,"141,869.50"
27,2026-07-15,"1,120.00","1,120.00","1,108.10","1,108.30",-1.04,133.00,"148,087.00"
28,2026-07-14,"1,110.00","1,120.00","1,105.10","1,120.00",0.72,636.00,"707,178.50"
29,2026-07-13,"1,113.00","1,113.00","1,101.50","1,112.00",-0.09,158.00,"174,508.00"
30,2026-07-10,"1,113.00","1,113.00","1,113.00","1,113.00",0.0,25.00,"27,825.00"
31,2026-07-09,"1,100.50","1,100.50","1,100.50","1,113.00",-0.18,80.00,"88,102.50"
32,2026-07-08,"1,101.00","1,115.00","1,100.00","1,115.00",1.34,470.00,"517,592.00"
33,2026-07-07,"1,100.30","1,100.30","1,100.30","1,100.30",0.03,25.00,"27,507.50"
34,2026-07-06,"1,091.20","1,111.00","1,091.20","1,100.00",-0.9,650.00,"717,725.00"
35,2026-07-03,"1,116.00","1,140.00","1,105.80","1,110.00",0.09,"20,658.00","23,522,489.00"
36,2026-07-02,"1,086.10","1,109.00","1,086.10","1,109.00",0.82,375.00,"413,987.50"
37,2026-07-01,"1,094.10","1,110.00","1,094.10","1,100.00",0.15,200.00,"220,007.50"
38,2026-06-30,"1,095.00","1,135.00","1,095.00","1,098.30",0.16,565.00,"624,999.50"
39,2026-06-29,"1,094.20","1,110.00","1,094.20","1,096.50",-1.55,110.00,"121,220.00"
40,2026-06-26,"1,100.00","1,110.00","1,097.60","1,113.80",1.66,218.00,"240,539.00"
41,2026-06-25,"1,100.00","1,100.00","1,095.60","1,095.60",-1.73,235.00,"257,831.00"
42,2026-06-24,"1,095.10","1,118.00","1,095.10","1,114.90",2.57,930.00,"1,033,618.50"
43,2026-06-23,"1,095.00","1,110.00","1,087.00","1,087.00",-1.01,300.00,"330,052.50"
44,2026-06-22,"1,100.00","1,105.00","1,097.00","1,098.10",1.07,680.00,"748,542.50"
45,2026-06-19,"1,087.50","1,087.50","1,086.20","1,086.50",-0.06,75.00,"81,505.00"
46,2026-06-18,"1,087.20","1,087.20","1,087.20","1,087.20",-1.07,25.00,"27,180.00"
47,2026-06-17,"1,090.10","1,099.00","1,087.00","1,099.00",0.37,100.00,"109,277.50"
48,2026-06-16,"1,087.00","1,095.00","1,087.00","1,095.00",0.74,125.00,"136,220.50"
49,2026-06-15,"1,087.30","1,087.30","1,087.00","1,087.00",0.07,100.00,"108,717.50"
50,2026-06-12,"1,100.00","1,100.00","1,086.10","1,086.20",0.1,125.00,"136,557.50"
51,2026-06-11,"1,098.00","1,099.00","1,085.10","1,085.10",-0.45,125.00,"136,552.50"
52,2026-06-10,"1,090.00","1,090.00","1,090.00","1,090.00",0.41,50.00,"54,500.00"
53,2026-06-09,"1,080.10","1,102.00","1,080.10","1,085.50",-0.28,270.00,"294,665.00"
54,2026-06-08,"1,084.00","1,095.00","1,084.00","1,088.50",-1.49,185.00,"201,432.50"
55,2026-06-05,"1,095.00","1,097.00","1,090.00","1,105.00",0.73,50.00,"54,800.00"
56,2026-06-04,"1,095.00","1,100.00","1,090.00","1,097.00",-0.09,290.00,"317,947.50"
57,2026-06-03,"1,080.00","1,099.70","1,080.00","1,098.00",0.0,395.00,"433,115.00"
58,2026-06-02,"1,088.00","1,098.00","1,088.00","1,098.00",0.0,280.00,"305,857.50"
59,2026-06-01,"1,085.00","1,098.00","1,085.00","1,098.00",0.73,375.00,"409,210.00"
60,2026-05-27,"1,095.00","1,095.00","1,090.00","1,090.00",-0.91,80.00,"87,475.00"
61,2026-05-26,"1,090.00","1,100.00","1,083.00","1,100.00",0.09,350.00,"382,830.00"
62,2026-05-25,"1,081.00","1,099.00","1,081.00","1,099.00",0.0,200.00,"217,855.00"
63,2026-05-22,"1,080.30","1,099.00","1,080.20","1,099.00",-0.08,125.00,"135,640.00"
64,2026-05-21,"1,083.00","1,100.00","1,083.00","1,099.90",0.91,536.00,"588,013.90"
65,2026-05-20,"1,090.00","1,099.00","1,090.00","1,090.00",0.0,385.00,"422,192.50"
66,2026-05-19,"1,085.00","1,097.90","1,075.80","1,090.00",0.46,384.00,"420,005.60"
67,2026-05-18,"1,087.00","1,100.00","1,084.10","1,085.00",-0.18,420.00,"459,367.50"
68,2026-05-15,"1,099.00","1,099.00","1,083.10","1,087.00",0.36,270.00,"293,918.50"
69,2026-05-14,"1,081.00","1,100.00","1,081.00","1,083.10",-0.08,652.00,"713,168.10"
70,2026-05-13,"1,085.00","1,086.00","1,080.00","1,084.00",-0.09,225.00,"243,851.00"
71,2026-05-12,"1,094.00","1,095.00","1,085.00","1,085.00",0.0,130.00,"141,917.50"
72,2026-05-11,"1,085.00","1,090.00","1,084.00","1,085.00",0.0,190.00,"206,350.00"
73,2026-05-08,"1,086.40","1,086.40","1,081.10","1,085.00",0.18,259.00,"280,858.50"
74,2026-05-07,"1,084.10","1,090.00","1,083.10","1,083.10",-0.18,220.00,"238,707.00"
75,2026-05-06,"1,076.20","1,087.00","1,076.20","1,085.10",-0.04,342.00,"370,899.10"
76,2026-05-05,"1,090.00","1,090.00","1,085.00","1,085.50",0.05,270.00,"293,130.00"
77,2026-05-04,"1,086.60","1,087.00","1,085.00","1,085.00",-0.19,225.00,"244,520.00"
78,2026-04-30,"1,098.00","1,098.00","1,085.00","1,087.10",-0.81,375.00,"408,623.00"
79,2026-04-29,"1,090.00","1,100.00","1,086.00","1,096.00",0.55,365.00,"399,085.50"
80,2026-04-28,"1,115.00","1,115.00","1,090.00","1,090.00",-0.81,"1,150.00","1,264,499.00"
81,2026-04-27,"1,083.10","1,110.00","1,085.10","1,098.90",1.46,"1,200.00","1,313,601.00"
82,2026-04-24,"1,100.00","1,100.00","1,082.00","1,083.10",-0.05,"2,425.00","2,662,457.50"
83,2026-04-23,"1,081.20","1,083.60","1,081.20","1,083.60",-0.04,275.00,"297,667.50"
84,2026-04-22,"1,085.00","1,085.00","1,073.10","1,084.00",-0.01,350.00,"378,577.50"
85,2026-04-21,"1,076.60","1,090.90","1,076.60","1,084.10",-0.13,425.00,"461,295.80"
86,2026-04-20,"1,083.00","1,089.00","1,083.00","1,085.50",-0.41,275.00,"298,575.00"
87,2026-04-17,"1,082.10","1,099.90","1,082.10","1,090.00",0.0,775.00,"845,242.50"
88,2026-04-16,"1,089.00","1,110.00","1,080.50","1,090.00",0.0,"2,301.00","2,525,447.30"
89,2026-04-15,"1,087.00","1,095.00","1,087.00","1,090.00",0.2,930.00,"1,014,534.00"
90,2026-04-13,"1,084.00","1,091.50","1,084.00","1,087.80",-0.29,"1,176.00","1,280,593.70"
91,2026-04-10,"1,080.00","1,095.00","1,080.00","1,091.00",0.09,835.00,"909,662.50"
92,2026-04-09,"1,078.00","1,101.00","1,078.00","1,090.00",-0.91,"2,200.00","2,407,561.50"
93,2026-04-08,"1,020.00","1,100.00","1,020.00","1,100.00",7.84,"2,326.00","2,553,070.00"
