S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-19,"1,122.70","1,122.70","1,122.70","1,122.70",3.00,49.00,"55,012.30"
2,2026-08-10,"1,090.00","1,090.00","1,090.00","1,090.00",0.0,25.00,"27,250.00"
3,2026-08-04,"1,094.00","1,094.00","1,090.00","1,090.00",-0.37,25.00,"27,254.00"
4,2026-07-24,"1,094.00","1,094.00","1,094.00","1,094.00",-2.19,15.00,"16,410.00"
5,2026-07-22,"1,118.50","1,118.50","1,118.50","1,118.50",-2.99,60.00,"67,110.00"
6,2026-07-20,"1,153.00","1,153.00","1,153.00","1,153.00",0.26,20.00,"23,060.00"
7,2026-07-13,"1,125.00","1,150.00","1,125.00","1,150.00",4.55,"43,150.00","49,621,549.50"
8,2026-07-07,"1,095.00","1,100.00","1,095.00","1,100.00",1.38,75.00,"82,250.00"
9,2026-06-30,"1,085.00","1,085.00","1,085.00","1,085.00",-0.28,25.00,"27,125.00"
10,2026-06-26,"1,088.50","1,088.50","1,088.50","1,088.00",-0.06,25.00,"27,210.00"
11,2026-06-24,"1,088.40","1,088.40","1,088.40","1,088.70",0.03,7.00,"7,620.90"
12,2026-06-19,"1,088.40","1,088.40","1,088.40","1,088.40",-2.56,25.00,"27,210.00"
13,2026-06-11,"1,117.00","1,117.00","1,117.00","1,117.00",-2.43,30.00,"33,510.00"
14,2026-06-08,"1,144.80","1,144.80","1,144.80","1,144.80",0.0,"150,000.00","171,720,000.00"
15,2026-06-05,"1,063.00","1,144.80","1,063.00","1,144.80",7.7,"64,355.00","73,630,402.40"
16,2026-05-27,"1,087.40","1,087.40","1,063.00","1,063.00",-1.97,359.0,"383,525.00"
17,2026-05-21,"1,084.40","1,084.40","1,084.40","1,084.40",0.38,25.0,"27,110.00"
18,2026-05-11,"1,080.40","1,080.40","1,080.30","1,080.30",-2.68,25.0,"27,009.00"
19,2026-04-28,"1,100.00","1,110.00","1,110.00","1,110.00",0.91,25.0,"27,750.00"
20,2026-04-07,"1,100.00","1,100.00","1,100.00","1,100.00",0.46,25.0,"27,500.00"
21,2026-04-06,"1,110.00","1,110.00","1,095.00","1,095.00",-3.1,50.0,"55,125.00"
22,2026-03-22,"1,100.00","1,130.00","1,100.00","1,130.00",2.63,169.0,"189,712.00"
23,2026-03-17,"1,102.00","1,102.00","1,101.00","1,101.00",0.54,25.0,"27,538.00"
24,2026-03-16,"1,119.00","1,119.00","1,095.00","1,095.10",-3.94,107.0,"118,265.70"
25,2026-03-03,"1,140.00","1,140.00","1,140.00","1,140.00",-1.72,25.0,"28,500.00"
26,2026-01-26,"1,161.00","1,161.00","1,161.00","1,160.00",-0.09,5.0,"5,800.00"
27,2026-01-13,"1,161.00","1,161.00","1,161.00","1,161.00",0.0,40.0,"46,440.00"
28,2026-01-12,"1,161.00","1,161.00","1,161.00","1,161.00",-0.34,32.0,"37,152.00"
29,2025-12-28,"1,165.00","1,165.00","1,165.00","1,165.00",-0.09,25.0,"29,125.00"
30,2025-12-18,"1,122.00","1,166.00","1,122.00","1,166.00",3.92,37.0,"42,925.80"
31,2025-11-30,"1,100.00","1,122.00","1,100.00","1,122.00",2.0,32.0,"35,897.00"
32,2025-11-27,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,25.0,"27,500.00"
33,2025-11-12,"1,113.00","1,113.00","1,113.00","1,100.00",0.79,26.0,"28,925.00"
34,2025-10-13,"1,091.40","1,091.40","1,091.40","1,091.40",2.0,25.0,"27,285.00"
35,2025-10-12,"1,071.10","1,071.10","1,070.00","1,070.00",-1.59,50.0,"53,527.50"
36,2025-10-09,"1,087.00","1,087.30","1,087.00","1,087.30",2.0,125.0,"135,882.50"
37,2025-10-08,"1,045.10","1,045.10","1,045.10","1,066.00",2.0,7.0,"7,462.00"
38,2025-09-21,"1,045.10","1,045.10","1,045.10","1,045.10",0.49,25.0,"26,127.50"
39,2025-09-02,"1,040.10","1,040.10","1,040.00","1,040.00",-1.42,50.0,"52,002.50"
40,2025-08-31,"1,055.00","1,055.00","1,055.00","1,055.00",1.44,25.0,"26,375.00"
41,2025-08-26,"1,040.00","1,040.00","1,040.00","1,040.00",-1.61,25.0,"26,000.00"
42,2025-07-22,"1,057.00","1,057.00","1,057.00","1,057.00",-1.95,24.0,"25,368.00"
43,2025-06-29,"1,044.20","1,044.20","1,044.20","1,078.00",3.24,3.0,"3,221.00"
44,2025-06-22,"1,044.20","1,044.20","1,044.20","1,044.20",0.11,25.0,"26,105.00"
45,2025-06-19,"1,043.10","1,043.10","1,043.10","1,043.10",0.19,25.0,"26,077.50"
46,2025-06-10,"1,041.10","1,041.10","1,041.10","1,041.10",0.18,25.0,"26,027.50"
47,2025-06-03,"1,039.20","1,039.20","1,039.20","1,039.20",-1.96,25.0,"25,980.00"
48,2025-05-28,"1,057.00","1,060.00","1,057.00","1,059.98",0.28,28.0,"29,679.70"
49,2025-05-26,"1,054.10","1,054.10","1,054.10","1,057.00",0.28,3.0,"3,171.00"
50,2025-05-19,"1,054.10","1,054.10","1,054.10","1,054.10",0.0,25.0,"26,352.50"
51,2025-05-06,"1,054.10","1,054.10","1,054.10","1,054.10",-1.94,27.0,"28,460.70"
52,2025-05-05,"1,075.00","1,075.00","1,075.00","1,075.00",0.0,3.0,"3,225.00"
53,2025-05-04,"1,075.00","1,075.00","1,075.00","1,075.00",0.09,10.0,"10,750.00"
54,2025-04-30,"1,074.00","1,074.00","1,074.00","1,074.00",-1.92,29.0,"31,146.00"
55,2025-04-29,"1,095.00","1,095.00","1,095.00","1,095.00",1.58,25.0,"27,375.00"
56,2025-04-28,"1,072.00","1,078.00","1,072.00","1,078.00",2.51,53.0,"57,056.00"
57,2025-04-17,"1,051.60","1,051.60","1,051.60","1,051.60",2.0,25.0,"26,290.00"
58,2025-04-16,"1,031.00","1,031.00","1,031.00","1,031.00",0.0,3.0,"3,093.00"
59,2025-04-15,"1,038.00","1,038.00","1,031.00","1,031.00",-2.17,50.0,"51,725.00"
60,2025-04-07,"1,053.90","1,053.90","1,053.90","1,053.90",1.99,25.0,"26,347.50"
61,2025-03-25,"1,033.30","1,033.30","1,033.30","1,033.30",1.99,25.0,"25,832.50"
62,2025-03-24,"1,013.10","1,013.10","1,013.10","1,013.10",-0.39,50.0,"50,655.00"
63,2025-03-23,"1,025.00","1,025.00","1,025.00","1,017.10",-0.77,1.0,"1,017.10"
64,2025-03-19,"1,025.00","1,025.00","1,025.00","1,025.00",0.0,1.0,"1,025.00"
65,2025-03-16,"1,025.00","1,025.00","1,025.00","1,025.00",-0.49,105.0,"107,625.00"
66,2025-03-04,"1,030.00","1,030.00","1,030.00","1,030.00",0.49,30.0,"30,900.00"
67,2025-02-24,"1,040.00","1,040.00","1,025.00","1,025.00",-1.44,75.0,"77,625.00"
68,2025-02-02,"1,040.00","1,040.00","1,040.00","1,040.00",2.46,49.0,"50,910.00"
69,2025-01-22,"1,022.00","1,022.00","1,015.00","1,015.00",-2.67,49.0,"49,910.00"
70,2025-01-21,"1,042.80","1,042.80","1,042.80","1,042.80",-1.99,1.0,"1,042.80"
71,2025-01-06,"1,064.00","1,064.00","1,064.00","1,064.00",-1.94,25.0,"26,600.00"
72,2024-12-23,"1,085.00","1,085.00","1,085.00","1,085.00",5.34,50.0,"54,011.00"
73,2024-11-28,"1,030.00","1,030.00","1,030.00","1,030.00",-0.19,25.0,"25,750.00"
74,2024-11-17,"1,032.00","1,032.00","1,032.00","1,032.00",-1.99,25.0,"25,800.00"
75,2024-10-21,"1,050.00","1,053.00","1,050.00","1,053.00",2.23,273.0,"286,950.00"
76,2024-10-16,"1,053.00","1,053.00","1,030.00","1,030.00",0.0,175.0,"183,685.00"
77,2024-10-15,"1,035.00","1,035.00","1,030.00","1,030.00",-0.48,75.0,"77,500.00"
78,2024-10-07,"1,035.00","1,035.00","1,035.00","1,035.00",-1.71,100.0,"103,500.00"
79,2024-09-30,"1,045.00","1,053.00","1,045.00","1,053.00",2.23,176.0,"185,100.50"
80,2024-09-29,"1,029.00","1,030.00","1,029.00","1,030.00",1.88,50.0,"51,475.00"
81,2024-09-23,"1,011.00","1,011.00","1,011.00","1,011.00",-0.04,25.0,"25,275.00"
82,2024-09-22,"1,032.00","1,032.00","1,011.40","1,011.40",-3.95,50.0,"51,085.00"
83,2024-09-12,"1,020.00","1,053.00","1,020.00","1,053.00",3.24,380.0,"398,137.50"
84,2024-09-03,"1,020.00","1,020.00","1,020.00","1,020.00",-1.92,100.0,"102,000.00"
85,2024-09-02,"1,005.00","1,040.00","1,005.00","1,040.00",2.97,944.0,"978,432.50"
86,2024-09-01,"1,010.00","1,010.00","1,010.00","1,010.00",0.8,25.0,"25,250.00"
87,2024-08-29,"1,002.00","1,002.00","1,002.00","1,002.00",0.0,100.0,"100,200.00"
88,2024-08-28,"1,002.00","1,002.00","1,002.00","1,002.00",0.0,80.0,"80,160.00"
89,2024-08-27,"1,002.00","1,002.00","1,002.00","1,002.00",0.0,322.0,"322,644.00"
90,2024-08-25,"1,005.00","1,005.00","1,002.00","1,002.00",-2.24,152.0,"152,604.00"
91,2024-08-22,984.00,"1,025.00",984.00,"1,025.00",3.54,100.0,"100,695.00"
92,2024-08-15,972.20,990.00,972.20,990.00,1.95,180.0,"175,990.50"
93,2024-08-14,971.10,971.10,971.10,971.10,-0.4,25.0,"24,277.50"
94,2024-08-12,975.00,975.00,971.20,975.00,0.0,150.0,"145,872.50"
95,2024-08-11,975.00,975.00,975.00,975.00,1.03,50.0,"48,750.00"
96,2024-08-07,981.00,981.00,981.00,981.00,-1.62,1.0,"4,825.50"
97,2024-08-06,981.00,981.00,981.00,981.00,0.0,100.0,"98,100.00"
98,2024-08-01,981.00,981.00,981.00,981.00,0.1,16.0,"15,696.00"
99,2024-07-31,980.00,980.00,980.00,980.00,-2.0,25.0,"24,500.00"
100,2024-07-30,"1,000.00","1,000.00","1,000.00","1,000.00",-0.99,125.0,"125,000.00"
101,2024-07-16,"1,010.00","1,010.00","1,010.00","1,010.00",-0.88,300.0,"303,000.00"
102,2024-07-15,995.00,"1,019.00",995.00,"1,019.00",1.39,290.0,"291,506.00"
103,2024-07-11,998.00,"1,005.00",998.00,"1,005.00",2.55,250.0,"250,662.50"
104,2024-07-09,980.10,980.10,980.00,980.00,0.0,25.0,"24,501.00"
105,2024-07-08,994.00,994.00,980.00,980.00,-2.49,150.0,"148,400.00"
106,2024-07-01,995.00,"1,005.00",995.00,"1,005.00",2.45,125.0,"125,375.00"
107,2024-06-27,981.00,981.00,981.00,981.00,0.0,55.0,"53,955.00"
108,2024-06-26,981.00,981.00,981.00,981.00,-0.91,45.0,"44,145.00"
109,2024-06-20,990.00,990.00,990.00,990.00,-0.31,50.0,"49,500.00"
110,2024-06-13,993.10,993.10,993.10,993.10,1.99,10.0,"9,931.00"
111,2024-06-12,973.80,973.80,973.70,973.70,-1.69,50.0,"48,687.50"
112,2024-06-11,990.40,990.40,990.40,990.40,2.0,15.0,"14,856.00"
113,2024-06-10,971.00,971.00,971.00,971.00,-0.92,25.0,"24,275.00"
114,2024-06-06,980.00,980.00,980.00,980.00,-2.0,25.0,"24,500.00"
115,2024-05-19,999.00,"1,000.00",999.00,"1,000.00",0.1,85.0,"84,990.00"
116,2024-05-16,999.00,999.00,999.00,999.00,-0.1,10.0,"9,990.00"
117,2024-05-14,"1,000.00","1,000.00","1,000.00","1,000.00",1.1,25.0,"25,000.00"
118,2024-05-13,989.00,989.10,989.00,989.10,0.42,40.0,"39,562.00"
119,2024-05-12,985.00,985.00,985.00,985.00,0.1,100.0,"98,500.00"
120,2024-05-09,984.00,984.00,984.00,984.00,-0.51,25.0,"24,600.00"
121,2024-05-02,989.00,989.00,989.00,989.00,-1.1,25.0,"24,725.00"
122,2024-04-29,"1,000.00","1,000.00","1,000.00","1,000.00",1.01,275.0,"275,000.00"
123,2024-04-24,990.00,990.00,990.00,990.00,0.29,10.0,"9,900.00"
124,2024-04-22,987.10,987.10,987.10,987.10,-0.09,25.0,"24,677.50"
125,2024-04-21,956.70,988.00,956.70,988.00,5.33,285.0,"279,432.00"
126,2024-04-09,938.00,938.00,938.00,938.00,1.96,25.0,"23,450.00"
127,2024-04-02,919.00,920.00,919.00,920.00,2.11,50.0,"45,975.00"
128,2024-03-27,901.00,901.00,901.00,901.00,-0.18,25.0,"22,525.00"
129,2024-03-17,902.60,902.60,902.60,902.60,-2.0,25.0,"22,565.00"
