S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-17,"1,250.00","1,250.00","1,250.00","1,250.00",-2.27,25.00,"31,250.00"
2,2026-08-06,"1,279.00","1,279.00","1,279.00","1,279.00",0.0,10.00,"12,790.00"
3,2026-08-03,"1,242.00","1,279.00","1,242.00","1,279.00",-0.11,250.00,"314,200.00"
4,2026-07-22,"1,280.40","1,280.40","1,280.40","1,280.40",0.0,25.00,"32,010.00"
5,2026-07-17,"1,280.40","1,280.40","1,280.40","1,280.40",-3.0,10.00,"12,804.00"
6,2026-07-16,"1,320.00","1,322.00","1,320.00","1,320.00",-0.38,380.00,"501,900.00"
7,2026-07-14,"1,234.30","1,325.00","1,221.00","1,325.00",4.27,"27,346.00","35,525,548.50"
8,2026-07-13,"1,270.70","1,270.70","1,270.70","1,270.70",-3.0,35.00,"44,474.50"
9,2026-07-10,"1,310.00","1,310.00","1,310.00","1,310.00",2.98,100.00,"131,000.00"
10,2026-07-07,"1,272.10","1,272.10","1,272.10","1,272.10",3.0,25.00,"31,802.50"
11,2026-07-06,"1,295.70","1,295.70","1,235.10","1,235.10",-1.82,380.00,"482,704.00"
12,2026-07-01,"1,258.00","1,258.00","1,258.00","1,258.00",-2.96,25.00,"31,450.00"
13,2026-06-30,"1,296.40","1,296.40","1,296.40","1,296.40",2.89,10.00,"12,964.00"
14,2026-06-29,"1,258.00","1,260.00","1,245.00","1,260.00",0.1,50.00,"62,755.00"
15,2026-06-10,"1,276.00","1,276.00","1,258.70","1,258.70",-4.28,399.00,"502,826.80"
16,2026-05-21,"1,315.00","1,315.00","1,315.00","1,315.00",2.73,25.00,"32,875.00"
17,2026-05-11,"1,280.00","1,280.00","1,280.00","1,280.00",2.4,15.00,"19,200.00"
18,2026-05-08,"1,270.00","1,270.00","1,214.00","1,250.00",-1.26,190.00,"238,255.00"
19,2026-05-06,"1,265.90","1,265.90","1,265.90","1,265.90",-3.0,25.00,"31,647.50"
20,2026-03-29,"1,305.00","1,305.00","1,305.00","1,305.00",1.95,25.00,"32,625.00"
21,2026-03-24,"1,330.00","1,330.00","1,280.00","1,280.00",-1.92,85.00,"111,800.00"
22,2026-03-22,"1,212.10","1,305.00","1,212.10","1,305.00",7.66,169.00,"220,411.70"
23,2026-03-10,"1,212.10","1,212.10","1,212.10","1,212.10",-1.46,25.00,"30,302.50"
24,2026-02-17,"1,246.00","1,246.00","1,230.10","1,230.10",-1.28,130.00,"160,313.20"
25,2026-02-12,"1,246.00","1,246.00","1,246.00","1,246.00",-0.72,24.00,"29,904.00"
26,2026-02-02,"1,255.00","1,255.00","1,255.00","1,255.00",0.4,60.00,"75,300.00"
27,2026-01-27,"1,294.90","1,294.90","1,250.00","1,250.00",-3.47,15.00,"18,845.50"
28,2026-01-26,"1,294.90","1,294.90","1,294.90","1,294.90",-0.01,50.00,"64,745.00"
29,2026-01-25,"1,337.00","1,337.00","1,295.00","1,295.00",-3.14,36.00,"46,725.00"
30,2026-01-13,"1,337.00","1,337.00","1,337.00","1,337.00",-0.01,50.00,"66,850.00"
31,2026-01-12,"1,337.20","1,337.20","1,337.20","1,337.20",2.0,100.00,"133,720.00"
32,2026-01-01,"1,311.00","1,311.00","1,311.00","1,311.00",-1.89,50.00,"65,550.00"
33,2025-12-29,"1,310.00","1,342.00","1,310.00","1,336.20",3.24,529.00,"706,101.20"
34,2025-12-24,"1,294.30","1,294.30","1,294.30","1,294.30",1.99,900.00,"1,164,870.00"
35,2025-12-22,"1,320.00","1,320.00","1,320.00","1,269.00",-3.86,2.00,"2,563.00"
36,2025-12-17,"1,320.00","1,320.00","1,320.00","1,320.00",-0.23,100.00,"132,000.00"
37,2025-12-03,"1,323.10","1,323.10","1,323.10","1,323.10",-1.99,25.00,"33,077.50"
38,2025-11-30,"1,300.10","1,350.00","1,300.10","1,350.00",3.84,357.00,"477,082.10"
39,2025-11-25,"1,325.00","1,325.00","1,300.10","1,300.10",0.01,755.00,"985,749.10"
40,2025-11-24,"1,300.00","1,300.00","1,300.00","1,300.00",-1.81,83.00,"107,900.00"
41,2025-11-23,"1,298.00","1,334.00","1,298.00","1,323.90",2.0,858.00,"1,140,239.10"
42,2025-11-19,"1,298.00","1,298.00","1,298.00","1,298.00",1.97,304.00,"394,592.00"
43,2025-11-17,"1,272.90","1,272.90","1,272.90","1,272.90",0.0,25.00,"31,822.50"
44,2025-11-16,"1,272.90","1,272.90","1,272.90","1,272.90",2.0,25.00,"31,822.50"
45,2025-11-04,"1,250.00","1,250.00","1,225.00","1,248.00",-0.16,50.00,"61,925.00"
46,2025-10-19,"1,250.00","1,250.00","1,250.00","1,250.00",0.0,30.00,"37,575.00"
47,2025-10-16,"1,226.10","1,250.00","1,226.10","1,250.00",0.16,95.00,"118,152.50"
48,2025-10-15,"1,248.00","1,248.00","1,248.00","1,248.00",1.96,25.00,"31,200.00"
49,2025-10-14,"1,224.00","1,224.00","1,224.00","1,224.00",2.0,304.00,"372,096.00"
50,2025-08-25,"1,200.00","1,200.00","1,200.00","1,200.00",-1.64,76.00,"91,200.00"
51,2025-08-24,"1,220.00","1,220.00","1,220.00","1,220.00",1.96,25.00,"30,500.00"
52,2025-08-17,"1,196.50","1,196.50","1,196.50","1,196.50",-0.33,30.00,"35,895.00"
53,2025-07-24,"1,225.00","1,225.00","1,200.50","1,200.50",-3.96,110.00,"132,300.00"
54,2025-06-23,"1,206.00","1,250.00","1,206.00","1,250.00",3.65,200.00,"249,097.90"
55,2025-06-18,"1,206.00","1,206.00","1,206.00","1,206.00",-1.95,25.00,"30,150.00"
56,2025-06-16,"1,230.00","1,230.00","1,230.00","1,230.00",1.15,25.00,"30,750.00"
57,2025-06-11,"1,216.00","1,216.00","1,216.00","1,216.00",-1.94,25.00,"30,400.00"
58,2025-06-09,"1,240.10","1,240.10","1,240.10","1,240.10",2.0,110.00,"136,411.00"
59,2025-06-08,"1,192.00","1,215.80","1,192.00","1,215.80",-0.02,74.00,"88,803.00"
60,2025-06-05,"1,216.00","1,216.00","1,216.00","1,216.00",-1.22,100.00,"121,600.00"
61,2025-06-02,"1,231.00","1,231.00","1,231.00","1,231.00",-0.81,10.00,"12,310.00"
62,2025-05-26,"1,241.00","1,241.00","1,241.00","1,241.00",1.64,25.00,"31,025.00"
63,2025-05-18,"1,221.00","1,221.00","1,221.00","1,221.00",-1.61,25.00,"30,525.00"
64,2025-04-28,"1,206.00","1,241.00","1,206.00","1,241.00",2.9,29.00,"35,978.10"
65,2025-04-23,"1,218.00","1,218.00","1,218.00","1,206.00",-0.99,4.00,"4,824.00"
66,2025-04-21,"1,218.00","1,218.00","1,218.00","1,218.00",-1.85,24.00,"29,232.00"
67,2025-04-20,"1,205.00","1,241.00","1,205.00","1,241.00",2.99,138.00,"171,246.10"
68,2025-04-16,"1,205.00","1,205.00","1,205.00","1,205.00",-1.97,26.00,"31,330.00"
69,2025-04-13,"1,182.10","1,229.70","1,182.10","1,229.18",3.98,136.00,"164,609.20"
70,2025-04-09,"1,159.00","1,159.00","1,159.00","1,182.10",1.47,27.00,"31,339.20"
71,2025-04-08,"1,165.00","1,165.00","1,165.00","1,165.00",-1.27,25.00,"29,125.00"
72,2025-04-02,"1,180.00","1,180.00","1,180.00","1,180.00",1.01,25.00,"29,500.00"
73,2025-04-01,"1,166.90","1,166.90","1,166.90","1,168.20",0.11,3.00,"3,504.60"
74,2025-03-26,"1,166.20","1,166.20","1,166.20","1,166.90",0.06,1.00,"1,166.90"
75,2025-03-24,"1,190.00","1,190.00","1,190.00","1,166.20",-2.0,1.00,"1,166.20"
76,2025-03-23,"1,200.00","1,200.00","1,200.00","1,190.00",-0.83,2.00,"2,380.00"
77,2025-03-19,"1,200.00","1,200.00","1,200.00","1,200.00",0.0,83.00,"99,600.00"
78,2025-03-18,"1,200.00","1,200.00","1,200.00","1,200.00",0.0,"1,000.00","1,200,000.00"
79,2025-02-23,"1,200.00","1,200.00","1,200.00","1,200.00",0.08,800.00,"960,000.00"
80,2025-02-10,"1,210.00","1,210.00","1,199.00","1,199.00",3.36,"1,022.00","1,227,788.90"
81,2025-02-06,"1,180.00","1,180.00","1,160.00","1,160.00",-2.93,125.00,"145,500.00"
82,2025-02-02,"1,186.00","1,195.00","1,186.00","1,195.00",2.75,320.00,"381,500.00"
83,2025-01-28,"1,163.00","1,163.00","1,163.00","1,163.00",-1.44,103.00,"119,786.00"
84,2025-01-27,"1,180.00","1,180.00","1,180.00","1,180.00",1.46,25.00,"29,500.00"
85,2025-01-26,"1,163.00","1,163.00","1,163.00","1,163.00",-0.7,100.00,"116,300.00"
86,2025-01-22,"1,181.10","1,195.00","1,171.20","1,171.20",1.14,"13,239.00","15,819,871.00"
87,2025-01-20,"1,172.00","1,172.00","1,158.00","1,158.00",-3.1,126.00,"147,322.60"
88,2025-01-19,"1,195.00","1,195.00","1,195.00","1,195.00",1.88,100.00,"119,500.00"
89,2025-01-16,"1,173.00","1,173.00","1,173.00","1,173.00",-1.92,127.00,"148,971.20"
90,2025-01-13,"1,220.00","1,220.00","1,196.00","1,196.00",-3.08,75.00,"90,400.00"
91,2025-01-09,"1,234.00","1,234.00","1,234.00","1,234.00",-0.06,25.00,"30,850.00"
92,2025-01-07,"1,234.80","1,234.80","1,234.80","1,234.80",-2.0,25.00,"30,870.00"
93,2025-01-05,"1,248.00","1,260.00","1,248.00","1,260.00",3.7,"1,028.00","1,286,517.90"
94,2024-12-31,"1,215.00","1,215.00","1,215.00","1,215.00",-1.56,25.00,"30,375.00"
95,2024-12-09,"1,234.00","1,234.20","1,234.00","1,234.20",2.0,510.00,"629,342.00"
96,2024-12-02,"1,210.00","1,210.00","1,210.00","1,210.00",-0.82,15.00,"18,150.00"
97,2024-12-01,"1,201.50","1,220.00","1,180.00","1,220.00",-0.49,150.00,"180,150.00"
98,2024-11-28,"1,226.00","1,226.00","1,226.00","1,226.00",-2.0,10.00,"12,260.00"
99,2024-11-20,"1,251.00","1,251.00","1,251.00","1,251.00",0.08,100.00,"125,100.00"
100,2024-11-14,"1,239.00","1,250.00","1,239.00","1,250.00",1.21,200.00,"248,900.00"
101,2024-11-10,"1,235.00","1,235.00","1,235.00","1,235.00",0.24,200.00,"247,000.00"
102,2024-11-06,"1,232.00","1,232.00","1,232.00","1,232.00",0.16,30.00,"36,960.00"
103,2024-10-29,"1,230.00","1,230.00","1,210.00","1,230.00",1.65,275.00,"337,750.00"
104,2024-10-27,"1,210.00","1,210.00","1,210.00","1,210.00",-1.55,25.00,"30,250.00"
105,2024-10-24,"1,227.00","1,229.00","1,227.00","1,229.00",1.99,90.00,"110,530.00"
106,2024-10-21,"1,205.00","1,205.00","1,205.00","1,205.00",0.84,125.00,"150,625.00"
107,2024-10-17,"1,190.00","1,195.00","1,190.00","1,195.00",-0.83,125.00,"148,875.00"
108,2024-10-16,"1,205.00","1,205.00","1,205.00","1,205.00",-0.33,25.00,"30,125.00"
109,2024-09-30,"1,208.90","1,209.00","1,208.90","1,209.00",3.96,225.00,"271,909.00"
110,2024-09-29,"1,163.00","1,163.00","1,163.00","1,163.00",1.04,25.00,"29,075.00"
111,2024-09-09,"1,151.00","1,151.00","1,151.00","1,151.00",-0.14,25.00,"28,775.00"
112,2024-09-04,"1,152.60","1,152.60","1,152.60","1,152.60",2.0,25.00,"28,815.00"
113,2024-08-25,"1,130.00","1,130.00","1,130.00","1,130.00",0.44,25.00,"28,250.00"
114,2024-08-15,"1,111.00","1,125.00","1,111.00","1,125.00",0.45,70.00,"78,400.00"
115,2024-08-13,"1,120.00","1,120.00","1,120.00","1,120.00",0.9,100.00,"112,000.00"
116,2024-08-12,"1,130.00","1,130.00","1,110.00","1,110.00",-0.89,85.00,"94,850.00"
117,2024-08-07,"1,130.00","1,130.00","1,130.00","1,130.00",-1.5,26.00,"29,370.00"
118,2024-08-05,"1,160.20","1,160.20","1,137.00","1,137.00",-3.95,173.00,"199,021.00"
119,2024-08-01,"1,183.80","1,183.80","1,183.80","1,183.80",3.92,11.00,"13,045.90"
120,2024-07-31,"1,139.19","1,139.19","1,139.19","1,139.19",0.0,2.00,"2,346.49"
121,2024-07-30,"1,116.90","1,116.90","1,116.90","1,116.90",2.0,11.00,"12,308.10"
122,2024-07-28,"1,095.00","1,095.00","1,095.00","1,095.00",3.44,25.00,"27,375.00"
123,2024-07-25,"1,058.60","1,058.60","1,058.60","1,058.60",0.0,1.00,"1,079.70"
124,2024-07-24,"1,058.60","1,058.60","1,058.60","1,058.60",-1.99,25.00,"26,465.00"
125,2024-07-22,"1,080.10","1,080.10","1,080.10","1,080.10",-1.82,25.00,"27,002.50"
126,2024-07-18,"1,100.10","1,100.10","1,100.10","1,100.10",-1.86,25.00,"27,502.50"
127,2024-07-16,"1,120.90","1,120.90","1,120.90","1,120.90",-0.36,25.00,"28,022.50"
128,2024-07-15,"1,125.00","1,125.00","1,125.00","1,125.00",-1.78,30.00,"33,750.00"
129,2024-07-11,"1,145.40","1,145.40","1,145.40","1,145.40",0.0,390.00,"446,706.00"
130,2024-07-10,"1,145.40","1,145.40","1,145.40","1,145.40",1.99,75.00,"85,905.00"
131,2024-07-09,"1,123.00","1,123.00","1,123.00","1,123.00",-1.96,25.00,"28,075.00"
132,2024-07-08,"1,145.40","1,145.40","1,145.40","1,145.40",0.0,50.00,"57,270.00"
133,2024-07-07,"1,130.00","1,145.40","1,130.00","1,145.40",1.99,425.00,"485,245.00"
134,2024-07-04,"1,123.00","1,123.00","1,123.00","1,123.00",0.0,25.00,"28,075.00"
135,2024-07-01,"1,123.00","1,123.00","1,123.00","1,123.00",-1.84,25.00,"28,075.00"
136,2024-06-27,"1,100.50","1,144.00","1,100.00","1,144.00",6.02,100.00,"112,102.50"
137,2024-06-24,"1,079.00","1,079.00","1,079.00","1,079.00",0.37,50.00,"53,950.00"
138,2024-06-10,"1,075.00","1,075.00","1,075.00","1,075.00",-1.38,25.00,"26,875.00"
139,2024-06-09,"1,090.10","1,090.10","1,090.00","1,090.00",-1.8,50.00,"54,502.50"
140,2024-05-26,"1,110.00","1,110.00","1,110.00","1,110.00",-0.56,100.00,"111,000.00"
141,2024-05-21,"1,120.00","1,120.00","1,116.30","1,116.30",-1.99,65.00,"72,744.50"
142,2024-05-20,"1,116.90","1,139.00","1,116.00","1,139.00",4.02,250.00,"281,186.00"
143,2024-05-19,"1,095.00","1,095.00","1,095.00","1,095.00",-0.46,55.00,"60,225.00"
144,2024-05-16,"1,100.10","1,100.10","1,100.10","1,100.10",0.47,25.00,"27,502.50"
145,2024-05-13,"1,092.70","1,095.00","1,092.70","1,095.00",-0.9,125.00,"136,760.00"
146,2024-05-07,"1,105.70","1,105.70","1,105.00","1,105.00",0.09,100.00,"110,517.50"
147,2024-05-06,"1,104.00","1,104.00","1,104.00","1,104.00",2.0,25.00,"27,600.00"
148,2024-04-30,"1,082.40","1,082.40","1,082.40","1,082.40",2.0,50.00,"54,120.00"
149,2024-04-29,"1,000.00","1,061.20","1,000.00","1,061.20",6.12,100.00,"103,040.00"
