S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,"1,056.00","1,085.00","1,056.00","1,085.00",-0.21,40.00,"42,530.00"
2,2026-08-20,"1,087.30","1,087.30","1,087.30","1,087.30",0.0,25.00,"27,182.50"
3,2026-08-19,"1,087.30","1,087.30","1,087.30","1,087.30",1.62,100.00,"108,730.00"
4,2026-08-14,"1,060.00","1,087.30","1,060.00","1,070.00",0.18,"1,507.00","1,630,750.80"
5,2026-08-12,"1,050.00","1,068.80","1,050.00","1,068.10",1.17,531.00,"566,535.50"
6,2026-08-10,"1,025.00","1,025.00","1,025.00","1,055.70",1.51,104.00,"106,722.80"
7,2026-08-07,"1,040.00","1,040.00","1,040.00","1,040.00",0.0,25.00,"26,000.00"
8,2026-08-06,"1,040.00","1,040.00","1,040.00","1,040.00",-0.95,25.00,"26,000.00"
9,2026-08-03,"1,025.00","1,050.00","1,025.00","1,050.00",-0.57,550.00,"565,770.00"
10,2026-07-31,"1,056.00","1,056.00","1,056.00","1,056.00",0.0,25.00,"26,400.00"
11,2026-07-29,"1,056.00","1,056.00","1,056.00","1,056.00",-2.31,10.00,"10,560.00"
12,2026-07-28,"1,081.00","1,081.00","1,081.00","1,081.00",0.09,"7,850.00","8,485,850.00"
13,2026-07-27,"1,080.00","1,099.40","1,080.00","1,080.00",0.19,550.00,"598,850.00"
14,2026-07-24,"1,056.00","1,078.00","1,056.00","1,078.00",2.08,82.00,"87,076.00"
15,2026-07-23,"1,088.00","1,088.00","1,056.00","1,056.00",-0.09,125.00,"135,200.00"
16,2026-07-21,"1,107.80","1,107.80","1,057.00","1,057.00",-7.44,"38,810.00","41,034,464.00"
17,2026-07-14,"1,135.00","1,142.00","1,130.00","1,142.00",0.18,"3,175.00","3,599,110.00"
18,2026-07-13,"1,075.00","1,140.00","1,049.00","1,140.00",4.56,"81,874.00","86,139,058.50"
19,2026-07-10,"1,090.30","1,090.30","1,090.30","1,090.30",-3.0,25.00,"27,257.50"
20,2026-07-09,"1,153.00","1,153.00","1,153.00","1,124.00",-2.52,2.00,"2,248.00"
21,2026-07-02,"1,122.70","1,122.70","1,122.70","1,153.00",2.7,2.00,"2,306.00"
22,2026-07-01,"1,073.00","1,090.00","1,070.00","1,122.70",5.92,"8,944.00","9,601,018.90"
23,2026-06-30,"1,090.00","1,090.00","1,090.00","1,060.00",-2.75,27.00,"29,370.00"
