S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-07-29,"1,160.70","1,160.70","1,160.70","1,160.70",0.06,"1,000.00","1,160,700.00"
2,2026-07-28,"1,160.00","1,160.00","1,160.00","1,160.00",0.09,"9,501.00","11,021,160.00"
3,2026-07-27,"1,165.00","1,165.00","1,160.70","1,159.00",2.29,"2,503.00","2,905,350.00"
4,2026-07-24,"1,100.00","1,100.00","1,100.00","1,133.00",3.0,1.00,"1,133.00"
5,2026-07-23,"1,096.90","1,100.00","1,096.90","1,100.00",3.29,"10,000.00","10,999,969.00"
6,2026-07-22,"1,115.00","1,115.00","1,115.00","1,065.00",-4.48,5.00,"5,325.00"
7,2026-07-20,"1,130.10","1,130.10","1,115.00","1,115.00",-4.29,"11,100.00","12,376,651.00"
8,2026-07-17,"1,165.00","1,165.00","1,165.00","1,165.00",2.19,40.00,"46,600.00"
9,2026-07-16,"1,140.00","1,140.00","1,140.00","1,140.00",-2.56,142.00,"161,880.00"
10,2026-07-15,"1,170.00","1,170.00","1,170.00","1,170.00",2.81,20.00,"23,400.00"
11,2026-07-14,"1,138.00","1,138.00","1,138.00","1,138.00",2.99,50.00,"56,900.00"
12,2026-07-10,"1,105.10","1,105.10","1,100.30","1,105.00",-0.63,"16,800.00","18,531,391.50"
13,2026-07-09,"1,120.10","1,120.10","1,112.00","1,112.00",-2.03,"20,700.00","23,178,559.00"
14,2026-06-29,"1,135.00","1,135.00","1,135.00","1,135.00",-2.99,32.00,"36,320.00"
15,2026-06-22,"1,170.00","1,170.00","1,170.00","1,170.00",-1.42,"247,164.00","289,181,880.00"
16,2026-06-17,"1,184.00","1,186.90","1,184.00","1,186.90",2.43,150.00,"177,862.50"
17,2026-06-15,"1,106.10","1,158.70","1,090.00","1,158.70",3.18,"247,986.00","270,458,382.90"
18,2026-06-11,"1,152.40","1,152.40","1,152.40","1,123.00",-5.47,30.00,"34,427.00"
19,2026-06-10,"1,185.00","1,188.00","1,185.00","1,188.00",0.51,50.00,"59,355.00"
20,2026-06-09,"1,182.00","1,182.00","1,175.00","1,182.00",2.78,"264,820.00","312,906,525.00"
21,2026-06-05,"1,115.40","1,150.00","1,085.00","1,150.00",6.19,"173,120.00","188,620,553.00"
22,2026-06-03,"1,130.00","1,130.00","1,083.00","1,083.00",-3.56,"92,326.00","99,994,404.90"
23,2026-06-01,"1,123.00","1,123.00","1,123.00","1,123.00",1.81,25.00,"28,075.00"
24,2026-05-27,"1,127.00","1,127.00","1,103.00","1,103.00",-2.03,425.00,"470,322.50"
25,2026-05-18,"1,125.90","1,125.90","1,125.90","1,125.90",0.08,15.00,"16,888.50"
26,2026-05-15,"1,125.00","1,125.00","1,125.00","1,125.00",0.18,10.00,"11,250.00"
27,2026-05-04,"1,123.00","1,123.00","1,123.00","1,123.00",-1.84,25.00,"28,075.00"
28,2026-04-15,"1,144.00","1,144.00","1,144.00","1,144.00",-1.93,25.00,"28,600.00"
29,2026-04-09,"1,166.50","1,166.50","1,166.50","1,166.50",-2.0,25.00,"29,162.50"
30,2026-03-17,"1,180.00","1,190.30","1,180.00","1,190.30",2.0,90.00,"106,604.50"
31,2026-03-15,"1,167.00","1,167.00","1,167.00","1,167.00",1.48,187.00,"218,229.00"
32,2026-02-26,"1,150.00","1,150.00","1,150.00","1,150.00",1.32,100.00,"115,000.00"
33,2026-02-22,"1,135.00","1,135.00","1,135.00","1,135.00",-1.73,50.00,"56,750.00"
34,2026-02-09,"1,155.00","1,155.00","1,155.00","1,155.00",0.43,84.00,"97,020.00"
35,2026-01-29,"1,150.00","1,150.00","1,150.00","1,150.00",-1.71,35.00,"40,250.00"
36,2026-01-13,"1,180.00","1,180.00","1,170.00","1,170.00",-0.85,89.00,"104,130.00"
37,2026-01-12,"1,180.00","1,180.00","1,180.00","1,180.00",-1.99,291.00,"343,380.00"
38,2026-01-08,"1,186.30","1,204.00","1,186.30","1,204.00",3.52,30.00,"35,766.00"
39,2026-01-01,"1,164.00","1,164.00","1,164.00","1,163.10",-1.68,12.00,"13,967.10"
40,2025-12-29,"1,149.00","1,183.00","1,149.00","1,183.00",2.96,54.00,"63,135.10"
41,2025-12-28,"1,135.00","1,135.00","1,135.00","1,149.00",1.23,1.00,"1,149.00"
42,2025-12-18,"1,159.70","1,206.30","1,159.70","1,135.00",-0.18,209.00,"248,282.20"
43,2025-12-15,"1,137.00","1,137.00","1,137.00","1,137.00",-0.82,25.00,"28,425.00"
44,2025-12-09,"1,146.40","1,146.40","1,146.40","1,146.40",0.02,50.00,"57,320.00"
45,2025-12-08,"1,146.20","1,146.20","1,146.20","1,146.20",1.25,25.00,"28,655.00"
46,2025-11-30,"1,132.00","1,132.00","1,132.00","1,132.00",0.79,39.00,"44,148.00"
47,2025-11-23,"1,123.10","1,123.10","1,123.10","1,123.10",-0.71,25.00,"28,077.50"
48,2025-11-19,"1,150.10","1,150.10","1,150.10","1,131.10",-1.65,1.00,"1,131.10"
49,2025-11-17,"1,150.10","1,150.10","1,150.10","1,150.10",-1.7,25.00,"28,752.50"
50,2025-11-04,"1,170.00","1,170.00","1,170.00","1,170.00",0.26,85.00,"99,450.00"
51,2025-11-03,"1,130.00","1,167.00","1,130.00","1,167.00",3.27,120.00,"140,024.60"
52,2025-11-02,"1,130.00","1,130.00","1,130.00","1,130.00",0.79,15.00,"16,950.00"
53,2025-10-30,"1,121.10","1,121.10","1,121.10","1,121.10",-0.96,10.00,"11,211.00"
54,2025-10-16,"1,130.00","1,132.00","1,130.00","1,132.00",-1.68,60.00,"67,900.00"
55,2025-10-08,"1,175.00","1,175.00","1,151.40","1,151.40",-2.01,15.00,"17,388.00"
56,2025-09-24,"1,138.30","1,175.00","1,138.30","1,175.00",5.29,40.00,"46,126.00"
57,2025-09-21,"1,116.00","1,116.00","1,116.00","1,116.00",1.92,75.00,"83,700.00"
58,2025-08-21,"1,095.00","1,095.00","1,095.00","1,095.00",1.08,25.00,"27,375.00"
59,2025-08-20,"1,083.30","1,083.30","1,083.30","1,083.30",0.03,25.00,"27,082.50"
60,2025-08-14,"1,083.00","1,083.00","1,083.00","1,083.00",0.0,25.00,"27,075.00"
61,2025-08-06,"1,078.60","1,083.00","1,078.60","1,083.00",0.08,125.00,"135,265.00"
62,2025-08-03,"1,082.10","1,082.10","1,082.10","1,082.10",0.1,25.00,"27,052.50"
63,2025-07-30,"1,081.00","1,081.00","1,081.00","1,081.00",0.0,25.00,"27,025.00"
64,2025-07-29,"1,081.00","1,081.00","1,081.00","1,081.00",-1.73,10.00,"10,810.00"
65,2025-07-27,"1,100.00","1,100.00","1,100.00","1,100.00",-0.86,15.00,"16,500.00"
66,2025-07-15,"1,109.50","1,109.50","1,109.50","1,109.50",-0.05,25.00,"27,737.50"
67,2025-07-13,"1,110.00","1,110.00","1,110.00","1,110.00",-1.85,25.00,"27,750.00"
68,2025-06-18,"1,108.80","1,108.80","1,108.80","1,130.90",1.99,12.00,"13,327.70"
69,2025-06-15,"1,109.50","1,109.50","1,108.80","1,108.80",-0.41,39.00,"43,260.70"
70,2025-05-27,"1,113.20","1,113.20","1,113.20","1,113.40",0.02,1.00,"1,113.40"
71,2025-05-26,"1,113.50","1,113.50","1,113.50","1,113.20",-0.34,30.00,"33,403.50"
72,2025-05-21,"1,117.40","1,117.40","1,117.40","1,117.00",-0.04,1.00,"1,117.00"
73,2025-05-15,"1,117.00","1,117.00","1,117.00","1,117.40",0.04,2.00,"2,234.80"
74,2025-05-14,"1,118.30","1,118.30","1,118.30","1,117.00",-0.12,6.00,"6,702.00"
