S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-25,"1,025.00","1,025.00","1,025.00","1,025.00",-2.38,25.00,"25,625.00"
2,2026-08-20,"1,050.00","1,050.00","1,050.00","1,050.00",-2.2,25.00,"26,250.00"
3,2026-08-19,"1,072.00","1,072.00","1,072.00","1,073.60",1.09,36.00,"38,609.60"
4,2026-08-18,"1,055.00","1,064.00","1,051.00","1,062.00",2.91,555.00,"589,805.00"
5,2026-08-11,"1,022.30","1,032.00","1,022.30","1,032.00",-1.62,50.00,"51,357.50"
6,2026-08-10,"1,048.00","1,049.00","1,048.00","1,049.00",-0.1,54.00,"56,617.00"
7,2026-08-05,"1,050.00","1,050.00","1,050.00","1,050.00",1.84,25.00,"26,250.00"
8,2026-08-03,"1,031.00","1,031.00","1,031.00","1,031.00",-1.25,50.00,"51,550.00"
9,2026-07-31,"1,044.10","1,044.10","1,044.10","1,044.10",-0.38,25.00,"26,102.50"
10,2026-07-29,"1,041.00","1,048.10","1,041.00","1,048.10",-0.65,45.00,"47,022.50"
11,2026-07-27,"1,033.10","1,055.00","1,033.10","1,055.00",0.96,300.00,"315,580.00"
12,2026-07-22,"1,025.70","1,056.40","1,025.70","1,045.00",-1.16,430.00,"450,900.30"
13,2026-07-21,"1,057.30","1,057.30","1,057.30","1,057.30",-3.0,20.00,"21,146.00"
14,2026-07-16,"1,090.00","1,090.00","1,090.00","1,090.00",-1.45,"49,040.00","53,453,600.00"
15,2026-07-14,"1,074.00","1,106.00","1,074.00","1,106.00",2.98,"98,598.00","105,906,335.50"
16,2026-07-10,"1,060.10","1,074.00","1,060.10","1,074.00",0.37,200.00,"214,290.00"
17,2026-07-09,"1,070.00","1,070.00","1,070.00","1,070.00",0.0,40.00,"42,800.00"
18,2026-07-08,"1,070.00","1,070.00","1,070.00","1,070.00",1.32,120.00,"128,400.00"
19,2026-07-07,"1,055.10","1,056.10","1,055.10","1,056.10",-0.84,50.00,"52,780.00"
20,2026-07-06,"1,065.10","1,065.10","1,065.10","1,065.10",1.24,25.00,"26,627.50"
21,2026-07-03,"1,052.10","1,052.10","1,052.10","1,052.10",-1.67,25.00,"26,302.50"
22,2026-07-02,"1,060.00","1,070.00","1,060.00","1,070.00",0.28,210.00,"224,450.00"
