S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-18,"1,030.00","1,030.00","1,030.00","1,030.00",1.98,25.00,"25,750.00"
2,2026-08-11,"1,010.00","1,010.00","1,010.00","1,010.00",-2.23,50.0,"50,500.00"
3,2026-08-03,"1,033.00","1,033.00","1,033.00","1,033.00",-0.02,30.0,"30,990.00"
4,2026-07-27,"1,033.20","1,033.20","1,033.20","1,033.20",-2.99,25.0,"25,830.00"
5,2026-07-15,"1,065.00","1,065.00","1,065.00","1,065.00",0.0,25.0,"26,625.00"
6,2026-07-14,"1,050.00","1,065.00","1,050.00","1,065.00",1.43,35.0,"36,900.00"
7,2026-07-08,"1,050.00","1,050.00","1,050.00","1,050.00",-1.41,45.0,"47,250.00"
8,2026-07-03,"1,065.00","1,065.00","1,065.00","1,065.00",0.0,30.0,"31,950.00"
9,2026-06-30,"1,065.00","1,065.00","1,065.00","1,065.00",0.0,40.0,"42,600.00"
10,2026-06-29,"1,065.00","1,065.00","1,065.00","1,065.00",0.0,200.0,"213,000.00"
11,2026-06-23,"1,065.00","1,065.00","1,065.00","1,065.00",0.47,25.0,"26,625.00"
12,2026-06-18,"1,065.00","1,065.00","1,060.00","1,060.00",1.82,50.0,"53,125.00"
13,2026-06-16,"1,040.10","1,041.10","1,040.00","1,041.10",-2.79,35.0,"36,412.50"
14,2026-06-05,"1,040.20","1,071.00","1,040.20","1,071.00",0.56,60.0,"62,727.50"
15,2026-06-04,"1,061.00","1,065.00","1,061.00","1,065.00",2.07,20.0,"21,260.00"
16,2026-06-03,"1,043.40","1,043.40","1,043.40","1,043.40",-2.67,10.0,"10,434.00"
17,2026-06-02,"1,045.00","1,072.80","1,045.00","1,072.00",2.91,100.0,"106,565.00"
18,2026-06-01,"1,041.80","1,041.80","1,041.70","1,041.70",-2.58,50.0,"52,086.00"
19,2026-05-21,"1,069.30","1,069.30","1,069.30","1,069.30",3.0,71.0,"75,920.30"
20,2026-05-19,"1,038.20","1,038.20","1,038.20","1,038.20",-0.37,25.0,"25,955.00"
21,2026-05-18,"1,067.00","1,067.00","1,040.00","1,042.10",-5.26,81.0,"85,103.50"
22,2026-05-15,"1,100.00","1,100.00","1,100.00","1,100.00",-2.48,20.0,"22,000.00"
23,2025-12-15,"1,128.00","1,128.00","1,128.00","1,128.00",0.36,451.0,"508,728.00"
24,2025-12-08,"1,102.00","1,102.00","1,102.00","1,124.00",2.0,1.0,"1,124.00"
25,2025-12-07,"1,102.00","1,102.00","1,102.00","1,102.00",-1.92,25.0,"27,550.00"
26,2025-12-03,"1,099.90","1,123.60","1,099.90","1,123.60",4.04,401.0,"446,537.60"
27,2025-12-02,"1,080.00","1,080.00","1,080.00","1,080.00",1.32,26.0,"28,080.00"
28,2025-11-30,"1,041.00","1,065.90","1,035.30","1,065.90",2.39,105.0,"109,855.50"
29,2025-11-27,"1,040.80","1,041.00","1,040.80","1,041.00",-1.98,50.0,"52,045.00"
30,2025-11-24,"1,042.00","1,062.00","1,042.00","1,062.00",0.19,50.0,"52,600.00"
31,2025-11-20,"1,044.10","1,060.00","1,044.10","1,060.00",-0.19,50.0,"52,602.50"
32,2025-11-19,"1,046.00","1,062.00","1,046.00","1,062.00",-0.28,49.0,"51,638.00"
33,2025-11-18,"1,065.00","1,065.00","1,065.00","1,065.00",0.47,25.0,"26,625.00"
34,2025-11-17,"1,060.00","1,060.00","1,060.00","1,060.00",0.19,77.0,"81,620.00"
35,2025-11-13,"1,055.00","1,055.00","1,055.00","1,058.00",1.53,26.0,"27,433.00"
36,2025-11-11,"1,045.00","1,045.00","1,042.10","1,042.10",-0.28,55.0,"57,388.00"
37,2025-11-05,"1,045.00","1,045.00","1,045.00","1,045.00",0.0,26.0,"27,170.00"
38,2025-11-03,"1,045.00","1,045.00","1,045.00","1,045.00",0.76,25.0,"26,125.00"
39,2025-10-29,"1,035.00","1,037.10","1,035.00","1,037.10",-1.23,50.0,"51,802.50"
40,2025-10-28,"1,050.00","1,050.00","1,050.00","1,050.00",0.0,15.0,"15,750.00"
41,2025-10-19,"1,050.00","1,050.00","1,050.00","1,050.00",1.92,25.0,"26,250.00"
42,2025-10-14,"1,030.20","1,030.20","1,030.20","1,030.20",2.0,25.0,"25,755.00"
43,2025-09-23,"1,010.00","1,010.00","1,010.00","1,010.00",-1.94,30.0,"30,300.00"
44,2025-08-28,"1,030.00","1,030.00","1,030.00","1,030.00",0.98,25.0,"25,750.00"
45,2025-08-27,"1,020.00","1,020.00","1,020.00","1,020.00",-0.97,46.0,"46,920.00"
46,2025-08-26,"1,030.00","1,050.00","1,030.00","1,030.00",-1.98,724.0,"746,720.00"
47,2025-08-25,"1,010.00","1,050.80","1,010.00","1,050.80",4.06,100.0,"103,341.00"
48,2025-08-24,"1,009.00","1,009.80","1,009.00","1,009.80",2.0,40.0,"40,380.00"
49,2025-08-13,990.00,990.00,990.00,990.00,-1.0,50.0,"49,500.00"
50,2025-08-05,"1,000.00","1,000.00","1,000.00","1,000.00",-1.17,15.0,"15,000.00"
51,2025-07-23,"1,000.00","1,011.80","1,000.00","1,011.80",1.18,81.0,"81,263.80"
52,2025-07-20,"1,000.00","1,000.00","1,000.00","1,000.00",0.81,45.0,"45,000.00"
53,2025-07-17,994.70,995.00,980.00,992.00,-2.27,256.0,"254,305.70"
54,2025-07-16,"1,015.00","1,015.00","1,015.00","1,015.00",1.5,59.0,"59,885.00"
55,2025-07-15,"1,020.00","1,020.00","1,000.00","1,000.00",-0.01,57.0,"57,345.00"
56,2025-07-07,"1,000.10","1,000.10","1,000.10","1,000.10",0.01,25.0,"25,002.50"
57,2025-06-26,"1,000.00","1,000.00","1,000.00","1,000.00",1.51,45.0,"45,000.00"
58,2025-06-23,985.10,985.10,985.10,985.10,-1.59,25.0,"24,627.50"
59,2025-06-18,"1,001.00","1,001.00","1,001.00","1,001.00",-1.86,25.0,"25,025.00"
60,2025-06-12,"1,020.00","1,020.00","1,020.00","1,020.00",2.0,25.0,"25,500.00"
61,2025-06-04,"1,000.00","1,000.00","1,000.00","1,000.00",-1.86,25.0,"25,000.00"
62,2025-06-02,"1,019.00","1,019.00","1,019.00","1,019.00",1.94,105.0,"106,995.00"
63,2025-05-20,999.60,999.60,999.60,999.60,-0.34,25.0,"24,990.00"
64,2025-05-14,"1,003.00","1,003.00","1,003.00","1,003.00",1.99,50.0,"50,150.00"
65,2025-05-13,983.40,983.40,983.40,983.40,-1.76,100.0,"98,340.00"
66,2025-05-11,"1,001.00","1,001.00","1,001.00","1,001.00",0.1,30.0,"30,030.00"
67,2025-05-08,"1,000.00","1,000.00","1,000.00","1,000.00",0.82,25.0,"25,000.00"
68,2025-05-05,972.50,972.50,972.50,991.90,1.99,1.0,991.90
69,2025-04-27,972.50,972.50,972.50,972.50,-1.52,50.0,"48,625.00"
70,2025-04-22,987.50,987.50,987.50,987.50,1.99,25.0,"24,687.50"
71,2025-04-21,968.20,968.20,968.20,968.20,-1.0,25.0,"24,205.00"
72,2025-04-16,978.00,978.00,978.00,978.00,-0.11,25.0,"24,450.00"
73,2025-04-09,979.10,979.10,979.10,979.10,-1.05,25.0,"24,477.50"
74,2025-04-07,970.10,970.10,970.10,989.50,2.0,1.0,989.50
75,2025-04-02,975.00,975.00,970.10,970.10,0.01,115.0,"111,806.50"
76,2025-03-30,970.10,970.10,970.00,970.00,0.52,85.0,"82,451.00"
77,2025-03-24,965.00,965.00,965.00,965.00,1.05,25.0,"24,125.00"
78,2025-02-23,955.00,955.00,955.00,955.00,0.0,25.0,"23,875.00"
79,2025-02-16,955.00,955.00,955.00,955.00,0.0,30.0,"28,650.00"
80,2025-01-28,955.00,955.00,955.00,955.00,-0.52,25.0,"23,875.00"
81,2025-01-26,960.00,960.00,960.00,960.00,0.0,25.0,"24,000.00"
82,2025-01-20,960.00,960.00,960.00,960.00,-1.54,25.0,"24,000.00"
83,2025-01-19,980.00,980.00,975.00,975.00,-2.5,590.0,"575,775.00"
84,2025-01-12,"1,000.00","1,000.00","1,000.00","1,000.00",-0.89,50.0,"50,000.00"
85,2025-01-06,"1,009.00","1,009.00","1,009.00","1,009.00",-0.1,25.0,"25,225.00"
86,2025-01-05,"1,010.00","1,010.00","1,010.00","1,010.00",-1.46,10.0,"10,100.00"
87,2025-01-01,"1,025.00","1,025.00","1,025.00","1,025.00",1.99,25.0,"25,625.00"
88,2024-12-22,"1,005.00","1,005.00","1,005.00","1,005.00",0.1,25.0,"25,125.00"
89,2024-12-17,"1,004.00","1,004.00","1,004.00","1,004.00",-0.01,25.0,"25,100.00"
90,2024-12-11,"1,004.10","1,004.10","1,004.10","1,004.10",1.94,25.0,"25,102.50"
91,2024-12-05,985.00,985.00,985.00,985.00,0.0,30.0,"29,550.00"
92,2024-12-02,985.00,985.00,985.00,985.00,-0.96,30.0,"29,550.00"
93,2024-11-24,975.00,994.50,975.00,994.50,1.48,60.0,"59,182.50"
94,2024-11-14,980.00,980.00,980.00,980.00,0.0,50.0,"49,000.00"
95,2024-11-10,980.00,980.00,980.00,980.00,0.0,25.0,"24,500.00"
96,2024-10-29,980.00,980.00,980.00,980.00,-1.95,10.0,"9,800.00"
97,2024-10-17,999.50,999.50,999.50,999.50,1.99,30.0,"29,985.00"
98,2024-10-16,980.00,980.00,980.00,980.00,-0.51,25.0,"24,500.00"
99,2024-10-15,985.00,985.00,985.00,985.00,0.0,25.0,"24,625.00"
100,2024-10-09,985.00,985.00,985.00,985.00,0.51,10.0,"9,850.00"
101,2024-10-06,980.00,980.00,980.00,980.00,-2.0,25.0,"24,500.00"
102,2024-10-02,979.00,"1,000.00",979.00,"1,000.00",4.18,120.0,"118,770.00"
103,2024-10-01,941.40,941.40,941.10,941.10,1.96,55.0,"51,862.00"
104,2024-09-26,924.00,924.00,923.00,923.00,-1.7,50.0,"46,175.00"
105,2024-09-23,939.00,939.00,939.00,939.00,0.01,25.0,"23,475.00"
106,2024-09-22,938.90,938.90,938.90,938.90,2.0,50.0,"46,945.00"
107,2024-09-11,920.50,920.50,920.50,920.50,-0.01,25.0,"23,012.50"
108,2024-09-08,920.60,920.60,920.60,920.60,-1.98,25.0,"23,015.00"
109,2024-09-03,939.00,940.00,939.00,939.20,0.6,75.0,"70,443.00"
110,2024-08-25,952.60,952.60,933.60,933.60,-3.95,530.0,"497,278.00"
111,2024-08-22,934.90,972.00,934.90,972.00,5.57,190.0,"180,487.50"
112,2024-08-21,885.10,920.70,885.10,920.70,4.03,340.0,"303,183.00"
113,2024-08-13,885.00,885.00,885.00,885.00,-1.67,25.0,"22,125.00"
114,2024-08-12,885.00,900.00,885.00,900.00,1.69,75.0,"67,125.00"
115,2024-08-11,879.50,885.00,879.50,885.00,-0.72,85.0,"75,000.00"
116,2024-08-08,891.40,891.40,891.40,891.40,1.99,75.0,"66,855.00"
117,2024-08-07,890.20,890.20,874.00,874.00,-1.81,50.0,"44,105.00"
118,2024-08-05,890.10,890.10,890.10,890.10,-1.75,100.0,"89,010.00"
119,2024-08-01,906.00,906.00,906.00,906.00,0.0,125.0,"113,250.00"
120,2024-07-31,906.00,906.00,906.00,906.00,0.0,100.0,"90,600.00"
121,2024-07-30,906.00,906.00,906.00,906.00,0.0,20.0,"18,120.00"
122,2024-07-29,900.00,906.00,900.00,906.00,0.11,100.0,"90,300.00"
123,2024-07-28,908.00,908.00,905.00,905.00,-0.31,75.0,"68,025.00"
124,2024-07-25,887.00,907.80,887.00,907.80,4.24,140.0,"125,567.00"
125,2024-07-21,870.90,870.90,870.90,870.90,-1.99,25.0,"21,772.50"
126,2024-07-11,900.00,900.00,888.60,888.60,-1.38,25.0,"22,329.00"
127,2024-07-10,901.00,901.00,901.00,901.00,0.11,50.0,"45,050.00"
128,2024-07-09,900.00,900.00,900.00,900.00,0.0,15.0,"13,500.00"
129,2024-07-08,900.00,900.00,900.00,900.00,0.56,25.0,"22,500.00"
130,2024-07-04,895.00,895.00,895.00,895.00,-1.65,25.0,"22,375.00"
131,2024-07-03,910.00,910.00,910.00,910.00,-0.12,25.0,"22,750.00"
132,2024-07-01,911.10,911.10,911.10,911.10,0.01,25.0,"22,777.50"
133,2024-06-30,911.00,911.00,911.00,911.00,0.11,100.0,"91,100.00"
134,2024-06-26,910.00,910.00,910.00,910.00,-0.55,25.0,"22,750.00"
135,2024-06-25,915.00,915.00,915.00,915.00,0.77,25.0,"22,875.00"
136,2024-06-23,908.00,908.00,908.00,908.00,0.0,25.0,"22,700.00"
137,2024-06-19,915.00,917.00,908.00,908.00,-0.09,110.0,"100,605.00"
138,2024-06-18,908.00,908.80,908.00,908.80,2.0,65.0,"59,050.00"
139,2024-06-16,891.00,891.00,891.00,891.00,-0.89,25.0,"22,275.00"
140,2024-06-09,899.00,899.00,899.00,899.00,1.92,25.0,"22,475.00"
141,2024-06-06,881.10,882.10,881.10,882.10,-0.33,75.0,"66,107.50"
142,2024-06-04,885.00,885.00,885.00,885.00,-1.51,25.0,"22,125.00"
143,2024-06-03,898.60,898.60,898.60,898.60,2.0,25.0,"22,465.00"
144,2024-05-27,881.00,881.00,881.00,881.00,-1.86,25.0,"22,025.00"
145,2024-05-20,880.10,897.70,880.10,897.70,3.05,70.0,"62,394.00"
146,2024-05-15,871.10,871.10,871.10,871.10,-0.67,30.0,"26,133.00"
147,2024-05-13,880.00,880.00,877.00,877.00,-1.42,80.0,"70,255.50"
148,2024-05-12,889.60,889.60,889.60,889.60,1.99,20.0,"17,792.00"
149,2024-05-07,872.20,872.20,872.20,872.20,-0.23,10.0,"8,722.00"
150,2024-04-25,874.20,874.20,874.20,874.20,0.41,25.0,"21,855.00"
151,2024-04-22,869.60,870.60,857.00,870.60,0.3,100.0,"86,607.50"
152,2024-04-21,875.00,875.00,868.00,868.00,-0.81,55.0,"47,950.00"
153,2024-04-18,875.00,875.10,874.00,875.10,-0.56,130.0,"113,703.00"
154,2024-04-16,900.00,900.00,880.00,880.00,-3.83,100.0,"89,168.50"
155,2024-04-15,965.30,965.30,915.00,915.00,-7.11,50.0,"46,839.00"
156,2024-04-14,980.00,985.00,980.00,985.00,-1.5,50.0,"49,100.00"
157,2023-03-15,"1,000.00","1,000.00","1,000.00","1,000.00",0.0,100.0,"100,000.00"
