S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-23,920.00,923.00,920.00,923.00,-0.65,50.00,"46,075.00"
2,2026-09-22,911.10,929.00,911.1,929.0,-0.11,75.0,"68,789.90"
3,2026-09-18,930.00,930.00,930.0,930.0,-0.43,50.0,"46,500.00"
4,2026-09-17,934.00,934.00,930.0,934.0,2.91,75.0,"69,950.00"
5,2026-09-14,907.60,907.60,907.6,907.6,0.0,25.0,"22,690.00"
6,2026-09-10,920.00,930.00,907.6,907.6,0.5,75.0,"68,940.00"
7,2026-09-09,903.10,903.10,903.1,903.1,-2.89,25.0,"22,577.50"
8,2026-09-07,909.00,930.00,909.0,930.0,2.31,75.0,"69,225.00"
9,2026-09-03,915.00,915.00,907.1,909.0,-3.4,80.0,"72,852.50"
10,2026-09-02,970.00,970.00,941.0,941.0,-5.81,50.0,"47,775.00"
11,2026-09-01,951.60,999.00,930.0,999.0,1.83,770.0,"760,585.00"
12,2026-08-31,986.00,986.00,980.0,981.0,-0.91,100.0,"98,300.00"
13,2026-08-27,963.00,990.00,963.0,990.0,-0.08,35.0,"33,975.00"
14,2026-08-26,962.00,990.80,962.0,990.8,0.08,125.0,"121,690.00"
15,2026-08-25,962.00,990.00,962.0,990.0,2.91,50.0,"48,800.00"
16,2026-08-24,"1,000.00","1,000.00",932.0,962.0,0.0,585.0,"573,814.00"
