S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-24,"1,068.00","1,068.00","1,052.00","1,065.00",-0.28,"1,735.00","1,836,927.50"
2,2026-09-23,"1,069.80","1,117.00","1,033.30","1,068.00",-0.17,"67,448.00","74,637,200.20"
3,2026-09-22,996.00,"1,069.90",996.00,"1,069.80",2.08,"5,705.00","5,996,206.70"
4,2026-09-18,"1,028.00","1,072.00","1,028.00","1,048.00",0.67,"8,453.00","8,976,401.00"
5,2026-09-17,"1,036.00","1,067.00","1,036.00","1,041.00",0.48,"13,707.00","14,453,993.30"
6,2026-09-16,"1,020.00","1,042.90","1,020.00","1,036.00",-0.38,"3,501.00","3,623,188.00"
7,2026-09-15,"1,025.00","1,042.00","1,025.00","1,040.00",0.19,"3,215.00","3,335,689.50"
8,2026-09-14,"1,010.00","1,053.00","1,010.00","1,038.00",1.17,"6,899.00","7,200,666.40"
9,2026-09-11,"1,026.00","1,031.00","1,020.00","1,026.00",0.0,"7,429.00","7,628,139.80"
10,2026-09-10,"1,000.00","1,035.00","1,000.00","1,026.00",2.6,"9,717.00","9,985,362.70"
