S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-18,"1,053.00","1,053.00","1,053.00","1,053.00",0.00,299.00,"314,847.00"
2,2026-08-14,"1,053.00","1,053.00","1,053.00","1,053.00",0.0,25.00,"26,325.00"
3,2026-08-11,994.10,"1,053.00",994.10,"1,053.00",5.92,52.00,"54,726.90"
4,2026-08-10,"1,024.40","1,024.40",994.10,994.10,-5.86,26.00,"26,149.60"
5,2026-08-05,"1,055.90","1,056.00","1,055.90","1,056.00",2.85,50.00,"52,797.50"
6,2026-08-04,"1,043.00","1,043.00","1,022.30","1,026.70",-4.49,150.00,"155,525.00"
7,2026-07-24,"1,059.00","1,075.00","1,059.00","1,075.00",2.38,535.00,"570,790.00"
8,2026-07-22,"1,050.00","1,063.00","1,050.00","1,050.00",1.73,765.00,"810,470.00"
9,2026-07-21,"1,032.00","1,050.00","1,022.00","1,032.10",0.01,826.00,"855,243.30"
10,2026-07-20,"1,050.60","1,050.60","1,032.00","1,032.00",-4.71,200.00,"209,934.00"
11,2026-07-16,"1,083.00","1,083.00","1,083.00","1,083.00",1.21,"24,176.00","26,182,608.00"
12,2026-07-15,"1,065.00","1,128.90","1,055.00","1,070.00",0.47,"312,949.00","332,043,883.40"
13,2026-07-14,"1,060.00","1,115.00","1,060.00","1,065.00",0.47,"147,008.00","160,345,185.90"
14,2026-07-10,"1,062.00","1,062.60","1,060.00","1,060.00",-0.09,"48,377.00","51,280,677.50"
15,2026-07-08,"1,083.00","1,083.00","1,062.00","1,061.00",-2.44,131.00,"141,238.00"
16,2026-07-02,"1,055.50","1,087.50","1,055.50","1,087.50",2.97,616.00,"664,888.00"
17,2026-07-01,"1,056.10","1,056.10","1,056.10","1,056.10",-0.3,25.00,"26,402.50"
18,2026-06-29,"1,072.20","1,072.20","1,052.10","1,059.30",-1.0,81.00,"85,922.70"
19,2026-06-23,"1,065.00","1,070.00","1,065.00","1,070.00",0.8,503.00,"536,692.30"
20,2026-06-22,"1,061.50","1,061.50","1,061.50","1,061.50",-1.91,100.00,"106,150.00"
21,2026-06-19,"1,082.20","1,082.20","1,082.20","1,082.20",1.62,"29,011.00","31,395,704.20"
22,2026-06-16,"1,079.90","1,100.10","1,065.00","1,065.00",0.0,"61,422.00","66,728,510.50"
23,2026-06-15,"1,040.60","1,065.00","1,040.60","1,065.00",0.65,150.00,"157,085.00"
24,2026-06-12,"1,058.10","1,058.10","1,058.10","1,058.10",0.08,25.00,"26,452.50"
25,2026-06-11,"1,060.00","1,060.00","1,057.30","1,057.30",0.5,200.00,"211,527.50"
26,2026-06-10,"1,072.60","1,077.00","1,052.00","1,052.00",-1.69,"60,866.00","64,047,353.10"
27,2026-06-09,"1,070.10","1,070.10","1,070.10","1,070.10",0.01,25.00,"26,752.50"
28,2026-06-08,"1,070.00","1,070.00","1,070.00","1,070.00",-0.47,25.00,"26,750.00"
29,2026-06-05,"1,069.30","1,075.00","1,069.30","1,075.00",0.53,28.00,"30,010.30"
30,2026-06-04,"1,065.60","1,075.70","1,065.60","1,069.30",-1.45,"24,226.00","26,059,495.70"
31,2026-06-03,"1,070.00","1,085.00","1,070.00","1,085.00",1.4,77.00,"83,140.00"
32,2026-05-25,"1,056.70","1,070.00","1,056.70","1,070.00",-1.41,75.00,"79,842.50"
33,2026-05-22,"1,085.30","1,085.30","1,085.30","1,085.30",3.0,25.00,"27,132.50"
34,2026-05-20,"1,053.70","1,053.70","1,053.70","1,053.70",-2.43,25.00,"26,342.50"
35,2026-05-19,"1,070.00","1,079.90","1,053.40","1,079.90",0.93,96.00,"102,265.40"
36,2026-05-18,"1,070.00","1,070.00","1,070.00","1,070.00",-0.47,75.00,"80,250.00"
37,2026-05-15,"1,075.00","1,075.00","1,075.00","1,075.00",1.78,45.00,"48,375.00"
38,2026-05-12,"1,060.10","1,157.00","1,041.20","1,056.20",-0.37,79.00,"85,565.30"
39,2026-05-08,"1,040.50","1,060.10","1,040.50","1,060.10",0.2,105.00,"110,750.00"
40,2026-05-07,"1,123.50","1,123.50","1,123.50","1,058.00",-5.83,2.00,"2,147.80"
41,2026-05-05,"1,070.00","1,070.00","1,070.00","1,123.50",5.0,1.00,"1,123.50"
42,2026-04-30,"1,070.00","1,070.00","1,070.00","1,070.00",1.33,50.00,"53,500.00"
43,2026-04-29,"1,078.00","1,078.00","1,078.00","1,056.00",-2.04,2.00,"2,112.00"
44,2026-04-27,"1,057.10","1,113.00","1,080.00","1,078.00",1.98,366.00,"400,290.00"
45,2026-04-24,"1,057.00","1,057.10","1,057.10","1,057.10",0.01,15.00,"15,856.50"
46,2026-04-22,"1,055.00","1,057.00","1,055.00","1,057.00",0.18,65.00,"68,607.50"
47,2026-04-21,"1,042.00","1,056.10","1,042.00","1,055.10",-0.18,70.00,"73,737.50"
48,2026-04-20,"1,055.30","1,057.00","1,055.30","1,057.00",-0.28,50.00,"52,807.50"
49,2026-04-16,"1,060.00","1,060.00","1,060.00","1,060.00",0.0,25.00,"26,500.00"
50,2026-04-15,"1,060.00","1,060.00","1,060.00","1,060.00",0.0,50.00,"53,000.00"
51,2026-04-09,"1,060.00","1,060.00","1,060.00","1,060.00",0.05,50.00,"53,000.00"
52,2026-04-07,"1,060.00","1,081.00","1,059.50","1,059.50",1.39,255.00,"272,807.50"
53,2026-04-06,"1,037.00","1,045.00","1,036.50","1,045.00",-1.09,75.00,"78,072.50"
54,2026-04-05,"1,056.50","1,056.50","1,056.50","1,056.50",-1.99,50.00,"52,825.00"
55,2026-03-26,"1,078.00","1,078.00","1,078.00","1,078.00",0.75,25.00,"26,950.00"
56,2026-03-25,"1,043.80","1,070.00","1,043.70","1,070.00",0.47,125.00,"132,437.50"
57,2026-03-24,"1,045.00","1,065.00","1,045.00","1,065.00",0.95,425.00,"451,025.00"
58,2026-03-23,"1,055.00","1,055.00","1,055.00","1,055.00",-1.4,25.00,"26,375.00"
59,2026-03-22,"1,055.00","1,070.00","1,055.00","1,070.00",0.38,383.00,"404,815.00"
60,2026-03-19,"1,066.00","1,066.00","1,066.00","1,066.00",0.09,100.00,"106,600.00"
61,2026-03-16,"1,068.00","1,068.00","1,065.00","1,065.00",0.92,75.00,"80,025.00"
62,2026-03-15,"1,066.00","1,066.00","1,055.30","1,055.30",-0.91,50.00,"53,032.50"
63,2026-03-12,"1,055.00","1,065.00","1,055.00","1,065.00",0.95,160.00,"170,125.00"
64,2026-03-11,"1,055.00","1,056.00","1,055.00","1,055.00",-0.09,125.00,"131,910.00"
65,2026-03-10,"1,035.30","1,056.00","1,035.30","1,056.00",0.0,75.00,"78,587.50"
66,2026-03-03,"1,055.00","1,056.00","1,055.00","1,056.00",0.37,50.00,"52,775.00"
67,2026-02-26,"1,052.10","1,052.10","1,052.10","1,052.10",-0.75,25.00,"26,302.50"
68,2026-02-25,"1,049.10","1,060.00","1,049.10","1,060.00",0.19,125.00,"131,620.00"
69,2026-02-23,"1,058.00","1,058.00","1,058.00","1,058.00",0.0,50.00,"52,900.00"
70,2026-02-17,"1,050.00","1,058.00","1,050.00","1,058.00",1.71,125.00,"132,050.00"
71,2026-02-16,"1,051.00","1,051.00","1,040.20","1,040.20",-1.03,75.00,"78,555.00"
72,2026-02-12,"1,051.00","1,051.00","1,051.00","1,051.00",-0.03,100.00,"105,100.00"
73,2026-02-11,"1,050.00","1,051.30","1,050.00","1,051.30",0.0,75.00,"78,782.50"
74,2026-02-10,"1,051.30","1,051.30","1,051.30","1,051.30",0.0,20.00,"21,026.00"
75,2026-02-09,"1,050.50","1,051.30","1,050.50","1,051.30",-0.35,50.00,"52,545.00"
76,2026-02-08,"1,046.30","1,055.00","1,046.30","1,055.00",0.48,50.00,"52,532.50"
77,2026-02-05,"1,060.00","1,060.00","1,050.00","1,050.00",0.0,50.00,"52,750.00"
78,2026-02-04,"1,050.00","1,050.00","1,050.00","1,050.00",0.1,25.00,"26,250.00"
79,2026-02-03,"1,049.00","1,049.00","1,049.00","1,049.00",-0.57,25.00,"26,225.00"
80,2026-02-02,"1,055.00","1,055.00","1,055.00","1,055.00",0.0,25.00,"26,375.00"
81,2026-02-01,"1,060.00","1,060.00","1,055.00","1,055.00",-0.46,300.00,"317,750.00"
82,2026-01-29,"1,058.00","1,059.90","1,058.00","1,059.90",0.35,375.00,"397,272.50"
83,2026-01-28,"1,060.00","1,060.00","1,055.00","1,056.20",-0.36,75.00,"79,280.00"
84,2026-01-26,"1,054.00","1,060.00","1,054.00","1,060.00",0.66,175.00,"185,212.50"
85,2026-01-25,"1,053.10","1,053.10","1,053.10","1,053.10",-0.65,25.00,"26,327.50"
86,2026-01-21,"1,040.00","1,060.00","1,040.00","1,060.00",0.81,75.00,"79,000.00"
87,2026-01-20,"1,036.90","1,057.70","1,036.90","1,051.50",-0.61,550.00,"580,475.00"
88,2026-01-18,"1,055.00","1,058.00","1,055.00","1,058.00",-1.58,75.00,"79,275.00"
89,2026-01-14,"1,075.00","1,080.00","1,070.00","1,075.00",0.0,105.00,"112,875.00"
90,2026-01-12,"1,080.00","1,080.00","1,075.00","1,075.00",-0.19,75.00,"80,750.00"
91,2026-01-08,"1,077.10","1,077.10","1,077.10","1,077.10",-0.28,50.00,"53,855.00"
92,2026-01-07,"1,085.00","1,085.00","1,080.10","1,080.10",-0.46,100.00,"108,255.00"
93,2026-01-06,"1,085.10","1,085.10","1,085.10","1,085.10",0.01,42.00,"45,574.20"
94,2026-01-05,"1,083.00","1,100.00","1,077.00","1,085.00",0.18,125.00,"136,125.00"
95,2025-12-31,"1,082.00","1,096.00","1,082.00","1,083.00",0.73,200.00,"217,235.00"
96,2025-12-29,"1,080.00","1,080.00","1,080.00","1,075.10",-0.45,5.00,"5,375.50"
97,2025-12-28,"1,079.00","1,080.00","1,079.00","1,080.00",0.0,60.00,"64,775.00"
98,2025-12-24,"1,076.10","1,080.00","1,076.10","1,080.00",0.0,75.00,"80,816.00"
99,2025-12-22,"1,080.00","1,080.00","1,080.00","1,080.00",0.0,25.00,"27,000.00"
100,2025-12-21,"1,075.00","1,080.00","1,075.00","1,080.00",0.47,235.00,"253,675.00"
101,2025-12-18,"1,075.00","1,075.00","1,075.00","1,075.00",0.91,25.00,"26,875.00"
102,2025-12-17,"1,065.30","1,065.30","1,065.30","1,065.30",0.08,50.00,"53,265.00"
103,2025-12-16,"1,064.40","1,064.40","1,064.40","1,064.40",-0.57,25.00,"26,610.00"
104,2025-12-14,"1,074.60","1,075.10","1,070.50","1,070.50",-1.97,275.00,"295,395.00"
105,2025-12-11,"1,092.00","1,092.00","1,092.00","1,092.00",1.54,25.00,"27,300.00"
106,2025-12-10,"1,076.00","1,076.00","1,074.00","1,075.40",-0.07,95.00,"102,122.50"
107,2025-12-09,"1,074.10","1,076.10","1,074.10","1,076.10",-1.46,75.00,"80,657.50"
108,2025-12-08,"1,070.10","1,092.00","1,070.10","1,092.00",2.05,157.00,"170,586.30"
109,2025-12-07,"1,065.20","1,086.50","1,065.20","1,070.10",-1.37,175.00,"189,063.00"
110,2025-12-03,"1,084.00","1,085.00","1,074.10","1,085.00",0.46,180.00,"194,741.50"
111,2025-12-02,"1,080.00","1,080.00","1,080.00","1,080.00",0.0,25.00,"27,000.00"
112,2025-12-01,"1,070.00","1,080.00","1,070.00","1,080.00",0.28,195.00,"210,061.30"
113,2025-11-30,"1,078.00","1,080.00","1,077.00","1,077.00",1.31,762.00,"821,606.00"
114,2025-11-27,"1,063.10","1,063.10","1,063.10","1,063.10",-1.06,25.00,"26,577.50"
115,2025-11-26,"1,068.10","1,074.50","1,068.10","1,074.50",1.17,100.00,"107,272.70"
116,2025-11-25,"1,065.00","1,065.00","1,062.10","1,062.10",-0.27,75.00,"79,730.00"
117,2025-11-24,"1,061.40","1,067.00","1,050.00","1,065.00",0.38,350.00,"371,770.00"
118,2025-11-23,"1,060.00","1,077.00","1,060.00","1,061.00",-0.66,580.00,"623,755.00"
119,2025-11-20,"1,069.50","1,069.50","1,067.00","1,068.10",1.15,910.00,"973,102.00"
120,2025-11-18,"1,067.00","1,070.00","1,056.00","1,056.00",-0.94,150.00,"159,785.00"
121,2025-11-17,"1,065.10","1,066.00","1,065.10","1,066.00",0.36,50.00,"53,277.50"
122,2025-11-16,"1,065.10","1,065.10","1,057.10","1,062.20",-0.26,75.00,"79,610.00"
123,2025-11-13,"1,075.10","1,075.10","1,061.10","1,065.00",0.0,150.00,"159,855.00"
124,2025-11-12,"1,065.00","1,065.00","1,064.00","1,065.00",-0.19,625.00,"665,525.00"
125,2025-11-10,"1,067.00","1,075.00","1,067.00","1,067.00",0.0,415.00,"445,525.00"
126,2025-11-06,"1,067.00","1,067.00","1,067.00","1,067.00",0.19,25.00,"26,675.00"
127,2025-11-05,"1,073.00","1,073.00","1,065.00","1,065.00",-0.75,200.00,"213,800.00"
128,2025-11-03,"1,070.00","1,073.00","1,070.00","1,073.00",2.0,355.00,"380,740.00"
129,2025-10-30,"1,055.00","1,055.00","1,052.00","1,052.00",-0.75,400.00,"421,539.00"
130,2025-10-29,"1,060.00","1,060.00","1,060.00","1,060.00",0.09,25.00,"26,500.00"
131,2025-10-28,"1,059.00","1,059.00","1,059.00","1,059.00",0.66,100.00,"105,900.00"
132,2025-10-26,"1,042.00","1,062.80","1,042.00","1,052.10",-0.84,125.00,"132,062.50"
133,2025-10-19,"1,068.00","1,070.00","1,061.00","1,061.00",0.95,"1,100.00","1,176,725.00"
134,2025-10-15,"1,059.00","1,059.00","1,051.00","1,051.00",-1.59,70.00,"73,930.00"
135,2025-10-14,"1,068.00","1,068.00","1,068.00","1,068.00",-0.19,25.00,"26,700.00"
136,2025-10-13,"1,037.00","1,080.00","1,037.00","1,070.00",3.18,"1,303.00","1,402,868.00"
137,2025-10-12,"1,051.30","1,051.30","1,036.00","1,037.00",-2.9,"1,257.00","1,302,954.50"
138,2025-10-07,"1,068.00","1,068.00","1,068.00","1,068.00",1.71,460.00,"491,280.00"
139,2025-09-28,"1,045.00","1,050.00","1,045.00","1,050.00",-1.5,125.00,"131,125.00"
140,2025-09-25,"1,050.00","1,066.00","1,050.00","1,066.00",2.5,"1,100.00","1,171,000.00"
141,2025-09-24,"1,040.00","1,040.00","1,040.00","1,040.00",0.0,25.00,"26,000.00"
142,2025-09-23,"1,042.00","1,055.00","1,040.00","1,040.00",-2.16,225.00,"235,700.00"
143,2025-09-21,"1,030.00","1,063.00","1,030.00","1,063.00",2.21,659.00,"697,704.00"
144,2025-09-08,"1,030.00","1,050.00","1,030.00","1,040.00",-0.95,195.00,"203,650.00"
145,2025-09-07,"1,030.00","1,063.00","1,030.00","1,050.00",0.96,"3,460.00","3,659,289.00"
146,2025-09-04,"1,025.00","1,040.40","1,020.00","1,040.00",0.2,169.00,"174,587.60"
147,2025-09-03,"1,029.10","1,037.90","1,021.10","1,037.90",-0.06,570.00,"586,071.50"
148,2025-09-02,"1,000.00","1,040.00","1,000.00","1,038.50",3.85,"1,550.00","1,590,513.00"
149,2025-09-01,"1,000.10","1,000.10","1,000.00","1,000.00",-0.02,165.00,"165,010.00"
150,2025-08-31,"1,000.00","1,000.20","1,000.00","1,000.20",0.32,115.00,"115,011.50"
151,2025-08-28,990.10,"1,000.00",990.10,997.05,-0.3,125.00,"124,457.50"
152,2025-08-27,"1,001.00","1,002.00","1,000.00","1,000.00",0.04,315.00,"315,380.00"
153,2025-08-26,999.60,999.60,999.60,999.60,-2.0,25.00,"24,990.00"
154,2025-08-25,985.00,"1,020.00",985.00,"1,020.00",3.03,535.00,"538,867.00"
155,2025-08-24,"1,000.00","1,000.00",984.40,990.00,-1.0,115.00,"113,455.50"
156,2025-08-21,"1,000.00","1,000.00","1,000.00","1,000.00",0.02,39.00,"39,000.00"
157,2025-08-20,985.20,999.90,985.20,999.83,1.5,307.00,"306,238.40"
158,2025-08-19,981.70,985.10,981.70,985.10,-0.55,90.00,"88,571.50"
159,2025-08-18,967.60,990.50,967.60,990.50,1.05,305.00,"299,790.50"
160,2025-08-17,980.20,980.20,980.10,980.20,-0.59,250.00,"245,035.00"
161,2025-08-14,986.30,988.00,985.50,986.00,-0.01,175.00,"172,615.00"
162,2025-08-13,975.30,986.10,975.30,986.10,0.42,50.00,"49,035.00"
163,2025-08-12,978.80,982.10,978.00,982.00,-1.31,200.00,"196,062.50"
