S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-27,"1,190.00","1,190.00","1,190.00","1,190.00",-0.83,25.00,"29,750.00"
2,2026-08-06,"1,200.00","1,200.00","1,200.00","1,200.00",0.0,11.00,"13,200.00"
3,2026-08-04,"1,215.00","1,215.00","1,200.00","1,200.00",-4.0,50.00,"60,385.00"
4,2026-07-27,"1,245.40","1,250.00","1,245.40","1,250.00",1.13,"5,014.00","6,244,500.00"
5,2026-07-14,"1,236.00","1,236.00","1,236.00","1,236.00",0.0,25.0,"30,900.00"
6,2026-06-29,"1,236.00","1,236.00","1,236.00","1,236.00",0.0,25.0,"30,900.00"
7,2026-06-16,"1,236.00","1,236.00","1,236.00","1,236.00",3.0,25.0,"30,900.00"
8,2026-06-10,"1,201.00","1,201.00","1,201.00","1,200.00",-2.04,28.0,"33,625.00"
9,2026-06-08,"1,225.00","1,225.00","1,225.00","1,225.00",2.94,25.0,"30,625.00"
10,2026-06-05,"1,200.00","1,200.00","1,190.00","1,190.00",-0.42,40.0,"47,750.00"
11,2026-05-27,"1,242.00","1,242.00","1,195.00","1,195.00",-6.64,90.0,"110,000.00"
12,2026-05-20,"1,280.00","1,280.00","1,280.00","1,280.00",2.98,100.0,"128,000.00"
13,2026-05-18,"1,243.00","1,243.00","1,243.00","1,243.00",-2.97,25.0,"31,075.00"
14,2026-05-14,"1,281.00","1,281.00","1,281.00","1,281.00",-2.95,11.0,"14,091.00"
15,2026-04-28,"1,279.50","1,320.00","1,299.00","1,320.00",3.17,153.0,"199,755.00"
16,2026-04-08,"1,254.50","1,279.50","1,254.50","1,279.50",4.02,71.0,"90,122.10"
17,2026-03-22,"1,230.00","1,230.00","1,230.00","1,230.00",0.0,100.0,"123,000.00"
18,2026-02-03,"1,230.00","1,230.00","1,230.00","1,230.00",0.0,20.0,"24,600.00"
19,2026-01-29,"1,230.00","1,230.00","1,230.00","1,230.00",0.0,10.0,"12,300.00"
20,2026-01-28,"1,230.00","1,230.00","1,230.00","1,230.00",0.0,10.0,"12,300.00"
21,2026-01-14,"1,230.00","1,230.00","1,230.00","1,230.00",-0.81,10.0,"12,300.00"
22,2026-01-13,"1,240.00","1,240.00","1,240.00","1,240.00",-1.59,25.0,"31,000.00"
23,2026-01-01,"1,260.00","1,260.00","1,260.00","1,260.00",0.4,25.0,"31,500.00"
24,2025-12-31,"1,255.00","1,255.00","1,255.00","1,255.00",0.72,20.0,"25,100.00"
25,2025-12-29,"1,246.00","1,246.00","1,246.00","1,246.00",0.13,50.0,"62,300.00"
26,2025-12-24,"1,244.40","1,244.40","1,244.40","1,244.40",2.0,50.0,"62,220.00"
27,2025-12-21,"1,225.00","1,225.00","1,220.00","1,220.00",-0.41,100.0,"122,250.00"
28,2025-12-16,"1,225.00","1,225.00","1,225.00","1,225.00",-1.64,25.0,"30,625.00"
29,2025-11-25,"1,221.00","1,221.00","1,221.00","1,245.40",2.0,8.0,"9,963.20"
30,2025-11-19,"1,221.00","1,221.00","1,221.00","1,221.00",0.91,25.0,"30,525.00"
31,2025-11-18,"1,210.00","1,210.00","1,210.00","1,210.00",-0.03,25.0,"30,250.00"
32,2025-11-16,"1,186.70","1,210.40","1,186.70","1,210.40",4.03,100.0,"119,855.00"
33,2025-11-06,"1,141.00","1,163.50","1,141.00","1,163.50",1.97,350.0,"401,010.60"
34,2025-09-24,"1,141.00","1,141.00","1,141.00","1,141.00",-0.78,25.0,"28,525.00"
35,2025-09-23,"1,149.00","1,150.00","1,149.00","1,150.00",1.31,100.0,"114,950.00"
36,2025-09-08,"1,135.20","1,135.20","1,135.20","1,135.10",-0.01,30.0,"34,055.50"
37,2025-09-07,"1,157.40","1,157.40","1,135.20","1,135.20",-3.88,50.0,"57,315.00"
38,2025-08-07,"1,181.00","1,181.00","1,181.00","1,181.00",-1.99,15.0,"17,715.00"
39,2025-07-30,"1,205.00","1,205.00","1,205.00","1,205.00",0.0,20.0,"24,100.00"
40,2025-06-29,"1,155.00","1,205.00","1,155.00","1,205.00",4.33,28.0,"33,708.00"
41,2025-06-23,"1,140.00","1,140.00","1,140.00","1,155.00",1.32,8.0,"9,240.00"
42,2025-06-08,"1,140.00","1,140.00","1,140.00","1,140.00",-1.81,10.0,"11,400.00"
43,2025-05-18,"1,161.00","1,161.00","1,161.00","1,161.00",-1.98,10.0,"11,610.00"
44,2025-04-30,"1,184.40","1,184.40","1,184.40","1,184.40",0.0,10.0,"11,844.00"
