S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-05,"1,050.00","1,050.00","1,050.00","1,050.00",0.00,25.00,"26,250.00"
2,2026-08-04,"1,050.00","1,050.00","1,050.00","1,050.00",-1.59,25.00,"26,250.00"
3,2026-07-20,"1,067.00","1,067.00","1,067.00","1,067.00",-3.0,25.00,"26,675.00"
4,2026-07-16,"1,100.00","1,100.00","1,100.00","1,100.00",0.0,"21,633.00","23,796,300.00"
5,2026-07-15,"1,100.00","1,100.00","1,100.00","1,100.00",1.48,"1,500.00","1,650,000.00"
6,2026-07-14,"1,131.10","1,131.10","1,053.10","1,084.00",-7.03,"345,730.00","375,116,830.50"
7,2026-07-06,"1,166.00","1,166.00","1,166.00","1,166.00",0.0,444.00,"517,704.00"
8,2026-07-03,"1,166.00","1,166.00","1,166.00","1,166.00",0.31,"13,880.00","16,184,080.00"
9,2026-07-02,"1,128.70","1,128.70","1,128.70","1,162.40",2.99,5.00,"5,812.00"
10,2026-07-01,"1,064.00","1,100.00","1,064.00","1,128.70",5.68,"13,940.00","14,834,443.00"
11,2026-06-30,"1,101.00","1,101.00","1,101.00","1,068.00",-3.0,4.00,"4,272.00"
12,2026-06-25,"1,101.00","1,101.00","1,101.00","1,101.00",-3.0,85.00,"93,585.00"
13,2026-06-23,"1,132.00","1,135.00","1,132.00","1,135.00",-2.66,275.00,"311,900.00"
14,2026-06-18,"1,166.00","1,166.00","1,166.00","1,166.00",0.0,"16,085.00","18,755,110.00"
15,2026-06-17,"1,100.00","1,100.00","1,100.00","1,166.00",5.8,35.00,"38,995.00"
16,2026-06-16,"1,050.00","1,070.00","1,049.00","1,102.10",3.97,"16,240.00","17,036,533.70"
17,2026-06-12,"1,088.00","1,088.00","1,056.00","1,060.00",-5.44,"7,020.00","7,455,440.00"
18,2026-06-11,"1,180.00","1,180.00","1,180.00","1,121.00",-5.0,2.00,"2,242.00"
19,2026-06-09,"1,180.00","1,180.00","1,180.00","1,180.00",-0.34,50.00,"59,000.00"
20,2026-06-08,"1,184.00","1,184.00","1,184.00","1,184.00",2.82,171.00,"202,464.00"
21,2026-06-05,"1,118.00","1,118.00","1,118.00","1,151.50",3.0,2.00,"2,303.00"
22,2026-06-02,"1,150.00","1,150.00","1,118.00","1,118.00",-2.7,125.00,"140,550.00"
23,2026-05-20,"1,149.00","1,149.00","1,149.00","1,149.00",-3.0,50.00,"57,450.00"
