S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-02,"1,060.00","1,060.00","1,057.10","1,057.10",0.10,50.00,"52,932.90"
2,2026-08-25,"1,060.00","1,060.00","1,056.00","1,056.00",-0.38,65.00,"68,800.00"
3,2026-08-24,"1,060.00","1,060.00","1,060.00","1,060.00",-1.85,475.00,"503,500.00"
4,2026-08-19,"1,080.00","1,080.00","1,080.00","1,080.00",-0.23,300.00,"324,000.00"
5,2026-08-18,"1,079.90","1,089.80","1,051.00","1,082.50",1.93,686.00,"739,900.40"
6,2026-08-14,"1,062.00","1,062.00","1,062.00","1,062.00",3.0,25.00,"26,550.00"
7,2026-08-13,"1,031.10","1,031.10","1,031.10","1,031.10",-1.03,25.00,"25,777.50"
8,2026-08-12,"1,041.80","1,041.80","1,041.80","1,041.80",-1.25,25.00,"26,045.00"
9,2026-08-11,"1,055.00","1,055.00","1,055.00","1,055.00",-1.72,25.00,"26,375.00"
10,2026-08-05,"1,060.00","1,073.50","1,060.00","1,073.50",0.8,175.00,"187,120.00"
11,2026-08-03,"1,065.00","1,065.00","1,065.00","1,065.00",0.0,25.00,"26,625.00"
12,2026-07-31,"1,065.00","1,065.00","1,065.00","1,065.00",0.0,25.00,"26,625.00"
13,2026-07-30,"1,079.40","1,079.40","1,065.00","1,065.00",1.62,159.00,"169,695.00"
14,2026-07-29,"1,048.10","1,048.10","1,048.00","1,048.00",-2.96,91.00,"95,376.10"
15,2026-07-28,"1,080.00","1,080.00","1,080.00","1,080.00",-0.46,350.00,"378,000.00"
16,2026-07-27,"1,082.90","1,085.00","1,082.90","1,085.00",2.36,130.00,"140,930.70"
17,2026-07-23,"1,060.00","1,060.00","1,060.00","1,060.00",-1.79,81.00,"85,860.00"
18,2026-07-21,"1,055.00","1,079.30","1,055.00","1,079.30",-0.06,"25,866.00","27,912,313.80"
19,2026-07-17,"1,080.00","1,080.00","1,080.00","1,080.00",-0.92,10.00,"10,800.00"
20,2026-07-16,"1,090.00","1,090.00","1,090.00","1,090.00",0.93,"15,000.00","16,350,000.00"
21,2026-07-14,"1,048.90","1,082.00","1,037.00","1,080.00",0.0,"113,047.00","121,149,051.80"
22,2026-07-13,"1,070.00","1,088.00","1,070.00","1,080.00",-0.18,"10,100.00","10,898,000.00"
23,2026-07-09,"1,082.00","1,082.00","1,082.00","1,082.00",-0.73,14.00,"15,148.00"
24,2026-07-07,"1,090.00","1,090.00","1,090.00","1,090.00",0.55,25.00,"27,250.00"
25,2026-07-01,"1,084.90","1,084.90","1,075.00","1,084.00",0.37,"10,150.00","10,922,464.70"
26,2026-06-30,"1,055.00","1,080.00","1,055.00","1,080.00",0.0,125.00,"134,375.00"
27,2026-06-29,"1,080.00","1,080.00","1,080.00","1,080.00",0.37,25.00,"27,000.00"
28,2026-06-23,"1,076.00","1,076.00","1,076.00","1,076.00",0.0,50.00,"53,800.00"
29,2026-06-18,"1,076.00","1,076.00","1,076.00","1,076.00",-1.74,25.00,"26,900.00"
30,2026-06-17,"1,076.10","1,076.10","1,076.10","1,095.00",1.76,2.00,"2,171.10"
31,2026-06-16,"1,076.00","1,080.00","1,076.00","1,076.10",0.0,379.00,"407,903.00"
32,2026-06-15,"1,076.10","1,080.00","1,076.10","1,076.10",-0.05,75.00,"80,805.00"
33,2026-06-11,"1,061.20","1,076.60","1,061.20","1,076.60",2.99,55.00,"58,828.00"
34,2026-06-10,"1,061.40","1,066.20","1,045.30","1,045.30",-3.21,"15,224.00","15,925,618.70"
35,2026-06-09,"1,080.00","1,080.00","1,080.00","1,080.00",-1.1,50.00,"54,000.00"
36,2026-06-05,"1,090.20","1,092.80","1,090.20","1,092.00",2.92,425.00,"464,333.70"
37,2026-06-03,"1,061.00","1,061.00","1,061.00","1,061.00",0.0,25.00,"26,525.00"
38,2026-05-27,"1,066.00","1,066.00","1,061.00","1,061.00",-0.03,50.00,"53,175.00"
39,2026-05-22,"1,056.10","1,061.30","1,056.10","1,061.30",-2.27,55.00,"58,241.50"
40,2026-05-21,"1,070.00","1,082.00","1,070.00","1,086.00",2.93,58.00,"62,488.00"
41,2026-05-19,"1,067.60","1,067.60","1,055.10","1,055.10",-1.17,95.00,"101,109.50"
42,2026-05-18,"1,096.90","1,096.90","1,067.60","1,067.60",0.24,150.00,"161,760.00"
43,2026-05-15,"1,066.00","1,066.00","1,065.00","1,065.00",-0.47,100.00,"106,545.00"
44,2026-05-14,"1,080.00","1,083.50","1,070.00","1,070.00",1.71,515.00,"556,837.50"
45,2026-05-08,"1,065.00","1,065.00","1,065.00","1,052.00",-1.22,50.00,"53,251.00"
46,2026-05-07,"1,066.00","1,066.00","1,065.00","1,065.00",-0.92,75.00,"79,889.00"
47,2026-05-06,"1,061.00","1,074.90","1,061.00","1,074.90",-0.47,324.00,"344,097.60"
48,2026-04-29,"1,065.00","1,080.00","1,051.50","1,080.00",1.41,78.00,"82,835.00"
49,2026-04-28,"1,063.00","1,065.00","1,065.00","1,065.00",0.19,25.00,"26,625.00"
50,2026-04-27,"1,087.00","1,063.00","1,054.70","1,063.00",-2.21,75.00,"79,312.60"
51,2026-04-24,"1,068.00","1,087.00","1,060.00","1,087.00",1.78,75.00,"80,175.00"
52,2026-04-23,"1,068.00","1,068.00","1,068.00","1,068.00",-0.19,50.00,"53,400.00"
53,2026-04-20,"1,070.00","1,070.00","1,070.00","1,070.00",0.0,22.00,"23,540.00"
54,2026-04-13,"1,070.00","1,070.00","1,070.00","1,070.00",0.09,100.00,"107,000.00"
55,2026-04-10,"1,048.50","1,069.00","1,048.50","1,069.00",1.03,43.00,"45,454.50"
56,2026-04-07,"1,058.10","1,058.10","1,058.10","1,058.10",0.2,25.00,"26,452.50"
