S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,"1,079.00","1,116.00","1,079.00","1,116.00",1.92,661.00,"732,186.60"
2,2026-08-20,"1,080.10","1,095.00","1,080.10","1,095.00",0.46,48.00,"52,217.30"
3,2026-08-18,"1,090.00","1,090.00","1,090.00","1,090.00",0.83,25.00,"27,250.00"
4,2026-08-14,"1,081.00","1,081.00","1,081.00","1,081.00",-0.83,25.00,"27,025.00"
5,2026-08-10,"1,098.00","1,100.00","1,090.00","1,090.00",-0.46,130.00,"142,600.00"
6,2026-08-07,"1,095.00","1,095.00","1,095.00","1,095.00",1.01,50.00,"54,750.00"
7,2026-08-05,"1,084.00","1,084.00","1,084.00","1,084.00",0.72,25.00,"27,100.00"
8,2026-08-04,"1,080.10","1,080.10","1,076.20","1,076.20",-1.45,150.00,"161,910.00"
9,2026-07-31,"1,092.00","1,092.00","1,092.00","1,092.00",-1.53,25.00,"27,300.00"
10,2026-07-29,"1,105.60","1,109.00","1,105.60","1,109.00",2.77,450.00,"498,138.50"
11,2026-07-27,"1,144.00","1,144.00","1,079.10","1,079.10",-5.67,101.00,"109,022.30"
12,2026-07-16,"1,145.00","1,145.00","1,145.00","1,144.00",-0.09,7.00,"8,008.00"
13,2026-07-15,"1,138.00","1,145.00","1,138.00","1,145.00",3.62,185.00,"211,630.00"
14,2026-07-14,"1,105.80","1,105.80","1,105.00","1,105.00",-3.07,"35,611.00","39,350,246.50"
15,2026-07-13,"1,140.00","1,140.00","1,140.00","1,140.00",0.0,"10,000.00","11,400,000.00"
16,2026-07-10,"1,140.00","1,140.00","1,140.00","1,140.00",2.96,"10,000.00","11,400,000.00"
17,2026-07-09,"1,107.00","1,107.20","1,107.00","1,107.20",-1.58,55.00,"60,890.00"
18,2026-07-06,"1,125.00","1,125.00","1,125.00","1,125.00",2.55,50.00,"56,250.00"
19,2026-07-02,"1,096.10","1,097.00","1,096.00","1,097.00",-0.3,120.00,"131,550.00"
20,2026-07-01,"1,097.00","1,101.00","1,097.00","1,100.30",0.3,195.00,"214,238.50"
21,2026-06-30,"1,097.00","1,097.00","1,097.00","1,097.00",-0.01,25.00,"27,425.00"
22,2026-06-29,"1,097.10","1,097.10","1,097.10","1,097.10",0.19,25.00,"27,427.50"
23,2026-06-25,"1,095.00","1,095.00","1,095.00","1,095.00",-0.45,155.00,"169,725.00"
24,2026-06-24,"1,100.00","1,100.00","1,100.00","1,100.00",0.46,200.00,"220,000.00"
25,2026-06-17,"1,095.00","1,095.00","1,095.00","1,095.00",0.0,100.00,"109,500.00"
26,2026-06-16,"1,098.00","1,100.20","1,090.10","1,095.00",-0.45,455.00,"498,841.00"
27,2026-06-15,"1,100.00","1,100.00","1,100.00","1,100.00",0.63,25.00,"27,500.00"
28,2026-06-11,"1,093.10","1,093.10","1,093.10","1,093.10",-0.63,25.00,"27,327.50"
29,2026-06-09,"1,092.50","1,101.00","1,092.00","1,100.00",0.36,550.00,"604,912.50"
30,2026-06-05,"1,100.00","1,100.00","1,096.00","1,096.00",0.55,200.00,"219,825.00"
31,2026-06-04,"1,097.60","1,097.60","1,090.00","1,090.00",-0.27,100.00,"109,229.00"
