S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-31,852.10,872.80,840.00,860.00,-1.15,"10,333.00","8,817,065.00"
2,2026-08-27,870.00,885.80,830.00,870.00,0.0,"8,221.00","7,107,798.50"
3,2026-08-26,884.60,899.90,857.00,870.00,-1.87,"10,241.00","8,972,661.50"
4,2026-08-25,919.00,919.00,875.10,886.60,1.24,"11,235.00","9,931,435.60"
5,2026-08-24,904.00,925.00,875.70,875.70,-3.13,"8,158.00","7,226,610.00"
6,2026-08-21,929.60,937.00,900.00,904.00,-2.8,"12,820.00","11,662,751.90"
7,2026-08-20,930.00,950.00,920.00,930.00,-1.06,"11,404.00","10,551,220.80"
8,2026-08-19,900.00,954.00,900.00,940.00,-0.63,"11,997.00","11,285,132.80"
9,2026-08-18,880.00,959.00,880.00,946.00,2.28,"23,648.00","22,276,098.00"
10,2026-08-17,900.00,935.00,900.00,924.90,-0.55,"17,985.00","16,634,945.10"
11,2026-08-14,937.10,957.00,920.00,930.00,-2.21,"16,593.00","15,454,141.50"
12,2026-08-13,935.00,998.00,935.00,951.00,-0.42,"14,548.00","13,819,605.90"
13,2026-08-12,930.00,"1,014.00",930.00,955.00,-0.23,"11,943.00","11,391,169.50"
14,2026-08-11,970.00,"1,010.30",955.00,957.20,-2.42,"16,375.00","15,955,119.00"
15,2026-08-10,930.10,"1,050.00",930.10,980.90,0.19,"11,587.00","11,474,765.20"
16,2026-08-07,985.00,992.90,960.00,979.00,-0.61,"24,385.00","23,735,399.20"
17,2026-08-06,980.20,"1,019.00",970.00,985.00,-0.51,"15,857.00","15,694,811.20"
18,2026-08-05,980.00,"1,009.00",980.00,990.00,-1.98,"6,498.00","6,427,545.60"
19,2026-08-04,980.00,"1,039.00",945.80,"1,010.00",1.0,"38,277.00","37,654,223.20"
20,2026-08-03,"1,085.00","1,085.00","1,000.00","1,000.00",-4.31,"20,763.00","21,198,519.20"
21,2026-07-31,"1,031.30","1,070.00","1,020.20","1,045.00",-1.69,"22,960.00","23,883,229.20"
22,2026-07-30,"1,066.10","1,080.00","1,038.20","1,063.00",-3.28,"13,608.00","14,393,489.90"
23,2026-07-29,"1,130.00","1,130.00","1,020.10","1,099.00",1.76,"21,239.00","22,503,300.30"
24,2026-07-28,"1,055.00","1,127.00","1,042.00","1,080.00",1.41,"41,057.00","44,470,387.00"
25,2026-07-27,"1,160.00","1,190.00","1,055.00","1,065.00",-8.19,"50,654.00","55,806,457.20"
26,2026-07-24,"1,063.10","1,195.00","1,063.10","1,160.00",3.66,"46,161.00","52,630,234.20"
27,2026-07-23,"1,020.30","1,133.00","1,020.30","1,119.00",4.19,"42,190.00","46,402,793.70"
28,2026-07-22,963.30,"1,094.90",963.30,"1,074.00",5.92,"38,533.00","40,280,925.40"
