S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-13,448.10,455.00,448.10,455.00,1.31,"8,448.00","3,825,364.60"
2,2026-08-12,452.0,460.0,446.0,449.1,-1.73,"13,326.00","6,014,020.20"
3,2026-08-11,457.0,460.0,457.0,457.0,0.0,"3,454.00","1,580,449.50"
4,2026-08-10,460.0,460.0,450.0,457.0,0.15,"10,821.00","4,892,376.50"
5,2026-08-07,457.2,461.0,456.0,456.3,0.22,"5,395.00","2,469,656.30"
6,2026-08-06,472.0,472.0,455.3,455.3,-1.85,"6,873.00","3,159,958.50"
7,2026-08-05,465.0,474.9,459.0,463.9,-0.24,"15,219.00","7,085,807.00"
8,2026-08-04,462.1,472.9,460.0,465.0,-1.59,"9,678.00","4,486,346.90"
9,2026-08-03,470.0,476.6,465.0,472.5,0.53,"10,160.00","4,743,841.50"
10,2026-07-31,456.5,474.0,450.0,470.0,2.4,"59,668.00","27,670,238.60"
11,2026-07-30,465.0,474.0,456.1,459.0,-1.27,"11,836.00","5,452,764.80"
12,2026-07-29,479.9,479.9,460.0,464.9,-1.3,"12,422.00","5,772,465.60"
13,2026-07-28,460.0,477.6,460.0,471.0,0.23,"8,641.00","4,056,757.90"
14,2026-07-27,482.0,484.7,465.1,469.9,-0.66,"30,013.00","14,324,892.80"
15,2026-07-24,479.9,480.0,470.0,473.0,-1.19,"14,104.00","6,694,862.00"
16,2026-07-23,498.0,498.0,467.1,478.7,0.78,"8,225.00","3,899,272.40"
17,2026-07-22,472.9,484.9,465.7,475.0,1.09,"39,826.00","19,019,352.40"
18,2026-07-21,470.0,476.8,464.0,469.9,-0.02,"26,242.00","12,285,994.40"
19,2026-07-20,468.0,475.0,463.0,470.0,0.43,"13,779.00","6,440,752.20"
20,2026-07-17,447.0,473.8,447.0,468.0,4.0,"16,105.00","7,496,128.50"
21,2026-07-16,452.0,460.0,447.0,450.0,-0.88,"12,841.00","5,796,679.70"
22,2026-07-15,459.0,463.0,451.0,454.0,1.11,"11,606.00","5,291,746.50"
23,2026-07-14,448.0,452.0,440.0,449.0,0.22,"10,299.00","4,598,713.80"
24,2026-07-13,450.2,454.0,443.0,448.0,-1.54,"7,829.00","3,510,817.80"
