S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,592.30,597.00,590.50,591.00,-0.84,"4,101.00","2,430,267.20"
2,2026-08-21,600.0,605.0,591.0,596.0,-0.17,"6,122.00","3,634,567.40"
3,2026-08-20,590.3,597.0,590.0,597.0,0.67,"6,162.00","3,652,550.50"
4,2026-08-19,591.0,597.0,590.1,593.0,-0.13,"5,204.00","3,082,262.00"
5,2026-08-18,595.0,595.0,591.4,593.8,-0.2,"4,156.00","2,460,955.40"
6,2026-08-17,600.0,600.0,594.0,595.0,-0.83,"4,909.00","2,930,235.00"
7,2026-08-14,604.0,604.0,595.0,600.0,-0.5,"11,549.00","6,912,475.00"
8,2026-08-13,595.0,611.0,595.0,603.0,1.34,"4,175.00","2,517,627.00"
9,2026-08-12,598.0,613.7,595.0,595.0,-0.34,"8,451.00","5,050,311.90"
10,2026-08-11,614.9,614.9,597.0,597.0,-0.33,"10,186.00","6,093,437.10"
11,2026-08-10,598.0,608.0,595.0,599.0,-0.66,"2,931.00","1,760,762.50"
12,2026-08-07,601.1,605.0,600.0,603.0,-0.33,"7,627.00","4,584,099.10"
13,2026-08-06,606.1,610.0,602.1,605.0,-0.74,"3,311.00","2,003,551.70"
14,2026-08-05,606.0,609.5,600.0,609.5,0.74,"5,758.00","3,468,643.10"
15,2026-08-04,611.0,611.0,601.2,605.0,-0.98,"8,100.00","4,921,381.00"
16,2026-08-03,612.0,614.0,610.0,611.0,-0.33,"7,604.00","4,651,832.20"
17,2026-07-31,610.1,614.1,607.0,613.0,0.0,"3,306.00","2,015,303.00"
18,2026-07-30,618.0,618.0,612.7,613.0,-0.81,"1,785.00","1,095,005.90"
19,2026-07-29,619.9,625.0,610.1,618.0,0.8,"10,039.00","6,206,672.50"
20,2026-07-28,615.0,619.9,610.2,613.1,0.02,"3,418.00","2,096,669.10"
21,2026-07-27,628.0,628.0,613.0,613.0,-2.39,"4,344.00","2,690,159.20"
22,2026-07-24,611.1,629.0,611.1,628.0,1.29,"9,051.00","5,646,937.70"
23,2026-07-23,611.5,622.0,611.5,620.0,0.32,"5,166.00","3,191,790.20"
24,2026-07-22,620.0,622.0,615.0,618.0,-0.64,"5,520.00","3,416,259.00"
25,2026-07-21,619.1,625.0,614.0,622.0,0.4,"7,446.00","4,608,978.90"
26,2026-07-20,609.0,621.0,609.0,619.5,1.81,"4,928.00","3,031,547.50"
27,2026-07-17,605.0,609.8,595.1,608.5,3.31,"10,767.00","6,492,147.40"
28,2026-07-16,592.0,600.0,585.0,589.0,-1.83,"9,136.00","5,408,941.50"
29,2026-07-15,600.0,605.0,591.0,600.0,0.57,"5,568.00","3,319,439.70"
30,2026-07-14,588.0,597.0,580.0,596.6,1.46,"10,105.00","5,956,251.00"
31,2026-07-13,592.0,597.9,588.0,588.0,-1.67,"10,251.00","6,052,026.20"
32,2026-07-10,605.0,608.0,597.2,598.0,-1.16,"8,273.00","4,976,998.80"
33,2026-07-09,604.2,608.0,590.0,605.0,-0.49,"9,895.00","5,943,577.00"
34,2026-07-08,605.5,615.9,605.5,608.0,-1.3,"5,875.00","3,574,960.10"
35,2026-07-07,615.3,617.0,610.0,616.0,0.82,"1,063.00","652,304.40"
36,2026-07-06,614.0,626.0,610.3,611.0,-0.65,"3,761.00","2,307,479.40"
37,2026-07-03,629.0,629.0,615.0,615.0,0.0,"11,779.00","7,282,799.00"
38,2026-07-02,617.0,618.0,610.0,615.0,0.29,"2,927.00","1,788,611.00"
39,2026-07-01,612.0,621.9,612.0,613.2,1.36,"5,327.00","3,275,041.10"
40,2026-06-30,609.0,612.0,601.2,605.0,-1.63,"11,261.00","6,807,963.30"
41,2026-06-29,623.0,623.0,607.0,615.0,-1.6,"7,224.00","4,425,385.50"
42,2026-06-26,617.0,625.0,615.0,625.0,0.66,"2,028.00","1,250,327.00"
43,2026-06-25,606.2,624.0,606.2,620.9,0.31,"4,063.00","2,509,301.50"
44,2026-06-24,621.0,623.9,613.1,619.0,-0.48,"20,016.00","12,337,901.00"
45,2026-06-23,617.0,622.0,617.0,622.0,0.08,"11,468.00","7,111,823.00"
46,2026-06-22,622.1,628.0,620.0,621.5,-0.24,"9,895.00","6,176,522.99"
47,2026-06-19,627.0,627.0,621.2,623.0,-0.62,"3,285.00","2,046,276.20"
48,2026-06-18,629.9,630.0,622.0,626.9,-0.18,"3,104.00","1,938,282.90"
49,2026-06-17,629.9,629.9,625.0,628.0,0.48,"1,067.00","669,365.20"
50,2026-06-16,622.0,631.0,620.2,625.0,0.63,"7,727.00","4,803,421.10"
51,2026-06-15,630.0,630.0,621.1,621.1,-0.88,"6,650.00","4,161,181.40"
52,2026-06-12,596.6,634.8,596.6,626.6,-0.22,"5,961.00","3,739,525.80"
53,2026-06-11,638.0,638.0,628.0,628.0,-1.26,"5,068.00","3,204,487.60"
54,2026-06-10,645.0,645.0,632.6,636.0,-0.16,"5,607.00","3,573,078.70"
55,2026-06-09,643.0,643.0,625.0,637.0,-1.01,"18,814.00","11,869,656.40"
56,2026-06-08,658.8,658.8,640.2,643.5,-0.85,"9,048.00","5,840,602.00"
57,2026-06-05,642.9,657.7,642.9,649.0,1.41,"45,301.00","29,514,112.90"
58,2026-06-04,643.0,650.0,635.0,640.0,-0.47,"7,878.00","5,069,453.70"
59,2026-06-03,645.1,647.9,637.0,643.0,-0.31,"13,324.00","8,532,198.20"
60,2026-06-02,630.9,650.0,628.0,645.0,3.7,"45,620.00","29,336,870.60"
61,2026-06-01,631.0,631.0,619.0,622.0,-1.22,"8,303.00","5,179,754.50"
62,2026-05-27,623.0,632.0,620.4,629.7,-0.36,"8,482.00","5,287,439.80"
63,2026-05-26,640.0,640.0,621.0,632.0,-0.47,"10,589.00","6,626,789.90"
64,2026-05-25,631.0,639.5,629.0,635.0,0.63,"7,574.00","4,804,232.10"
65,2026-05-22,637.9,637.9,622.0,631.0,-0.06,"3,634.00","2,269,181.90"
66,2026-05-21,635.0,635.0,624.5,631.4,0.57,"6,384.00","4,002,688.60"
67,2026-05-20,636.0,636.0,615.0,627.8,1.26,"10,660.00","6,600,613.60"
68,2026-05-19,624.0,626.9,620.0,620.0,-0.64,"3,051.00","1,897,430.40"
69,2026-05-18,620.0,629.0,614.3,624.0,0.65,"24,412.00","15,025,256.70"
70,2026-05-15,620.0,628.0,615.0,620.0,-0.31,"5,794.00","3,596,917.50"
71,2026-05-14,625.0,625.0,620.0,621.9,0.27,"4,302.00","2,678,121.30"
72,2026-05-13,625.0,625.0,620.0,620.2,-0.03,"8,107.00","5,052,499.30"
73,2026-05-12,636.1,636.1,620.4,620.4,-2.31,"12,376.00","7,771,410.00"
74,2026-05-11,640.0,643.0,632.2,635.1,0.02,"3,033.00","1,931,244.60"
75,2026-05-08,623.0,635.0,622.0,635.0,1.76,"8,380.00","5,253,467.00"
76,2026-05-07,620.0,627.7,620.0,624.0,0.16,"3,591.00","2,234,403.40"
77,2026-05-06,618.0,628.9,618.0,623.0,0.81,"5,651.00","3,539,084.80"
78,2026-05-05,619.5,620.0,610.0,618.0,-0.24,"8,204.00","5,054,380.40"
79,2026-05-04,610.1,620.0,610.1,619.5,-0.42,"3,269.00","2,014,392.60"
80,2026-04-30,618.0,628.5,615.0,622.1,-0.22,"5,496.00","3,394,542.20"
81,2026-04-29,625.0,642.0,620.1,623.5,-0.24,"5,578.00","3,475,218.80"
82,2026-04-28,625.8,630.0,625.0,625.0,-0.13,"6,653.00","4,165,280.00"
83,2026-04-27,622.0,630.0,622.0,625.8,0.61,"3,170.00","1,983,854.70"
84,2026-04-24,629.5,626.5,621.2,622.0,-1.19,"8,339.00","5,192,210.70"
85,2026-04-23,620.2,633.0,620.0,629.5,-0.71,"4,905.00","3,069,831.70"
86,2026-04-22,625.1,638.0,616.2,634.0,1.93,"10,832.00","6,715,355.10"
87,2026-04-21,639.9,639.9,622.0,622.0,-0.48,"8,915.00","5,571,499.60"
88,2026-04-20,622.1,635.0,622.1,625.0,-1.57,"11,608.00","7,270,796.40"
89,2026-04-17,650.0,654.0,626.3,635.0,-1.09,"18,836.00","11,902,580.20"
90,2026-04-16,640.0,649.0,635.1,642.0,-1.22,"11,043.00","7,063,653.00"
91,2026-04-15,649.0,658.0,648.1,649.9,0.14,"19,781.00","12,881,301.30"
92,2026-04-13,650.0,654.8,644.5,649.0,-0.14,"5,015.00","3,247,572.50"
93,2026-04-10,659.0,659.0,644.2,649.9,-0.2,"15,070.00","9,748,483.40"
94,2026-04-09,632.5,661.0,631.0,651.2,2.23,"24,183.00","15,745,629.60"
95,2026-04-08,631.0,643.5,629.0,637.0,2.08,"9,414.00","5,959,927.00"
96,2026-04-07,635.0,635.0,619.8,624.0,-0.62,"9,955.00","6,233,790.00"
97,2026-04-06,620.0,630.0,615.0,627.9,2.77,"18,395.00","11,413,723.20"
98,2026-04-05,635.0,635.0,607.0,611.0,-3.93,"35,709.00","21,967,156.90"
99,2026-04-02,631.1,644.0,622.3,636.0,-0.93,"32,671.00","20,690,293.90"
100,2026-04-01,654.2,654.6,633.1,642.0,-1.83,"22,068.00","14,160,104.20"
101,2026-03-31,650.0,655.0,637.0,654.0,1.1,"11,045.00","7,133,748.10"
102,2026-03-30,655.0,665.0,644.3,646.9,-1.54,"25,020.00","16,349,421.90"
103,2026-03-29,678.0,678.0,655.0,657.0,-3.1,"19,267.00","12,809,073.10"
104,2026-03-26,675.0,684.9,670.0,678.0,-0.73,"32,176.00","21,764,032.20"
105,2026-03-25,690.0,690.0,676.0,683.0,-1.01,"20,944.00","14,297,352.10"
106,2026-03-24,690.0,693.0,677.0,690.0,0.01,"25,961.00","17,825,760.80"
107,2026-03-23,691.0,695.0,681.1,689.9,0.42,"26,720.00","18,307,584.80"
108,2026-03-22,687.0,690.0,676.2,687.0,1.78,"32,298.00","22,153,777.20"
109,2026-03-19,668.0,680.0,658.1,675.0,1.83,"34,873.00","23,499,928.60"
110,2026-03-17,670.0,670.0,655.0,662.9,-1.04,"19,197.00","12,686,118.80"
111,2026-03-16,663.0,674.2,661.0,669.9,-0.34,"20,313.00","13,527,216.90"
112,2026-03-15,667.3,680.0,667.3,672.2,-0.41,"14,914.00","10,075,376.40"
113,2026-03-12,660.1,680.0,657.0,675.0,0.75,"21,870.00","14,705,151.70"
114,2026-03-11,680.0,684.0,670.0,670.0,-1.46,"28,013.00","18,936,178.30"
115,2026-03-10,704.0,704.0,670.0,679.9,-1.62,"51,856.00","35,384,830.10"
