S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,615.00,615.00,603.00,608.00,-0.46,"6,060.00","3,686,382.00"
2,2026-08-21,610.2,621.9,606.5,610.8,-0.52,"2,293.00","1,397,796.00"
3,2026-08-20,610.0,620.8,608.0,614.0,-0.16,"4,737.00","2,891,215.20"
4,2026-08-19,614.0,620.0,612.0,615.0,-1.13,"11,927.00","7,333,754.40"
5,2026-08-18,627.0,627.0,620.0,622.0,-0.8,"4,134.00","2,566,934.00"
6,2026-08-17,637.0,637.0,621.1,627.0,-0.99,"7,179.00","4,481,241.20"
7,2026-08-14,638.0,638.0,630.3,633.3,0.13,"19,938.00","12,663,394.30"
8,2026-08-13,610.0,635.0,610.0,632.5,1.36,"26,581.00","16,679,774.90"
9,2026-08-12,618.0,628.0,615.0,624.0,0.06,"15,931.00","9,913,060.60"
10,2026-08-11,615.0,623.6,612.0,623.6,1.23,"8,431.00","5,198,821.20"
11,2026-08-10,610.0,616.0,610.0,616.0,0.49,"9,050.00","5,546,245.80"
12,2026-08-07,601.1,613.0,601.1,613.0,0.33,"7,828.00","4,745,459.00"
13,2026-08-06,606.0,615.0,606.0,611.0,-0.65,"7,322.00","4,485,701.20"
14,2026-08-05,600.0,617.0,582.0,615.0,0.03,"8,654.00","5,298,918.70"
15,2026-08-04,605.0,619.9,605.0,614.8,0.38,"6,922.00","4,210,475.70"
16,2026-08-03,625.0,629.6,612.5,612.5,-1.16,"5,730.00","3,545,698.00"
17,2026-07-31,607.0,619.7,607.0,619.7,0.23,"3,811.00","2,352,124.40"
18,2026-07-30,610.0,623.8,610.0,618.3,-0.43,"3,992.00","2,458,347.60"
19,2026-07-29,653.0,653.0,611.1,621.0,-0.21,"3,483.00","2,155,292.80"
20,2026-07-28,615.0,622.5,613.5,622.3,-0.38,"11,471.00","7,082,035.40"
21,2026-07-27,610.0,628.9,610.0,624.7,-0.35,"22,404.00","13,936,460.00"
22,2026-07-24,610.0,635.0,610.0,626.9,0.3,"11,805.00","7,357,807.60"
23,2026-07-23,610.0,626.0,606.0,625.0,0.51,"22,732.00","13,958,582.30"
24,2026-07-22,600.0,630.0,600.0,621.8,-0.03,"13,077.00","8,117,827.40"
25,2026-07-21,626.0,626.0,611.0,622.0,-0.77,"11,756.00","7,282,315.50"
26,2026-07-20,620.0,630.0,613.2,626.8,1.11,"5,810.00","3,617,641.90"
27,2026-07-17,607.9,620.0,596.6,619.9,4.36,"8,140.00","5,000,120.60"
28,2026-07-16,600.0,604.0,593.0,594.0,-1.0,"2,831.00","1,683,935.80"
29,2026-07-15,606.2,606.2,598.0,600.0,0.87,"3,665.00","2,199,125.00"
30,2026-07-14,605.0,605.0,590.1,594.8,-0.85,"17,189.00","10,248,910.90"
31,2026-07-13,600.0,608.9,593.5,599.9,-1.64,"6,143.00","3,677,731.00"
32,2026-07-10,591.0,610.0,591.0,609.9,0.81,"12,428.00","7,486,740.30"
33,2026-07-09,610.0,610.0,600.0,605.0,-2.37,"7,597.00","4,584,730.00"
34,2026-07-08,620.0,620.0,605.6,619.7,-0.5,"17,295.00","10,578,944.80"
35,2026-07-07,607.0,623.0,607.0,622.8,0.84,"5,306.00","3,273,072.00"
36,2026-07-06,605.0,619.0,605.0,617.6,-0.23,"13,469.00","8,288,604.00"
37,2026-07-03,602.0,620.0,602.0,619.0,1.14,"8,351.00","5,146,359.00"
38,2026-07-02,600.0,613.5,600.0,612.0,0.33,"3,924.00","2,392,031.70"
39,2026-07-01,590.0,620.0,590.0,610.0,0.83,"7,782.00","4,737,915.80"
40,2026-06-30,600.0,611.8,600.0,605.0,-1.45,"29,052.00","17,616,017.50"
41,2026-06-29,610.0,614.9,605.3,613.9,-0.26,"9,967.00","6,055,213.10"
42,2026-06-26,602.0,617.0,602.0,615.5,-0.24,"5,759.00","3,536,208.20"
43,2026-06-25,600.0,618.0,600.0,617.0,0.33,"13,702.00","8,416,026.20"
44,2026-06-24,585.0,620.5,585.0,615.0,0.34,"25,176.00","15,388,071.40"
45,2026-06-23,592.0,624.9,592.0,612.9,0.48,"24,064.00","14,694,187.20"
46,2026-06-22,600.0,625.0,600.0,610.0,-0.33,"8,788.00","5,383,329.00"
47,2026-06-19,610.0,620.0,610.0,612.0,-0.16,"10,824.00","6,643,467.50"
48,2026-06-18,610.0,618.0,610.0,613.0,-0.94,"6,491.00","3,969,994.90"
49,2026-06-17,600.0,624.0,600.0,618.8,0.13,"36,424.00","22,334,148.50"
50,2026-06-16,620.0,633.8,611.3,618.0,-2.25,"28,459.00","17,568,566.10"
51,2026-06-15,620.0,638.6,620.0,632.2,0.35,"30,907.00","19,495,973.20"
52,2026-06-12,621.0,644.0,621.0,630.0,-1.56,"31,170.00","19,693,437.60"
53,2026-06-11,643.1,650.0,633.0,640.0,-1.23,"25,586.00","16,389,880.00"
54,2026-06-10,640.0,654.8,640.0,648.0,0.47,"38,667.00","24,956,377.00"
55,2026-06-09,650.0,650.0,625.5,645.0,-1.53,"51,450.00","32,697,086.00"
56,2026-06-08,645.0,655.0,635.0,655.0,2.02,"37,528.00","24,066,929.70"
57,2026-06-05,634.0,659.0,634.0,642.0,1.26,"70,599.00","45,720,102.70"
58,2026-06-04,641.0,667.0,634.0,634.0,-2.46,"44,967.00","29,250,123.30"
59,2026-06-03,643.0,679.0,637.3,650.0,-1.53,"33,610.00","21,938,319.10"
60,2026-06-02,615.0,665.0,615.0,660.1,8.18,"123,061.00","79,415,904.70"
61,2026-06-01,609.0,622.9,607.1,610.2,-1.72,"17,162.00","10,543,207.90"
62,2026-05-27,616.2,623.0,610.1,620.9,0.16,"9,601.00","5,915,823.10"
63,2026-05-26,628.9,628.9,616.0,619.9,-0.82,"7,880.00","4,873,439.90"
64,2026-05-25,624.9,629.0,613.0,625.0,0.89,"5,617.00","3,495,963.40"
65,2026-05-22,596.0,619.5,596.0,619.5,1.06,"10,390.00","6,390,827.30"
66,2026-05-21,618.0,625.0,608.1,613.0,-1.1,"9,396.00","5,778,752.20"
67,2026-05-20,624.0,624.0,608.0,619.8,0.8,"17,575.00","10,806,020.90"
68,2026-05-19,614.9,614.9,606.0,614.9,0.0,"6,428.00","3,910,343.50"
69,2026-05-18,615.0,615.0,608.2,614.9,0.15,"4,640.00","2,826,697.20"
70,2026-05-15,605.0,618.0,605.0,614.0,1.49,"9,516.00","5,833,288.50"
71,2026-05-14,625.8,625.8,596.3,605.0,-0.66,"9,764.00","5,906,585.60"
72,2026-05-13,612.0,612.0,596.1,609.0,-0.16,"20,557.00","12,459,940.20"
73,2026-05-12,643.0,643.0,610.0,610.0,-5.13,"37,966.00","23,474,586.90"
74,2026-05-11,615.5,643.0,615.2,643.0,4.21,"9,004.00","5,662,504.40"
75,2026-05-08,605.0,618.0,602.1,617.0,2.0,"16,404.00","10,008,886.10"
76,2026-05-07,608.0,609.9,603.5,604.9,0.17,"43,784.00","26,572,485.70"
77,2026-05-06,605.0,610.0,600.0,603.9,-0.02,"6,873.00","4,141,729.00"
78,2026-05-05,603.9,610.0,595.7,604.0,0.0,"14,600.00","8,856,879.40"
79,2026-05-04,620.0,620.0,593.0,604.0,-0.97,"10,523.00","6,310,457.70"
80,2026-04-30,602.9,610.0,590.0,609.9,0.15,"16,847.00","10,172,667.20"
