S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-01,635.00,658.00,631.00,642.00,0.49,"16,126.00","10,365,197.80"
2,2026-08-31,657.00,657.00,621.00,638.90,-2.75,"28,076.00","17,894,148.80"
3,2026-08-27,636.00,673.00,636.00,657.00,0.54,"13,563.00","8,921,430.70"
4,2026-08-26,653.10,655.00,642.10,653.50,-0.38,"29,564.00","19,139,031.70"
5,2026-08-25,660.00,670.00,655.30,656.00,-1.49,"18,955.00","12,539,280.60"
6,2026-08-24,676.00,676.00,665.30,665.90,-1.63,"11,753.00","7,860,563.40"
7,2026-08-21,682.00,685.00,671.10,676.90,-0.5,"22,401.00","15,189,111.30"
8,2026-08-20,682.00,684.00,676.00,680.30,-0.26,"13,764.00","9,347,472.50"
9,2026-08-19,686.00,689.00,675.00,682.10,-0.57,"14,248.00","9,732,488.80"
10,2026-08-18,700.80,703.90,685.10,686.00,-2.11,"22,497.00","15,594,527.10"
11,2026-08-17,693.00,705.00,692.00,700.80,1.05,"19,050.00","13,311,040.70"
12,2026-08-14,685.00,698.90,681.20,693.50,1.17,"20,753.00","14,426,218.40"
13,2026-08-13,678.00,693.90,678.00,685.50,0.07,"18,749.00","12,882,618.20"
14,2026-08-12,700.00,700.00,680.00,685.00,-0.16,"7,274.00","5,003,712.40"
15,2026-08-11,675.00,699.00,675.00,686.10,0.9,"20,031.00","13,787,456.30"
16,2026-08-10,685.00,693.00,679.30,680.00,-1.73,"30,104.00","20,561,204.00"
17,2026-08-07,695.00,701.00,675.00,692.00,-0.72,"34,855.00","23,910,208.70"
18,2026-08-06,709.00,710.00,685.00,697.00,-1.82,"28,780.00","20,128,570.30"
19,2026-08-05,700.00,712.00,700.00,709.90,0.55,"8,876.00","6,278,273.10"
20,2026-08-04,711.00,720.00,700.00,706.00,-2.49,"25,586.00","18,118,577.00"
21,2026-08-03,727.00,739.00,718.00,724.00,-0.41,"12,012.00","8,712,027.00"
22,2026-07-31,711.00,728.00,703.10,727.00,1.0,"34,075.00","24,312,461.40"
23,2026-07-30,729.00,735.00,710.60,719.80,-0.33,"17,645.00","12,675,183.80"
24,2026-07-29,721.10,742.70,721.10,722.20,-1.07,"13,667.00","10,002,163.20"
25,2026-07-28,730.00,741.00,718.00,730.00,0.0,"18,696.00","13,655,794.60"
26,2026-07-27,758.00,763.00,725.00,730.00,-4.33,"26,143.00","19,353,306.90"
27,2026-07-24,759.00,795.00,755.70,763.00,0.39,"59,743.00","46,144,988.60"
28,2026-07-23,723.00,760.00,723.00,760.00,2.83,"30,521.00","22,715,386.50"
