S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-03,615.00,630.00,613.60,622.90,0.79,"28,307.00","17,594,541.20"
2,2026-09-02,617.00,629.90,612.00,618.00,0.02,"8,779.00","5,429,217.00"
3,2026-09-01,610.00,632.00,605.00,617.90,0.96,"15,514.00","9,638,220.30"
4,2026-08-31,625.00,625.00,611.50,612.00,-2.55,"15,409.00","9,489,195.90"
5,2026-08-27,602.00,640.00,602.00,628.00,1.95,"18,504.00","11,538,036.00"
6,2026-08-26,627.00,633.00,613.00,616.00,-2.69,"27,117.00","16,742,832.40"
7,2026-08-25,645.00,653.00,625.70,633.00,-2.01,"30,301.00","19,332,989.20"
8,2026-08-24,662.00,669.00,645.10,646.00,-2.42,"15,132.00","9,896,115.70"
9,2026-08-21,640.30,687.00,640.30,662.00,-1.78,"34,171.00","22,523,848.70"
10,2026-08-20,670.00,679.00,669.00,674.00,-0.75,"15,445.00","10,386,813.20"
11,2026-08-19,680.00,700.00,670.10,679.10,-0.1,"13,819.00","9,451,025.20"
12,2026-08-18,669.00,687.00,666.00,679.80,1.45,"31,276.00","21,288,759.90"
13,2026-08-17,675.00,680.00,670.00,670.10,-1.46,"12,723.00","8,566,892.00"
14,2026-08-14,679.00,688.00,673.00,680.00,0.15,"16,249.00","11,072,537.50"
15,2026-08-13,669.00,691.00,665.60,679.00,1.49,"18,355.00","12,463,474.00"
16,2026-08-12,676.00,688.00,665.50,669.00,-1.55,"14,769.00","9,956,819.00"
17,2026-08-11,687.00,698.00,676.20,679.50,-0.99,"19,448.00","13,353,206.00"
18,2026-08-10,690.10,698.00,682.00,686.30,-1.82,"21,606.00","14,871,130.80"
19,2026-08-07,701.00,708.90,692.00,699.00,-1.41,"21,761.00","15,247,718.50"
20,2026-08-06,702.50,721.90,702.50,709.00,-0.42,"16,550.00","11,793,177.50"
21,2026-08-05,700.10,716.00,700.10,712.00,0.28,"20,376.00","14,411,113.30"
22,2026-08-04,761.20,761.20,703.00,710.00,-2.07,"20,399.00","14,479,191.70"
23,2026-08-03,715.00,738.00,715.00,725.00,0.69,"22,860.00","16,598,258.60"
24,2026-07-31,668.80,722.00,668.80,720.00,2.27,"22,713.00","16,114,369.00"
25,2026-07-30,717.00,729.80,696.70,704.00,-1.81,"28,853.00","20,413,624.70"
26,2026-07-29,725.00,740.00,715.00,717.00,-0.98,"30,574.00","22,109,974.10"
27,2026-07-28,719.00,745.00,702.00,724.10,0.57,"41,783.00","30,368,001.60"
28,2026-07-27,757.00,780.00,715.00,720.00,-7.57,"53,676.00","40,185,745.30"
29,2026-07-24,760.00,810.00,760.00,779.00,2.5,"88,069.00","69,805,564.60"
30,2026-07-23,680.00,770.00,680.00,760.00,7.51,"73,698.00","53,228,456.30"
31,2026-07-22,685.00,721.00,685.00,706.90,-1.96,"33,081.00","23,474,517.20"
32,2026-07-21,722.00,745.00,710.00,721.00,-0.55,"47,746.00","34,643,112.10"
33,2026-07-20,730.00,730.00,681.00,725.00,4.14,"48,601.00","34,542,909.10"
34,2026-07-17,650.00,699.00,650.00,696.20,8.11,"44,863.00","30,415,512.40"
35,2026-07-16,650.00,662.80,640.00,644.00,-0.92,"20,044.00","13,010,932.40"
36,2026-07-15,650.00,668.90,641.10,650.00,1.09,"15,443.00","10,038,256.70"
37,2026-07-14,605.00,655.00,605.00,643.00,1.26,"24,763.00","15,892,429.30"
38,2026-07-13,654.00,660.00,632.00,635.00,-2.91,"19,731.00","12,644,883.90"
39,2026-07-10,658.90,677.00,650.10,654.00,-0.74,"22,186.00","14,691,029.10"
40,2026-07-09,650.20,669.00,650.10,658.90,-1.52,"16,585.00","10,954,582.80"
41,2026-07-08,700.00,700.00,665.00,669.10,-4.41,"25,742.00","17,539,533.90"
42,2026-07-07,700.00,714.80,686.20,700.00,0.0,"24,822.00","17,431,287.90"
43,2026-07-06,722.00,730.00,698.00,700.00,-3.71,"27,090.00","19,185,851.80"
44,2026-07-03,771.70,771.70,723.10,727.00,-1.09,"24,307.00","17,815,961.00"
45,2026-07-02,738.20,745.00,722.00,735.00,-0.43,"14,536.00","10,646,889.00"
46,2026-07-01,703.10,745.00,703.10,738.20,2.39,"34,966.00","25,774,437.90"
47,2026-06-30,729.00,743.80,721.00,721.00,-1.25,"20,249.00","14,660,684.90"
48,2026-06-29,750.00,750.00,730.10,730.10,-3.3,"28,578.00","21,115,912.30"
49,2026-06-26,755.00,765.00,748.10,755.00,0.27,"27,566.00","20,862,976.80"
50,2026-06-25,720.30,767.00,720.30,753.00,-0.4,"22,045.00","16,632,769.70"
51,2026-06-24,761.10,785.00,741.10,756.00,-2.45,"51,168.00","38,539,137.20"
52,2026-06-23,806.00,810.00,770.00,775.00,-4.91,"48,894.00","38,767,055.80"
53,2026-06-22,815.30,835.00,805.00,815.00,-0.04,"25,638.00","20,906,148.80"
54,2026-06-19,815.00,824.00,805.00,815.30,-0.57,"19,548.00","15,988,931.90"
55,2026-06-18,815.10,829.90,811.00,820.00,-0.36,"25,099.00","20,489,503.10"
56,2026-06-17,836.00,839.00,822.00,823.00,-1.91,"20,375.00","16,863,728.80"
57,2026-06-16,830.00,858.00,825.00,839.00,0.0,"32,869.00","27,360,638.10"
58,2026-06-15,830.00,859.90,830.00,839.00,-0.36,"32,534.00","27,464,325.00"
59,2026-06-12,899.80,899.80,839.00,842.00,-1.75,"35,600.00","30,119,644.10"
60,2026-06-11,882.00,882.00,857.00,857.00,-2.61,"26,041.00","22,470,312.50"
61,2026-06-10,829.00,884.00,829.00,880.00,1.63,"28,533.00","24,856,444.80"
62,2026-06-09,850.00,882.90,835.20,865.90,0.8,"47,734.00","40,554,858.50"
63,2026-06-08,875.00,885.00,856.30,859.00,-3.05,"54,037.00","46,912,792.00"
64,2026-06-05,925.00,925.00,875.30,886.00,-4.22,"97,790.00","87,534,480.10"
