S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-27,660.20,700.00,655.70,689.00,2.51,"10,791.00","7,280,726.00"
2,2026-08-26,694.0,710.00,670.0,672.1,-3.16,"11,600.00","7,909,758.70"
3,2026-08-25,693.0,716.00,693.0,694.0,-1.5,"7,496.00","5,241,325.60"
4,2026-08-24,735.0,745.00,701.0,704.6,-4.53,"10,595.00","7,558,068.50"
5,2026-08-21,760.0,795.00,728.0,738.0,-1.6,"8,515.00","6,301,515.80"
6,2026-08-20,743.3,760.00,743.3,750.0,-0.4,"6,043.00","4,525,827.20"
7,2026-08-19,750.4,755.00,734.0,753.0,0.35,"6,427.00","4,798,423.40"
8,2026-08-18,775.0,786.90,750.1,750.4,-4.04,"26,653.00","20,457,400.80"
9,2026-08-17,799.0,805.00,781.0,782.0,-2.86,"9,719.00","7,733,637.50"
10,2026-08-14,810.0,815.00,804.0,805.0,-0.62,"6,512.00","5,257,534.40"
11,2026-08-13,810.0,821.90,806.0,810.0,-0.61,"5,280.00","4,285,577.30"
12,2026-08-12,830.0,830.00,813.1,815.0,-1.81,"11,981.00","9,808,954.70"
13,2026-08-11,820.0,840.00,820.0,830.0,0.24,"11,603.00","9,619,019.20"
14,2026-08-10,824.0,834.80,812.0,828.0,0.0,"7,668.00","6,347,310.50"
15,2026-08-07,825.8,834.90,824.0,828.0,0.0,"10,060.00","8,308,517.10"
16,2026-08-06,830.0,855.00,825.0,828.0,-0.28,"10,218.00","8,486,689.50"
17,2026-08-05,823.0,840.00,822.0,830.3,0.21,"9,248.00","7,686,513.40"
18,2026-08-04,826.1,840.00,826.1,828.6,-1.12,"10,404.00","8,658,383.20"
19,2026-08-03,815.0,860.00,815.0,838.0,-0.12,"21,739.00","18,451,513.10"
20,2026-07-31,820.8,844.90,820.8,839.0,0.6,"15,695.00","13,073,343.50"
21,2026-07-30,846.0,865.00,821.2,834.0,-1.42,"15,135.00","12,587,702.90"
22,2026-07-29,825.6,872.90,825.6,846.0,-2.65,"17,484.00","14,950,505.70"
23,2026-07-28,809.4,877.00,809.4,869.0,2.0,"19,141.00","16,389,420.40"
24,2026-07-27,897.1,905.00,850.0,852.0,-5.86,"30,226.00","26,445,325.70"
25,2026-07-24,930.0,952.00,900.0,905.0,-2.69,"35,842.00","33,035,334.20"
26,2026-07-23,837.0,930.00,827.0,930.0,11.04,"64,326.00","56,764,243.20"
27,2026-07-22,827.1,853.00,826.4,837.5,-0.32,"19,020.00","15,894,464.90"
28,2026-07-21,832.0,873.00,830.0,840.2,-0.44,"46,207.00","39,213,458.10"
29,2026-07-20,830.0,870.00,815.1,843.9,1.91,"31,993.00","26,911,874.40"
30,2026-07-17,800.1,875.50,800.1,828.1,1.11,"22,129.00","18,827,890.70"
31,2026-07-16,800.0,859.00,800.0,819.0,-0.12,"9,640.00","7,921,340.90"
32,2026-07-15,809.1,867.00,809.1,820.0,-1.8,"16,019.00","13,419,003.90"
33,2026-07-14,824.5,899.00,801.0,835.0,-1.75,"17,614.00","14,541,950.20"
34,2026-07-13,858.0,880.00,830.0,849.9,-3.41,"18,305.00","15,511,636.30"
35,2026-07-10,850.0,921.00,849.1,879.9,0.95,"45,663.00","40,926,453.30"
36,2026-07-09,850.0,932.00,807.1,871.6,1.7,"31,890.00","27,296,535.30"
37,2026-07-08,860.0,880.00,826.8,857.0,-1.49,"28,726.00","24,835,324.00"
38,2026-07-07,850.0,890.00,850.0,870.0,-1.92,"20,186.00","17,581,555.50"
39,2026-07-06,853.1,905.00,853.1,887.0,-1.22,"26,917.00","23,614,233.10"
40,2026-07-03,859.8,954.80,859.8,898.0,-0.77,"25,254.00","22,694,076.70"
41,2026-07-02,888.0,915.00,865.0,905.0,1.91,"27,833.00","24,669,863.80"
42,2026-07-01,807.5,907.00,807.5,888.0,4.48,"29,517.00","25,937,444.10"
43,2026-06-30,812.3,855.00,788.0,849.9,-0.6,"27,374.00","22,885,217.40"
44,2026-06-29,831.3,875.00,831.3,855.0,-2.29,"31,428.00","26,894,334.10"
45,2026-06-26,880.0,905.00,873.1,875.0,-2.78,"25,803.00","22,872,906.20"
46,2026-06-25,875.0,936.00,851.0,900.0,2.86,"23,135.00","20,511,850.60"
47,2026-06-24,860.0,900.00,810.0,875.0,2.1,"39,477.00","33,349,079.00"
48,2026-06-23,950.0,950.00,855.1,857.0,-11.12,"54,588.00","49,049,001.00"
49,2026-06-22,961.8,"1,053.40",870.1,964.2,5.26,"81,620.00","77,370,648.00"
50,2026-06-19,836.0,916.0,836.0,916.0,14.99,"1,380.00","1,262,412.00"
51,2026-06-18,700.0,796.6,700.0,796.6,15.0,398.0,"312,992.40"
52,2026-06-17,620.4,692.7,620.4,692.7,14.99,250.0,"171,420.00"
53,2026-06-16,550.0,602.4,550.0,602.4,14.98,260.0,"155,536.00"
54,2026-06-15,469.2,523.9,469.2,523.9,14.99,210.0,"108,688.00"
55,2026-06-12,413.0,455.6,413.0,455.6,14.99,100.0,"43,758.00"
56,2026-06-11,331.7,396.2,331.7,396.2,14.97,100.0,"36,810.00"
57,2026-06-10,299.7,344.6,299.7,344.6,14.98,110.0,"36,581.00"
