S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-19,560.00,595.00,546.00,568.00,2.90,"122,319.00","68,670,781.70"
2,2026-08-18,560.0,574.0,552.0,552.0,-0.36,"126,207.00","70,874,088.00"
3,2026-08-17,530.0,566.0,530.0,554.0,6.11,"219,396.00","121,672,691.50"
4,2026-08-14,492.0,530.0,488.7,522.1,6.86,"158,720.00","82,215,575.20"
5,2026-08-13,486.2,495.0,486.2,488.6,-0.89,"16,230.00","7,951,612.20"
6,2026-08-12,466.0,498.0,466.0,493.0,0.61,"12,040.00","5,901,408.50"
7,2026-08-11,490.0,498.0,488.0,490.0,0.0,"15,807.00","7,785,948.10"
8,2026-08-10,485.4,497.0,483.1,490.0,0.2,"19,700.00","9,665,211.80"
9,2026-08-07,486.0,497.0,486.0,489.0,-1.01,"16,680.00","8,178,281.70"
10,2026-08-06,492.1,505.0,490.0,494.0,0.39,"15,068.00","7,508,153.10"
11,2026-08-05,514.5,514.5,485.0,492.1,0.43,"14,333.00","7,065,917.70"
12,2026-08-04,473.0,500.0,473.0,490.0,-1.41,"17,762.00","8,769,478.60"
13,2026-08-03,504.0,515.0,496.1,497.0,-1.37,"18,887.00","9,475,512.50"
14,2026-07-31,486.0,506.6,482.0,503.9,3.68,"28,242.00","14,106,893.80"
15,2026-07-30,491.2,497.7,483.0,486.0,-1.84,"22,600.00","11,064,077.30"
16,2026-07-29,496.0,505.0,495.0,495.1,-0.82,"15,748.00","7,843,377.80"
17,2026-07-28,533.4,533.4,496.0,499.2,-1.73,"26,681.00","13,368,766.50"
18,2026-07-27,520.0,525.0,500.0,508.0,-3.03,"36,428.00","18,524,657.50"
19,2026-07-24,495.0,539.9,495.0,523.9,1.73,"59,608.00","31,348,322.70"
20,2026-07-23,491.0,518.0,491.0,515.0,3.21,"34,661.00","17,537,268.70"
21,2026-07-22,510.0,520.0,495.0,499.0,-1.19,"39,493.00","19,772,590.20"
22,2026-07-21,500.0,511.9,490.0,505.0,1.2,"53,742.00","26,974,785.70"
23,2026-07-20,490.0,503.0,485.0,499.0,3.53,"33,458.00","16,628,547.40"
24,2026-07-17,463.0,492.0,463.0,482.0,7.11,"23,309.00","11,173,255.70"
25,2026-07-16,463.3,470.0,450.0,450.0,-2.87,"25,338.00","11,617,373.80"
26,2026-07-15,447.0,470.0,447.0,463.3,0.94,"9,551.00","4,430,081.50"
27,2026-07-14,470.0,470.0,435.1,459.0,0.44,"32,984.00","14,956,574.80"
28,2026-07-13,488.0,488.0,452.0,457.0,-3.59,"36,748.00","16,879,541.40"
29,2026-07-10,474.0,493.0,473.0,474.0,0.0,"35,162.00","16,913,650.50"
30,2026-07-09,481.0,499.0,474.0,474.0,-3.27,"45,833.00","22,114,729.50"
31,2026-07-08,510.0,519.0,490.0,490.0,-5.04,"29,957.00","15,054,137.90"
32,2026-07-07,515.0,528.8,514.0,516.0,-0.77,"16,873.00","8,710,777.10"
33,2026-07-06,522.0,528.0,515.0,520.0,-1.18,"34,509.00","17,911,338.50"
34,2026-07-03,535.0,540.0,525.0,526.2,-1.46,"53,824.00","28,633,300.70"
35,2026-07-02,540.0,541.9,530.0,534.0,-2.2,"22,899.00","12,260,186.20"
36,2026-07-01,529.2,546.5,529.2,546.0,1.87,"25,120.00","13,633,762.90"
37,2026-06-30,545.0,550.0,529.0,536.0,-1.65,"21,900.00","11,716,034.10"
38,2026-06-29,586.6,586.6,542.0,545.0,-2.45,"45,338.00","25,135,141.00"
39,2026-06-26,552.0,559.0,543.1,558.7,1.21,"82,999.00","45,927,261.90"
40,2026-06-25,545.0,558.9,545.0,552.0,0.91,"37,469.00","20,773,709.90"
41,2026-06-24,525.0,549.7,522.0,547.0,3.8,"65,740.00","35,260,995.80"
42,2026-06-23,530.0,538.9,525.3,527.0,-2.41,"20,608.00","10,940,550.70"
43,2026-06-22,555.0,556.0,538.0,540.0,-1.39,"47,153.00","25,807,582.90"
44,2026-06-19,510.2,556.0,510.2,547.6,1.97,"32,379.00","17,731,314.40"
45,2026-06-18,541.0,547.7,536.1,537.0,-0.74,"17,134.00","9,251,343.70"
46,2026-06-17,551.0,558.7,532.0,541.0,-1.64,"53,344.00","28,912,030.70"
47,2026-06-16,560.0,576.0,548.0,550.0,-1.79,"77,140.00","42,983,771.70"
48,2026-06-15,569.0,585.9,560.0,560.0,-2.44,"42,137.00","23,924,753.40"
49,2026-06-12,577.0,590.0,566.0,574.0,-1.71,"51,883.00","29,984,752.60"
50,2026-06-11,571.3,602.5,571.3,584.0,0.0,"86,681.00","51,177,911.30"
51,2026-06-10,579.0,595.0,571.0,584.0,1.83,"60,896.00","35,568,189.90"
52,2026-06-09,601.0,601.0,563.2,573.5,0.09,"61,405.00","35,315,891.90"
53,2026-06-08,594.0,595.0,571.9,573.0,-3.54,"79,958.00","46,511,204.60"
54,2026-06-05,629.4,629.4,585.0,594.0,-0.92,"110,562.00","65,107,506.80"
55,2026-06-04,571.0,620.0,571.0,599.5,-0.22,"138,661.00","84,618,321.70"
56,2026-06-03,580.0,615.0,580.0,600.8,-1.35,"136,440.00","82,283,818.40"
57,2026-06-02,655.2,655.2,600.0,609.0,-2.4,"145,445.00","89,919,720.10"
58,2026-06-01,601.1,626.0,590.0,624.0,4.0,"206,078.00","127,029,919.50"
59,2026-05-27,620.0,620.0,595.0,600.0,-2.28,"159,635.00","96,749,084.90"
60,2026-05-26,600.0,616.9,575.0,614.0,3.54,"180,134.00","108,228,127.60"
61,2026-05-25,566.0,604.9,566.0,593.0,4.77,"121,172.00","71,536,980.90"
62,2026-05-22,532.0,572.0,528.0,566.0,6.39,"106,297.00","59,534,270.10"
63,2026-05-21,547.0,558.9,531.8,532.0,-2.74,"35,137.00","18,890,073.40"
64,2026-05-20,530.0,556.0,525.0,547.0,2.78,"52,639.00","28,877,071.80"
65,2026-05-19,510.0,540.0,510.0,532.2,2.82,"40,169.00","21,346,117.60"
66,2026-05-18,503.1,523.0,503.1,517.6,2.88,"27,109.00","14,012,055.30"
67,2026-05-15,501.1,510.0,501.1,503.1,-0.42,"9,264.00","4,679,307.40"
68,2026-05-14,505.0,510.0,504.0,505.2,-0.73,"5,621.00","2,850,763.30"
69,2026-05-13,505.0,514.0,503.1,508.9,-1.38,"9,235.00","4,682,602.90"
70,2026-05-12,525.0,530.0,504.2,516.0,-1.62,"33,693.00","17,393,893.30"
71,2026-05-11,500.0,527.5,500.0,524.5,1.84,"17,959.00","9,403,317.10"
72,2026-05-08,499.0,515.0,495.3,515.0,3.5,"17,476.00","8,827,976.70"
73,2026-05-07,500.0,505.0,496.0,497.6,-0.24,"9,253.00","4,615,415.70"
74,2026-05-06,501.0,517.0,495.0,498.8,-2.96,"25,689.00","12,896,885.60"
75,2026-05-05,504.0,524.0,497.0,514.0,0.8,"33,962.00","17,320,620.30"
76,2026-05-04,510.0,529.0,502.0,509.9,-1.75,"11,312.00","5,757,613.30"
77,2026-04-30,522.0,522.0,510.6,519.0,-1.14,"24,060.00","12,414,860.30"
78,2026-04-29,536.2,563.0,520.0,525.0,-2.09,"19,630.00","10,327,210.20"
