S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-25,470.00,479.00,460.10,476.00,1.28,"5,446.00","2,531,262.30"
2,2026-08-24,501.00,501.00,461.10,470.00,-1.67,"4,298.00","2,006,304.30"
3,2026-08-21,475.50,480.00,465.00,478.00,2.11,"6,701.00","3,142,944.60"
4,2026-08-20,467.10,481.00,465.00,468.10,-1.95,"2,723.00","1,274,439.50"
5,2026-08-19,456.00,479.40,456.00,477.40,-0.33,"7,699.00","3,647,758.10"
6,2026-08-18,510.30,510.30,470.00,479.00,-1.44,"2,210.00","1,041,480.00"
7,2026-08-17,498.80,498.80,470.10,486.00,-0.8,"4,584.00","2,180,352.30"
8,2026-08-14,479.00,489.90,465.00,489.90,-0.02,"13,373.00","6,269,645.60"
9,2026-08-13,495.00,495.00,480.10,490.00,1.03,"2,861.00","1,383,335.90"
10,2026-08-12,499.00,499.00,483.00,485.00,-2.81,"1,640.00","798,885.00"
11,2026-08-11,475.00,499.00,473.10,499.00,3.42,"6,066.00","2,933,547.60"
12,2026-08-10,490.00,495.00,480.10,482.50,-2.92,"3,914.00","1,887,650.10"
13,2026-08-07,523.00,523.00,480.00,497.00,-0.4,"7,298.00","3,533,740.70"
14,2026-08-06,521.00,521.00,487.00,499.00,0.4,"5,470.00","2,690,700.20"
15,2026-08-05,472.20,497.40,470.00,497.00,2.9,"11,994.00","5,845,574.60"
16,2026-08-04,470.00,484.00,470.00,483.00,0.84,"9,291.00","4,419,615.60"
17,2026-08-03,480.00,490.00,471.00,479.00,-0.21,"5,595.00","2,673,939.50"
18,2026-07-31,450.00,488.20,450.00,480.00,2.94,"4,825.00","2,255,503.60"
19,2026-07-30,476.00,477.00,465.00,466.30,-1.23,"3,538.00","1,661,618.20"
20,2026-07-29,489.00,489.00,468.60,472.10,-2.26,"5,072.00","2,410,468.60"
21,2026-07-28,504.10,504.10,470.10,483.00,0.6,"5,349.00","2,574,350.10"
22,2026-07-27,465.00,493.50,465.00,480.10,-1.34,"5,423.00","2,644,167.60"
23,2026-07-24,490.00,500.00,486.00,486.60,-0.9,"5,700.00","2,786,518.60"
24,2026-07-23,504.90,504.90,487.00,491.00,-0.99,"2,567.00","1,266,948.00"
25,2026-07-22,490.00,502.00,490.00,495.90,-1.61,"7,959.00","3,926,920.00"
26,2026-07-21,510.00,510.00,485.00,504.00,3.68,"18,593.00","9,235,623.00"
27,2026-07-20,489.00,499.00,486.10,486.10,-0.59,"4,788.00","2,352,418.40"
28,2026-07-17,471.00,490.00,471.00,489.00,6.7,"8,419.00","4,029,443.00"
