S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-26,730.00,730.00,670.10,686.50,-3.31,"6,088.00","4,149,559.80"
2,2026-08-25,685.00,757.00,685.00,710.00,-1.39,"8,804.00","6,224,844.10"
3,2026-08-24,715.00,735.00,707.00,720.00,0.0,"14,892.00","10,766,366.00"
4,2026-08-21,709.50,734.30,705.40,720.00,-0.55,"22,624.00","16,280,991.40"
5,2026-08-20,710.00,724.00,695.00,724.00,0.56,"17,571.00","12,492,005.10"
6,2026-08-19,697.10,729.70,695.00,720.00,0.84,"12,715.00","9,058,259.50"
7,2026-08-18,735.00,746.00,714.00,714.00,-3.12,"19,120.00","14,053,178.50"
8,2026-08-17,696.00,737.00,690.20,737.00,5.89,"23,307.00","16,642,877.60"
9,2026-08-14,687.00,707.00,680.00,696.00,1.31,"10,979.00","7,647,686.90"
10,2026-08-13,683.00,689.00,675.00,687.00,0.44,"8,562.00","5,827,988.10"
11,2026-08-12,681.00,692.00,677.10,684.00,0.44,"7,016.00","4,774,199.90"
12,2026-08-11,637.00,695.00,637.00,681.00,1.64,"8,696.00","5,939,699.00"
13,2026-08-10,694.00,694.00,660.00,670.00,-3.46,"8,460.00","5,686,291.80"
14,2026-08-07,700.00,700.00,683.40,694.00,-1.42,"4,666.00","3,212,152.00"
15,2026-08-06,670.00,710.80,670.00,704.00,0.57,"6,902.00","4,794,074.80"
16,2026-08-05,670.00,726.50,670.00,700.00,-0.71,"11,305.00","7,998,361.00"
17,2026-08-04,699.00,730.00,690.00,705.00,-1.95,"6,625.00","4,643,714.90"
18,2026-08-03,731.00,748.00,695.00,719.00,-1.68,"10,916.00","7,839,169.10"
19,2026-07-31,700.00,731.30,700.00,731.30,2.14,"4,577.00","3,265,034.00"
20,2026-07-30,688.30,730.00,688.30,716.00,-1.17,"9,417.00","6,736,500.40"
21,2026-07-29,746.00,793.00,710.00,724.50,-2.75,"12,310.00","8,948,865.10"
22,2026-07-28,725.00,765.80,725.00,745.00,-0.13,"7,654.00","5,723,371.00"
23,2026-07-27,770.40,793.00,718.00,746.00,-5.93,"20,654.00","15,496,348.50"
24,2026-07-24,780.50,810.00,770.00,793.00,0.38,"28,911.00","22,658,406.30"
25,2026-07-23,719.00,792.00,719.00,790.00,4.48,"33,953.00","26,130,015.40"
26,2026-07-22,794.00,794.00,750.60,756.10,-1.93,"8,067.00","6,136,476.80"
27,2026-07-21,808.00,824.00,767.00,771.00,-4.58,"13,838.00","10,919,169.30"
28,2026-07-20,762.90,808.00,742.20,808.00,7.16,"7,678.00","5,950,895.40"
29,2026-07-17,700.00,783.00,690.00,754.00,10.72,"9,376.00","6,811,596.00"
30,2026-07-16,702.00,721.00,680.00,681.00,-4.35,"3,138.00","2,166,438.00"
31,2026-07-15,679.00,715.00,663.00,712.00,4.72,"8,116.00","5,634,198.00"
32,2026-07-14,650.00,688.00,608.20,679.90,3.49,"10,135.00","6,575,733.90"
33,2026-07-13,705.00,705.00,653.00,657.00,-6.12,"8,913.00","5,938,076.50"
34,2026-07-10,740.00,746.00,688.80,699.80,-5.43,"5,344.00","3,836,836.00"
35,2026-07-09,784.00,784.00,720.80,740.00,-3.41,"6,061.00","4,459,118.50"
36,2026-07-08,780.00,795.00,766.10,766.10,-4.24,"6,462.00","5,026,304.80"
37,2026-07-07,791.00,805.00,790.10,800.00,-0.62,"5,412.00","4,306,771.30"
38,2026-07-06,810.00,828.00,796.00,805.00,-3.25,"5,654.00","4,535,165.00"
39,2026-07-03,775.00,840.00,775.00,832.00,2.07,"7,754.00","6,351,204.60"
40,2026-07-02,855.00,935.00,765.00,815.10,-9.43,"8,238.00","6,891,797.20"
41,2026-07-01,795.00,900.00,775.00,900.00,13.9,"7,876.00","6,416,383.00"
42,2026-06-30,777.10,824.00,777.10,790.20,-3.4,"5,826.00","4,628,354.60"
43,2026-06-29,800.00,825.90,800.00,818.00,-0.85,"5,123.00","4,180,095.80"
44,2026-06-26,839.00,862.00,814.60,825.00,-1.67,"3,860.00","3,206,673.10"
45,2026-06-25,895.90,895.90,817.00,839.00,-11.03,"21,280.00","17,789,757.10"
46,2026-06-24,800.00,943.00,781.00,943.00,14.69,"8,327.00","6,754,567.10"
47,2026-06-23,835.50,844.80,821.20,822.20,-4.4,"5,888.00","4,876,574.60"
48,2026-06-22,893.00,893.00,838.00,860.00,-3.04,"8,671.00","7,449,844.80"
49,2026-06-19,869.00,894.00,844.20,887.00,3.14,"21,008.00","18,320,428.20"
50,2026-06-18,809.00,872.40,803.00,860.00,6.3,"25,262.00","21,422,855.60"
51,2026-06-17,772.00,854.00,772.00,809.00,-0.37,"5,603.00","4,633,691.60"
52,2026-06-16,805.10,820.00,805.10,812.00,-1.58,"4,775.00","3,889,904.50"
53,2026-06-15,837.00,855.00,816.30,825.00,-1.55,"5,661.00","4,677,118.50"
