S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-03,520.00,529.90,515.00,515.00,-0.77,"7,510.00","3,908,836.80"
2,2026-09-02,519.0,520.9,508.5,519.0,0.41,"7,970.00","4,112,351.10"
3,2026-09-01,505.0,525.0,500.0,516.9,1.33,"12,673.00","6,528,237.40"
4,2026-08-31,540.0,540.0,510.0,510.1,-6.04,"20,729.00","10,769,190.30"
5,2026-08-27,545.0,549.0,515.0,540.0,0.0,"19,450.00","10,406,838.50"
6,2026-08-26,560.0,569.0,535.0,540.0,-4.39,"22,032.00","12,128,577.30"
7,2026-08-25,560.0,580.0,560.0,564.8,-1.26,"17,363.00","9,806,441.40"
8,2026-08-24,579.0,586.0,570.0,572.0,-2.05,"18,772.00","10,802,261.80"
9,2026-08-21,600.0,600.0,578.0,584.0,-0.68,"16,715.00","9,758,385.20"
10,2026-08-20,627.0,627.0,586.0,588.0,-1.67,"13,603.00","8,023,809.10"
11,2026-08-19,581.0,605.0,581.0,598.0,0.52,"20,116.00","11,995,290.00"
12,2026-08-18,601.0,619.0,590.0,594.9,-1.83,"26,037.00","15,647,873.20"
13,2026-08-17,590.0,610.0,575.2,606.0,4.46,"47,698.00","28,462,632.30"
14,2026-08-14,585.0,586.1,580.1,580.1,-0.84,"13,721.00","7,996,622.80"
15,2026-08-13,586.0,590.0,581.2,585.0,-0.51,"16,109.00","9,421,975.60"
16,2026-08-12,591.0,599.9,586.0,588.0,-0.51,"10,866.00","6,399,081.30"
17,2026-08-11,585.0,599.0,585.0,591.0,1.2,"25,797.00","15,255,299.10"
18,2026-08-10,581.0,590.0,580.0,584.0,-0.14,"18,488.00","10,793,572.50"
19,2026-08-07,556.0,588.2,556.0,584.8,-0.05,"12,856.00","7,515,653.80"
20,2026-08-06,588.0,599.0,585.0,585.1,-0.49,"20,057.00","11,842,447.60"
21,2026-08-05,599.0,599.0,581.1,588.0,0.51,"14,366.00","8,424,319.80"
22,2026-08-04,596.0,596.0,580.0,585.0,-1.66,"22,883.00","13,412,950.30"
23,2026-08-03,608.0,608.0,590.0,594.9,-0.35,"16,454.00","9,859,905.70"
24,2026-07-31,582.0,597.0,570.2,597.0,1.7,"27,776.00","16,230,951.00"
25,2026-07-30,593.0,599.5,585.0,587.0,-1.01,"17,807.00","10,519,337.90"
26,2026-07-29,599.2,612.0,590.0,593.0,-1.08,"26,816.00","16,022,127.30"
27,2026-07-28,602.5,613.0,585.2,599.5,-0.58,"43,141.00","25,887,587.30"
28,2026-07-27,634.9,634.9,600.0,603.0,-5.02,"38,521.00","23,702,419.60"
29,2026-07-24,635.0,646.0,625.0,634.9,-0.02,"59,530.00","37,698,707.70"
30,2026-07-23,669.8,669.8,612.1,635.0,-9.93,"191,406.00","122,425,656.70"
31,2026-07-22,607.0,723.0,607.0,705.0,10.5,"65,595.00","42,068,325.80"
32,2026-07-21,638.0,665.0,638.0,638.0,-4.35,"74,590.00","48,154,117.20"
33,2026-07-20,594.0,667.4,594.0,667.0,6.69,"92,800.00","59,489,657.40"
34,2026-07-17,576.0,625.2,576.0,625.2,6.87,"55,241.00","33,926,724.10"
35,2026-07-16,571.9,588.8,560.2,585.0,4.46,"40,201.00","23,160,857.20"
36,2026-07-15,562.0,580.0,555.8,560.0,-2.61,"50,118.00","28,526,979.10"
37,2026-07-14,575.0,587.0,558.0,575.0,0.0,"48,150.00","27,609,204.70"
38,2026-07-13,616.9,616.9,568.5,575.0,-4.18,"36,819.00","21,415,686.00"
39,2026-07-10,571.1,609.0,571.1,600.1,2.58,"39,341.00","23,470,169.90"
40,2026-07-09,600.0,605.0,578.0,585.0,-2.58,"42,423.00","24,754,030.00"
41,2026-07-08,635.0,654.0,587.0,600.5,-5.43,"84,365.00","51,701,496.50"
42,2026-07-07,630.0,650.0,629.5,635.0,0.79,"79,467.00","50,546,537.60"
43,2026-07-06,690.0,690.0,620.8,630.0,-5.28,"85,489.00","55,012,626.90"
44,2026-07-03,652.0,669.7,652.0,665.1,2.01,"33,322.00","22,149,801.70"
45,2026-07-02,650.0,658.0,636.0,652.0,2.35,"33,044.00","21,389,903.90"
46,2026-07-01,639.0,660.0,621.0,637.0,-0.31,"26,572.00","17,165,073.40"
47,2026-06-30,705.0,705.0,625.7,639.0,-4.84,"45,755.00","30,142,504.20"
48,2026-06-29,662.0,674.0,651.0,671.5,1.44,"43,084.00","28,687,020.50"
49,2026-06-26,669.9,682.0,652.0,662.0,0.61,"59,751.00","39,995,389.30"
50,2026-06-25,655.0,701.0,653.8,658.0,-1.64,"27,718.00","18,494,368.80"
51,2026-06-24,700.0,703.0,662.0,669.0,-2.83,"36,626.00","24,556,035.80"
52,2026-06-23,769.5,769.5,688.5,688.5,-15.0,"185,057.00","131,287,767.10"
53,2026-06-22,754.2,810.0,722.0,810.0,4.19,"123,995.00","94,904,730.00"
