S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-02,540.20,566.80,540.10,566.80,2.14,"13,134.00","7,271,017.60"
2,2026-09-01,530.0,560.0,530.0,554.9,2.19,"7,770.00","4,276,160.00"
3,2026-08-31,547.1,554.0,542.0,543.0,-3.72,"8,446.00","4,599,483.70"
4,2026-08-27,550.0,565.0,530.0,564.0,1.62,"15,783.00","8,676,333.00"
5,2026-08-26,565.1,565.2,550.1,555.0,-3.31,"15,773.00","8,752,059.70"
6,2026-08-25,570.0,580.0,567.0,574.0,0.7,"6,094.00","3,480,705.40"
7,2026-08-24,570.1,578.0,565.0,570.0,-1.55,"13,411.00","7,654,697.30"
8,2026-08-21,585.0,595.0,575.0,579.0,-1.03,"15,456.00","8,961,088.00"
9,2026-08-20,580.0,595.0,575.3,585.0,0.17,"14,910.00","8,690,391.40"
10,2026-08-19,592.0,592.0,580.0,584.0,-1.85,"11,574.00","6,770,758.00"
11,2026-08-18,620.3,620.3,590.0,595.0,-1.49,"11,711.00","6,978,684.30"
12,2026-08-17,604.5,614.0,591.1,604.0,1.68,"36,822.00","22,256,894.50"
13,2026-08-14,600.0,602.0,591.0,594.0,-1.0,"11,873.00","7,070,721.20"
14,2026-08-13,598.0,609.5,590.0,600.0,-0.33,"17,918.00","10,726,901.50"
15,2026-08-12,610.0,615.0,599.9,602.0,-2.11,"18,205.00","10,977,030.40"
16,2026-08-11,608.2,626.0,605.1,615.0,-0.81,"29,725.00","18,265,564.90"
17,2026-08-10,561.0,620.0,561.0,620.0,6.0,"73,627.00","44,427,435.50"
18,2026-08-07,575.0,584.9,566.0,584.9,1.55,"19,481.00","11,175,376.20"
19,2026-08-06,580.0,585.9,575.0,576.0,-0.86,"14,035.00","8,133,011.60"
20,2026-08-05,569.0,581.0,562.0,581.0,2.25,"17,800.00","10,202,957.20"
21,2026-08-04,575.0,587.0,557.8,568.2,-2.37,"29,341.00","16,711,845.10"
22,2026-08-03,588.0,600.0,582.0,582.0,-1.0,"36,329.00","21,496,306.80"
23,2026-07-31,552.5,590.0,552.5,587.9,1.36,"11,475.00","6,680,671.00"
24,2026-07-30,597.0,597.0,577.2,580.0,-2.85,"27,695.00","16,188,659.10"
25,2026-07-29,590.2,609.0,586.2,597.0,-0.02,"18,392.00","10,937,761.20"
26,2026-07-28,605.0,605.0,590.0,597.1,-1.31,"19,944.00","11,912,595.80"
27,2026-07-27,626.0,630.0,590.0,605.0,-3.35,"32,479.00","19,808,582.70"
28,2026-07-24,600.0,629.8,600.0,626.0,4.68,"74,284.00","46,212,970.40"
29,2026-07-23,581.0,601.0,581.0,598.0,0.5,"15,918.00","9,459,686.70"
30,2026-07-22,590.0,600.0,585.0,595.0,-0.83,"18,488.00","10,914,324.20"
31,2026-07-21,580.0,605.9,580.0,600.0,0.17,"29,310.00","17,423,559.20"
32,2026-07-20,572.0,599.0,563.0,599.0,4.72,"16,294.00","9,534,781.90"
33,2026-07-17,542.0,572.0,540.2,572.0,5.91,"26,156.00","14,809,803.80"
34,2026-07-16,550.0,569.1,540.1,540.1,-3.55,"20,078.00","11,093,586.80"
35,2026-07-15,569.9,569.9,555.6,560.0,0.0,"8,650.00","4,858,672.60"
36,2026-07-14,560.0,572.0,548.0,560.0,-1.75,"13,237.00","7,412,947.60"
37,2026-07-13,560.1,575.0,560.0,570.0,-0.87,"6,557.00","3,685,824.20"
38,2026-07-10,557.0,584.0,557.0,575.0,0.19,"12,300.00","6,970,196.70"
39,2026-07-09,568.0,585.0,565.0,573.9,-1.9,"10,667.00","6,089,798.00"
40,2026-07-08,575.0,588.0,571.1,585.0,-1.18,"7,177.00","4,154,005.70"
41,2026-07-07,573.0,598.0,573.0,592.0,0.51,"19,267.00","11,289,707.50"
42,2026-07-06,594.0,597.4,575.0,589.0,-0.84,"10,719.00","6,241,755.80"
43,2026-07-03,571.0,607.0,570.1,594.0,2.82,"17,508.00","10,350,465.00"
44,2026-07-02,585.0,587.4,569.9,577.7,-1.25,"10,885.00","6,264,869.40"
45,2026-07-01,565.0,592.5,555.0,585.0,3.17,"9,790.00","5,695,639.30"
46,2026-06-30,610.0,610.0,567.0,567.0,-2.58,"11,477.00","6,660,032.20"
47,2026-06-29,624.0,624.0,575.0,582.0,-2.18,"10,477.00","6,108,630.30"
48,2026-06-26,586.1,604.0,586.1,595.0,0.51,"9,290.00","5,516,660.00"
49,2026-06-25,612.0,612.0,581.0,592.0,-1.15,"5,045.00","2,980,358.50"
50,2026-06-24,595.1,612.9,584.1,598.9,-1.37,"19,213.00","11,418,429.30"
51,2026-06-23,608.0,610.0,600.0,607.2,-1.27,"17,083.00","10,366,712.20"
52,2026-06-22,605.0,628.5,605.0,615.0,0.49,"6,364.00","3,912,309.40"
53,2026-06-19,624.0,638.0,609.0,612.0,-1.61,"10,475.00","6,416,830.40"
54,2026-06-18,613.1,623.0,613.1,622.0,0.32,"7,590.00","4,698,657.30"
55,2026-06-17,622.0,630.0,620.0,620.0,-0.32,"7,689.00","4,783,973.00"
56,2026-06-16,607.0,632.2,607.0,622.0,0.48,"10,095.00","6,268,837.50"
57,2026-06-15,629.0,635.0,615.2,619.0,-1.59,"9,796.00","6,086,663.20"
58,2026-06-12,667.6,667.6,625.0,629.0,-1.09,"14,215.00","8,979,212.80"
59,2026-06-11,632.9,650.0,631.1,635.9,0.47,"27,967.00","17,914,989.50"
60,2026-06-10,619.0,646.8,618.0,632.9,2.25,"26,798.00","17,022,607.50"
61,2026-06-09,625.0,625.0,606.7,619.0,0.65,"15,537.00","9,551,110.20"
62,2026-06-08,621.5,630.0,606.0,615.0,-0.97,"23,642.00","14,533,888.30"
63,2026-06-05,620.0,626.5,618.0,621.0,-1.43,"18,100.00","11,242,689.20"
64,2026-06-04,644.0,652.0,620.0,630.0,-2.17,"17,005.00","10,724,765.10"
65,2026-06-03,640.0,652.8,625.0,644.0,2.24,"24,039.00","15,476,296.60"
66,2026-06-02,623.0,632.0,617.1,629.9,1.11,"21,582.00","13,466,332.90"
67,2026-06-01,630.0,654.0,618.5,623.0,-2.66,"36,183.00","22,861,378.10"
68,2026-05-27,693.0,693.0,639.0,640.0,-3.03,"39,042.00","25,624,830.30"
69,2026-05-26,670.0,675.0,655.0,660.0,-1.49,"26,478.00","17,491,370.50"
70,2026-05-25,650.0,684.9,650.0,670.0,0.28,"52,384.00","35,246,765.10"
71,2026-05-22,625.0,670.0,624.3,668.1,6.05,"110,947.00","73,057,813.00"
72,2026-05-21,641.0,648.9,623.0,630.0,-2.01,"23,497.00","14,794,247.40"
73,2026-05-20,656.2,656.2,620.0,642.9,2.86,"47,897.00","30,479,292.20"
74,2026-05-19,603.0,629.9,600.0,625.0,3.61,"40,114.00","24,940,606.00"
75,2026-05-18,572.0,607.5,572.0,603.2,2.59,"23,069.00","13,875,155.40"
76,2026-05-15,585.0,596.9,585.0,588.0,0.0,"9,090.00","5,343,252.60"
77,2026-05-14,600.0,609.0,582.0,588.0,-1.18,"17,891.00","10,511,383.10"
78,2026-05-13,587.0,597.0,587.0,595.0,-0.34,"6,354.00","3,764,310.50"
79,2026-05-12,617.0,617.0,592.0,597.0,-3.38,"12,710.00","7,685,544.70"
80,2026-05-11,602.0,618.0,602.0,617.9,3.16,"15,812.00","9,697,383.80"
81,2026-05-08,584.0,600.0,579.0,599.0,3.06,"15,050.00","8,942,081.10"
82,2026-05-07,579.5,587.0,576.0,581.2,-0.65,"6,882.00","3,999,155.80"
83,2026-05-06,585.0,600.0,580.0,585.0,-0.51,"9,997.00","5,869,339.40"
84,2026-05-05,586.0,595.0,576.0,588.0,0.34,"15,537.00","9,064,139.10"
85,2026-05-04,598.7,602.5,586.0,586.0,-2.22,"12,005.00","7,110,958.30"
86,2026-04-30,634.2,634.2,594.0,599.3,-0.78,"20,350.00","12,183,514.00"
87,2026-04-29,610.0,618.0,595.0,604.0,-0.98,"17,665.00","10,608,780.90"
88,2026-04-28,618.5,622.0,605.0,610.0,-1.37,"18,721.00","11,401,446.10"
89,2026-04-27,638.6,638.6,615.0,618.5,-0.24,"12,859.00","7,973,167.60"
90,2026-04-24,618.0,620.0,601.2,620.0,0.08,"20,088.00","12,320,366.20"
91,2026-04-23,631.0,639.9,618.0,619.5,-1.82,"17,531.00","10,924,631.70"
92,2026-04-22,625.1,643.7,615.0,631.0,-1.41,"26,039.00","16,301,291.00"
93,2026-04-21,681.3,681.3,635.0,640.0,-1.37,"15,599.00","10,038,601.60"
94,2026-04-20,654.0,654.0,620.0,648.9,2.19,"26,725.00","17,171,414.40"
95,2026-04-17,622.3,647.0,622.3,635.0,0.0,"14,201.00","9,063,524.90"
96,2026-04-16,645.0,653.0,633.2,635.0,-2.91,"24,253.00","15,517,747.60"
97,2026-04-15,655.8,658.0,640.0,654.0,1.08,"29,123.00","18,943,016.00"
98,2026-04-13,650.0,659.9,640.0,647.0,-1.37,"28,521.00","18,422,984.90"
99,2026-04-10,680.0,680.0,646.0,656.0,-1.94,"32,500.00","21,360,969.20"
100,2026-04-09,665.0,678.3,655.0,669.0,2.14,"45,194.00","30,232,445.60"
101,2026-04-08,626.0,657.9,615.0,655.0,6.68,"52,691.00","33,850,122.60"
102,2026-04-07,625.0,642.0,611.4,614.0,-0.97,"16,836.00","10,466,493.40"
103,2026-04-06,592.0,634.0,588.0,620.0,3.68,"34,959.00","21,628,757.00"
104,2026-04-05,659.9,660.0,594.0,598.0,-9.38,"40,562.00","24,955,061.60"
105,2026-04-02,647.8,675.0,647.8,659.9,-0.17,"29,697.00","19,583,145.30"
106,2026-04-01,695.0,695.0,653.1,661.0,-4.89,"22,369.00","15,051,348.00"
107,2026-03-31,690.0,703.8,671.3,695.0,0.14,"29,377.00","20,099,795.80"
108,2026-03-30,705.0,711.0,689.0,694.0,-1.98,"44,493.00","31,071,109.50"
109,2026-03-29,747.4,747.4,703.0,708.0,-3.4,"36,728.00","26,278,018.10"
110,2026-03-26,715.0,734.0,715.0,732.9,2.5,"63,123.00","46,020,666.40"
111,2026-03-25,705.0,727.0,698.0,715.0,1.42,"46,970.00","33,518,317.20"
112,2026-03-24,703.0,707.7,698.0,705.0,0.43,"28,442.00","19,986,038.80"
113,2026-03-23,705.0,719.0,693.0,702.0,-0.71,"40,522.00","28,382,153.20"
114,2026-03-22,705.1,716.0,701.0,707.0,0.27,"41,639.00","29,410,004.70"
115,2026-03-19,705.0,717.2,698.1,705.1,0.16,"57,051.00","40,343,840.50"
116,2026-03-17,711.0,711.0,695.0,704.0,-0.85,"52,110.00","36,517,621.90"
117,2026-03-16,723.0,725.0,704.1,710.0,-2.61,"64,393.00","45,849,369.30"
118,2026-03-15,810.0,810.0,729.0,729.0,-10.0,"144,193.00","106,037,559.40"
119,2026-03-12,745.0,813.0,718.1,810.0,9.46,"136,276.00","100,548,075.30"
120,2026-03-11,768.0,788.0,735.3,740.0,-3.65,"70,389.00","52,961,216.20"
121,2026-03-10,800.0,810.0,750.0,768.0,-3.51,"94,315.00","72,366,483.20"
122,2026-03-09,750.6,795.9,750.6,795.9,8.15,"1,360.00","1,041,030.00"
123,2026-03-03,724.0,740.0,717.1,735.9,1.5,"50,814.00","37,185,778.40"
124,2026-03-01,714.5,730.0,687.0,725.0,-0.55,"29,714.00","21,246,352.30"
125,2026-02-26,744.6,744.6,710.0,729.0,-0.14,"30,786.00","22,114,281.30"
126,2026-02-25,719.0,730.0,696.0,730.0,1.53,"35,376.00","25,300,303.50"
127,2026-02-24,690.0,719.0,673.1,719.0,5.74,"34,247.00","23,791,550.10"
128,2026-02-23,680.0,693.0,665.0,680.0,-0.44,"36,742.00","24,766,642.00"
129,2026-02-22,720.0,729.0,680.0,683.0,-5.14,"30,816.00","21,347,148.30"
130,2026-02-17,743.5,743.5,698.0,720.0,-1.23,"34,915.00","24,980,547.40"
131,2026-02-16,721.0,740.0,712.0,729.0,1.11,"29,374.00","21,244,215.50"
132,2026-02-12,727.3,739.5,720.0,721.0,-2.83,"47,798.00","34,712,338.10"
133,2026-02-11,756.8,770.0,722.0,742.0,0.0,"21,483.00","15,772,885.10"
134,2026-02-10,716.0,755.0,716.0,742.0,1.64,"35,517.00","26,107,226.90"
135,2026-02-09,735.0,753.0,715.0,730.0,-2.67,"43,473.00","31,745,816.20"
136,2026-02-08,745.0,770.0,740.8,750.0,-1.06,"56,122.00","42,208,711.30"
137,2026-02-05,744.8,774.7,744.8,758.0,-0.26,"49,424.00","37,596,731.30"
138,2026-02-04,789.1,790.0,755.1,760.0,-3.68,"65,853.00","50,488,588.00"
139,2026-02-03,820.0,877.0,784.0,789.0,-3.31,"210,982.00","169,801,116.50"
140,2026-02-02,761.0,820.0,761.0,816.0,7.24,"104,728.00","83,777,906.20"
141,2026-02-01,747.8,777.0,721.0,760.9,-0.28,"74,101.00","55,594,966.20"
142,2026-01-29,825.2,840.0,760.0,763.0,-9.38,"128,908.00","100,974,400.20"
143,2026-01-28,834.0,918.9,794.0,842.0,-1.06,"144,499.00","120,058,539.90"
144,2026-01-27,790.0,860.0,775.0,851.0,8.41,"141,936.00","116,672,838.60"
145,2026-01-26,739.0,813.8,717.0,785.0,6.1,"169,437.00","127,422,478.00"
146,2026-01-25,689.0,753.0,689.0,739.9,7.25,"130,833.00","95,101,832.90"
147,2026-01-22,652.0,700.0,652.0,689.9,4.69,"118,951.00","80,555,293.70"
148,2026-01-21,652.0,678.0,652.0,659.0,-0.9,"58,017.00","38,320,454.30"
149,2026-01-20,670.0,680.3,662.0,665.0,-0.6,"81,375.00","54,666,241.50"
150,2026-01-18,645.0,670.1,641.0,669.0,3.24,"110,938.00","73,525,950.60"
151,2026-01-14,650.0,679.0,642.0,648.0,-1.22,"45,157.00","29,464,711.90"
152,2026-01-13,650.0,679.8,650.0,656.0,-1.06,"106,947.00","71,229,818.60"
153,2026-01-12,662.0,673.2,639.1,663.0,2.03,"135,533.00","89,595,828.90"
154,2026-01-08,615.0,650.0,611.1,649.8,3.64,"85,496.00","54,272,103.00"
155,2026-01-07,642.0,664.0,620.0,627.0,-4.13,"98,577.00","63,049,931.10"
156,2026-01-06,675.0,708.0,642.1,654.0,-1.8,"133,901.00","89,622,919.40"
157,2026-01-05,620.0,666.0,605.0,666.0,9.54,"194,735.00","123,725,328.70"
158,2026-01-04,584.0,608.0,575.1,608.0,3.95,"108,114.00","64,301,403.00"
159,2026-01-01,568.0,589.9,560.0,584.9,2.43,"73,078.00","42,297,867.90"
160,2025-12-31,570.0,576.0,556.0,571.0,1.6,"56,574.00","32,128,390.90"
161,2025-12-29,567.6,576.0,555.0,562.0,-0.99,"38,260.00","21,430,224.70"
162,2025-12-28,547.0,570.0,547.0,567.6,2.45,"42,156.00","23,718,139.10"
163,2025-12-24,555.0,577.0,550.0,554.0,-0.18,"20,131.00","11,183,047.80"
164,2025-12-23,555.0,565.0,546.2,555.0,0.02,"27,206.00","15,046,985.80"
165,2025-12-22,559.0,567.9,547.0,554.9,-0.77,"37,623.00","20,824,463.70"
166,2025-12-21,572.0,573.9,556.0,559.2,-2.32,"34,872.00","19,686,825.20"
167,2025-12-18,565.5,585.0,565.5,572.5,-0.78,"38,804.00","22,398,033.80"
168,2025-12-17,585.1,594.9,576.5,577.0,-1.7,"34,031.00","19,792,114.60"
169,2025-12-16,575.0,599.0,575.0,587.0,1.4,"37,183.00","21,944,726.00"
170,2025-12-15,573.1,579.0,566.0,578.9,1.21,"33,111.00","19,049,805.20"
171,2025-12-14,583.0,590.0,570.0,572.0,-2.22,"38,705.00","22,255,942.20"
172,2025-12-11,585.0,599.0,580.0,585.0,-0.17,"40,600.00","23,810,656.60"
173,2025-12-10,591.1,607.0,584.0,586.0,-2.33,"59,011.00","34,941,300.20"
174,2025-12-09,576.3,609.9,576.3,600.0,2.04,"54,340.00","32,568,089.70"
175,2025-12-08,586.0,600.0,580.2,588.0,-0.34,"53,314.00","31,529,009.30"
176,2025-12-07,630.0,630.0,587.3,590.0,-5.19,"76,902.00","46,113,385.10"
177,2025-12-03,607.0,640.0,605.2,622.3,2.86,"105,304.00","65,835,516.20"
178,2025-12-02,578.0,617.0,561.1,605.0,6.27,"101,883.00","60,452,603.70"
179,2025-12-01,561.0,572.3,553.1,569.3,0.94,"29,522.00","16,675,346.50"
180,2025-11-30,566.2,579.0,560.0,564.0,-1.74,"53,028.00","30,167,804.60"
181,2025-11-27,571.0,583.0,566.1,574.0,0.53,"50,931.00","29,343,140.20"
182,2025-11-26,591.0,595.0,571.0,571.0,-3.38,"59,458.00","34,376,998.70"
183,2025-11-25,550.0,591.0,548.1,591.0,6.87,"62,170.00","34,950,459.30"
184,2025-11-24,556.0,568.0,551.0,553.0,-0.54,"60,367.00","33,774,193.80"
185,2025-11-23,555.0,572.0,555.0,556.0,-1.77,"66,360.00","37,317,592.60"
186,2025-11-20,600.0,619.0,561.0,566.0,-4.91,"93,546.00","55,447,315.20"
187,2025-11-19,551.9,595.2,537.0,595.2,10.0,"122,135.00","70,292,740.50"
188,2025-11-18,545.8,555.0,538.1,541.1,0.39,"44,476.00","24,290,301.30"
189,2025-11-17,534.4,554.0,510.0,539.0,2.86,"60,615.00","31,992,259.50"
190,2025-11-16,558.0,558.0,523.0,524.0,-6.09,"55,621.00","29,451,514.40"
191,2025-11-13,520.0,574.0,502.0,558.0,6.88,"56,540.00","30,759,008.80"
192,2025-11-12,580.0,580.0,520.0,522.1,-8.72,"123,835.00","65,747,144.00"
193,2025-11-11,545.8,588.7,545.8,572.0,6.88,"149,771.00","85,254,641.90"
194,2025-11-10,491.2,535.2,491.2,535.2,9.99,"3,280.00","1,754,256.00"
195,2025-11-09,451.0,486.6,451.0,486.6,9.99,970.0,"470,413.00"
196,2025-11-06,402.2,442.4,402.2,442.4,10.0,460.0,"201,909.00"
