S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-13,702.30,714.90,697.10,701.30,-1.92,"2,030.00","1,425,309.70"
2,2026-08-12,724.90,734.70,707.10,715.00,-0.54,"3,402.00","2,435,575.00"
3,2026-08-11,682.10,719.50,682.00,718.90,3.74,"5,620.00","3,969,611.00"
4,2026-08-10,690.00,694.00,685.00,693.00,-0.43,"2,624.00","1,805,780.00"
5,2026-08-07,696.00,707.80,690.00,696.00,-1.69,"4,565.00","3,184,631.70"
6,2026-08-06,709.00,720.00,706.00,708.00,-2.61,"2,781.00","1,974,842.20"
7,2026-08-05,721.00,730.00,706.10,727.00,-0.41,"2,432.00","1,745,763.50"
8,2026-08-04,737.00,737.00,721.00,730.00,-1.18,"3,316.00","2,396,848.70"
9,2026-08-03,760.50,760.50,726.20,738.70,-0.18,"2,599.00","1,901,922.00"
10,2026-07-31,710.00,740.00,710.00,740.00,2.07,"1,586.00","1,145,658.00"
11,2026-07-30,728.10,732.00,715.00,725.00,-2.41,"3,315.00","2,400,399.70"
12,2026-07-29,722.70,745.10,722.70,742.90,0.53,"4,500.00","3,292,378.60"
13,2026-07-28,749.70,749.80,727.40,739.00,1.51,"6,080.00","4,468,722.00"
14,2026-07-27,748.00,780.00,721.10,728.00,-5.45,"7,989.00","5,966,784.70"
15,2026-07-24,775.00,794.90,753.00,770.00,1.45,"11,420.00","8,882,361.70"
16,2026-07-23,731.00,760.00,717.00,759.00,1.07,"10,128.00","7,475,787.60"
17,2026-07-22,755.00,760.00,730.10,751.00,-3.08,"8,786.00","6,555,661.60"
18,2026-07-21,770.00,784.00,745.00,774.90,1.69,"15,018.00","11,468,834.60"
19,2026-07-20,714.00,770.00,693.00,762.00,6.72,"10,958.00","8,113,910.60"
20,2026-07-17,653.00,719.00,653.00,714.00,10.1,"8,444.00","5,767,883.40"
21,2026-07-16,634.00,650.00,633.50,648.50,-0.22,"3,549.00","2,272,171.70"
22,2026-07-15,650.00,655.00,627.00,649.90,0.92,"3,845.00","2,448,798.80"
23,2026-07-14,625.00,655.00,596.10,644.00,2.71,"8,078.00","5,041,732.00"
24,2026-07-13,680.00,680.00,610.20,627.00,-6.42,"8,541.00","5,449,316.40"
25,2026-07-10,677.90,696.90,660.10,670.00,-1.18,"2,758.00","1,863,555.00"
26,2026-07-09,712.00,713.00,659.60,678.00,-4.92,"9,538.00","6,530,961.40"
27,2026-07-08,724.00,737.90,713.10,713.10,-3.64,"3,085.00","2,224,491.00"
28,2026-07-07,721.10,742.00,721.10,740.00,-0.4,"3,798.00","2,784,009.00"
29,2026-07-06,761.00,761.00,722.00,743.00,-3.88,"7,139.00","5,292,866.50"
30,2026-07-03,761.00,798.00,758.00,773.00,-0.9,"3,050.00","2,333,902.50"
31,2026-07-02,816.00,816.00,761.20,780.00,-1.76,"5,357.00","4,134,852.00"
32,2026-07-01,741.00,818.00,741.00,794.00,5.73,"6,088.00","4,766,235.10"
33,2026-06-30,740.00,795.00,739.20,751.00,0.81,"6,351.00","4,826,004.50"
34,2026-06-29,712.50,755.80,712.50,745.00,-0.67,"5,977.00","4,469,382.00"
35,2026-06-26,753.10,785.00,750.00,750.00,-3.23,"3,483.00","2,656,110.50"
36,2026-06-25,810.00,810.00,763.40,775.00,-2.27,"4,079.00","3,177,715.00"
37,2026-06-24,810.00,810.00,770.00,793.00,-1.73,"8,482.00","6,618,940.00"
38,2026-06-23,805.20,827.00,800.00,807.00,-1.38,"8,001.00","6,443,170.80"
39,2026-06-22,840.00,840.00,818.00,818.30,-1.86,"2,189.00","1,802,911.60"
40,2026-06-19,823.20,839.00,822.10,833.80,-0.49,"1,771.00","1,462,756.60"
41,2026-06-18,830.00,843.90,827.00,837.90,-0.25,"1,649.00","1,371,721.20"
42,2026-06-17,830.00,847.00,830.00,840.00,-0.59,"3,023.00","2,532,849.50"
43,2026-06-16,834.00,845.00,820.00,845.00,1.32,"6,313.00","5,248,625.10"
44,2026-06-15,837.00,845.00,824.00,834.00,-1.64,"4,786.00","3,989,939.90"
45,2026-06-12,850.00,860.00,837.30,847.90,-1.52,"2,649.00","2,233,584.60"
46,2026-06-11,852.00,865.00,850.00,861.00,0.12,"2,716.00","2,323,896.30"
47,2026-06-10,835.00,875.00,835.00,860.00,1.3,"5,020.00","4,300,305.30"
48,2026-06-09,840.40,859.00,830.00,849.00,0.13,"4,585.00","3,853,484.70"
49,2026-06-08,835.10,848.00,835.10,847.90,0.22,"3,244.00","2,723,563.00"
50,2026-06-05,860.00,860.00,837.00,846.00,-1.63,"6,098.00","5,153,782.90"
51,2026-06-04,865.00,880.00,851.00,860.00,-0.58,"5,220.00","4,488,610.10"
52,2026-06-03,856.00,883.00,855.00,865.00,0.21,"5,234.00","4,514,484.00"
53,2026-06-02,855.00,870.00,855.00,863.20,0.37,"2,551.00","2,207,134.60"
54,2026-06-01,858.40,911.00,852.10,860.00,-2.81,"5,836.00","5,106,159.70"
55,2026-05-27,894.00,898.90,870.10,884.90,-1.02,"7,842.00","6,911,765.50"
56,2026-05-26,900.00,918.00,880.00,894.00,-1.76,"7,204.00","6,433,600.00"
57,2026-05-25,900.00,929.50,894.00,910.00,-0.87,"10,076.00","9,197,664.60"
58,2026-05-22,875.00,924.00,875.00,918.00,4.32,"17,233.00","15,695,105.70"
