S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-27,480.00,512.00,478.00,502.50,2.38,"26,809.00","13,239,439.80"
2,2026-08-26,500.0,503.0,488.1,490.8,-2.43,"32,048.00","15,789,035.40"
3,2026-08-25,499.0,517.0,498.0,503.0,-0.59,"33,972.00","17,143,989.80"
4,2026-08-24,553.3,553.3,506.0,506.0,-3.98,"48,136.00","24,746,993.60"
5,2026-08-21,535.0,545.0,522.0,527.0,-2.41,"49,833.00","26,454,714.30"
6,2026-08-20,540.0,549.0,536.0,540.0,-1.82,"22,715.00","12,285,916.30"
7,2026-08-19,544.0,556.0,533.0,550.0,0.2,"25,463.00","13,939,241.60"
8,2026-08-18,550.0,565.1,546.2,548.9,-0.2,"76,841.00","42,632,985.70"
9,2026-08-17,530.0,553.0,528.0,550.0,2.61,"58,046.00","31,572,671.30"
10,2026-08-14,530.0,543.0,528.2,536.0,-0.56,"21,868.00","11,706,319.70"
11,2026-08-13,508.0,539.0,508.0,539.0,1.32,"23,312.00","12,441,796.80"
12,2026-08-12,539.0,550.0,531.0,532.0,-1.85,"46,191.00","24,886,647.00"
13,2026-08-11,537.0,555.2,537.0,542.0,0.0,"47,780.00","26,093,803.70"
14,2026-08-10,533.1,550.0,533.1,542.0,-0.04,"28,378.00","15,361,803.90"
15,2026-08-07,554.5,555.0,537.2,542.2,-2.22,"31,077.00","16,851,159.00"
16,2026-08-06,530.0,565.0,527.3,554.5,4.62,"89,655.00","49,628,261.20"
17,2026-08-05,521.0,537.0,518.0,530.0,0.76,"38,622.00","20,425,534.70"
18,2026-08-04,527.1,537.0,521.2,526.0,-2.07,"28,617.00","15,165,001.90"
19,2026-08-03,541.0,576.0,533.0,537.1,-1.27,"41,714.00","22,681,976.20"
20,2026-07-31,534.0,550.0,521.1,544.0,1.49,"37,097.00","19,947,535.80"
21,2026-07-30,548.0,560.0,533.0,536.0,-2.37,"40,236.00","21,835,860.80"
22,2026-07-29,579.0,579.0,540.0,549.0,-2.19,"48,643.00","27,034,129.20"
23,2026-07-28,575.0,575.0,532.0,561.3,1.68,"62,096.00","34,110,813.00"
24,2026-07-27,601.2,608.0,527.0,552.0,-8.18,"71,399.00","40,527,413.30"
25,2026-07-24,583.0,613.0,575.0,601.2,3.12,"88,604.00","53,373,988.20"
26,2026-07-23,550.0,583.0,533.2,583.0,4.11,"75,792.00","42,335,884.20"
27,2026-07-22,547.0,580.0,530.0,560.0,2.55,"52,360.00","29,156,532.40"
28,2026-07-21,510.0,574.0,498.1,546.1,7.5,"78,927.00","42,881,653.40"
29,2026-07-20,497.0,512.0,485.6,508.0,2.21,"51,475.00","25,893,417.40"
30,2026-07-17,473.0,499.8,463.0,497.0,5.07,"33,606.00","16,475,065.30"
31,2026-07-16,480.0,482.5,470.5,473.0,-1.44,"20,278.00","9,629,204.10"
32,2026-07-15,479.0,495.2,475.0,479.9,0.19,"22,727.00","11,010,797.80"
33,2026-07-14,472.0,500.5,462.0,479.0,-1.44,"44,088.00","21,225,132.10"
34,2026-07-13,510.0,510.0,481.5,486.0,-4.71,"38,258.00","18,706,043.50"
35,2026-07-10,477.0,535.6,465.0,510.0,6.92,"51,203.00","26,146,678.00"
36,2026-07-09,480.0,480.0,463.0,477.0,-2.05,"55,910.00","26,297,794.00"
37,2026-07-08,542.2,542.2,485.0,487.0,-5.69,"142,982.00","70,837,396.40"
38,2026-07-07,462.5,516.4,462.5,516.4,14.99,"2,530.00","1,305,181.00"
39,2026-07-06,410.1,449.1,410.1,449.1,14.98,470.0,"209,878.00"
40,2026-07-03,349.8,390.6,349.8,390.6,14.98,150.0,"57,597.00"
41,2026-07-02,295.4,339.7,295.4,339.7,15.0,200.0,"66,189.00"
