S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-25,737.00,778.00,730.00,778.00,5.56,"9,385.00","6,992,116.00"
2,2026-08-24,779.90,779.90,730.00,737.00,-4.66,"11,826.00","8,896,606.90"
3,2026-08-21,795.00,795.00,772.00,773.00,-1.53,"5,444.00","4,229,141.30"
4,2026-08-20,772.10,786.90,772.10,785.00,0.0,"4,591.00","3,575,762.40"
5,2026-08-19,788.00,800.00,776.10,785.00,-0.14,"6,170.00","4,861,103.00"
6,2026-08-18,800.00,809.90,778.00,786.10,-1.49,"8,969.00","7,040,039.00"
7,2026-08-17,805.00,805.00,793.00,798.00,-1.48,"4,629.00","3,700,314.30"
8,2026-08-14,800.00,818.50,800.00,810.00,0.25,"4,369.00","3,529,429.10"
9,2026-08-13,772.60,815.00,772.60,808.00,0.99,"6,003.00","4,825,079.50"
10,2026-08-12,823.70,823.70,800.10,800.10,-0.65,"6,691.00","5,391,885.70"
11,2026-08-11,806.20,820.10,800.00,805.30,-0.11,"9,077.00","7,332,861.20"
12,2026-08-10,803.00,812.00,800.00,806.20,-1.2,"8,628.00","6,960,939.60"
13,2026-08-07,810.00,830.00,802.00,816.00,-0.24,"6,987.00","5,681,143.90"
14,2026-08-06,830.40,858.60,818.00,818.00,-2.97,"10,504.00","8,742,340.60"
15,2026-08-05,826.00,856.00,815.00,843.00,1.08,"12,729.00","10,604,967.40"
16,2026-08-04,817.00,875.00,817.00,834.00,-3.02,"13,309.00","11,244,533.50"
17,2026-08-03,870.00,885.00,850.10,860.00,-1.15,"10,196.00","8,764,893.20"
18,2026-07-31,890.00,890.00,849.00,870.00,-3.55,"51,259.00","44,272,239.50"
19,2026-07-30,"1,008.00","1,008.00",901.90,902.00,-14.99,"31,485.00","28,801,957.30"
20,2026-07-29,930.00,"1,061.00",898.70,"1,061.00",12.39,"25,608.00","24,196,132.30"
21,2026-07-28,900.00,"1,041.00",900.00,944.00,2.61,"17,005.00","15,742,750.40"
22,2026-07-27,960.40,989.90,912.00,920.00,-7.07,"14,408.00","13,771,554.40"
23,2026-07-24,990.00,"1,045.00",965.00,990.00,-0.2,"31,107.00","31,355,705.40"
24,2026-07-23,930.00,999.00,930.00,992.00,3.33,"17,900.00","17,457,081.90"
25,2026-07-22,942.40,989.00,942.40,960.00,-3.23,"5,111.00","4,954,738.50"
26,2026-07-21,997.00,"1,017.00",970.00,992.00,-0.71,"11,513.00","11,450,483.70"
27,2026-07-20,998.00,"1,008.00",970.00,999.10,0.11,"13,133.00","13,026,186.20"
28,2026-07-17,920.00,"1,030.00",920.00,998.00,8.95,"24,893.00","23,970,769.80"
29,2026-07-16,920.00,947.60,901.00,916.00,-1.01,"14,177.00","12,979,901.60"
30,2026-07-15,902.00,929.90,902.00,925.30,2.58,"6,883.00","6,326,444.80"
31,2026-07-14,870.00,905.00,870.00,902.00,1.92,"14,147.00","12,513,008.80"
32,2026-07-13,896.00,897.00,875.10,885.00,-1.44,"14,721.00","12,992,214.40"
33,2026-07-10,892.90,904.00,880.00,897.90,0.56,"6,756.00","6,017,350.30"
34,2026-07-09,884.00,894.50,870.00,892.90,0.44,"10,580.00","9,336,556.50"
35,2026-07-08,880.00,889.00,870.00,889.00,0.45,"17,680.00","15,445,078.10"
36,2026-07-07,846.50,889.90,846.50,885.00,1.74,"15,086.00","13,239,417.90"
37,2026-07-06,855.00,880.00,841.00,869.90,0.57,"13,938.00","11,967,708.60"
38,2026-07-03,905.10,905.10,853.70,865.00,0.35,"15,475.00","13,425,878.60"
39,2026-07-02,866.00,884.00,847.00,862.00,0.0,"12,345.00","10,538,424.60"
40,2026-07-01,830.00,889.00,821.00,862.00,2.24,"16,525.00","14,225,575.90"
41,2026-06-30,836.00,890.00,836.00,843.10,-4.19,"12,498.00","10,666,976.20"
42,2026-06-29,890.10,892.00,870.00,880.00,-3.72,"13,740.00","12,069,588.70"
43,2026-06-26,950.00,950.00,889.90,914.00,-1.72,"14,555.00","13,199,419.30"
44,2026-06-25,876.00,930.00,875.00,930.00,3.34,"18,194.00","16,584,276.80"
45,2026-06-24,930.00,956.00,855.00,899.90,-3.25,"30,181.00","26,713,082.20"
