S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-20,610.00,617.00,590.00,607.50,0.58,"4,376.00","2,606,200.00"
2,2026-08-19,638.0,638.0,600.5,604.0,-0.82,"6,437.00","3,922,276.50"
3,2026-08-18,615.3,625.0,609.0,609.0,-1.62,"13,422.00","8,298,755.50"
4,2026-08-17,604.0,640.0,604.0,619.0,2.33,"22,132.00","13,766,328.30"
5,2026-08-14,591.0,608.0,590.0,604.9,2.42,"7,838.00","4,707,439.91"
6,2026-08-13,590.09,598.0,590.09,590.6,0.08,"5,161.00","3,059,648.99"
7,2026-08-12,592.1,600.0,590.1,590.1,-1.16,"3,649.00","2,166,690.60"
8,2026-08-11,596.0,609.9,592.0,597.0,0.51,"7,416.00","4,436,752.60"
9,2026-08-10,580.0,602.0,580.0,594.0,0.17,"2,799.00","1,665,726.50"
10,2026-08-07,595.0,610.0,586.3,593.0,-0.44,"3,650.00","2,160,857.00"
11,2026-08-06,589.0,605.5,589.0,595.6,-0.57,"4,965.00","2,966,855.30"
12,2026-08-05,585.1,600.0,585.1,599.0,1.53,"4,825.00","2,850,396.40"
13,2026-08-04,589.1,594.0,585.7,590.0,-1.63,"3,923.00","2,314,829.20"
14,2026-08-03,604.0,618.0,593.6,599.8,-0.53,"7,224.00","4,385,599.90"
15,2026-07-31,583.1,606.9,583.1,603.0,1.26,"5,395.00","3,219,559.90"
16,2026-07-30,582.1,600.0,582.1,595.5,-0.75,"1,818.00","1,086,170.70"
17,2026-07-29,593.0,620.0,590.0,600.0,-0.99,"7,772.00","4,633,448.40"
18,2026-07-28,604.5,617.4,604.5,606.0,-1.46,"6,191.00","3,769,657.60"
19,2026-07-27,638.0,649.0,613.3,615.0,-3.45,"9,624.00","6,012,923.60"
20,2026-07-24,632.5,670.0,632.0,637.0,0.97,"25,642.00","16,721,600.10"
21,2026-07-23,621.0,630.9,614.2,630.9,0.94,"12,447.00","7,715,312.80"
22,2026-07-22,643.7,643.7,620.6,625.0,-1.71,"4,641.00","2,901,241.60"
23,2026-07-21,611.0,649.0,611.0,635.9,1.74,"14,570.00","9,234,238.10"
24,2026-07-20,602.0,625.0,592.0,625.0,3.82,"11,311.00","6,940,149.50"
25,2026-07-17,567.0,604.8,567.0,602.0,9.06,"10,093.00","5,923,039.00"
26,2026-07-16,560.0,560.0,550.5,552.0,-1.08,"7,084.00","3,948,931.30"
27,2026-07-15,553.0,568.0,547.1,558.0,0.9,"6,930.00","3,851,407.40"
28,2026-07-14,546.0,563.0,545.5,553.0,-1.6,"7,324.00","4,058,395.90"
29,2026-07-13,585.0,585.0,557.0,562.0,-3.77,"5,550.00","3,134,904.00"
30,2026-07-10,575.0,600.0,575.0,584.0,1.04,"5,674.00","3,325,205.70"
31,2026-07-09,600.0,600.0,576.0,578.0,-3.67,"8,069.00","4,709,310.00"
32,2026-07-08,605.0,633.0,600.0,600.0,-3.69,"7,412.00","4,485,481.80"
33,2026-07-07,610.0,632.0,610.0,623.0,1.3,"4,815.00","2,980,108.00"
34,2026-07-06,640.0,640.0,613.8,615.0,-3.91,"7,996.00","4,988,412.60"
35,2026-07-03,635.2,659.9,603.9,640.0,-2.26,"5,973.00","3,866,283.80"
36,2026-07-02,657.0,659.0,630.0,654.8,-0.33,"8,415.00","5,398,202.40"
37,2026-07-01,630.0,674.6,630.0,657.0,4.29,"9,609.00","6,216,854.20"
38,2026-06-30,643.5,650.0,622.1,630.0,-4.26,"9,451.00","6,009,224.00"
39,2026-06-29,665.1,670.0,639.0,658.0,-1.79,"10,688.00","6,986,625.20"
40,2026-06-26,669.4,684.0,667.1,670.0,-2.05,"4,876.00","3,284,923.20"
41,2026-06-25,670.0,704.0,668.0,684.0,0.0,"5,901.00","4,011,981.90"
42,2026-06-24,671.0,693.1,656.0,684.0,1.33,"15,423.00","10,403,181.30"
43,2026-06-23,695.0,695.0,675.0,675.0,-3.3,"11,846.00","8,054,467.70"
44,2026-06-22,704.0,711.9,696.1,698.0,-1.95,"5,897.00","4,122,883.30"
45,2026-06-19,706.0,712.5,703.0,711.9,0.84,"18,113.00","12,806,077.20"
46,2026-06-18,695.0,712.7,692.1,706.0,-0.07,"6,952.00","4,898,334.60"
47,2026-06-17,703.0,715.0,700.2,706.5,0.43,"11,208.00","7,933,033.90"
48,2026-06-16,666.0,708.9,666.0,703.5,2.7,"18,931.00","13,279,533.90"
49,2026-06-15,720.0,720.0,685.0,685.0,-2.84,"9,641.00","6,708,483.50"
50,2026-06-12,705.0,718.0,700.0,705.0,-2.76,"6,558.00","4,646,595.00"
51,2026-06-11,713.5,732.9,701.0,725.0,0.55,"22,503.00","16,113,395.40"
52,2026-06-10,675.0,738.5,675.0,721.0,6.03,"50,219.00","36,124,770.00"
53,2026-06-09,672.0,680.0,656.9,680.0,0.44,"14,304.00","9,546,120.60"
54,2026-06-08,676.0,690.0,662.0,677.0,-1.74,"14,891.00","10,040,172.60"
55,2026-06-05,705.0,727.5,686.2,689.0,-4.17,"28,051.00","19,584,506.60"
