S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-26,700.00,700.00,661.20,666.00,-4.72,"34,433.00","23,224,945.60"
2,2026-08-25,700.1,731.0,681.5,699.0,-2.09,"42,665.00","29,948,667.60"
3,2026-08-24,774.0,774.0,704.1,713.9,-7.76,"76,385.00","55,903,196.60"
4,2026-08-21,837.4,855.0,752.0,774.0,-2.96,"130,560.00","102,270,420.00"
5,2026-08-20,728.2,797.6,728.2,797.6,14.99,"28,980.00","23,097,581.00"
6,2026-08-19,633.0,693.6,633.0,693.6,14.99,"2,880.00","1,996,302.00"
7,2026-08-18,540.3,603.2,540.3,603.2,14.98,970.00,"583,577.00"
8,2026-08-17,435.0,524.6,435.0,524.6,14.99,460.00,"238,403.00"
9,2026-08-14,400.0,456.2,400.0,456.2,15.0,220.00,"97,664.00"
10,2026-08-13,355.3,396.7,355.3,396.7,14.99,220.00,"85,853.00"
11,2026-08-12,300.0,345.0,300.0,345.0,15.0,150.00,"49,524.00"
