S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-17,870.00,899.70,870.00,899.70,1.09,"4,660.00","4,114,818.60"
2,2026-08-14,853.00,890.00,853.00,890.00,4.09,"10,283.00","8,976,033.70"
3,2026-08-13,850.10,861.00,838.30,855.00,0.0,"3,485.00","2,971,811.00"
4,2026-08-12,865.00,906.00,826.00,855.00,-0.93,"18,108.00","15,469,675.60"
5,2026-08-11,867.00,874.00,855.10,863.00,-0.46,"3,805.00","3,285,450.00"
6,2026-08-10,889.00,890.00,866.00,867.00,-2.58,"3,697.00","3,226,179.00"
7,2026-08-07,928.00,928.00,877.00,890.00,0.45,"4,579.00","4,042,117.80"
8,2026-08-06,885.00,905.00,885.00,886.00,-1.34,"3,583.00","3,197,631.50"
9,2026-08-05,878.00,900.00,878.00,898.00,-0.77,"6,282.00","5,599,042.50"
10,2026-08-04,890.00,915.00,880.00,905.00,-0.54,"8,017.00","7,169,234.00"
11,2026-08-03,865.00,916.00,865.00,909.90,2.73,"17,588.00","15,844,224.20"
12,2026-07-31,848.00,890.00,847.40,885.70,2.06,"6,130.00","5,373,243.80"
13,2026-07-30,875.40,903.00,850.00,867.80,-3.47,"11,208.00","9,701,454.70"
14,2026-07-29,877.90,910.00,867.00,899.00,-0.66,"4,575.00","4,086,727.00"
15,2026-07-28,863.40,929.00,846.00,905.00,1.67,"13,773.00","12,178,319.70"
16,2026-07-27,941.00,970.00,877.00,890.10,-8.24,"14,627.00","13,485,912.20"
17,2026-07-24,930.00,975.40,905.00,970.00,3.19,"28,028.00","26,683,877.30"
18,2026-07-23,867.10,948.40,867.10,940.00,5.16,"19,571.00","17,847,418.40"
19,2026-07-22,888.10,913.00,867.00,893.90,-1.23,"14,317.00","12,589,996.60"
20,2026-07-21,940.00,950.00,880.10,905.00,-1.2,"19,232.00","17,568,047.20"
21,2026-07-20,820.00,916.00,785.00,916.00,14.64,"31,692.00","27,417,767.70"
22,2026-07-17,740.00,799.00,731.10,799.00,12.06,"20,326.00","15,359,848.30"
23,2026-07-16,743.80,750.00,696.00,713.00,-4.14,"7,825.00","5,613,004.20"
24,2026-07-15,733.00,752.90,725.00,743.80,1.47,"8,733.00","6,476,695.00"
25,2026-07-14,720.10,733.00,700.40,733.00,-0.27,"9,458.00","6,804,251.90"
26,2026-07-13,738.00,756.00,735.00,735.00,-2.65,"15,101.00","11,162,251.00"
27,2026-07-10,768.00,790.00,751.10,755.00,-1.69,"5,519.00","4,252,488.10"
28,2026-07-09,800.00,823.00,768.00,768.00,-5.07,"5,453.00","4,277,265.20"
29,2026-07-08,860.00,860.00,801.00,809.00,-3.69,"7,238.00","5,915,565.20"
30,2026-07-07,830.00,850.00,830.00,840.00,-0.59,"3,582.00","3,003,799.00"
31,2026-07-06,850.00,885.80,835.10,845.00,-1.74,"4,841.00","4,121,850.50"
32,2026-07-03,850.00,869.10,839.00,860.00,0.23,"7,183.00","6,197,531.00"
33,2026-07-02,848.00,864.50,845.00,858.00,-0.24,"4,228.00","3,596,899.30"
34,2026-07-01,830.00,880.00,830.00,860.10,1.07,"4,141.00","3,560,202.00"
35,2026-06-30,842.10,858.00,841.00,851.00,-1.85,"11,107.00","9,441,642.90"
36,2026-06-29,870.00,870.00,840.00,867.00,-0.34,"5,587.00","4,751,232.00"
37,2026-06-26,862.00,874.50,853.50,870.00,-0.01,"3,663.00","3,162,288.50"
38,2026-06-25,887.00,887.00,861.00,870.10,-1.91,"5,387.00","4,694,360.50"
39,2026-06-24,880.00,898.00,857.00,887.00,-0.34,"10,346.00","9,024,431.40"
40,2026-06-23,900.10,905.00,889.00,890.00,-3.64,"8,594.00","7,697,850.70"
41,2026-06-22,910.00,930.00,910.00,923.60,1.49,"8,263.00","7,588,232.30"
42,2026-06-19,894.70,915.00,894.70,910.00,0.55,"6,632.00","6,009,545.20"
43,2026-06-18,901.10,908.90,892.00,905.00,0.13,"4,634.00","4,163,263.00"
44,2026-06-17,905.00,920.00,895.00,903.80,-0.28,"7,163.00","6,477,527.80"
45,2026-06-16,937.90,937.90,903.20,906.30,-1.92,"6,077.00","5,522,419.00"
46,2026-06-15,920.00,945.00,904.70,924.00,0.22,"8,698.00","8,021,791.50"
47,2026-06-12,901.00,922.00,900.10,922.00,-0.32,"6,556.00","5,965,006.50"
48,2026-06-11,995.20,995.20,900.30,925.00,-2.42,"9,729.00","9,019,405.70"
49,2026-06-10,910.00,955.00,910.00,947.90,4.16,"10,719.00","10,052,781.40"
50,2026-06-09,882.30,910.00,875.10,910.00,1.22,"16,963.00","15,110,058.40"
51,2026-06-08,970.00,970.00,890.30,899.00,-3.13,"14,681.00","13,217,728.60"
52,2026-06-05,965.00,970.00,919.60,928.00,-3.83,"25,466.00","23,836,033.80"
53,2026-06-04,982.20,"1,003.60",951.60,965.00,-2.53,"15,794.00","15,475,069.50"
54,2026-06-03,"1,000.00","1,015.00",980.00,990.00,-1.98,"18,986.00","18,925,811.90"
55,2026-06-02,"1,020.00","1,029.00",974.10,"1,010.00",-1.46,"21,448.00","21,586,353.30"
56,2026-06-01,"1,075.00","1,099.00","1,007.00","1,025.00",-4.65,"18,907.00","19,594,313.00"
57,2026-05-27,"1,027.10","1,085.00","1,027.10","1,075.00",-0.46,"12,266.00","13,113,942.00"
58,2026-05-26,"1,080.00","1,105.00","1,058.00","1,080.00",-0.02,"25,424.00","27,344,209.30"
59,2026-05-25,"1,026.00","1,098.00","1,026.00","1,080.20",5.19,"28,764.00","31,092,342.80"
60,2026-05-22,985.00,"1,027.00",975.00,"1,026.90",2.79,"12,636.00","12,777,060.40"
61,2026-05-21,"1,000.10","1,025.00",979.40,999.00,-1.09,"20,255.00","20,228,265.80"
62,2026-05-20,975.00,"1,017.00",975.00,"1,010.00",2.38,"10,983.00","10,984,990.00"
63,2026-05-19,"1,000.00","1,030.00",985.10,986.50,-1.35,"11,571.00","11,503,999.40"
64,2026-05-18,978.00,"1,026.90",978.00,"1,000.00",0.3,"12,055.00","12,112,652.80"
