S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,573.00,592.20,565.20,576.80,0.66,"4,928.00","2,824,974.70"
2,2026-08-21,586.00,589.00,572.0,573.00,-2.7,"14,119.00","8,175,977.90"
3,2026-08-20,580.00,590.00,580.0,588.90,-0.19,"5,230.00","3,061,554.20"
4,2026-08-19,592.00,597.00,582.0,590.00,-1.63,"4,022.00","2,370,380.80"
5,2026-08-18,615.00,615.00,590.0,599.80,-2.31,"9,944.00","5,945,945.70"
6,2026-08-17,587.00,614.00,585.0,614.00,4.6,"17,410.00","10,460,587.60"
7,2026-08-14,590.00,598.80,582.0,587.00,-1.34,"5,206.00","3,065,116.40"
8,2026-08-13,590.00,600.00,586.0,595.00,-0.75,"8,995.00","5,316,897.10"
9,2026-08-12,570.00,606.00,570.0,599.50,0.1,"6,572.00","3,897,179.50"
10,2026-08-11,580.00,603.00,580.0,598.90,2.03,"9,026.00","5,331,330.10"
11,2026-08-10,560.50,603.00,560.5,587.00,-0.51,"4,175.00","2,460,229.00"
12,2026-08-07,595.10,600.00,587.0,590.00,-1.17,"10,045.00","5,928,939.30"
13,2026-08-06,600.00,604.00,596.0,597.00,-1.32,"3,408.00","2,041,219.30"
14,2026-08-05,591.00,605.00,591.0,605.00,0.85,"7,780.00","4,650,664.00"
15,2026-08-04,600.10,600.10,590.2,599.90,-0.84,"2,651.00","1,581,297.80"
16,2026-08-03,596.00,620.00,596.0,605.00,0.17,"6,953.00","4,233,824.80"
17,2026-07-31,586.00,607.00,586.0,604.00,1.77,"6,946.00","4,134,477.80"
18,2026-07-30,582.00,601.90,582.0,593.50,-0.84,"5,263.00","3,123,578.20"
19,2026-07-29,618.00,618.90,598.0,598.50,-1.12,"9,226.00","5,574,796.40"
20,2026-07-28,600.20,621.10,600.2,605.30,-1.74,"12,008.00","7,331,984.30"
21,2026-07-27,635.00,640.00,612.0,616.00,-4.2,"11,695.00","7,294,419.00"
22,2026-07-24,665.70,665.70,625.7,643.00,1.42,"34,711.00","22,430,959.10"
23,2026-07-23,595.00,634.90,595.0,634.00,4.45,"16,633.00","10,267,000.70"
24,2026-07-22,601.00,619.00,601.0,607.00,-1.8,"15,700.00","9,546,309.60"
25,2026-07-21,640.00,641.00,611.0,618.10,-2.35,"22,751.00","14,207,138.30"
26,2026-07-20,635.00,635.00,597.0,633.00,4.16,"20,856.00","12,931,337.80"
27,2026-07-17,565.00,607.70,565.0,607.70,7.56,"19,363.00","11,469,064.70"
28,2026-07-16,570.00,585.00,557.1,565.00,-0.7,"6,167.00","3,457,915.20"
29,2026-07-15,552.00,590.00,552.0,569.00,0.0,"3,637.00","2,080,644.50"
30,2026-07-14,542.50,582.00,542.5,569.00,-0.35,"16,369.00","9,188,812.00"
31,2026-07-13,570.00,589.40,565.0,571.00,-2.89,"14,705.00","8,373,955.10"
32,2026-07-10,602.00,605.00,587.0,588.00,-1.01,"8,342.00","4,944,604.00"
33,2026-07-09,597.00,600.00,585.0,594.00,-1.64,"10,254.00","6,081,336.20"
34,2026-07-08,609.10,614.90,600.0,603.90,-2.6,"10,510.00","6,370,679.50"
35,2026-07-07,588.40,628.90,588.4,620.00,0.11,"6,841.00","4,234,370.60"
36,2026-07-06,635.00,635.00,619.2,619.30,-2.47,"3,978.00","2,470,302.50"
37,2026-07-03,617.00,635.00,617.0,635.00,0.32,"6,005.00","3,774,442.40"
38,2026-07-02,633.90,633.90,620.0,633.00,0.48,"4,798.00","3,007,802.60"
39,2026-07-01,613.00,633.90,600.0,630.00,2.69,"10,963.00","6,870,678.80"
40,2026-06-30,607.00,635.00,607.0,613.50,-3.7,"19,886.00","12,269,938.10"
41,2026-06-29,649.20,655.00,635.0,637.10,-2.06,"8,800.00","5,626,865.30"
42,2026-06-26,657.00,665.00,646.0,650.50,-1.44,"10,305.00","6,720,264.50"
43,2026-06-25,667.00,670.00,655.0,660.00,-2.06,"8,874.00","5,889,344.20"
44,2026-06-24,655.10,673.90,646.5,673.90,1.31,"15,193.00","9,927,704.10"
45,2026-06-23,676.00,678.80,664.2,665.20,-1.67,"11,906.00","7,961,637.40"
46,2026-06-22,675.20,685.00,675.2,676.50,-0.51,"14,032.00","9,528,153.20"
47,2026-06-19,681.00,687.50,673.0,680.00,-0.13,"6,571.00","4,457,552.50"
48,2026-06-18,690.00,710.00,675.1,680.90,-1.03,"5,585.00","3,801,922.80"
49,2026-06-17,703.40,703.40,680.0,688.00,0.73,"5,000.00","3,443,451.50"
50,2026-06-16,680.00,690.00,680.0,683.00,0.01,"10,002.00","6,823,517.00"
51,2026-06-15,681.20,698.00,681.2,682.90,-0.89,"11,808.00","8,110,186.70"
52,2026-06-12,699.00,700.00,683.2,689.00,-1.15,"17,862.00","12,308,222.30"
53,2026-06-11,700.00,710.00,686.1,697.00,-0.43,"8,545.00","5,993,467.30"
54,2026-06-10,690.20,710.00,690.2,700.00,1.45,"16,508.00","11,617,735.20"
55,2026-06-09,680.00,692.00,675.0,690.00,-0.29,"21,286.00","14,536,014.80"
56,2026-06-08,676.00,699.00,676.0,692.00,0.36,"13,786.00","9,466,083.50"
57,2026-06-05,693.00,705.00,680.0,689.50,-0.51,"16,254.00","11,177,403.30"
58,2026-06-04,724.00,725.00,693.0,693.00,-2.39,"12,032.00","8,433,528.10"
59,2026-06-03,702.50,718.00,702.5,710.00,0.14,"12,509.00","8,869,648.50"
60,2026-06-02,710.00,719.00,700.0,709.00,0.42,"10,483.00","7,400,623.20"
61,2026-06-01,705.00,730.00,705.0,706.00,-2.61,"15,053.00","10,750,501.00"
62,2026-05-27,695.40,735.00,695.4,724.90,-0.97,"26,684.00","19,315,629.60"
63,2026-05-26,725.00,740.00,725.0,732.00,-1.35,"24,076.00","17,593,109.00"
64,2026-05-25,702.10,760.00,702.1,742.00,0.41,"31,996.00","23,834,241.80"
65,2026-05-22,670.70,744.00,670.7,739.00,4.69,"75,508.00","55,516,707.20"
66,2026-05-21,722.10,730.00,705.0,705.90,-2.9,"21,417.00","15,338,500.20"
67,2026-05-20,699.80,730.00,695.0,727.00,3.89,"49,601.00","35,636,276.50"
68,2026-05-19,680.00,705.00,676.0,699.80,2.16,"35,942.00","25,020,282.30"
69,2026-05-18,670.00,693.00,670.0,685.00,1.78,"11,629.00","7,916,223.60"
70,2026-05-15,667.30,695.00,667.3,673.00,-1.75,"6,321.00","4,263,273.80"
71,2026-05-14,670.00,689.00,665.0,685.00,0.51,"5,767.00","3,876,107.20"
72,2026-05-13,685.00,685.00,665.0,681.50,-0.35,"7,960.00","5,367,254.80"
73,2026-05-12,706.10,711.00,678.0,683.90,-3.14,"18,516.00","12,743,059.60"
74,2026-05-11,683.00,715.00,683.0,706.10,3.23,"26,250.00","18,328,989.30"
75,2026-05-08,660.20,690.00,660.2,684.00,2.24,"10,726.00","7,276,662.60"
76,2026-05-07,694.00,694.00,660.0,669.00,1.21,"6,917.00","4,629,809.00"
77,2026-05-06,665.00,680.00,661.0,661.00,-0.9,"9,611.00","6,435,157.50"
78,2026-05-05,669.30,680.00,660.0,667.00,-0.34,"12,410.00","8,314,949.00"
79,2026-05-04,682.20,690.00,669.3,669.30,-3.42,"10,877.00","7,386,316.20"
80,2026-04-30,690.50,699.00,670.0,693.00,-0.57,"18,017.00","12,283,028.20"
81,2026-04-29,704.00,707.00,685.0,697.00,-0.99,"14,799.00","10,206,785.50"
82,2026-04-28,712.80,710.00,692.0,704.00,-1.23,"25,439.00","17,810,802.20"
