S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-23,570.00,585.00,558.00,563.90,-1.26,"14,473.00","8,178,369.30"
2,2026-09-22,551.00,591.00,551.00,571.10,-1.53,"19,193.00","11,052,157.60"
3,2026-09-18,570.00,597.00,570.00,580.00,-1.36,"29,168.00","16,982,752.70"
4,2026-09-17,600.00,608.50,587.00,588.00,-2.0,"12,221.00","7,251,325.79"
5,2026-09-16,608.00,610.00,591.40,600.00,-1.32,"7,147.00","4,275,064.10"
6,2026-09-15,639.00,639.00,590.00,608.00,-0.16,"46,209.00","28,101,879.60"
7,2026-09-14,607.80,618.00,595.00,609.00,0.18,"31,407.00","19,028,876.50"
8,2026-09-11,640.40,640.40,591.70,607.90,-0.34,"35,658.00","21,974,482.10"
9,2026-09-10,595.00,620.00,595.00,610.00,-0.29,"19,354.00","11,786,274.60"
10,2026-09-09,582.00,625.00,582.00,611.80,3.5,"28,422.00","17,337,065.00"
11,2026-09-07,579.00,614.00,578.00,591.10,1.91,"17,398.00","10,421,118.60"
12,2026-09-03,585.00,590.00,565.00,580.00,-0.17,"7,186.00","4,130,770.90"
13,2026-09-02,566.00,583.00,562.50,581.00,0.21,"7,920.00","4,539,042.50"
14,2026-09-01,568.00,585.00,568.00,579.80,-0.21,"8,352.00","4,810,351.60"
15,2026-08-31,582.00,590.00,563.00,581.00,-2.52,"11,039.00","6,292,129.00"
16,2026-08-27,570.00,599.80,560.00,596.00,1.53,"13,150.00","7,689,379.40"
17,2026-08-26,601.00,605.00,582.00,587.00,-3.61,"13,727.00","8,113,770.50"
18,2026-08-25,620.00,635.00,602.20,609.00,-1.93,"6,493.00","4,008,365.00"
19,2026-08-24,638.00,650.00,620.00,621.00,-4.17,"11,173.00","7,053,838.10"
20,2026-08-21,647.00,663.00,647.00,648.00,-2.26,"6,048.00","3,938,310.40"
21,2026-08-20,645.10,664.40,645.10,663.00,2.77,"5,783.00","3,754,552.30"
22,2026-08-19,612.50,679.80,612.50,645.10,0.06,"28,978.00","19,194,168.50"
23,2026-08-18,650.00,669.00,642.00,644.70,-2.02,"13,959.00","9,082,584.00"
24,2026-08-17,669.00,670.00,653.00,658.00,-1.64,"20,266.00","13,396,325.10"
25,2026-08-14,661.00,700.30,661.00,669.00,-1.62,"20,300.00","13,753,768.50"
26,2026-08-13,672.00,680.20,660.00,680.00,0.74,"33,117.00","22,320,945.40"
27,2026-08-12,678.00,680.00,661.30,675.00,-0.74,"7,484.00","4,998,762.30"
28,2026-08-11,679.00,690.00,661.00,680.00,0.16,"17,493.00","11,778,690.30"
29,2026-08-10,660.00,685.00,660.00,678.90,-0.16,"30,604.00","20,711,371.70"
30,2026-08-07,690.00,690.00,660.00,680.00,-1.45,"15,418.00","10,336,452.40"
31,2026-08-06,681.00,739.00,670.10,690.00,-1.29,"16,708.00","11,527,961.80"
32,2026-08-05,646.00,708.00,646.00,699.00,5.91,"80,355.00","54,876,971.60"
33,2026-08-04,731.00,731.00,660.00,660.00,-5.31,"10,170.00","6,858,397.10"
34,2026-08-03,661.00,709.60,661.00,697.00,2.5,"46,085.00","32,043,492.40"
35,2026-07-31,661.00,685.00,648.00,680.00,0.16,"22,151.00","14,837,824.90"
36,2026-07-30,682.00,682.00,651.00,678.90,-0.16,"24,436.00","16,262,650.10"
37,2026-07-29,716.00,716.00,675.20,680.00,-2.3,"10,073.00","6,944,132.10"
38,2026-07-28,715.00,715.00,660.00,696.00,2.2,"30,875.00","21,208,356.00"
39,2026-07-27,725.00,740.00,681.00,681.00,-6.33,"35,961.00","25,185,076.20"
40,2026-07-24,750.00,757.00,713.00,727.00,-2.42,"51,208.00","37,583,094.80"
41,2026-07-23,668.10,745.00,668.10,745.00,8.46,"51,184.00","36,224,648.90"
42,2026-07-22,670.00,710.00,655.50,686.90,0.28,"29,651.00","20,227,850.00"
43,2026-07-21,675.00,695.00,660.00,685.00,1.48,"37,278.00","25,267,698.60"
44,2026-07-20,625.00,700.00,607.30,675.00,7.83,"27,332.00","17,601,657.70"
45,2026-07-17,574.90,630.00,558.90,626.00,12.01,"25,904.00","15,570,747.00"
46,2026-07-16,565.00,574.00,552.60,558.90,-1.08,"10,156.00","5,667,314.80"
47,2026-07-15,597.00,597.00,553.10,565.00,-0.86,"6,589.00","3,721,538.00"
48,2026-07-14,575.00,575.00,550.10,569.90,-0.85,"9,433.00","5,292,111.90"
49,2026-07-13,596.00,600.00,558.20,574.80,-3.41,"11,523.00","6,551,789.60"
50,2026-07-10,619.50,619.50,582.10,595.10,0.86,"9,535.00","5,664,661.00"
51,2026-07-09,600.00,600.00,580.10,590.00,-1.67,"10,144.00","5,957,395.00"
52,2026-07-08,601.10,608.70,590.00,600.00,-1.48,"12,126.00","7,242,504.20"
53,2026-07-07,600.00,630.00,598.00,609.00,-0.65,"14,593.00","8,934,680.40"
54,2026-07-06,621.40,625.00,612.50,613.00,-2.7,"8,457.00","5,222,704.00"
55,2026-07-03,640.00,644.00,621.00,630.00,-1.56,"5,312.00","3,370,657.00"
56,2026-07-02,648.00,648.00,624.00,640.00,-1.3,"3,860.00","2,435,950.00"
57,2026-07-01,610.00,657.70,601.50,648.40,4.58,"14,520.00","9,260,700.40"
58,2026-06-30,648.00,648.00,617.00,620.00,-4.32,"12,614.00","7,905,661.90"
59,2026-06-29,707.00,707.00,644.00,648.00,-3.79,"16,505.00","10,736,886.90"
60,2026-06-26,662.00,685.70,661.00,673.50,-0.91,"15,727.00","10,550,545.90"
61,2026-06-25,669.40,688.00,669.40,679.70,-1.49,"7,686.00","5,220,281.20"
62,2026-06-24,680.00,700.00,651.00,690.00,-0.72,"21,774.00","14,781,059.80"
63,2026-06-23,725.00,725.00,693.00,695.00,-2.96,"17,245.00","12,096,423.70"
64,2026-06-22,691.60,735.20,691.60,716.20,-1.62,"15,332.00","11,068,062.00"
65,2026-06-19,720.00,729.90,711.00,728.00,1.11,"13,271.00","9,535,865.00"
66,2026-06-18,730.00,747.00,712.10,720.00,-1.1,"22,121.00","15,917,006.10"
67,2026-06-17,733.00,740.00,720.00,728.00,-0.55,"13,451.00","9,794,916.30"
68,2026-06-16,736.00,745.00,730.00,732.00,-1.4,"16,910.00","12,433,658.40"
69,2026-06-15,753.00,760.00,735.50,742.40,-1.41,"14,877.00","11,106,610.40"
70,2026-06-12,758.10,770.00,750.00,753.00,-0.92,"9,839.00","7,421,683.60"
71,2026-06-11,770.00,788.00,755.40,760.00,-1.3,"12,395.00","9,548,552.60"
72,2026-06-10,770.00,792.00,760.00,770.00,0.13,"23,656.00","18,417,147.20"
73,2026-06-09,758.00,771.90,745.00,769.00,1.45,"19,013.00","14,365,026.20"
