S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-02,790.00,820.00,777.00,815.00,3.16,"3,478.00","2,755,905.50"
2,2026-09-01,790.00,834.90,790.00,790.00,-3.07,"4,221.00","3,384,491.50"
3,2026-08-31,877.00,885.00,800.00,815.00,-7.07,"7,026.00","5,828,945.80"
4,2026-08-27,858.70,877.00,830.00,877.00,-0.9,"5,023.00","4,281,326.30"
5,2026-08-26,878.60,885.00,860.00,885.00,-1.99,"2,148.00","1,863,528.80"
6,2026-08-25,900.10,960.00,892.20,903.00,0.32,"2,558.00","2,303,672.70"
7,2026-08-24,864.50,936.20,864.50,900.10,-1.09,"3,411.00","3,121,828.80"
8,2026-08-21,940.00,957.00,893.00,910.00,-5.21,"5,616.00","5,197,259.80"
9,2026-08-20,932.00,960.00,932.00,960.00,1.05,971.00,"911,113.00"
10,2026-08-19,950.00,955.00,930.10,950.00,-0.51,"2,527.00","2,388,032.20"
11,2026-08-18,958.50,960.10,941.00,954.90,-1.56,"2,632.00","2,494,475.40"
12,2026-08-17,980.00,989.00,960.10,970.00,-1.02,"2,303.00","2,218,907.30"
13,2026-08-14,950.50,980.00,950.50,980.00,1.03,"3,244.00","3,136,888.90"
14,2026-08-13,956.30,980.00,956.30,970.00,0.0,"2,537.00","2,450,676.50"
15,2026-08-12,975.00,990.00,960.00,970.00,-0.11,"1,381.00","1,341,058.00"
16,2026-08-11,960.00,991.00,960.00,971.10,-0.91,"2,794.00","2,724,081.90"
17,2026-08-10,970.00,980.00,966.00,980.00,-1.01,"1,155.00","1,120,747.00"
18,2026-08-07,960.30,990.00,960.30,990.00,0.1,"1,482.00","1,458,694.70"
19,2026-08-06,986.00,995.00,970.30,989.00,0.29,"2,791.00","2,746,330.50"
20,2026-08-05,957.00,990.00,957.00,986.10,0.11,"1,492.00","1,466,429.00"
21,2026-08-04,943.40,"1,020.00",943.40,985.00,-0.81,"6,012.00","5,842,335.70"
22,2026-08-03,965.00,"1,023.00",945.00,993.00,1.53,"1,821.00","1,790,892.20"
23,2026-07-31,976.00,997.00,952.00,978.00,0.2,"2,859.00","2,766,940.60"
24,2026-07-30,971.00,998.00,950.20,976.00,-1.21,"4,074.00","3,932,380.80"
25,2026-07-29,930.40,"1,007.00",930.40,988.00,0.89,"4,249.00","4,184,768.00"
26,2026-07-28,999.90,"1,014.00",946.00,979.30,-2.06,"5,199.00","5,136,314.00"
27,2026-07-27,"1,075.00","1,075.00",999.90,999.90,-7.24,"4,178.00","4,293,651.90"
