S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-18,875.80,875.80,806.00,830.00,-0.49,"20,816.00","17,006,975.30"
2,2026-08-17,827.00,900.00,815.00,834.10,-4.13,"51,563.00","43,008,729.50"
3,2026-08-14,948.10,948.10,848.30,870.00,-12.83,"61,915.00","53,538,813.00"
4,2026-08-13,840.00,"1,015.00",831.00,998.00,13.02,"51,863.00","45,153,285.00"
5,2026-08-12,870.20,893.00,852.00,883.00,-1.11,"8,193.00","7,121,931.40"
6,2026-08-11,890.00,894.50,870.10,892.90,-0.35,"7,045.00","6,230,371.10"
7,2026-08-10,880.00,950.00,840.00,896.00,0.67,"13,557.00","11,903,625.50"
8,2026-08-07,870.10,897.90,868.00,890.00,0.0,"7,040.00","6,203,718.50"
9,2026-08-06,906.00,920.00,862.00,890.00,-2.2,"6,582.00","5,903,862.90"
10,2026-08-05,880.00,910.00,880.00,910.00,0.66,"7,276.00","6,494,959.80"
11,2026-08-04,885.00,935.00,880.00,904.00,-1.09,"17,707.00","15,845,952.30"
12,2026-08-03,884.00,980.00,857.50,914.00,3.39,"15,442.00","14,013,497.50"
13,2026-07-31,870.00,900.00,847.00,884.00,1.49,"29,377.00","25,948,020.80"
14,2026-07-30,885.00,891.00,855.20,871.00,-2.57,"11,782.00","10,259,268.00"
15,2026-07-29,903.00,903.00,878.00,894.00,-1.22,"5,088.00","4,516,420.00"
16,2026-07-28,890.10,910.00,873.00,905.00,-1.09,"5,564.00","4,953,669.40"
17,2026-07-27,907.10,930.00,891.00,915.00,-2.14,"10,125.00","9,198,281.20"
18,2026-07-24,944.00,970.00,920.10,935.00,0.65,"28,833.00","26,977,209.00"
19,2026-07-23,904.00,929.90,881.20,929.00,2.65,"17,258.00","15,774,369.20"
20,2026-07-22,881.20,907.00,873.00,905.00,0.67,"11,903.00","10,636,681.40"
21,2026-07-21,892.40,921.90,865.60,899.00,-2.28,"22,590.00","20,540,693.10"
22,2026-07-20,931.30,931.30,846.90,920.00,3.72,"18,051.00","16,174,969.80"
23,2026-07-17,858.90,887.00,802.50,887.00,8.44,"26,143.00","22,215,273.60"
24,2026-07-16,844.00,844.00,785.10,818.00,-0.24,"7,013.00","5,655,635.50"
25,2026-07-15,847.30,847.30,802.10,820.00,1.61,"9,333.00","7,637,452.60"
26,2026-07-14,845.00,845.00,775.00,807.00,-3.65,"26,367.00","21,294,076.60"
27,2026-07-13,883.00,883.00,830.00,837.60,-5.14,"12,275.00","10,487,727.70"
28,2026-07-10,871.00,909.00,866.00,883.00,0.89,"13,080.00","11,572,614.10"
29,2026-07-09,955.00,955.00,875.00,875.20,-3.82,"10,327.00","9,116,414.00"
30,2026-07-08,971.00,971.00,891.00,910.00,-1.62,"7,251.00","6,526,304.50"
31,2026-07-07,920.00,930.00,890.00,925.00,0.76,"9,076.00","8,234,260.60"
32,2026-07-06,976.50,976.50,897.00,918.00,-1.29,"10,287.00","9,341,442.20"
33,2026-07-03,920.90,930.00,910.10,930.00,0.99,"13,126.00","12,054,691.60"
34,2026-07-02,981.70,981.70,915.00,920.90,-1.51,"7,336.00","6,770,358.60"
35,2026-07-01,901.20,935.00,901.20,935.00,2.19,"19,269.00","17,824,474.10"
36,2026-06-30,925.00,940.00,903.00,915.00,-1.4,"7,392.00","6,722,646.20"
37,2026-06-29,901.00,928.00,900.00,928.00,0.0,"9,780.00","8,889,158.00"
38,2026-06-26,907.00,940.00,907.00,928.00,-0.64,"8,912.00","8,185,779.50"
39,2026-06-25,910.00,939.90,900.00,934.00,-0.32,"12,488.00","11,541,198.40"
40,2026-06-24,900.00,937.00,860.00,937.00,2.85,"34,743.00","30,937,421.70"
41,2026-06-23,955.00,955.00,911.00,911.00,-4.92,"21,246.00","19,681,016.30"
42,2026-06-22,"1,002.00","1,002.00",948.00,958.10,0.32,"41,837.00","40,310,954.40"
43,2026-06-19,942.50,956.00,931.00,955.00,1.33,"32,681.00","30,890,657.60"
44,2026-06-18,940.00,955.00,926.50,942.50,0.27,"11,201.00","10,526,203.20"
45,2026-06-17,926.00,948.00,916.00,940.00,1.54,"13,761.00","12,825,336.10"
46,2026-06-16,940.00,949.00,925.00,925.70,-2.56,"13,980.00","13,038,869.90"
47,2026-06-15,949.00,964.90,920.10,950.00,0.02,"14,871.00","13,923,939.00"
48,2026-06-12,925.00,950.00,925.00,949.80,1.15,"16,716.00","15,689,734.80"
49,2026-06-11,965.50,980.60,928.00,939.00,-2.69,"31,939.00","30,372,007.90"
50,2026-06-10,900.00,967.00,900.00,965.00,5.71,"38,504.00","36,421,163.50"
51,2026-06-09,927.00,927.00,885.00,912.90,0.33,"18,510.00","16,647,601.10"
52,2026-06-08,912.00,930.00,880.00,909.90,-0.76,"21,271.00","19,114,649.60"
53,2026-06-05,926.00,934.60,901.00,916.90,-0.98,"22,720.00","20,725,424.10"
54,2026-06-04,930.00,950.00,925.00,926.00,-1.18,"13,324.00","12,456,061.80"
55,2026-06-03,950.00,973.00,930.70,937.10,-1.36,"16,220.00","15,400,123.20"
56,2026-06-02,930.00,950.00,912.30,950.00,2.14,"21,008.00","19,687,224.90"
57,2026-06-01,975.10,975.10,921.00,930.10,-4.61,"22,605.00","21,390,491.60"
58,2026-05-27,942.40,"1,002.00",942.40,975.10,-1.7,"36,368.00","35,793,600.00"
59,2026-05-26,"1,040.00","1,040.00",985.00,992.00,-3.6,"27,924.00","27,959,758.00"
60,2026-05-25,970.00,"1,040.30",955.00,"1,029.00",8.32,"59,202.00","59,866,119.00"
61,2026-05-22,890.00,954.90,878.00,950.00,6.74,"45,803.00","42,402,633.70"
62,2026-05-21,904.00,914.50,882.00,890.00,-1.55,"25,440.00","22,914,185.20"
63,2026-05-20,895.00,910.00,868.20,904.00,1.8,"21,677.00","19,447,809.70"
64,2026-05-19,890.00,909.00,869.10,888.00,-0.22,"16,015.00","14,080,663.70"
65,2026-05-18,910.90,910.90,872.60,890.00,0.45,"13,579.00","12,095,281.10"
66,2026-05-15,884.00,907.40,876.00,886.00,0.23,"11,484.00","10,278,264.80"
67,2026-05-14,930.00,930.00,840.00,884.00,-0.23,"39,202.00","33,833,994.30"
68,2026-05-13,898.00,900.00,880.00,886.00,-1.45,"17,829.00","15,861,686.70"
69,2026-05-12,950.00,956.00,895.00,899.00,-5.96,"32,330.00","29,800,983.50"
70,2026-05-11,962.00,"1,019.00",938.00,956.00,-0.29,"26,580.00","25,487,402.80"
71,2026-05-08,962.00,968.00,910.00,958.80,4.56,"23,388.00","22,221,225.40"
72,2026-05-07,900.00,920.00,880.00,917.00,1.55,"27,662.00","24,960,554.50"
73,2026-05-06,974.30,974.30,901.00,903.00,-2.9,"26,465.00","24,263,703.20"
74,2026-05-05,960.00,986.00,928.00,930.00,-3.13,"30,205.00","28,781,464.80"
75,2026-05-04,"1,029.00","1,029.00",945.00,960.00,-2.05,"23,940.00","23,278,831.90"
76,2026-04-30,964.00,"1,013.00",941.30,980.10,1.88,"25,492.00","25,063,993.20"
77,2026-04-29,995.00,"1,024.00",935.00,962.00,-3.32,"45,797.00","44,166,608.90"
78,2026-04-28,"1,070.00","1,082.70",983.00,995.00,-7.01,"77,031.00","78,051,978.80"
79,2026-04-27,"1,124.00","1,145.00","1,069.00","1,070.00",-4.8,"29,633.00","32,372,337.10"
80,2026-04-24,"1,067.10","1,140.00","1,042.00","1,124.00",2.18,"46,323.00","50,860,948.70"
81,2026-04-23,"1,144.00","1,181.00","1,092.00","1,100.00",-7.17,"56,335.00","63,093,556.80"
82,2026-04-22,"1,270.00","1,270.00","1,150.10","1,185.00",-7.78,"56,625.00","67,676,462.50"
83,2026-04-21,"1,295.00","1,360.00","1,203.00","1,285.00",1.98,"84,702.00","109,891,850.80"
84,2026-04-20,"1,200.00","1,335.00","1,128.10","1,260.00",5.35,"69,209.00","82,358,338.70"
85,2026-04-17,"1,251.00","1,251.00","1,170.00","1,196.00",-4.4,"121,778.00","145,238,480.20"
86,2026-04-16,"1,277.40","1,360.00","1,220.00","1,251.00",-0.11,"114,850.00","147,461,148.50"
87,2026-04-15,"1,161.30","1,252.40","1,161.30","1,252.40",9.99,"33,670.00","42,075,119.00"
88,2026-04-13,"1,055.80","1,138.60","1,055.80","1,138.60",10.0,"50,391.00","56,884,333.40"
89,2026-04-10,959.8,"1,035.10",959.8,"1,035.10",10.0,"8,860.00","9,167,630.00"
90,2026-04-09,872.6,941.0,872.6,941.0,9.99,"7,650.00","7,195,957.00"
91,2026-04-08,793.0,855.5,793.0,855.5,9.99,"6,090.00","5,207,830.00"
92,2026-04-07,721.1,777.8,721.1,777.8,10.0,"2,810.00","2,182,525.00"
93,2026-04-06,655.7,707.1,655.7,707.1,9.99,"2,109.00","1,489,894.10"
94,2026-04-05,584.0,642.9,584.0,642.9,9.99,"1,320.00","846,280.00"
95,2026-04-02,542.0,584.5,542.0,584.5,9.99,570.0,"332,121.00"
96,2026-04-01,492.7,531.4,492.7,531.4,10.0,340.0,"179,724.00"
97,2026-03-31,438.9,483.1,438.9,483.1,10.0,360.0,"172,154.00"
98,2026-03-30,407.2,439.2,407.2,439.2,9.99,190.0,"82,661.00"
99,2026-03-29,360.1,399.3,360.1,399.3,10.0,170.0,"66,240.00"
100,2026-03-26,326.3,363.0,326.3,363.0,10.0,130.0,"45,986.00"
101,2026-03-25,300.0,330.0,300.0,330.0,10.0,90.0,"28,810.00"
