S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-13,895.00,909.00,885.60,898.00,-0.55,"12,482.00","11,173,368.90"
2,2026-08-12,901.1,920.00,890.1,903.0,-1.3,"8,916.00","8,026,760.20"
3,2026-08-11,879.8,945.00,879.8,914.9,-1.21,"19,214.00","17,720,544.50"
4,2026-08-10,951.3,951.30,920.0,926.1,2.22,"48,245.00","45,148,334.20"
5,2026-08-07,837.6,921.00,837.6,906.0,2.77,"22,802.00","20,629,257.10"
6,2026-08-06,916.0,925.00,880.6,881.6,-5.0,"20,417.00","18,457,667.10"
7,2026-08-05,911.0,946.00,910.0,928.0,-0.2,"14,428.00","13,310,852.80"
8,2026-08-04,901.2,953.00,901.2,929.9,-1.49,"13,212.00","12,305,733.80"
9,2026-08-03,925.0,989.80,921.0,944.0,1.93,"39,699.00","37,801,619.90"
10,2026-07-31,925.0,996.00,912.0,926.1,-1.27,"23,492.00","22,088,309.30"
11,2026-07-30,972.0,985.00,935.0,938.0,-3.44,"31,452.00","30,074,499.50"
12,2026-07-29,925.0,975.00,925.0,971.4,4.9,"36,032.00","34,689,482.60"
13,2026-07-28,893.5,955.00,887.0,926.0,1.76,"43,061.00","40,035,588.10"
14,2026-07-27,979.0,"1,010.00",907.0,910.0,-7.05,"34,165.00","32,480,722.40"
15,2026-07-24,989.0,"1,017.10",970.0,979.0,-1.61,"41,940.00","41,379,907.00"
16,2026-07-23,851.0,"1,006.20",851.0,995.0,13.71,"44,496.00","41,242,041.50"
17,2026-07-22,860.0,884.9,840.1,875.0,-0.57,"24,582.00","21,260,675.50"
18,2026-07-21,850.0,903.0,807.0,880.0,6.02,"45,822.00","39,530,558.00"
19,2026-07-20,810.0,835.0,792.1,830.0,3.36,"26,070.00","21,253,242.30"
20,2026-07-17,779.1,815.0,779.1,803.0,3.08,"25,341.00","20,374,792.60"
21,2026-07-16,771.0,784.9,769.0,779.0,1.04,"16,511.00","12,822,973.00"
22,2026-07-15,769.0,790.0,763.0,771.0,0.26,"12,249.00","9,534,059.70"
23,2026-07-14,770.0,794.9,745.0,769.0,-1.41,"26,377.00","20,202,737.70"
24,2026-07-13,810.0,815.0,777.0,780.0,-4.88,"28,359.00","22,528,401.80"
25,2026-07-10,881.0,881.0,810.0,820.0,-6.71,"38,755.00","32,216,467.70"
26,2026-07-09,770.0,904.4,770.0,879.0,11.76,"29,352.00","24,260,216.30"
27,2026-07-08,750.0,810.0,727.4,786.5,4.39,"31,280.00","24,215,171.00"
28,2026-07-07,833.8,833.8,700.0,753.4,-5.13,"81,130.00","61,965,678.00"
29,2026-07-06,725.1,794.1,725.1,794.1,14.99,"12,640.00","10,035,993.00"
30,2026-07-03,618.6,690.6,618.6,690.6,14.99,920.0,"633,605.00"
31,2026-07-02,537.9,600.6,537.9,600.6,14.99,180.0,"106,586.00"
32,2026-07-01,467.8,522.3,467.8,522.3,14.99,130.0,"66,575.00"
33,2026-06-30,411.9,454.2,411.9,454.2,14.99,90.0,"39,940.00"
34,2026-06-29,353.8,395.0,353.8,395.0,14.99,60.0,"22,700.00"
35,2026-06-26,298.7,343.5,298.7,343.5,15.0,70.0,"22,276.00"
