S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-01,640.40,665.00,640.40,659.00,1.70,"210,674.00","138,279,062.60"
2,2026-08-31,660.0,664.8,645.9,648.0,-1.82,"75,473.00","49,150,788.80"
3,2026-08-27,655.4,674.0,652.1,660.0,-0.59,"160,615.00","106,615,018.50"
4,2026-08-26,670.0,683.0,650.3,663.9,-2.22,"238,817.00","158,312,970.50"
5,2026-08-25,680.0,690.0,673.2,679.0,0.01,"202,485.00","137,605,652.20"
6,2026-08-24,685.0,690.0,671.5,678.9,-1.03,"175,007.00","118,847,526.50"
7,2026-08-21,680.0,707.0,680.0,686.0,-1.86,"352,814.00","245,369,420.70"
8,2026-08-20,682.1,702.0,674.1,699.0,2.48,"333,263.00","229,894,094.40"
9,2026-08-19,687.8,689.0,674.0,682.1,-0.83,"247,607.00","168,847,679.00"
10,2026-08-18,700.0,725.0,683.0,687.8,-2.99,"553,373.00","391,455,342.40"
11,2026-08-17,671.0,709.0,660.0,709.0,5.66,"554,842.00","384,493,712.50"
12,2026-08-14,670.0,686.0,670.0,671.0,-1.32,"158,405.00","107,033,793.20"
13,2026-08-13,690.0,702.0,678.3,680.0,-1.45,"228,872.00","157,091,679.10"
14,2026-08-12,670.0,700.2,670.0,690.0,-0.72,"319,127.00","220,659,992.00"
15,2026-08-11,680.0,725.0,680.0,695.0,-2.25,"632,667.00","448,760,589.70"
16,2026-08-10,688.0,724.4,688.0,711.0,3.34,"651,181.00","463,706,120.50"
17,2026-08-07,662.0,720.0,646.7,688.0,3.93,"578,177.00","392,554,054.00"
18,2026-08-06,672.7,702.0,656.0,662.0,-1.59,"350,719.00","237,906,322.80"
19,2026-08-05,585.0,672.7,576.5,672.7,14.99,"909,305.00","581,080,486.70"
20,2026-08-04,570.0,588.0,567.0,585.0,1.39,"108,738.00","62,951,934.30"
21,2026-08-03,583.9,595.0,571.1,577.0,-1.18,"77,231.00","44,849,291.00"
22,2026-07-31,571.0,589.4,566.2,583.9,2.26,"179,906.00","104,488,334.30"
23,2026-07-30,564.1,600.0,564.1,571.0,-3.82,"143,962.00","83,865,787.10"
24,2026-07-29,605.0,614.0,589.0,593.7,-2.08,"73,945.00","44,273,097.70"
25,2026-07-28,561.5,619.0,561.5,606.3,2.59,"318,237.00","190,916,615.40"
26,2026-07-27,600.0,618.0,581.1,591.0,-2.31,"94,026.00","55,907,366.00"
27,2026-07-24,627.0,633.4,599.0,605.0,-2.89,"135,996.00","83,666,703.00"
28,2026-07-23,584.0,627.2,571.0,623.0,6.68,"284,258.00","171,969,426.00"
29,2026-07-22,600.0,600.0,575.0,584.0,-1.35,"64,375.00","37,746,509.80"
30,2026-07-21,570.0,615.0,570.0,592.0,-0.67,"135,872.00","80,990,069.80"
31,2026-07-20,544.0,602.0,534.0,596.0,9.56,"130,044.00","74,185,570.70"
32,2026-07-17,500.1,546.0,500.1,544.0,6.88,"66,962.00","35,669,962.10"
33,2026-07-16,520.0,531.8,500.0,509.0,-2.75,"107,520.00","55,198,370.60"
34,2026-07-15,530.0,540.0,521.0,523.4,-1.25,"43,571.00","23,085,517.90"
35,2026-07-14,501.6,538.0,501.6,530.0,0.38,"49,488.00","26,066,660.90"
36,2026-07-13,526.0,553.6,525.2,528.0,-4.62,"66,804.00","35,755,874.40"
37,2026-07-10,560.0,576.0,549.9,553.6,-2.88,"45,294.00","25,307,984.30"
38,2026-07-09,577.0,585.0,561.0,570.0,-2.06,"74,396.00","42,445,642.20"
39,2026-07-08,575.0,600.0,575.0,582.0,-3.77,"52,845.00","31,021,781.80"
40,2026-07-07,603.1,610.0,597.0,604.8,0.28,"43,835.00","26,380,130.10"
