S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-01,560.00,583.90,555.10,569.00,-0.35,"14,180.00","8,067,463.40"
2,2026-08-31,575.0,580.0,560.0,571.0,-3.86,"12,681.00","7,161,876.20"
3,2026-08-27,575.0,593.9,561.5,593.9,0.68,"9,782.00","5,660,017.60"
4,2026-08-26,571.0,594.0,558.4,589.9,0.67,"21,969.00","12,552,025.30"
5,2026-08-25,570.0,606.0,570.0,586.0,-2.33,"16,145.00","9,520,488.70"
6,2026-08-24,645.0,645.0,584.1,600.0,-2.36,"23,049.00","13,773,806.10"
7,2026-08-21,616.0,625.1,610.0,614.5,-1.68,"22,153.00","13,689,411.20"
8,2026-08-20,620.0,634.0,620.0,625.0,-1.53,"16,310.00","10,202,501.90"
9,2026-08-19,620.0,659.0,620.0,634.7,-0.36,"13,126.00","8,302,798.80"
10,2026-08-18,635.1,660.0,630.1,637.0,0.0,"41,470.00","26,557,882.70"
11,2026-08-17,615.1,670.0,600.0,637.0,2.25,"49,721.00","31,322,353.30"
12,2026-08-14,615.0,633.0,615.0,623.0,0.0,"17,131.00","10,670,741.20"
13,2026-08-13,626.0,630.0,618.0,623.0,-0.48,"13,280.00","8,265,042.10"
14,2026-08-12,612.0,630.0,612.0,626.0,0.16,"22,832.00","14,263,977.90"
15,2026-08-11,620.0,634.8,617.5,625.0,0.16,"18,870.00","11,756,917.90"
16,2026-08-10,620.0,639.0,612.1,624.0,0.35,"17,066.00","10,650,717.10"
17,2026-08-07,639.7,649.0,615.0,621.8,-2.8,"26,605.00","16,607,085.00"
18,2026-08-06,639.6,670.0,617.1,639.7,0.02,"47,920.00","30,576,902.10"
19,2026-08-05,602.0,650.0,602.0,639.6,3.66,"21,179.00","13,237,842.20"
20,2026-08-04,627.1,635.0,615.0,617.0,-3.0,"24,091.00","14,991,071.00"
21,2026-08-03,644.0,655.0,630.0,636.1,-1.23,"31,529.00","20,231,016.10"
22,2026-07-31,630.2,654.7,622.3,644.0,-0.16,"28,063.00","17,970,606.20"
23,2026-07-30,640.4,661.0,630.1,645.0,-0.77,"35,977.00","23,152,678.70"
24,2026-07-29,637.8,665.0,637.8,650.0,1.25,"50,496.00","32,924,734.10"
25,2026-07-28,645.7,649.8,593.1,642.0,4.39,"56,073.00","35,554,652.50"
26,2026-07-27,640.1,660.0,606.1,615.0,-6.11,"39,992.00","25,262,205.80"
27,2026-07-24,693.0,693.0,643.2,655.0,-0.76,"40,127.00","26,608,401.70"
28,2026-07-23,620.3,665.0,616.9,660.0,4.22,"42,420.00","27,235,617.30"
29,2026-07-22,602.7,650.0,602.7,633.3,0.52,"33,068.00","21,138,226.50"
30,2026-07-21,623.0,667.0,612.0,630.0,1.12,"46,790.00","29,985,739.00"
31,2026-07-20,588.0,623.0,576.0,623.0,5.93,"31,396.00","19,017,639.60"
32,2026-07-17,550.0,592.0,550.0,588.1,5.77,"22,304.00","12,897,314.30"
33,2026-07-16,546.1,566.0,546.1,556.0,-0.36,"17,544.00","9,736,965.00"
34,2026-07-15,555.0,568.0,552.0,558.0,0.54,"15,696.00","8,786,150.40"
35,2026-07-14,555.0,567.0,545.0,555.0,-0.2,"19,747.00","10,976,316.00"
36,2026-07-13,584.0,584.0,555.2,556.1,-4.78,"16,850.00","9,475,791.50"
37,2026-07-10,545.0,593.8,545.0,584.0,5.8,"27,399.00","15,746,497.70"
38,2026-07-09,562.0,562.0,541.6,552.0,-2.16,"24,730.00","13,647,718.20"
39,2026-07-08,590.0,590.0,562.0,564.2,-5.18,"36,973.00","21,191,387.00"
40,2026-07-07,600.0,616.1,591.1,595.0,-1.9,"34,422.00","20,658,121.50"
41,2026-07-06,640.0,640.0,605.0,606.5,-5.23,"40,245.00","24,748,215.00"
42,2026-07-03,660.0,660.0,640.0,640.0,-3.5,"36,650.00","23,787,326.20"
43,2026-07-02,715.0,715.0,651.0,663.2,-3.74,"35,070.00","23,173,890.00"
44,2026-07-01,635.0,718.0,602.0,689.0,8.25,"53,491.00","35,496,756.00"
45,2026-06-30,728.2,797.6,622.0,636.5,-8.23,"129,250.00","86,939,369.00"
46,2026-06-29,603.2,693.6,603.2,693.6,14.99,"1,150.00","794,977.00"
47,2026-06-26,540.3,603.2,540.3,603.2,14.98,350.00,"209,593.00"
48,2026-06-25,455.7,524.6,455.7,524.6,14.99,200.00,"102,876.00"
49,2026-06-24,408.6,456.2,408.6,456.2,15.0,190.00,"85,522.00"
50,2026-06-23,355.3,396.7,355.3,396.7,14.99,120.00,"46,597.00"
51,2026-06-22,300.0,345.0,300.0,345.0,15.0,140.00,"46,974.00"
