S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-26,"1,215.50","1,215.50","1,065.10","1,117.00",-10.85,"4,429.00","4,855,551.50"
2,2026-08-25,"1,050.00","1,253.00","1,028.20","1,253.00",14.95,"17,603.00","19,025,789.40"
3,2026-08-24,"1,148.00","1,148.00","1,090.00","1,090.00",-4.39,"5,646.00","6,216,631.90"
4,2026-08-21,"1,120.00","1,177.00","1,115.00","1,140.00",-0.35,"4,635.00","5,224,963.00"
5,2026-08-20,"1,145.00","1,180.00","1,120.00","1,144.00",-0.77,"6,890.00","7,800,506.20"
6,2026-08-19,"1,155.00","1,160.00","1,139.90","1,152.90",-0.6,"7,972.00","9,128,460.20"
7,2026-08-18,"1,160.00","1,160.00","1,150.00","1,159.90",-0.84,"4,619.00","5,316,994.30"
8,2026-08-17,"1,166.00","1,170.00","1,146.50","1,169.70",-0.79,"6,463.00","7,462,907.80"
9,2026-08-14,"1,238.80","1,238.80","1,166.00","1,179.00",-0.08,"3,882.00","4,545,562.50"
10,2026-08-13,"1,244.20","1,244.20","1,170.00","1,179.90",-0.43,"2,583.00","3,026,245.30"
11,2026-08-12,"1,247.40","1,247.40","1,170.00","1,185.00",-0.25,"4,136.00","4,850,995.80"
12,2026-08-11,"1,172.00","1,230.00","1,160.00","1,188.00",0.7,"15,159.00","17,805,782.00"
13,2026-08-10,"1,174.00","1,244.00","1,140.00","1,179.70",-0.78,"4,497.00","5,294,540.40"
14,2026-08-07,"1,253.70","1,253.70","1,160.00","1,189.00",-0.42,"6,706.00","7,882,424.90"
15,2026-08-06,"1,254.60","1,254.60","1,175.00","1,194.00",-0.08,"3,873.00","4,571,900.80"
16,2026-08-05,"1,199.00","1,213.00","1,178.10","1,194.90",-0.4,"2,332.00","2,767,082.00"
17,2026-08-04,"1,184.00","1,298.80","1,161.00","1,199.70",0.39,"15,749.00","18,638,998.10"
18,2026-08-03,"1,184.00","1,215.00","1,150.10","1,195.00",0.42,"12,935.00","15,371,773.30"
19,2026-07-31,"1,252.60","1,252.60","1,174.10","1,190.00",-0.25,"9,053.00","10,666,776.60"
20,2026-07-30,"1,190.00","1,224.90","1,160.00","1,193.00",-0.56,"3,224.00","3,815,124.00"
21,2026-07-29,"1,190.00","1,256.00","1,160.00","1,199.70",0.15,"9,303.00","11,061,192.00"
22,2026-07-28,"1,195.00","1,230.00","1,165.00","1,197.90",-0.2,"3,362.00","4,027,275.00"
23,2026-07-27,"1,290.30","1,290.30","1,200.20","1,200.30",-2.33,"8,738.00","10,564,302.40"
24,2026-07-24,"1,195.00","1,300.00","1,179.00","1,228.90",2.32,"13,501.00","16,224,475.50"
25,2026-07-23,"1,205.00","1,273.00","1,173.00","1,201.00",-1.72,"14,145.00","17,167,943.40"
26,2026-07-22,"1,220.00","1,266.00","1,160.00","1,222.00",-1.43,"10,216.00","12,418,996.00"
27,2026-07-21,"1,205.00","1,244.80","1,173.00","1,239.70",1.63,"13,937.00","17,104,696.60"
28,2026-07-20,"1,198.00","1,338.00","1,143.80","1,219.80",0.42,"25,368.00","30,344,664.60"
29,2026-07-17,"1,150.00","1,214.70","1,150.00","1,214.70",3.41,"11,484.00","13,782,433.30"
30,2026-07-16,"1,186.90","1,186.90","1,150.00","1,174.70",-1.03,"6,005.00","6,964,118.70"
31,2026-07-15,"1,150.00","1,205.00","1,140.00","1,186.90",1.02,"6,693.00","7,842,039.20"
32,2026-07-14,"1,200.00","1,200.00","1,150.10","1,174.90",-0.01,"10,925.00","12,624,107.90"
33,2026-07-13,"1,175.00","1,199.90","1,165.00","1,175.00",-1.24,"7,105.00","8,320,199.00"
34,2026-07-10,"1,180.00","1,215.00","1,170.00","1,189.80",-0.53,"6,962.00","8,171,105.70"
35,2026-07-09,"1,189.00","1,239.00","1,170.00","1,196.10",-1.03,"7,972.00","9,430,784.00"
36,2026-07-08,"1,276.80","1,276.80","1,189.20","1,208.50",-0.62,"7,080.00","8,482,949.50"
37,2026-07-07,"1,199.00","1,349.00","1,170.00","1,216.00",0.09,"19,652.00","23,377,115.30"
38,2026-07-06,"1,306.70","1,306.70","1,195.00","1,214.90",-2.41,"5,233.00","6,319,578.50"
39,2026-07-03,"1,244.50","1,345.00","1,137.00","1,244.90",-4.97,"14,906.00","18,386,351.20"
40,2026-07-02,"1,161.00","1,344.00","1,161.00","1,310.00",9.53,"18,471.00","21,948,925.20"
41,2026-07-01,"1,158.00","1,227.50","1,158.00","1,196.00",0.34,"8,432.00","10,043,214.60"
42,2026-06-30,"1,256.70","1,256.70","1,171.20","1,192.00",-0.41,"6,097.00","7,155,729.80"
43,2026-06-29,"1,185.00","1,256.00","1,137.10","1,196.90",-0.17,"5,673.00","6,719,577.50"
44,2026-06-26,"1,198.80","1,271.00","1,135.00","1,198.90",3.0,"12,425.00","14,554,485.00"
45,2026-06-25,"1,172.00","1,384.00","1,164.00","1,164.00",-3.64,"20,006.00","23,718,924.90"
46,2026-06-24,"1,225.00","1,249.90","1,185.00","1,208.00",-1.78,"8,168.00","9,811,372.70"
47,2026-06-23,"1,240.00","1,241.30","1,210.00","1,229.90",-1.45,"5,002.00","6,137,003.20"
48,2026-06-22,"1,274.00","1,288.00","1,229.00","1,248.00",-0.79,"8,369.00","10,390,400.30"
49,2026-06-19,"1,279.00","1,297.00","1,240.00","1,258.00",-0.15,"6,659.00","8,289,540.00"
50,2026-06-18,"1,328.10","1,328.10","1,238.20","1,259.90",-0.4,"4,356.00","5,444,800.10"
51,2026-06-17,"1,240.00","1,390.00","1,230.00","1,264.90",1.15,"13,159.00","16,495,978.60"
52,2026-06-16,"1,250.00","1,270.00","1,245.00","1,250.50",-0.74,"6,425.00","8,038,082.90"
53,2026-06-15,"1,341.00","1,341.00","1,250.40","1,259.80",-1.42,"2,895.00","3,636,246.00"
54,2026-06-12,"1,260.00","1,280.00","1,250.00","1,278.00",-0.54,"10,233.00","12,848,248.70"
55,2026-06-11,"1,260.00","1,377.00","1,250.50","1,285.00",0.4,"9,746.00","12,335,298.70"
56,2026-06-10,"1,289.00","1,310.00","1,269.90","1,279.90",-0.71,"10,090.00","12,862,953.80"
57,2026-06-09,"1,419.00","1,419.00","1,241.00","1,289.00",-9.16,"15,289.00","19,389,646.70"
58,2026-06-08,"1,230.00","1,419.00","1,221.00","1,419.00",13.11,"18,086.00","22,657,790.50"
59,2026-06-05,"1,260.00","1,333.00","1,240.00","1,254.50",-1.06,"7,665.00","9,626,752.00"
60,2026-06-04,"1,344.00","1,344.00","1,250.00","1,268.00",-0.94,"9,029.00","11,437,685.90"
61,2026-06-03,"1,262.00","1,300.00","1,205.00","1,280.00",4.39,"25,910.00","33,002,647.90"
62,2026-06-02,"1,247.00","1,401.00","1,190.00","1,226.20",-2.39,"19,323.00","24,055,243.20"
63,2026-06-01,"1,400.00","1,400.00","1,229.00","1,256.20",-6.95,"11,858.00","15,115,945.30"
64,2026-05-27,"1,234.00","1,357.00","1,190.00","1,350.00",8.52,"26,431.00","32,927,210.90"
65,2026-05-26,"1,238.00","1,275.00","1,215.00","1,244.00",-0.07,"5,460.00","6,717,727.00"
66,2026-05-25,"1,252.10","1,260.00","1,143.00","1,244.90",-5.55,"22,878.00","28,093,552.50"
67,2026-05-22,"1,140.00","1,318.00","1,120.00","1,318.00",14.81,"10,839.00","12,467,818.90"
