S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-20,"1,400.00","1,490.00","1,400.00","1,452.00",1.11,"12,723.00","18,324,198.00"
2,2026-08-19,"1,397.00","1,470.00","1,397.00","1,436.00",-2.31,"11,764.00","16,932,389.70"
3,2026-08-18,"1,510.00","1,515.00","1,465.00","1,470.00",-2.65,"18,483.00","27,369,226.20"
4,2026-08-17,"1,510.00","1,555.00","1,490.00","1,510.00",-1.57,"25,444.00","38,555,780.40"
5,2026-08-14,"1,520.00","1,570.00","1,520.00","1,534.10",-1.65,"11,310.00","17,434,161.10"
6,2026-08-13,"1,530.00","1,575.00","1,523.10","1,559.90",-0.96,"14,370.00","22,236,951.50"
7,2026-08-12,"1,530.00","1,600.00","1,485.30","1,575.00",2.95,"29,731.00","45,474,867.60"
8,2026-08-11,"1,577.00","1,600.40","1,525.00","1,529.90",-3.42,"33,957.00","52,447,219.40"
9,2026-08-10,"1,650.00","1,660.00","1,565.00","1,584.00",-4.86,"37,178.00","59,447,537.70"
10,2026-08-07,"1,532.00","1,711.00","1,532.00","1,665.00",3.29,"31,215.00","51,621,623.50"
11,2026-08-06,"1,500.00","1,685.00","1,500.00","1,612.00",2.35,"74,398.00","116,339,684.80"
12,2026-08-05,"1,817.90","1,980.00","1,575.00","1,575.00",-9.03,"106,014.00","179,249,169.70"
13,2026-08-04,"1,580.80","1,731.40","1,580.80","1,731.40",15.0,"16,900.00","28,596,985.00"
14,2026-08-03,"1,374.70","1,505.60","1,374.70","1,505.60",14.99,"73,580.00","106,631,113.00"
15,2026-07-31,"1,195.00","1,309.30","1,195.00","1,309.30",14.99,"13,500.00","17,667,452.00"
16,2026-07-30,990.0,"1,138.60",990.0,"1,138.60",15.0,"2,640.00","3,001,531.00"
17,2026-07-29,886.8,990.1,886.8,990.1,14.99,760.0,"749,972.00"
18,2026-07-28,771.1,861.0,771.1,861.0,15.0,700.0,"600,518.00"
19,2026-07-27,670.6,748.7,670.6,748.7,14.99,530.0,"394,917.00"
20,2026-07-24,571.8,651.1,571.8,651.1,14.99,250.0,"159,778.00"
21,2026-07-23,507.1,566.2,507.1,566.2,14.99,120.0,"66,509.00"
22,2026-07-22,441.0,492.4,441.0,492.4,14.99,100.0,"47,992.00"
23,2026-07-21,376.1,428.2,376.1,428.2,14.98,160.0,"66,543.00"
24,2026-07-20,333.6,372.4,333.6,372.4,14.97,80.0,"28,852.00"
25,2026-07-17,296.6,323.9,296.6,323.9,0.0,50.0,"15,370.00"
