S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-31,621.00,654.00,615.00,646.00,4.03,"105,652.00","67,659,854.00"
2,2026-08-27,576.40,635.00,576.40,621.00,4.53,"67,638.00","41,840,318.00"
3,2026-08-26,600.00,600.00,585.00,594.10,-0.98,"27,688.00","16,365,319.80"
4,2026-08-25,606.00,610.00,598.00,600.00,-1.3,"19,968.00","12,005,439.20"
5,2026-08-24,610.00,623.00,600.00,607.90,-1.15,"23,117.00","13,972,284.20"
6,2026-08-21,620.00,629.90,609.30,615.00,-1.27,"24,622.00","15,175,692.90"
7,2026-08-20,620.00,630.00,615.00,622.90,0.31,"25,154.00","15,638,431.50"
8,2026-08-19,616.00,630.00,615.30,621.00,-0.16,"13,207.00","8,218,846.90"
9,2026-08-18,628.00,690.00,620.90,622.00,-1.58,"45,986.00","29,125,470.40"
10,2026-08-17,639.00,639.00,625.00,632.00,-1.1,"20,764.00","13,048,584.80"
11,2026-08-14,653.00,655.00,634.50,639.00,-1.83,"31,250.00","20,024,645.40"
12,2026-08-13,622.00,663.00,618.00,650.90,4.48,"116,719.00","75,457,053.30"
13,2026-08-12,620.00,630.00,615.00,623.00,0.0,"26,706.00","16,529,782.00"
14,2026-08-11,620.00,629.00,617.00,623.00,-0.32,"24,243.00","15,056,350.50"
15,2026-08-10,622.00,628.50,615.00,625.00,0.43,"20,718.00","12,815,977.00"
16,2026-08-07,630.00,640.00,619.00,622.30,-2.0,"23,281.00","14,502,481.71"
17,2026-08-06,612.00,650.00,612.00,635.00,-1.4,"24,618.00","15,682,458.00"
18,2026-08-05,670.00,670.00,631.59,644.00,0.92,"39,848.00","25,500,110.90"
19,2026-08-04,640.00,680.00,638.00,638.10,-1.83,"30,411.00","19,556,653.90"
20,2026-08-03,650.00,671.00,641.00,650.00,-0.61,"35,221.00","23,103,005.30"
21,2026-07-31,630.00,660.00,630.00,654.00,0.69,"32,107.00","20,850,786.50"
22,2026-07-30,664.00,669.80,636.00,649.50,-2.18,"47,211.00","30,427,769.10"
23,2026-07-29,625.00,672.70,625.00,664.00,1.37,"34,063.00","22,368,905.00"
24,2026-07-28,697.20,697.20,641.00,655.00,-1.36,"33,269.00","21,880,019.10"
25,2026-07-27,660.00,700.00,650.10,664.00,-4.05,"44,869.00","30,220,277.90"
26,2026-07-24,700.00,717.00,690.20,692.00,0.73,"106,254.00","74,831,683.30"
27,2026-07-23,631.80,701.00,631.80,687.00,3.31,"58,160.00","38,883,975.30"
28,2026-07-22,650.00,670.50,650.00,665.00,0.0,"42,196.00","27,789,602.80"
29,2026-07-21,665.00,688.00,650.00,665.00,0.0,"71,400.00","47,637,483.40"
30,2026-07-20,650.00,674.50,650.00,665.00,1.99,"50,863.00","33,697,958.30"
31,2026-07-17,595.00,669.90,595.00,652.00,9.58,"103,764.00","65,182,711.60"
32,2026-07-16,590.00,607.00,590.00,595.00,0.17,"43,238.00","25,852,778.70"
33,2026-07-15,580.00,599.00,573.00,594.00,0.73,"18,338.00","10,839,499.10"
34,2026-07-14,585.10,599.00,572.10,589.70,-0.05,"33,962.00","19,914,140.50"
35,2026-07-13,609.00,610.00,588.00,590.00,-3.26,"35,156.00","20,871,860.30"
36,2026-07-10,606.00,619.00,601.30,609.90,0.15,"60,547.00","36,995,030.30"
37,2026-07-09,618.00,622.00,606.20,609.00,-2.25,"20,390.00","12,513,627.70"
38,2026-07-08,640.00,645.00,615.10,623.00,-2.63,"23,862.00","14,907,187.20"
39,2026-07-07,602.30,679.00,602.30,639.80,0.91,"20,793.00","13,180,165.10"
40,2026-07-06,645.60,650.10,628.60,634.00,-3.06,"31,985.00","20,410,657.50"
41,2026-07-03,651.00,664.90,651.00,654.00,-1.06,"20,256.00","13,304,462.40"
42,2026-07-02,634.70,671.00,634.70,661.00,-0.59,"33,466.00","22,082,898.80"
43,2026-07-01,627.00,666.90,627.00,664.90,4.05,"37,225.00","24,365,677.30"
44,2026-06-30,660.00,670.00,638.00,639.00,-3.47,"39,939.00","25,910,459.60"
45,2026-06-29,647.90,682.00,647.90,662.00,-2.93,"24,776.00","16,549,599.70"
46,2026-06-26,680.00,689.90,671.00,682.00,0.29,"18,481.00","12,542,824.90"
47,2026-06-25,681.00,696.00,675.50,680.00,-1.45,"30,094.00","20,520,426.70"
48,2026-06-24,705.00,705.00,670.00,690.00,-2.13,"63,460.00","43,345,204.70"
49,2026-06-23,720.00,720.00,696.00,705.00,-2.76,"54,451.00","38,413,596.70"
50,2026-06-22,700.00,740.50,700.00,725.00,0.83,"43,974.00","31,846,539.40"
51,2026-06-19,730.00,739.00,718.10,719.00,-2.84,"34,513.00","25,064,429.50"
52,2026-06-18,740.00,745.00,730.00,740.00,0.0,"27,384.00","20,121,102.20"
53,2026-06-17,740.00,750.00,737.20,740.00,-0.27,"24,500.00","18,188,497.10"
54,2026-06-16,741.00,780.00,730.00,742.00,0.13,"28,987.00","21,459,430.00"
55,2026-06-15,730.00,759.00,730.00,741.00,-0.4,"40,066.00","29,855,107.90"
56,2026-06-12,755.90,765.00,741.00,744.00,-1.57,"34,937.00","26,099,795.60"
57,2026-06-11,770.00,775.00,755.00,755.90,-2.34,"37,639.00","28,749,620.10"
58,2026-06-10,765.00,787.40,760.00,774.00,0.78,"39,370.00","30,553,806.80"
59,2026-06-09,750.00,783.00,732.00,768.00,1.32,"84,796.00","63,423,318.40"
60,2026-06-08,770.00,788.00,754.00,758.00,-2.82,"49,322.00","37,673,374.20"
61,2026-06-05,749.80,850.00,749.80,780.00,-1.17,"39,256.00","30,641,373.20"
62,2026-06-04,800.00,805.00,789.00,789.20,-1.35,"40,923.00","32,533,137.30"
63,2026-06-03,793.00,809.90,793.00,800.00,0.88,"43,504.00","34,818,396.40"
64,2026-06-02,763.60,811.00,763.60,793.00,-1.33,"59,979.00","47,936,071.30"
65,2026-06-01,815.00,818.90,800.00,803.70,-1.99,"63,106.00","50,880,027.60"
66,2026-05-27,800.00,839.90,800.00,820.00,-2.37,"66,085.00","54,409,805.00"
67,2026-05-26,854.00,865.00,833.50,839.90,-1.51,"41,783.00","35,265,379.10"
68,2026-05-25,827.00,860.00,815.00,852.80,3.12,"66,607.00","56,623,847.50"
69,2026-05-22,772.00,833.00,772.00,827.00,1.85,"61,577.00","50,631,646.70"
70,2026-05-21,827.00,835.90,810.00,812.00,-1.22,"34,235.00","28,028,318.10"
71,2026-05-20,765.00,827.00,765.00,822.00,2.11,"51,497.00","42,024,294.30"
72,2026-05-19,811.90,835.00,800.00,805.00,-0.85,"54,810.00","44,078,840.20"
73,2026-05-18,840.00,845.00,805.90,811.90,-3.32,"65,056.00","53,087,977.20"
74,2026-05-15,840.00,860.00,836.00,839.80,-0.38,"47,373.00","40,097,481.30"
75,2026-05-14,865.00,865.00,840.00,843.00,-2.54,"54,070.00","45,868,872.10"
76,2026-05-13,835.00,901.00,835.00,865.00,-1.14,"61,981.00","53,146,392.10"
77,2026-05-12,892.00,901.00,861.00,875.00,-1.91,"68,984.00","60,529,086.70"
78,2026-05-11,897.00,908.90,887.00,892.00,-0.56,"76,095.00","68,223,419.40"
79,2026-05-08,850.00,916.00,850.00,897.00,3.12,"65,696.00","58,491,796.10"
80,2026-05-07,860.10,890.00,860.00,869.90,-0.7,"40,050.00","34,779,181.90"
81,2026-05-06,897.00,918.00,875.00,876.00,-2.34,"52,889.00","47,055,834.80"
82,2026-05-05,888.00,916.70,850.00,897.00,1.01,"87,957.00","77,374,062.70"
83,2026-05-04,948.00,960.00,880.10,888.00,-6.33,"111,017.00","100,830,677.00"
84,2026-04-30,940.00,"1,030.00",885.10,948.00,-1.05,"108,003.00","100,071,698.30"
85,2026-04-29,"1,039.00","1,090.90",943.20,958.10,-7.79,"208,142.00","202,285,218.10"
86,2026-04-28,"1,172.90","1,280.00","1,025.00","1,039.00",-6.99,"538,665.00","583,340,716.60"
87,2026-04-27,"1,019.90","1,117.10","1,019.90","1,117.10",15.0,"79,890.00","89,204,220.00"
88,2026-04-24,886.2,971.4,886.2,971.4,15.0,"9,180.00","8,912,259.00"
89,2026-04-23,756.6,844.7,756.6,844.7,14.99,"4,760.00","4,018,632.00"
90,2026-04-22,657.9,734.6,657.9,734.6,15.0,"1,740.00","1,276,342.00"
91,2026-04-21,580.0,638.8,580.0,638.8,15.0,"1,000.00","637,512.00"
92,2026-04-20,507.2,555.5,507.2,555.5,14.99,900.0,"498,464.00"
93,2026-04-17,447.9,483.1,447.9,483.1,10.0,550.0,"260,263.00"
94,2026-04-16,407.2,439.2,407.2,439.2,9.99,420.0,"183,677.00"
95,2026-04-15,370.2,399.3,370.2,399.3,10.0,630.0,"249,971.00"
96,2026-04-13,330.0,363.0,330.0,363.0,10.0,410.0,"147,191.00"
97,2026-04-10,300.0,330.0,300.0,330.0,10.0,250.0,"81,310.00"
