S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-19,"2,705.00","2,720.00","2,655.00","2,710.00",-0.55,"57,723.00","155,532,538.20"
2,2026-08-18,"2,841.00","2,898.00","2,720.00","2,725.00",-4.1,"60,363.00","167,868,385.00"
3,2026-08-17,"2,570.00","2,890.00","2,290.10","2,841.60",11.17,"523,651.00","1,386,334,565.00"
4,2026-08-14,"2,420.00","2,605.00","2,420.00","2,556.00",0.39,"19,819.00","51,036,013.40"
5,2026-08-13,"2,423.00","2,587.00","2,423.00","2,546.10",-0.16,"21,911.00","55,774,499.30"
6,2026-08-12,"2,600.00","2,630.00","2,550.10","2,550.10",-2.89,"23,929.00","61,888,695.40"
7,2026-08-11,"2,502.00","2,690.00","2,502.00","2,626.00",-0.28,"31,269.00","82,999,671.60"
8,2026-08-10,"2,489.00","2,699.90","2,489.00","2,633.50",0.52,"31,036.00","82,282,626.60"
9,2026-08-07,"2,540.00","2,640.00","2,540.00","2,620.00",3.08,"27,037.00","70,254,622.10"
10,2026-08-06,"2,600.00","2,600.00","2,510.00","2,541.60",-2.96,"49,202.00","125,711,542.90"
11,2026-08-05,"2,650.00","2,699.00","2,580.00","2,619.00",-3.18,"31,835.00","84,402,232.00"
12,2026-08-04,"2,780.00","2,850.00","2,561.20","2,705.00",-2.7,"45,708.00","122,461,606.30"
13,2026-08-03,"3,148.00","3,148.00","2,775.00","2,780.00",-7.3,"95,826.00","276,287,011.90"
14,2026-07-31,"3,175.00","3,175.00","2,950.00","2,999.00",-0.83,"38,722.00","116,021,764.90"
15,2026-07-30,"3,051.00","3,134.90","2,970.50","3,024.00",-3.01,"80,858.00","243,843,238.70"
16,2026-07-29,"3,110.00","3,200.00","3,080.50","3,118.00",-2.1,"57,561.00","179,134,488.70"
17,2026-07-28,"3,401.00","3,401.00","3,100.00","3,185.00",-1.7,"51,466.00","161,360,121.00"
