S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-14,"1,662.00","1,690.00","1,635.40","1,653.00",-2.76,"8,483.00","14,027,130.20"
2,2026-08-13,"1,596.00","1,700.00","1,596.00","1,700.00",1.19,"6,433.00","10,692,054.60"
3,2026-08-12,"1,700.00","1,725.00","1,650.00","1,680.00",-1.18,"7,720.00","12,930,788.50"
4,2026-08-11,"1,700.00","1,735.00","1,670.10","1,700.00",-1.73,"10,002.00","17,073,059.00"
5,2026-08-10,"1,720.00","1,730.00","1,708.00","1,730.00",-1.14,"5,294.00","9,080,030.30"
6,2026-08-07,"1,725.00","1,765.00","1,705.00","1,750.00",0.0,"4,058.00","7,013,258.20"
7,2026-08-06,"1,750.00","1,780.00","1,726.20","1,750.00",0.57,"11,449.00","20,018,687.20"
8,2026-08-05,"1,760.00","1,780.00","1,740.00","1,740.00",-0.72,"7,443.00","13,081,508.80"
9,2026-08-04,"1,780.00","1,780.00","1,733.60","1,752.60",-1.53,"11,671.00","20,499,562.40"
10,2026-08-03,"1,700.00","1,791.00","1,700.00","1,779.90",4.09,"25,363.00","44,644,757.40"
11,2026-07-31,"1,682.00","1,723.80","1,682.00","1,710.00",0.35,"10,413.00","17,702,620.00"
12,2026-07-30,"1,715.00","1,740.00","1,690.00","1,704.00",-1.16,"8,271.00","14,199,732.00"
13,2026-07-29,"1,720.00","1,759.00","1,713.00","1,724.00",-1.77,"4,608.00","7,956,523.00"
14,2026-07-28,"1,740.00","1,764.90","1,685.50","1,755.00",0.69,"23,845.00","41,260,679.60"
15,2026-07-27,"1,750.00","1,800.00","1,725.50","1,743.00",-2.73,"15,108.00","26,506,737.00"
16,2026-07-24,"1,800.00","1,842.00","1,787.00","1,792.00",-1.54,"24,706.00","44,884,539.10"
17,2026-07-23,"1,750.00","1,850.00","1,750.00","1,820.00",1.39,"29,234.00","53,151,412.50"
18,2026-07-22,"1,720.00","1,800.00","1,720.00","1,795.00",1.52,"23,162.00","41,027,146.40"
19,2026-07-21,"1,726.90","1,814.00","1,726.00","1,768.10",-0.69,"20,809.00","36,831,234.00"
20,2026-07-20,"1,719.90","1,780.30","1,690.10","1,780.30",3.51,"13,838.00","23,977,597.80"
21,2026-07-17,"1,590.00","1,719.90","1,590.00","1,719.90",6.3,"19,486.00","32,735,179.80"
22,2026-07-16,"1,570.00","1,660.00","1,570.00","1,618.00",-0.12,"14,532.00","23,757,063.60"
23,2026-07-15,"1,505.00","1,630.00","1,505.00","1,620.00",6.02,"21,862.00","34,784,212.00"
24,2026-07-14,"1,500.00","1,550.00","1,500.00","1,528.00",-0.46,"5,425.00","8,291,140.40"
25,2026-07-13,"1,530.00","1,569.00","1,525.00","1,535.00",-2.21,"4,633.00","7,124,027.00"
26,2026-07-10,"1,560.00","1,578.90","1,547.00","1,569.70",-0.53,"3,185.00","4,961,047.00"
27,2026-07-09,"1,541.00","1,586.00","1,530.10","1,578.00",-0.57,"4,389.00","6,789,783.10"
28,2026-07-08,"1,540.10","1,589.00","1,540.10","1,587.00",0.13,"6,611.00","10,317,379.90"
29,2026-07-07,"1,550.00","1,589.80","1,520.00","1,585.00",3.26,"10,864.00","17,140,554.50"
30,2026-07-06,"1,599.00","1,599.00","1,497.00","1,535.00",-4.05,"3,429.00","5,230,860.00"
31,2026-07-03,"1,540.00","1,599.80","1,540.00","1,599.80",3.81,"7,327.00","11,465,463.10"
32,2026-07-02,"1,587.10","1,587.10","1,529.50","1,541.10",-3.07,"1,813.00","2,796,311.10"
33,2026-07-01,"1,490.00","1,589.90","1,490.00","1,589.90",4.19,"4,757.00","7,388,989.60"
34,2026-06-30,"1,480.00","1,529.00","1,479.00","1,526.00",-0.48,"3,551.00","5,366,269.80"
35,2026-06-29,"1,550.00","1,570.00","1,530.30","1,533.40",-2.33,"2,527.00","3,894,965.50"
36,2026-06-26,"1,517.00","1,578.00","1,517.00","1,570.00",1.88,"8,412.00","13,114,487.80"
37,2026-06-25,"1,513.40","1,575.00","1,513.40","1,541.00",-3.26,"2,609.00","4,026,981.00"
38,2026-06-24,"1,580.00","1,596.00","1,504.00","1,593.00",1.14,"17,989.00","27,367,493.20"
39,2026-06-23,"1,625.00","1,648.00","1,575.00","1,575.00",-4.55,"10,512.00","16,890,623.00"
40,2026-06-22,"1,650.00","1,682.90","1,648.00","1,650.00",-0.6,"5,887.00","9,740,313.90"
41,2026-06-19,"1,665.00","1,666.00","1,650.00","1,660.00",-0.36,"3,819.00","6,334,513.70"
42,2026-06-18,"1,700.00","1,700.00","1,660.10","1,666.00",-1.36,"2,941.00","4,902,281.50"
43,2026-06-17,"1,603.00","1,700.00","1,603.00","1,689.00",0.12,"1,938.00","3,260,960.00"
44,2026-06-16,"1,678.30","1,705.00","1,678.30","1,687.00",-0.41,"2,706.00","4,568,058.80"
45,2026-06-15,"1,656.00","1,710.00","1,656.00","1,694.00",2.05,"8,069.00","13,627,137.20"
46,2026-06-12,"1,678.00","1,680.00","1,651.00","1,659.90",-0.31,"10,081.00","16,741,924.80"
47,2026-06-11,"1,669.10","1,694.00","1,661.00","1,665.00",-0.24,"2,997.00","5,018,985.80"
48,2026-06-10,"1,672.00","1,699.00","1,660.00","1,669.00",-0.06,"3,642.00","6,104,749.00"
49,2026-06-09,"1,675.50","1,689.00","1,640.00","1,670.00",0.81,"9,883.00","16,298,214.90"
50,2026-06-08,"1,660.00","1,692.00","1,650.00","1,656.50",-0.93,"5,423.00","9,019,916.00"
51,2026-06-05,"1,670.00","1,696.00","1,670.00","1,672.10",-1.0,"3,190.00","5,355,324.00"
52,2026-06-04,"1,697.00","1,715.00","1,675.00","1,689.00",-0.47,"7,274.00","12,260,722.00"
53,2026-06-03,"1,725.00","1,725.00","1,691.20","1,697.00",-0.18,"7,147.00","12,189,125.10"
54,2026-06-02,"1,650.00","1,714.00","1,650.00","1,700.00",1.31,"8,829.00","14,924,030.30"
55,2026-06-01,"1,700.00","1,719.90","1,675.10","1,678.10",-1.41,"6,467.00","10,922,300.90"
56,2026-05-27,"1,720.00","1,725.00","1,700.00","1,702.10",-1.05,"9,335.00","15,997,374.90"
57,2026-05-26,"1,740.00","1,740.00","1,714.00","1,720.10",-1.2,"7,836.00","13,499,812.10"
58,2026-05-25,"1,722.00","1,757.00","1,722.00","1,741.00",1.4,"6,951.00","12,112,782.90"
59,2026-05-22,"1,670.00","1,720.00","1,670.00","1,717.00",2.51,"11,593.00","19,791,249.50"
60,2026-05-21,"1,760.00","1,760.00","1,664.00","1,675.00",-3.35,"9,578.00","16,296,057.10"
61,2026-05-20,"1,672.00","1,744.20","1,655.00","1,733.00",3.9,"9,539.00","16,253,694.60"
62,2026-05-19,"1,656.00","1,675.00","1,650.00","1,668.00",0.06,"11,700.00","19,432,747.30"
63,2026-05-18,"1,688.00","1,688.00","1,656.20","1,667.00",0.12,"3,563.00","5,939,022.30"
64,2026-05-15,"1,685.00","1,700.00","1,661.20","1,665.00",-0.88,"4,867.00","8,138,301.40"
65,2026-05-14,"1,685.00","1,686.00","1,650.00","1,679.70",0.1,"6,667.00","11,078,771.60"
66,2026-05-13,"1,690.00","1,691.00","1,665.00","1,678.00",-0.7,"7,326.00","12,256,762.80"
67,2026-05-12,"1,725.00","1,750.00","1,680.00","1,689.90",-2.03,"17,286.00","29,598,458.00"
68,2026-05-11,"1,763.00","1,763.00","1,716.00","1,725.00",-0.23,"6,949.00","12,041,613.80"
69,2026-05-08,"1,670.00","1,732.00","1,670.00","1,729.00",1.89,"8,352.00","14,342,513.40"
70,2026-05-07,"1,670.00","1,700.00","1,662.10","1,697.00",1.62,"10,018.00","16,846,195.70"
71,2026-05-06,"1,694.00","1,710.00","1,660.00","1,670.00",-1.42,"6,790.00","11,373,248.50"
72,2026-05-05,"1,655.00","1,720.00","1,655.00","1,694.00",1.13,"11,577.00","19,548,734.10"
73,2026-05-04,"1,733.00","1,745.00","1,675.00","1,675.00",-5.42,"10,353.00","17,651,418.20"
74,2026-04-30,"1,700.00","1,775.00","1,684.00","1,770.90",2.07,"18,123.00","31,310,705.90"
75,2026-04-29,"1,780.00","1,777.00","1,727.00","1,735.00",-2.53,"6,969.00","12,093,632.00"
76,2026-04-28,"1,809.00","1,811.00","1,760.00","1,780.00",-1.6,"10,572.00","18,752,264.60"
77,2026-04-27,"1,807.00","1,861.00","1,796.10","1,809.00",0.11,"12,466.00","22,530,720.10"
78,2026-04-24,"1,727.00","1,820.00","1,714.00","1,807.00",2.67,"22,611.00","39,991,161.40"
79,2026-04-23,"1,780.00","1,798.00","1,750.00","1,760.00",-1.12,"9,657.00","17,113,669.80"
80,2026-04-22,"1,755.00","1,800.00","1,710.00","1,780.00",1.19,"18,045.00","31,314,542.10"
81,2026-04-21,"1,802.00","1,843.00","1,751.00","1,759.00",-3.3,"21,532.00","38,621,698.00"
82,2026-04-20,"1,849.00","1,869.00","1,792.00","1,819.00",-2.47,"11,644.00","21,125,154.10"
83,2026-04-17,"1,897.80","1,897.80","1,809.20","1,865.00",-0.8,"16,588.00","30,447,784.70"
84,2026-04-16,"1,905.00","1,908.00","1,870.00","1,880.00",-1.98,"12,949.00","24,407,735.20"
85,2026-04-15,"1,923.00","1,940.00","1,892.10","1,918.00",-0.21,"15,617.00","29,978,731.00"
86,2026-04-13,"1,920.00","1,944.00","1,900.00","1,922.00",-0.41,"13,507.00","25,902,187.10"
87,2026-04-10,"1,916.00","1,990.00","1,915.00","1,929.90",-0.98,"27,171.00","52,697,199.50"
88,2026-04-09,"1,920.00","1,980.00","1,900.00","1,949.00",1.25,"25,393.00","49,592,011.20"
89,2026-04-08,"1,835.00","1,989.00","1,804.90","1,925.00",6.35,"37,853.00","72,070,809.10"
90,2026-04-07,"1,820.10","1,853.00","1,800.00","1,810.00",-0.55,"22,486.00","40,967,764.40"
91,2026-04-06,"1,729.00","1,832.00","1,723.00","1,820.00",5.26,"15,403.00","27,495,473.70"
92,2026-04-05,"1,864.00","1,864.00","1,712.10","1,729.00",-9.1,"32,297.00","57,012,399.30"
93,2026-04-02,"1,850.00","1,947.00","1,839.00","1,902.00",1.39,"16,159.00","30,237,267.70"
94,2026-04-01,"1,910.30","1,939.00","1,860.10","1,876.00",-3.39,"10,317.00","19,481,521.80"
95,2026-03-31,"1,950.00","1,958.00","1,911.10","1,941.90",-0.42,"15,842.00","30,569,187.70"
96,2026-03-30,"1,968.00","1,990.00","1,942.00","1,950.00",-0.88,"20,006.00","39,283,542.40"
97,2026-03-29,"2,013.90","2,064.00","1,967.40","1,967.40",-4.26,"22,326.00","44,652,029.70"
98,2026-03-26,"2,043.00","2,090.90","2,011.00","2,055.00",0.59,"37,964.00","78,310,525.90"
99,2026-03-25,"2,004.00","2,099.00","1,983.20","2,043.00",2.25,"48,300.00","99,215,833.60"
100,2026-03-24,"1,990.00","1,999.00","1,966.00","1,998.00",-0.1,"15,311.00","30,393,695.20"
101,2026-03-23,"1,935.00","2,000.00","1,935.00","2,000.00",2.72,"27,692.00","54,257,531.00"
102,2026-03-22,"1,964.90","1,966.00","1,932.00","1,947.00",0.67,"18,028.00","35,088,197.10"
103,2026-03-19,"1,925.00","1,949.00","1,915.30","1,934.00",0.73,"23,738.00","45,845,681.10"
104,2026-03-17,"1,985.00","1,985.00","1,901.90","1,920.00",-1.79,"20,229.00","38,818,449.30"
105,2026-03-16,"1,910.00","1,960.00","1,910.00","1,955.00",1.56,"14,950.00","28,965,621.20"
106,2026-03-15,"1,965.20","1,980.10","1,900.00","1,925.00",-2.04,"35,305.00","68,084,276.30"
107,2026-03-12,"2,027.70","2,050.00","1,950.00","1,965.00",-1.16,"42,768.00","84,812,164.70"
108,2026-03-11,"2,026.00","2,074.20","1,985.00","1,988.00",-3.45,"25,513.00","51,503,953.80"
109,2026-03-10,"2,180.00","2,180.00","2,040.00","2,059.00",-5.2,"49,300.00","102,292,424.30"
110,2026-03-09,"2,049.10","2,172.00","2,049.10","2,172.00",8.11,"1,120.00","2,422,994.00"
111,2026-03-03,"2,040.00","2,040.00","1,962.00","2,009.00",0.45,"21,402.00","42,962,021.90"
112,2026-03-01,"1,950.00","2,020.00","1,913.00","2,000.00",0.76,"18,573.00","36,468,885.40"
113,2026-02-26,"1,980.00","2,019.00","1,929.80","1,985.00",-1.15,"13,243.00","25,868,419.50"
114,2026-02-25,"2,000.00","2,040.00","1,983.00","2,008.00",1.26,"22,170.00","44,459,435.60"
115,2026-02-24,"1,819.00","1,983.00","1,809.00","1,983.00",8.96,"28,190.00","53,395,753.00"
116,2026-02-23,"1,852.00","1,888.00","1,810.00","1,819.90",-1.73,"14,267.00","26,170,737.90"
117,2026-02-22,"1,975.00","1,975.00","1,851.00","1,852.00",-6.23,"26,386.00","49,765,868.90"
118,2026-02-17,"2,053.00","2,062.00","1,961.00","1,975.00",-1.89,"20,949.00","41,914,258.20"
119,2026-02-16,"2,004.30","2,135.00","1,966.10","2,013.00",2.44,"24,781.00","49,888,980.50"
120,2026-02-12,"2,054.00","2,054.00","1,950.00","1,965.00",-2.43,"16,658.00","33,000,611.70"
121,2026-02-11,"2,025.00","2,100.00","1,995.00","2,014.00",-2.52,"21,960.00","44,255,230.20"
122,2026-02-10,"2,093.00","2,093.00","2,010.10","2,066.00",0.68,"14,697.00","29,996,394.80"
123,2026-02-09,"2,119.00","2,119.00","2,011.00","2,052.00",-1.35,"34,884.00","72,014,848.00"
124,2026-02-08,"2,200.00","2,200.00","2,080.00","2,080.00",-3.7,"24,335.00","51,674,344.60"
125,2026-02-05,"2,120.00","2,178.00","2,083.00","2,160.00",1.89,"22,769.00","48,760,041.40"
126,2026-02-04,"2,150.00","2,187.90","2,090.10","2,120.00",-1.4,"22,917.00","48,574,572.20"
127,2026-02-03,"2,200.00","2,230.00","2,100.00","2,150.00",-2.41,"33,154.00","71,554,141.80"
128,2026-02-02,"2,085.00","2,293.00","2,077.00","2,203.00",5.66,"49,340.00","107,809,518.90"
129,2026-02-01,"2,172.60","2,172.60","2,070.00","2,085.00",-2.11,"37,451.00","78,369,333.10"
130,2026-01-29,"2,299.00","2,299.00","2,103.00","2,130.00",-5.96,"37,182.00","82,062,707.20"
131,2026-01-28,"2,300.00","2,376.00","2,230.00","2,265.00",-1.52,"64,783.00","147,495,968.70"
132,2026-01-27,"2,360.00","2,400.00","2,240.00","2,300.00",-2.29,"77,794.00","181,330,696.90"
133,2026-01-26,"2,349.90","2,395.00","2,286.00","2,354.00",-0.25,"77,305.00","180,652,816.90"
134,2026-01-25,"2,343.90","2,439.00","2,280.00","2,360.00",2.7,"76,416.00","182,604,351.50"
135,2026-01-22,"2,180.00","2,299.90","2,168.20","2,298.00",4.93,"62,021.00","138,897,515.30"
136,2026-01-21,"2,245.00","2,268.90","2,171.00","2,190.00",-2.01,"45,786.00","101,113,463.00"
137,2026-01-20,"2,249.60","2,320.00","2,191.50","2,235.00",1.34,"56,353.00","127,408,151.60"
138,2026-01-18,"2,039.00","2,205.50","2,020.00","2,205.50",10.0,"115,153.00","246,989,458.40"
139,2026-01-14,"1,960.00","2,019.60","1,960.00","2,005.00",1.98,"54,968.00","109,379,702.20"
140,2026-01-13,"2,010.00","2,020.00","1,960.00","1,966.00",-1.75,"75,443.00","150,017,921.50"
141,2026-01-12,"1,980.00","2,047.00","1,980.00","2,001.00",1.06,"92,460.00","186,314,527.60"
142,2026-01-08,"1,955.00","2,038.80","1,955.00","1,980.00",0.56,"75,232.00","150,347,504.90"
143,2026-01-07,"1,932.00","2,009.00","1,915.00","1,969.00",1.92,"79,760.00","156,867,977.30"
144,2026-01-06,"2,020.00","2,060.00","1,931.70","1,932.00",-4.18,"93,360.00","184,563,766.20"
145,2026-01-05,"1,833.00","2,016.30","1,833.00","2,016.30",10.0,"81,032.00","156,892,528.10"
146,2026-01-04,"1,666.00","1,849.00","1,666.00","1,833.00",7.83,"105,590.00","189,252,275.80"
147,2026-01-01,"1,650.50","1,725.00","1,650.50","1,699.90",1.31,"61,283.00","104,468,595.20"
148,2025-12-31,"1,680.00","1,725.00","1,676.60","1,678.00",-0.05,"31,924.00","54,196,375.40"
149,2025-12-29,"1,697.00","1,700.00","1,672.00","1,678.90",-0.48,"29,857.00","50,348,098.20"
150,2025-12-28,"1,690.00","1,710.00","1,670.00","1,687.00",-0.18,"28,702.00","48,606,775.10"
151,2025-12-24,"1,690.00","1,744.20","1,685.00","1,690.10",-1.74,"17,378.00","29,555,653.70"
152,2025-12-23,"1,654.00","1,754.80","1,653.40","1,720.00",2.62,"49,483.00","85,345,522.00"
153,2025-12-22,"1,666.00","1,679.90","1,652.10","1,676.10",-0.24,"33,929.00","56,490,001.10"
154,2025-12-21,"1,720.30","1,740.00","1,670.00","1,680.20",-3.45,"48,656.00","82,956,336.70"
155,2025-12-18,"1,740.00","1,777.00","1,740.00","1,740.30",-1.84,"37,422.00","65,620,505.20"
156,2025-12-17,"1,805.40","1,805.40","1,740.20","1,773.00",0.17,"21,614.00","38,320,564.10"
157,2025-12-16,"1,772.00","1,785.00","1,766.50","1,770.00",-0.11,"21,380.00","37,946,262.00"
158,2025-12-15,"1,756.00","1,805.00","1,751.00","1,772.00",0.4,"35,750.00","63,588,966.80"
