S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-17,"1,100.00","1,105.00","1,066.00","1,075.00",-2.18,"18,257.00","19,640,345.10"
2,2026-08-14,"1,080.00","1,103.00","1,079.00","1,099.00",-0.09,"13,813.00","15,039,394.40"
3,2026-08-13,"1,080.00","1,109.90","1,076.00","1,100.00",0.64,"27,795.00","30,335,424.40"
4,2026-08-12,"1,150.00","1,150.00","1,080.00","1,093.00",-0.64,"15,742.00","17,196,818.50"
5,2026-08-11,"1,100.00","1,132.00","1,089.00","1,100.00",-1.79,"56,890.00","63,197,037.30"
6,2026-08-10,"1,050.00","1,120.00","1,050.00","1,120.00",2.75,"53,380.00","58,878,762.70"
7,2026-08-07,"1,053.90","1,115.80","1,053.90","1,090.00",-0.82,"28,817.00","31,269,895.20"
8,2026-08-06,"1,085.00","1,130.00","1,085.00","1,099.00",-2.38,"40,111.00","44,611,700.00"
9,2026-08-05,"1,090.00","1,129.00","1,090.00","1,125.80",2.25,"24,492.00","27,070,158.80"
10,2026-08-04,"1,112.00","1,155.00","1,100.10","1,101.00",-3.79,"53,622.00","60,232,609.00"
11,2026-08-03,"1,060.00","1,229.00","1,055.00","1,144.40",4.13,"132,563.00","150,538,208.00"
12,2026-07-31,"1,060.00","1,099.00","1,053.00","1,099.00",2.23,"44,123.00","47,893,107.70"
13,2026-07-30,"1,120.00","1,120.00","1,060.10","1,075.00",-0.46,"40,817.00","43,991,340.10"
14,2026-07-29,"1,070.00","1,111.00","1,063.10","1,080.00",-3.57,"27,598.00","29,845,274.50"
15,2026-07-28,"1,045.00","1,184.50","1,045.00","1,120.00",2.47,"81,614.00","89,023,472.00"
16,2026-07-27,"1,163.40","1,163.40","1,045.00","1,093.00",-1.35,"76,362.00","82,145,297.30"
17,2026-07-24,"1,100.00","1,179.00","1,100.00","1,108.00",-3.23,"91,423.00","103,439,423.60"
18,2026-07-23,"1,050.00","1,150.50","1,050.00","1,145.00",5.65,"97,608.00","108,663,415.00"
19,2026-07-22,"1,000.00","1,100.00","1,000.00","1,083.80",4.32,"88,041.00","93,925,791.20"
20,2026-07-21,"1,069.00","1,074.00","1,021.00","1,038.90",-2.83,"59,912.00","62,394,916.80"
21,2026-07-20,980.00,"1,069.20",950.00,"1,069.20",10.95,"78,017.00","79,747,450.70"
22,2026-07-17,796.10,963.70,796.10,963.70,15.0,"67,127.00","61,510,149.20"
