S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-23,"1,357.00","1,369.00","1,309.00","1,333.00",-1.79,"25,003.00","33,392,618.40"
2,2026-09-22,"1,366.00","1,398.00","1,350.00","1,357.30",-2.14,"20,495.00","27,966,138.70"
3,2026-09-18,"1,449.90","1,449.90","1,366.00","1,387.00",-0.2,"14,961.00","20,662,737.20"
4,2026-09-17,"1,400.00","1,469.80","1,361.00","1,389.80",-0.73,"20,802.00","28,900,855.00"
5,2026-09-16,"1,389.00","1,410.00","1,365.00","1,400.00",-1.41,"21,458.00","29,711,090.20"
6,2026-09-15,"1,487.30","1,516.10","1,370.00","1,420.00",-1.66,"36,823.00","51,974,282.40"
7,2026-09-14,"1,400.00","1,498.00","1,370.00","1,444.00",5.4,"43,535.00","61,539,747.30"
8,2026-09-11,"1,204.60","1,375.00","1,204.60","1,370.00",8.04,"53,992.00","71,141,539.30"
9,2026-09-10,"1,180.00","1,277.00","1,180.00","1,268.00",2.26,"41,352.00","51,905,553.50"
10,2026-09-09,"1,245.00","1,275.00","1,226.00","1,240.00",-0.4,"22,815.00","28,484,407.60"
11,2026-09-07,"1,204.80","1,255.00","1,186.50","1,245.00",2.89,"24,421.00","29,957,802.50"
12,2026-09-03,"1,220.00","1,228.00","1,175.00","1,210.00",-1.63,"34,865.00","42,008,341.40"
13,2026-09-02,"1,238.00","1,270.00","1,221.20","1,230.00",-1.84,"26,980.00","33,440,363.00"
14,2026-09-01,"1,250.00","1,340.00","1,238.00","1,253.00",-1.8,"51,350.00","64,852,198.50"
15,2026-08-31,"1,464.50","1,604.00","1,276.00","1,276.00",-8.52,"115,467.00","159,195,100.80"
16,2026-08-27,"1,273.50","1,394.80","1,273.50","1,394.80",15.0,"4,690.00","6,535,458.00"
17,2026-08-26,"1,055.00","1,212.90","1,055.00","1,212.90",15.0,"1,820.00","2,202,837.00"
18,2026-08-25,917.0,"1,054.70",917.0,"1,054.70",14.99,"1,420.00","1,493,620.00"
19,2026-08-24,837.0,917.2,837.0,917.2,14.99,960.0,"877,235.00"
20,2026-08-21,714.4,797.6,714.4,797.6,14.99,400.0,"317,021.00"
21,2026-08-20,621.2,693.6,621.2,693.6,14.99,180.0,"123,089.00"
22,2026-08-19,537.7,603.2,537.7,603.2,14.98,190.0,"112,319.00"
23,2026-08-18,456.5,524.6,456.5,524.6,14.99,150.0,"76,691.00"
24,2026-08-17,404.2,456.2,404.2,456.2,15.0,160.0,"71,116.00"
25,2026-08-14,348.4,396.7,348.4,396.7,14.99,60.0,"22,458.00"
26,2026-08-13,300.0,345.0,300.0,345.0,15.0,70.0,"22,824.00"
