S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-14,800.00,805.60,796.00,796.00,-1.12,"21,037.00","16,822,852.60"
2,2026-08-13,800.00,814.00,796.20,805.00,0.49,"20,489.00","16,491,272.10"
3,2026-08-12,810.00,820.00,800.10,801.10,-1.58,"21,064.00","17,020,654.40"
4,2026-08-11,792.00,824.00,790.20,814.00,2.26,"34,655.00","28,173,412.00"
5,2026-08-10,792.00,804.00,790.00,796.00,0.51,"18,146.00","14,462,217.60"
6,2026-08-07,760.00,810.00,760.00,792.00,-1.0,"33,277.00","26,511,193.80"
7,2026-08-06,807.20,826.00,800.00,800.00,-1.84,"36,365.00","29,516,697.60"
8,2026-08-05,810.00,825.00,807.20,815.00,0.87,"23,188.00","18,879,908.50"
9,2026-08-04,820.00,830.00,806.30,808.00,-1.83,"32,485.00","26,463,650.70"
10,2026-08-03,825.00,850.90,820.00,823.10,-0.47,"28,239.00","23,537,416.90"
11,2026-07-31,783.80,840.00,783.80,827.00,0.24,"31,094.00","25,700,306.30"
12,2026-07-30,794.20,852.00,794.20,825.00,-1.32,"59,270.00","48,843,630.20"
13,2026-07-29,848.00,869.00,834.00,836.00,-1.42,"28,683.00","24,334,618.70"
14,2026-07-28,901.00,901.00,836.10,848.00,-1.27,"45,383.00","38,840,679.90"
15,2026-07-27,893.00,913.00,845.20,858.90,-3.82,"79,971.00","70,530,987.90"
16,2026-07-24,905.00,948.00,893.00,893.00,-1.33,"93,889.00","86,354,656.90"
17,2026-07-23,833.00,915.00,833.00,905.00,7.47,"82,670.00","72,325,100.30"
18,2026-07-22,845.00,861.10,835.00,842.10,-0.34,"41,452.00","35,015,549.50"
19,2026-07-21,848.00,879.60,833.20,845.00,-0.35,"70,713.00","60,354,952.50"
20,2026-07-20,823.10,850.00,820.00,848.00,3.03,"49,405.00","41,423,909.30"
21,2026-07-17,780.00,835.00,780.00,823.10,5.53,"56,949.00","46,541,995.40"
22,2026-07-16,732.50,799.00,732.50,780.00,1.17,"51,223.00","40,143,306.20"
23,2026-07-15,765.00,790.00,765.00,771.00,0.78,"36,729.00","28,608,969.80"
24,2026-07-14,750.00,789.00,745.00,765.00,1.86,"45,784.00","34,939,493.60"
25,2026-07-13,790.00,809.00,750.00,751.00,-4.94,"49,560.00","37,960,086.30"
26,2026-07-10,792.60,815.00,781.20,790.00,-0.33,"33,604.00","26,728,782.50"
27,2026-07-09,827.00,850.00,792.50,792.60,-4.16,"39,702.00","32,141,505.20"
28,2026-07-08,855.00,855.00,810.00,827.00,-3.27,"48,156.00","39,901,566.30"
29,2026-07-07,835.10,870.00,835.10,855.00,0.35,"38,411.00","32,626,076.70"
30,2026-07-06,875.00,885.00,850.00,852.00,-3.29,"46,845.00","40,519,247.20"
31,2026-07-03,865.00,900.00,857.10,881.00,1.85,"57,306.00","50,404,723.30"
32,2026-07-02,885.00,896.10,851.00,865.00,-2.26,"48,210.00","41,709,152.40"
33,2026-07-01,833.00,885.00,810.50,885.00,6.23,"69,314.00","59,898,539.30"
34,2026-06-30,850.00,885.30,830.00,833.10,-5.9,"95,026.00","80,978,173.40"
35,2026-06-29,920.00,921.00,885.10,885.30,-4.5,"98,158.00","88,036,862.80"
36,2026-06-26,920.00,985.00,920.00,927.00,-4.05,"102,340.00","96,340,296.80"
37,2026-06-25,988.00,988.80,940.10,966.10,-2.26,"132,596.00","127,725,427.70"
38,2026-06-24,"1,041.00","1,041.00",981.10,988.40,-5.05,"172,660.00","172,271,880.70"
39,2026-06-23,"1,120.00","1,140.10","1,033.10","1,041.00",-7.05,"178,175.00","189,098,209.00"
40,2026-06-22,"1,060.00","1,217.00",990.0,"1,120.00",5.66,"354,195.00","374,456,148.00"
41,2026-06-19,950.0,"1,069.10",950.0,"1,060.00",14.02,"190,900.00","201,367,627.50"
42,2026-06-18,848.0,929.7,848.0,929.7,14.99,"1,730.00","1,605,851.00"
43,2026-06-17,724.1,808.5,724.1,808.5,14.99,860.0,"693,261.00"
44,2026-06-16,629.5,703.1,629.5,703.1,15.0,780.0,"545,890.00"
45,2026-06-15,550.0,611.4,550.0,611.4,14.99,610.0,"367,822.00"
46,2026-06-12,471.3,531.7,471.3,531.7,14.99,380.0,"198,665.00"
47,2026-06-11,422.2,462.4,422.2,462.4,15.0,300.0,"136,276.00"
48,2026-06-10,351.5,402.1,351.5,402.1,14.98,340.0,"134,759.00"
49,2026-06-09,306.8,349.7,306.8,349.7,15.0,200.0,"68,310.00"
50,2026-06-08,276.5,304.1,276.5,304.1,9.98,390.0,"116,894.00"
