S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-20,"1,207.50","1,296.00","1,207.50","1,270.00",-0.08,"26,575.00","33,845,566.60"
2,2026-08-19,"1,225.50","1,300.00","1,225.50","1,271.00",-1.47,"29,613.00","37,852,676.00"
3,2026-08-18,"1,295.00","1,306.90","1,283.00","1,290.00",-0.46,"24,651.00","31,873,682.70"
4,2026-08-17,"1,357.60","1,357.60","1,290.00","1,296.00",0.23,"30,705.00","39,979,157.40"
5,2026-08-14,"1,350.00","1,350.00","1,275.00","1,293.00",-0.54,"17,666.00","22,946,893.40"
6,2026-08-13,"1,340.00","1,340.00","1,290.00","1,300.00",0.15,"30,086.00","39,400,183.70"
7,2026-08-12,"1,322.00","1,330.00","1,298.00","1,298.00",-1.74,"32,019.00","42,042,316.40"
8,2026-08-11,"1,277.00","1,355.90","1,277.00","1,321.00",-0.97,"19,605.00","26,030,266.50"
9,2026-08-10,"1,219.80","1,350.00","1,219.80","1,334.00",3.89,"48,549.00","63,995,021.20"
10,2026-08-07,"1,242.00","1,299.00","1,242.00","1,284.00",0.31,"22,646.00","29,027,925.40"
11,2026-08-06,"1,251.20","1,350.00","1,251.20","1,280.00",-2.81,"61,852.00","80,010,554.80"
12,2026-08-05,"1,254.00","1,340.00","1,254.00","1,317.00",-0.23,"24,063.00","31,663,111.80"
13,2026-08-04,"1,381.00","1,381.00","1,315.00","1,320.00",-1.65,"21,415.00","28,502,513.50"
14,2026-08-03,"1,282.50","1,375.00","1,282.50","1,342.10",-0.59,"52,381.00","70,986,141.90"
15,2026-07-31,"1,264.50","1,355.00","1,264.50","1,350.00",1.43,"44,453.00","59,284,285.20"
16,2026-07-30,"1,335.00","1,364.00","1,310.00","1,331.00",-0.22,"30,930.00","41,033,491.70"
17,2026-07-29,"1,350.00","1,379.00","1,333.00","1,334.00",-1.91,"28,991.00","39,079,806.60"
18,2026-07-28,"1,297.00","1,392.00","1,297.00","1,360.00",-0.37,"42,583.00","58,337,824.60"
19,2026-07-27,"1,352.80","1,432.00","1,352.80","1,365.00",-4.14,"61,654.00","85,791,405.60"
20,2026-07-24,"1,360.00","1,463.00","1,360.00","1,424.00",-0.2,"75,872.00","109,451,109.50"
21,2026-07-23,"1,400.00","1,429.50","1,385.20","1,426.90",1.28,"75,287.00","106,090,378.70"
22,2026-07-22,"1,334.80","1,430.00","1,334.80","1,408.90",0.28,"69,705.00","98,090,710.30"
23,2026-07-21,"1,327.70","1,448.00","1,327.70","1,405.00",0.54,"96,349.00","136,397,739.40"
24,2026-07-20,"1,350.00","1,411.00","1,338.00","1,397.50",4.45,"108,582.00","150,852,842.00"
25,2026-07-17,"1,192.30","1,338.00","1,192.30","1,338.00",6.61,"56,308.00","74,239,187.40"
26,2026-07-16,"1,282.00","1,305.00","1,226.10","1,255.00",-3.45,"37,066.00","47,070,536.40"
27,2026-07-15,"1,301.00","1,310.00","1,262.00","1,299.80",1.79,"31,623.00","41,015,646.00"
28,2026-07-14,"1,224.60","1,330.00","1,224.60","1,277.00",-0.93,"46,271.00","59,104,397.70"
29,2026-07-13,"1,330.00","1,357.00","1,282.10","1,289.00",-5.15,"54,123.00","71,034,116.60"
30,2026-07-10,"1,300.00","1,364.00","1,300.00","1,359.00",1.42,"22,494.00","30,194,469.90"
31,2026-07-09,"1,310.00","1,371.00","1,310.00","1,340.00",-1.03,"44,444.00","60,266,788.90"
32,2026-07-08,"1,300.00","1,368.00","1,300.00","1,354.00",-0.99,"36,378.00","49,333,756.20"
33,2026-07-07,"1,283.50","1,374.80","1,283.50","1,367.50",1.22,"28,176.00","38,405,590.70"
34,2026-07-06,"1,358.00","1,383.70","1,350.00","1,351.00",-0.59,"41,930.00","57,331,878.50"
35,2026-07-03,"1,355.00","1,375.00","1,345.00","1,359.00",0.3,"27,554.00","37,493,389.00"
36,2026-07-02,"1,289.20","1,397.00","1,289.20","1,355.00",-0.15,"14,413.00","19,498,716.70"
37,2026-07-01,"1,267.30","1,389.00","1,267.30","1,357.00",1.72,"45,120.00","61,209,743.00"
38,2026-06-30,"1,350.00","1,358.00","1,334.00","1,334.00",-0.67,"25,410.00","34,138,827.10"
39,2026-06-29,"1,367.00","1,380.00","1,338.00","1,343.00",-1.76,"37,552.00","50,752,488.00"
40,2026-06-26,"1,325.30","1,412.90","1,325.30","1,367.00",-2.01,"27,629.00","38,193,242.80"
41,2026-06-25,"1,377.00","1,410.00","1,375.50","1,395.00",-0.35,"19,950.00","27,741,931.10"
42,2026-06-24,"1,311.00","1,399.90","1,311.00","1,399.90",1.44,"45,410.00","62,284,152.10"
43,2026-06-23,"1,362.30","1,425.00","1,362.30","1,380.00",-3.76,"45,547.00","63,564,472.50"
44,2026-06-22,"1,371.80","1,455.00","1,371.80","1,433.90",-0.7,"30,269.00","43,174,478.20"
