S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-31,741.00,750.00,725.00,726.00,-4.47,365.00,"269,762.00"
2,2026-08-27,775.00,776.60,755.00,760.00,0.8,"1,550.00","1,174,005.80"
3,2026-08-26,770.00,770.00,753.10,754.00,-2.08,159.00,"121,711.60"
4,2026-08-25,767.00,789.80,767.00,770.00,-1.28,992.00,"769,931.10"
5,2026-08-24,785.10,790.00,780.00,780.00,-1.02,752.00,"590,157.10"
6,2026-08-21,788.00,810.00,788.00,788.00,-2.11,524.00,"415,235.10"
7,2026-08-20,790.10,805.00,780.00,805.00,0.37,328.00,"258,673.30"
8,2026-08-19,795.00,802.00,795.00,802.00,0.74,316.00,"252,752.90"
9,2026-08-18,782.00,805.00,782.00,796.10,-0.54,475.00,"380,369.30"
10,2026-08-17,800.10,810.10,800.10,800.40,-1.67,68.00,"54,490.20"
11,2026-08-14,800.00,814.00,800.00,814.00,1.12,202.00,"162,081.00"
12,2026-08-13,802.00,815.00,800.00,805.00,0.49,"1,018.00","815,794.10"
13,2026-08-12,815.00,815.00,801.10,801.10,-0.85,349.00,"280,625.60"
14,2026-08-11,800.00,810.00,800.00,808.00,0.74,197.00,"158,727.40"
15,2026-08-10,809.00,809.00,800.00,802.10,-1.1,240.00,"193,063.10"
16,2026-08-07,815.00,825.00,810.00,811.00,-0.15,488.00,"397,224.00"
17,2026-08-06,810.10,817.50,809.50,812.20,-0.65,393.00,"319,032.20"
18,2026-08-05,815.00,820.00,810.00,817.50,-0.3,"1,308.00","1,067,540.00"
19,2026-08-04,815.00,830.00,815.00,820.00,-1.68,132.00,"107,920.00"
20,2026-08-03,811.00,834.00,811.00,834.00,0.48,278.00,"228,890.90"
21,2026-07-31,810.20,834.50,810.20,830.00,0.01,326.00,"268,065.50"
22,2026-07-30,820.00,844.60,820.00,829.90,1.21,346.00,"287,525.60"
23,2026-07-29,834.50,865.00,820.00,820.00,-4.54,"1,200.00","1,002,233.20"
24,2026-07-28,820.30,869.90,820.20,859.00,1.66,237.00,"201,095.30"
25,2026-07-27,828.00,845.00,828.00,845.00,0.24,529.00,"441,802.20"
26,2026-07-24,886.00,886.00,840.00,843.00,-2.43,"1,407.00","1,194,199.00"
27,2026-07-23,848.50,864.90,828.00,864.00,-1.14,768.00,"648,903.00"
28,2026-07-22,890.20,890.90,786.30,874.00,1.04,"2,579.00","2,179,561.60"
29,2026-07-21,889.90,889.90,862.20,865.00,0.0,"1,130.00","977,303.00"
30,2026-07-20,851.00,889.90,840.00,865.00,-1.03,"1,550.00","1,321,444.00"
31,2026-07-17,840.00,874.00,840.00,874.00,4.17,152.00,"131,686.00"
32,2026-07-16,808.10,839.00,808.10,839.00,2.92,289.00,"240,121.60"
33,2026-07-15,818.00,818.00,815.20,815.20,0.02,21.00,"17,147.20"
34,2026-07-14,815.00,815.00,790.00,815.00,0.25,674.00,"541,635.40"
35,2026-07-13,837.50,837.50,813.00,813.00,-0.87,278.00,"228,495.50"
36,2026-07-10,825.00,839.50,818.30,820.10,-0.71,381.00,"313,715.30"
37,2026-07-09,824.10,828.00,824.10,826.00,-1.67,333.00,"275,155.30"
38,2026-07-08,865.30,865.30,839.30,840.00,-2.91,"1,474.00","1,243,084.40"
39,2026-07-07,870.00,875.00,865.20,865.20,0.01,148.00,"128,905.20"
40,2026-07-06,888.00,903.00,862.10,865.10,-2.58,314.00,"274,771.20"
41,2026-07-03,880.00,899.90,865.00,888.00,3.02,"2,884.00","2,551,803.70"
42,2026-07-02,853.00,862.00,840.00,862.00,1.06,"1,414.00","1,196,413.70"
43,2026-07-01,827.10,869.00,827.10,853.00,0.35,423.00,"360,390.10"
44,2026-06-30,850.00,879.70,850.00,850.00,-0.48,702.00,"601,631.80"
45,2026-06-29,845.10,888.00,845.10,854.10,0.48,"1,333.00","1,161,454.00"
46,2026-06-26,860.00,880.00,846.00,850.00,-1.05,604.00,"516,536.00"
47,2026-06-25,864.00,869.00,857.00,859.00,-0.58,842.00,"726,478.10"
48,2026-06-24,860.00,864.00,850.50,864.00,0.0,427.00,"364,331.10"
49,2026-06-23,880.00,880.00,860.00,864.00,-2.12,290.00,"250,865.40"
50,2026-06-22,875.00,882.70,855.00,882.70,0.88,302.00,"261,217.00"
51,2026-06-19,865.00,875.00,865.00,875.00,-1.13,572.00,"495,219.80"
52,2026-06-18,860.00,890.00,860.00,885.00,2.31,122.00,"106,230.30"
53,2026-06-17,865.00,865.00,861.00,865.00,-0.12,100.00,"86,140.00"
54,2026-06-16,853.60,879.00,853.60,866.00,-1.59,422.00,"365,752.30"
55,2026-06-15,875.00,899.00,870.00,880.00,-2.11,427.00,"374,463.50"
56,2026-06-12,890.00,899.00,855.00,899.00,1.01,438.00,"386,731.50"
57,2026-06-11,916.00,916.00,868.00,890.00,0.0,221.00,"193,934.00"
58,2026-06-10,895.00,900.00,870.10,890.00,-0.56,418.00,"372,368.40"
59,2026-06-09,882.00,898.80,876.00,895.00,0.56,662.00,"585,114.10"
60,2026-06-08,885.00,890.00,885.00,890.00,-1.33,144.00,"128,062.10"
61,2026-06-05,904.00,910.00,890.00,902.00,-0.22,901.00,"805,815.30"
62,2026-06-04,895.00,911.00,895.00,904.00,2.2,925.00,"837,447.70"
63,2026-06-03,900.00,900.00,884.50,884.50,-1.71,226.00,"201,359.00"
64,2026-06-02,896.50,899.90,880.10,899.90,0.38,79.00,"69,770.10"
65,2026-06-01,882.00,897.00,880.00,896.50,1.64,"1,325.00","1,170,303.40"
66,2026-05-27,890.00,905.00,866.00,882.00,-1.12,829.00,"732,218.20"
67,2026-05-26,892.00,892.00,885.00,892.00,0.0,260.00,"231,570.50"
68,2026-05-25,881.00,913.00,880.00,892.00,-0.34,539.00,"479,747.30"
69,2026-05-22,878.00,895.00,878.00,895.00,0.56,161.00,"143,288.10"
70,2026-05-21,880.00,901.00,878.00,890.00,0.56,714.00,"630,640.00"
71,2026-05-20,894.00,900.00,883.10,885.00,-1.01,"2,927.00","2,593,254.60"
72,2026-05-19,895.00,895.00,877.10,894.00,-0.11,155.00,"137,834.70"
73,2026-05-18,875.00,895.00,875.00,895.00,0.0,172.00,"152,245.00"
74,2026-05-15,885.00,910.00,885.00,895.00,0.11,442.00,"396,201.10"
75,2026-05-14,901.00,901.00,891.00,894.00,-1.76,84.00,"75,078.00"
76,2026-05-13,886.00,910.00,886.00,910.00,1.05,326.00,"295,923.00"
77,2026-05-12,901.00,916.00,900.00,900.50,-2.07,304.00,"274,513.10"
78,2026-05-11,891.00,924.00,885.00,919.50,2.17,"1,080.00","977,347.00"
79,2026-05-08,887.00,900.00,887.00,900.00,-1.29,518.00,"465,311.10"
80,2026-05-07,875.00,916.00,875.00,911.80,1.87,608.00,"548,154.40"
81,2026-05-06,898.00,914.90,895.00,895.10,-0.32,577.00,"521,462.30"
82,2026-05-05,915.00,915.00,898.00,898.00,-2.13,986.00,"890,407.90"
83,2026-05-04,918.00,918.00,895.10,917.50,-0.22,747.00,"673,559.50"
84,2026-04-30,901.00,928.00,900.00,919.50,0.6,379.00,"345,432.80"
85,2026-04-29,924.00,915.00,905.50,914.00,-1.08,"1,838.00","1,672,874.80"
86,2026-04-28,935.00,935.00,917.00,924.00,-1.18,673.00,"622,783.50"
87,2026-04-27,930.00,935.00,925.00,935.00,0.54,"1,054.00","975,569.20"
88,2026-04-24,940.00,944.00,930.00,930.00,-1.06,"1,057.00","987,732.60"
89,2026-04-23,931.10,955.00,931.10,940.00,-1.47,318.00,"299,590.10"
90,2026-04-22,935.40,958.00,935.40,954.00,-0.73,547.00,"519,096.40"
91,2026-04-21,970.00,979.00,930.00,961.00,-1.02,"1,489.00","1,411,305.80"
92,2026-04-20,989.00,989.00,945.00,970.90,0.82,388.00,"370,464.30"
93,2026-04-17,946.10,964.00,946.10,963.00,-0.2,143.00,"136,565.60"
94,2026-04-16,946.00,964.90,946.00,964.90,-0.01,679.00,"646,507.60"
95,2026-04-15,970.70,970.90,942.10,965.00,1.37,"1,351.00","1,306,230.80"
96,2026-04-13,937.00,952.50,937.00,952.00,0.74,"1,105.00","1,048,428.60"
97,2026-04-10,942.00,959.00,941.00,945.00,-1.15,766.00,"728,227.40"
98,2026-04-09,973.80,973.80,954.80,956.00,-0.41,"1,879.00","1,797,691.40"
99,2026-04-08,966.00,966.00,941.10,959.90,0.1,"1,194.00","1,132,432.20"
100,2026-04-07,968.00,968.00,940.00,958.90,0.94,886.00,"836,219.10"
101,2026-04-06,939.00,957.70,926.00,950.00,2.7,"2,574.00","2,417,619.70"
