S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-31,735.00,735.00,720.00,729.00,-1.49,"1,161.00","839,644.90"
2,2026-08-27,712.10,745.00,712.10,740.00,0.95,898.00,"647,232.70"
3,2026-08-26,735.00,741.00,731.00,733.00,-0.27,803.00,"589,235.50"
4,2026-08-25,730.10,745.00,730.10,735.00,0.0,"1,382.00","1,016,714.20"
5,2026-08-24,736.00,747.90,731.60,735.00,-1.72,"2,188.00","1,608,884.50"
6,2026-08-21,745.00,750.00,736.10,747.90,-0.27,"1,756.00","1,304,238.00"
7,2026-08-20,730.60,749.90,730.60,749.90,1.61,937.00,"696,559.50"
8,2026-08-19,740.00,741.00,733.00,738.00,0.41,"1,146.00","845,857.70"
9,2026-08-18,735.10,737.10,731.50,735.00,-1.74,"2,050.00","1,505,212.40"
10,2026-08-17,741.60,750.00,741.60,748.00,-0.66,"1,791.00","1,332,789.30"
11,2026-08-14,760.00,760.00,747.00,753.00,0.41,956.00,"715,597.80"
12,2026-08-13,746.00,764.90,745.10,749.90,0.52,780.00,"583,819.50"
13,2026-08-12,748.00,748.00,739.00,746.00,-0.52,833.00,"616,722.00"
14,2026-08-11,750.00,760.00,740.00,749.90,-0.01,"1,220.00","905,718.10"
15,2026-08-10,767.30,767.30,743.20,750.00,0.67,830.00,"623,526.30"
16,2026-08-07,755.00,755.00,743.50,745.00,-0.67,564.00,"421,984.60"
17,2026-08-06,775.00,775.00,750.00,750.00,-0.66,"2,936.00","2,206,913.10"
18,2026-08-05,747.00,766.50,747.00,755.00,-1.94,"2,254.00","1,688,948.60"
19,2026-08-04,750.30,769.90,745.10,769.90,1.3,"1,885.00","1,414,251.60"
20,2026-08-03,775.00,775.00,745.00,760.00,-0.26,"1,063.00","802,219.10"
21,2026-07-31,759.00,769.00,750.10,762.00,-0.9,677.00,"513,506.00"
22,2026-07-30,770.00,780.00,760.00,768.90,-0.14,450.00,"343,819.50"
23,2026-07-29,757.10,779.00,757.00,770.00,0.42,523.00,"401,397.70"
24,2026-07-28,783.00,830.00,750.00,766.80,0.83,"1,190.00","905,369.00"
25,2026-07-27,773.00,789.00,755.00,760.50,-4.22,"1,588.00","1,226,292.00"
26,2026-07-24,785.00,794.00,775.20,794.00,1.15,971.00,"758,697.30"
27,2026-07-23,800.00,800.00,777.00,785.00,-0.88,415.00,"326,685.80"
28,2026-07-22,800.00,805.00,781.10,792.00,-1.0,716.00,"568,521.90"
29,2026-07-21,775.00,814.00,772.00,800.00,0.63,"1,767.00","1,386,016.90"
30,2026-07-20,803.00,804.00,781.00,795.00,1.92,"1,646.00","1,294,457.10"
31,2026-07-17,735.00,780.00,735.00,780.00,4.15,"2,093.00","1,593,731.70"
32,2026-07-16,755.00,755.00,733.10,748.90,1.2,"1,270.00","934,358.20"
33,2026-07-15,770.00,770.00,739.90,740.00,-1.2,"1,853.00","1,379,247.30"
34,2026-07-14,735.20,750.00,730.00,749.00,0.01,"3,875.00","2,852,242.30"
35,2026-07-13,752.00,788.00,747.10,748.90,-2.99,"1,810.00","1,361,999.60"
36,2026-07-10,765.00,784.00,765.00,772.00,-1.66,747.00,"577,768.90"
37,2026-07-09,803.00,803.00,771.00,785.00,0.38,"1,126.00","871,837.50"
38,2026-07-08,777.00,810.00,772.00,782.00,-1.0,"1,153.00","899,310.90"
39,2026-07-07,780.00,800.00,777.30,789.90,1.27,"1,291.00","1,007,562.50"
40,2026-07-06,804.00,804.00,775.00,780.00,-1.89,918.00,"719,211.40"
