S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-20,"1,946.00","1,988.80","1,905.10","1,988.80",-0.01,"1,146.00","2,221,294.70"
2,2026-08-19,"1,952.00","1,989.90","1,932.00","1,988.90",-0.06,670.00,"1,313,795.10"
3,2026-08-18,"1,950.00","1,990.10","1,950.00","1,990.10",0.97,589.00,"1,156,620.50"
4,2026-08-17,"2,000.00","2,000.00","1,950.00","1,971.00",-1.45,455.00,"898,552.00"
5,2026-08-14,"1,984.60","2,000.00","1,982.00","2,000.00",-0.74,195.00,"387,195.40"
6,2026-08-13,"1,980.00","2,015.00","1,975.00","2,015.00",0.0,570.00,"1,137,812.00"
7,2026-08-12,"1,980.00","2,015.00","1,980.00","2,015.00",0.8,345.00,"688,908.00"
8,2026-08-11,"2,023.00","2,023.00","1,992.00","1,999.00",-0.79,391.00,"782,223.00"
9,2026-08-10,"2,010.00","2,035.00","1,986.00","2,015.00",-1.23,491.00,"981,836.00"
10,2026-08-07,"2,020.00","2,040.00","2,010.00","2,040.00",0.74,441.00,"889,079.00"
11,2026-08-06,"2,040.00","2,049.00","2,015.00","2,025.00",-0.25,190.00,"387,044.20"
12,2026-08-05,"1,985.00","2,030.00","1,985.00","2,030.00",0.94,367.00,"737,745.00"
13,2026-08-04,"2,070.00","2,070.00","2,011.10","2,011.10",-1.66,240.00,"488,097.00"
14,2026-08-03,"2,052.00","2,052.00","2,026.30","2,045.00",1.24,580.00,"1,183,261.00"
15,2026-07-31,"2,023.00","2,026.00","2,005.00","2,020.00",0.44,170.00,"343,050.00"
16,2026-07-30,"2,011.10","2,045.00","2,011.10","2,011.10",-0.98,430.00,"868,673.00"
17,2026-07-29,"2,070.00","2,099.00","2,027.00","2,031.00",-2.36,390.00,"802,214.00"
18,2026-07-28,"2,056.00","2,100.00","2,000.00","2,080.00",-0.86,499.00,"1,013,499.00"
19,2026-07-27,"2,061.50","2,132.00","2,061.50","2,098.00",0.0,857.00,"1,802,229.00"
20,2026-07-24,"2,145.00","2,154.90","2,098.00","2,098.00",0.0,845.00,"1,785,355.00"
21,2026-07-23,"2,130.00","2,130.00","2,053.00","2,098.00",-0.33,858.00,"1,780,486.00"
22,2026-07-22,"2,120.00","2,164.00","2,105.00","2,105.00",-1.73,956.00,"2,038,708.50"
23,2026-07-21,"2,145.00","2,205.00","2,127.00","2,142.00",-1.74,882.00,"1,909,882.00"
24,2026-07-20,"2,090.00","2,180.00","2,090.00","2,180.00",5.06,960.00,"2,061,795.80"
25,2026-07-17,"1,950.00","2,075.00","1,950.00","2,075.00",5.87,578.00,"1,185,753.70"
26,2026-07-16,"1,950.20","2,006.00","1,950.20","1,960.00",-1.85,384.00,"754,820.00"
27,2026-07-15,"1,934.10","2,000.00","1,934.10","1,997.00",0.86,573.00,"1,139,435.00"
28,2026-07-14,"2,000.00","2,000.00","1,920.90","1,980.00",-0.3,704.00,"1,381,574.00"
29,2026-07-13,"1,992.50","2,000.00","1,986.00","1,986.00",-2.36,245.00,"488,310.10"
30,2026-07-10,"1,970.10","2,048.00","1,970.10","2,034.00",0.2,244.00,"489,895.00"
31,2026-07-09,"2,050.00","2,050.00","2,000.00","2,030.00",-1.36,587.00,"1,181,083.80"
32,2026-07-08,"2,040.00","2,061.00","2,012.10","2,057.90",-0.4,567.00,"1,160,242.90"
33,2026-07-07,"2,062.00","2,075.00","2,050.00","2,066.10",0.2,160.00,"329,136.00"
34,2026-07-06,"2,105.00","2,105.00","2,035.30","2,062.00",0.1,596.00,"1,233,853.90"
35,2026-07-03,"2,040.00","2,097.00","2,030.00","2,060.00",0.98,438.00,"907,167.50"
36,2026-07-02,"2,050.00","2,063.50","2,040.00","2,040.00",-2.95,"1,241.00","2,540,577.00"
37,2026-07-01,"2,100.00","2,135.00","2,080.10","2,102.00",1.5,895.00,"1,884,051.00"
38,2026-06-30,"2,173.00","2,173.00","2,060.00","2,071.00",-4.69,"1,402.00","2,918,845.50"
39,2026-06-29,"2,180.00","2,200.00","2,116.00","2,173.00",-1.27,918.00,"1,977,346.80"
40,2026-06-26,"2,200.00","2,210.00","2,200.00","2,201.00",-2.2,253.00,"558,080.60"
41,2026-06-25,"2,200.00","2,332.00","2,180.00","2,250.50",2.3,365.00,"810,362.00"
42,2026-06-24,"2,321.90","2,321.90","2,170.00","2,200.00",-2.44,864.00,"1,896,733.00"
43,2026-06-23,"2,345.00","2,345.00","2,230.00","2,255.00",-0.97,372.00,"844,742.50"
44,2026-06-22,"2,277.20","2,322.00","2,260.00","2,277.00",-0.01,524.00,"1,199,683.00"
45,2026-06-19,"2,210.00","2,359.90","2,210.00","2,277.20",2.12,715.00,"1,631,823.00"
46,2026-06-18,"2,216.00","2,230.00","2,215.00","2,230.00",-0.23,311.00,"690,953.00"
47,2026-06-17,"2,200.00","2,235.20","2,200.00","2,235.20",0.46,414.00,"920,492.00"
48,2026-06-16,"2,250.00","2,255.00","2,218.40","2,225.00",-1.76,450.00,"1,004,255.00"
49,2026-06-15,"2,230.10","2,265.00","2,230.10","2,264.90",-0.62,460.00,"1,032,724.00"
50,2026-06-12,"2,250.00","2,300.00","2,250.00","2,279.00",-0.28,"1,470.00","3,333,626.00"
51,2026-06-11,"2,320.00","2,350.00","2,285.50","2,285.50",-1.49,505.00,"1,167,673.50"
52,2026-06-10,"2,350.00","2,350.00","2,310.00","2,320.00",-0.81,365.00,"846,018.00"
53,2026-06-09,"2,302.10","2,340.00","2,302.10","2,338.90",-0.3,750.00,"1,734,671.00"
54,2026-06-08,"2,342.00","2,355.00","2,342.00","2,346.00",-1.39,396.00,"929,824.00"
55,2026-06-05,"2,380.00","2,385.00","2,340.00","2,379.00",0.3,874.00,"2,063,106.60"
56,2026-06-04,"2,400.00","2,400.00","2,370.00","2,372.00",-0.13,265.00,"629,500.00"
57,2026-06-03,"2,405.00","2,405.00","2,375.10","2,375.10",-2.26,326.00,"779,075.00"
58,2026-06-02,"2,318.30","2,440.00","2,318.30","2,430.00",1.67,720.00,"1,724,162.00"
59,2026-06-01,"2,380.00","2,390.00","2,350.00","2,390.00",0.0,550.00,"1,303,196.00"
60,2026-05-27,"2,399.00","2,420.00","2,388.00","2,390.00",-0.42,324.00,"776,130.00"
61,2026-05-26,"2,401.00","2,408.00","2,386.00","2,400.00",-2.0,440.00,"1,055,901.00"
62,2026-05-25,"2,415.00","2,473.90","2,375.00","2,449.00",2.04,"1,046.00","2,530,048.00"
63,2026-05-22,"2,360.10","2,400.00","2,300.10","2,400.00",1.6,612.00,"1,448,399.80"
64,2026-05-21,"2,401.00","2,401.00","2,355.10","2,362.30",-1.57,320.00,"759,957.00"
65,2026-05-20,"2,351.00","2,400.00","2,351.00","2,399.90",0.41,715.00,"1,699,483.00"
66,2026-05-19,"2,344.00","2,390.00","2,326.80","2,390.00",1.92,508.00,"1,194,513.00"
67,2026-05-18,"2,448.90","2,455.00","2,341.00","2,345.00",-1.68,710.00,"1,681,646.50"
68,2026-05-15,"2,400.00","2,420.00","2,380.10","2,385.10",-1.44,"1,135.00","2,718,617.00"
69,2026-05-14,"2,406.00","2,470.00","2,396.00","2,420.00",0.25,825.00,"1,983,405.00"
70,2026-05-13,"2,400.00","2,440.00","2,400.00","2,414.00",-1.11,337.00,"814,455.00"
71,2026-05-12,"2,480.00","2,490.00","2,440.00","2,441.00",-2.32,587.00,"1,443,722.00"
72,2026-05-11,"2,488.10","2,500.00","2,460.10","2,499.00",0.56,"2,008.00","4,978,587.90"
73,2026-05-08,"2,439.00","2,495.00","2,439.00","2,485.00",2.04,"1,530.00","3,761,240.00"
74,2026-05-07,"2,449.00","2,450.00","2,431.00","2,435.30",-1.0,180.00,"439,526.00"
75,2026-05-06,"2,450.00","2,475.00","2,440.00","2,460.00",0.41,672.00,"1,653,867.00"
76,2026-05-05,"2,400.30","2,469.90","2,400.30","2,450.00",1.62,669.00,"1,626,305.00"
77,2026-05-04,"2,407.00","2,450.00","2,407.00","2,411.00",-1.79,787.00,"1,902,952.40"
78,2026-04-30,"2,462.00","2,462.00","2,420.00","2,455.00",-1.01,"1,278.00","3,116,834.00"
79,2026-04-29,"2,517.00","2,500.00","2,454.20","2,480.00",-1.47,"1,896.00","4,673,722.10"
80,2026-04-28,"2,550.00","2,585.00","2,511.00","2,517.00",-1.29,"2,393.00","6,030,455.50"
81,2026-04-27,"2,550.00","2,550.00","2,510.30","2,550.00",0.0,705.00,"1,786,268.00"
82,2026-04-24,"2,545.00","2,550.00","2,500.00","2,550.00",0.2,"1,075.00","2,718,792.10"
83,2026-04-23,"2,619.00","2,619.00","2,540.00","2,545.00",-2.83,"1,408.00","3,596,087.00"
84,2026-04-22,"2,702.90","2,702.90","2,543.30","2,619.00",1.71,"1,662.00","4,268,604.00"
85,2026-04-21,"2,550.00","2,600.00","2,550.00","2,575.00",-0.23,"1,244.00","3,213,971.00"
86,2026-04-20,"2,556.10","2,610.00","2,556.10","2,581.00",-0.54,"1,910.00","4,948,235.00"
87,2026-04-17,"2,596.00","2,600.00","2,580.00","2,595.00",-1.26,"1,410.00","3,657,673.00"
88,2026-04-16,"2,630.00","2,645.00","2,602.00","2,628.00",-1.94,"1,350.00","3,548,594.00"
89,2026-04-15,"2,708.00","2,708.00","2,606.30","2,679.90",0.82,"2,101.00","5,571,083.00"
90,2026-04-13,"2,700.00","2,700.00","2,650.10","2,658.00",-1.56,310.00,"824,566.00"
91,2026-04-10,"2,711.00","2,715.00","2,670.00","2,700.00",-2.17,"1,365.00","3,678,078.00"
92,2026-04-09,"2,700.00","2,780.00","2,700.00","2,760.00",2.22,"2,137.00","5,835,088.50"
93,2026-04-08,"2,620.00","2,705.00","2,600.00","2,700.00",4.05,"2,392.00","6,311,462.00"
94,2026-04-07,"2,645.00","2,645.00","2,580.00","2,595.00",-0.19,"1,764.00","4,591,100.00"
95,2026-04-06,"2,550.00","2,651.00","2,547.00","2,600.00",4.0,"1,756.00","4,523,161.00"
96,2026-04-05,"2,670.00","2,700.00","2,500.00","2,500.00",-8.09,"5,135.00","13,246,720.80"
97,2026-04-02,"2,700.10","2,800.00","2,700.00","2,720.00",0.37,"2,218.00","6,051,992.00"
98,2026-04-01,"2,751.10","2,765.00","2,705.10","2,710.00",-3.15,"1,780.00","4,883,259.00"
99,2026-03-31,"2,752.00","2,798.00","2,750.00","2,798.00",1.75,882.00,"2,448,843.00"
100,2026-03-30,"2,780.00","2,828.00","2,742.00","2,750.00",-1.11,"2,433.00","6,764,482.50"
101,2026-03-29,"2,852.00","2,888.00","2,781.00","2,781.00",-3.94,"4,643.00","13,104,175.00"
