S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,8.55,9.01,8.55,9.01,2.85,"3,700.00","32,166.00"
2,2026-08-21,8.7,8.76,8.5,8.76,0.69,"1,121.00","9,607.21"
3,2026-08-20,8.65,8.7,8.51,8.7,0.58,800.00,"6,891.00"
4,2026-08-19,8.51,8.8,8.51,8.65,-1.14,"4,150.00","35,876.00"
5,2026-08-18,8.85,9.2,8.71,8.75,-1.57,"2,080.00","18,703.40"
6,2026-08-17,8.2,8.95,8.2,8.89,7.76,"6,000.00","53,270.60"
7,2026-08-14,9.0,9.52,8.22,8.25,-8.33,"78,343.00","669,153.68"
8,2026-08-13,8.81,9.11,8.81,9.0,-0.77,"3,429.00","30,604.65"
9,2026-08-12,8.87,9.35,8.85,9.07,2.25,"4,000.00","35,940.00"
10,2026-08-11,8.9,9.35,8.87,8.87,-0.11,"4,600.00","41,904.00"
11,2026-08-10,8.6,9.0,8.6,8.88,0.34,"12,599.00","111,334.39"
12,2026-08-07,9.0,9.2,8.82,8.85,-1.88,"29,643.00","266,010.99"
13,2026-08-06,9.0,9.33,9.0,9.02,-0.44,"5,464.00","50,021.28"
14,2026-08-05,9.05,9.15,9.0,9.06,0.11,"5,030.00","45,516.20"
15,2026-08-04,9.03,9.3,9.03,9.05,-2.69,"5,700.00","51,905.00"
16,2026-08-03,9.06,9.3,9.06,9.3,-0.43,920.00,"8,377.40"
17,2026-07-31,9.1,9.34,9.03,9.34,3.55,"24,577.00","228,843.42"
18,2026-07-30,9.0,9.28,9.0,9.02,0.11,"3,750.00","33,950.00"
19,2026-07-29,9.01,9.3,9.01,9.01,-2.59,"5,480.00","50,254.00"
20,2026-07-28,9.05,9.3,9.02,9.25,2.21,"2,350.00","21,652.50"
21,2026-07-27,9.06,9.35,9.0,9.05,-0.11,"18,899.00","175,664.65"
22,2026-07-24,8.93,9.34,8.93,9.06,-0.66,"17,602.00","161,430.60"
23,2026-07-23,9.05,9.38,9.05,9.12,-2.15,"3,950.00","36,190.00"
24,2026-07-22,9.1,9.32,9.0,9.32,2.42,"12,484.00","115,882.08"
25,2026-07-21,9.03,9.2,9.03,9.1,-2.15,"9,948.00","91,366.60"
26,2026-07-20,8.78,9.31,8.78,9.3,2.99,"4,900.00","45,070.00"
27,2026-07-17,9.0,9.27,9.0,9.03,0.11,"2,300.00","20,786.00"
28,2026-07-16,9.06,9.06,9.01,9.02,-0.44,"8,920.00","80,550.90"
29,2026-07-15,9.0,9.27,9.0,9.06,-0.66,"7,300.00","66,735.00"
30,2026-07-14,9.0,9.12,8.9,9.12,1.22,"3,900.00","35,110.00"
31,2026-07-13,9.01,9.2,9.01,9.01,-0.44,"1,700.00","15,377.00"
32,2026-07-10,9.02,9.27,9.0,9.05,0.33,"3,500.00","31,626.20"
33,2026-07-09,9.01,9.35,9.0,9.02,-0.33,"3,600.00","32,879.00"
34,2026-07-08,9.01,9.35,8.98,9.05,0.44,"7,000.00","63,931.18"
35,2026-07-07,9.2,9.21,8.95,9.01,-1.96,"11,132.00","101,351.88"
36,2026-07-06,9.2,9.3,9.05,9.19,-0.11,"13,983.00","128,770.96"
37,2026-07-03,9.03,9.2,9.03,9.2,-1.08,"1,950.00","17,818.50"
38,2026-07-02,9.12,9.3,9.11,9.3,0.54,"2,700.00","24,714.00"
39,2026-07-01,9.07,9.38,9.07,9.25,-1.07,"8,245.00","75,862.25"
40,2026-06-30,9.12,9.35,9.02,9.35,2.52,"5,153.00","47,221.83"
41,2026-06-29,9.0,9.3,9.0,9.12,-0.87,"6,700.00","61,632.00"
42,2026-06-26,9.0,9.3,9.0,9.2,0.0,"6,100.00","55,698.30"
43,2026-06-25,9.15,9.2,9.0,9.2,0.55,"4,400.00","39,958.00"
44,2026-06-24,9.02,9.2,9.02,9.15,0.33,"8,450.00","77,422.50"
45,2026-06-23,9.03,9.39,9.03,9.12,-1.83,"7,500.00","68,730.00"
