S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-14,9.00,9.00,8.94,9.00,0.00,700.00,"6,294.00"
2,2026-08-13,8.86,9.18,8.86,9.0,-1.21,"1,938.00","17,286.96"
3,2026-08-12,9.06,9.11,9.06,9.11,0.11,600.00,"5,461.00"
4,2026-08-11,9.0,9.24,9.0,9.1,-1.62,"5,700.00","51,780.00"
5,2026-08-10,9.01,9.25,8.93,9.25,1.54,"2,600.00","23,689.00"
6,2026-08-07,8.98,9.2,8.98,9.11,-0.98,"8,000.00","72,841.00"
7,2026-08-06,8.93,9.33,8.93,9.2,0.0,"2,900.00","26,517.00"
8,2026-08-05,9.02,9.3,9.02,9.2,0.88,"1,250.00","11,541.50"
9,2026-08-04,9.3,9.3,9.04,9.12,-1.94,"1,600.00","14,580.00"
10,2026-08-03,9.25,9.5,9.01,9.3,0.54,"10,600.00","96,931.00"
11,2026-07-31,9.24,9.27,9.0,9.25,2.32,"3,900.00","36,004.00"
12,2026-07-30,9.3,9.3,9.04,9.04,-3.73,400.00,"3,694.00"
13,2026-07-29,9.11,9.4,9.1,9.39,3.07,"2,000.00","18,509.00"
14,2026-07-28,9.3,9.37,9.05,9.11,-2.04,"10,700.00","99,633.00"
15,2026-07-27,9.4,9.48,9.12,9.3,-0.32,"2,200.00","20,190.00"
16,2026-07-24,9.45,9.45,9.22,9.33,-1.79,"4,700.00","43,907.00"
17,2026-07-23,9.3,9.5,9.2,9.5,1.06,500.00,"4,662.00"
18,2026-07-22,9.3,9.6,9.3,9.4,1.08,"3,350.00","31,851.72"
19,2026-07-21,9.26,9.3,9.26,9.3,-2.11,400.00,"3,716.00"
20,2026-07-20,9.5,9.5,9.4,9.5,-1.96,"2,400.00","22,700.00"
21,2026-07-17,9.69,9.69,9.69,9.69,-2.91,910.00,"8,817.90"
22,2026-07-16,9.97,10.78,9.72,9.98,5.05,"16,750.00","164,541.50"
23,2026-07-15,9.97,9.97,9.5,9.5,0.0,"9,700.00","92,217.00"
24,2026-07-14,9.4,9.5,9.14,9.5,0.0,300.00,"2,804.00"
25,2026-07-13,9.09,9.6,8.95,9.5,4.51,"2,005,175.00","18,498,456.25"
26,2026-07-10,9.31,9.54,9.09,9.09,0.55,"1,600.00","14,693.00"
27,2026-07-09,9.0,9.27,9.0,9.04,-1.74,"1,600.00","14,487.00"
28,2026-07-08,9.05,9.3,9.05,9.2,1.77,"2,800.00","25,705.00"
29,2026-07-07,9.2,9.2,9.0,9.04,-1.74,"2,525.00","23,073.00"
30,2026-07-06,9.2,9.4,9.2,9.2,-0.22,"1,100.00","10,145.00"
