S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,8.40,8.55,8.31,8.50,-0.58,700.00,"5,877.00"
2,2026-08-21,8.0,8.56,8.0,8.55,2.15,"2,050.00","17,232.00"
3,2026-08-20,8.61,8.61,8.37,8.37,-2.79,"1,400.00","11,979.00"
4,2026-08-19,8.44,8.61,8.25,8.61,-1.03,"2,300.00","19,481.00"
5,2026-08-18,8.3,8.7,8.3,8.7,3.57,"1,000.00","8,443.00"
6,2026-08-17,8.5,8.5,8.4,8.4,-2.33,700.00,"5,930.00"
7,2026-08-14,8.5,8.9,8.5,8.6,2.26,"1,834.00","15,961.50"
8,2026-08-13,8.78,8.78,8.27,8.41,-1.41,700.00,"6,032.00"
9,2026-08-12,8.5,8.75,8.5,8.53,0.35,"1,500.00","12,831.00"
10,2026-08-11,8.47,8.75,8.47,8.5,-2.52,"3,200.00","27,541.00"
11,2026-08-10,9.0,9.0,8.27,8.72,-2.46,"5,750.00","49,171.00"
12,2026-08-07,8.25,8.95,8.25,8.94,5.18,"2,934.00","25,359.00"
13,2026-08-06,8.66,8.66,8.41,8.5,-1.85,"1,770.00","15,044.00"
14,2026-08-05,8.66,8.66,8.66,8.66,0.0,"1,300.00","11,258.00"
15,2026-08-04,8.76,9.02,8.53,8.66,1.76,"12,475.00","108,647.20"
16,2026-08-03,8.43,8.51,8.43,8.51,-0.47,"2,083.00","17,584.69"
17,2026-07-31,8.7,8.95,8.47,8.55,-1.61,"1,800.00","15,496.00"
18,2026-07-30,8.7,8.7,8.5,8.69,0.0,"1,300.00","11,209.00"
19,2026-07-29,8.43,8.92,8.3,8.69,3.33,"4,195.00","36,701.80"
20,2026-07-28,8.35,8.41,8.35,8.41,-2.21,500.00,"4,198.00"
21,2026-07-27,8.49,8.6,8.25,8.6,-1.71,"2,750.00","22,864.50"
22,2026-07-24,8.66,8.78,8.45,8.75,-1.91,"7,601.00","65,200.36"
23,2026-07-23,8.69,8.95,8.69,8.92,-0.34,"2,320.00","20,414.00"
24,2026-07-22,8.48,8.95,8.48,8.95,2.52,"1,300.00","11,369.00"
25,2026-07-21,8.74,8.99,8.73,8.73,-0.11,"1,525.00","13,358.75"
26,2026-07-20,8.42,8.74,8.25,8.74,1.16,"10,620.00","89,455.99"
27,2026-07-17,8.7,8.9,8.64,8.64,-0.69,800.00,"7,022.00"
28,2026-07-16,8.7,8.8,8.67,8.7,0.0,"4,360.00","37,970.00"
29,2026-07-15,8.75,8.75,8.55,8.7,-0.57,700.00,"6,035.00"
30,2026-07-14,8.7,8.75,8.7,8.75,0.0,"1,082.00","9,456.50"
31,2026-07-13,8.73,8.8,8.48,8.75,0.23,"1,700.00","14,647.00"
32,2026-07-10,8.49,9.01,8.49,8.73,-0.23,"2,832.00","25,009.99"
33,2026-07-09,9.16,9.16,8.63,8.75,-4.48,"4,200.00","36,715.00"
34,2026-07-08,9.16,9.16,8.9,9.16,2.92,"3,400.00","30,700.00"
35,2026-07-07,9.0,9.0,8.9,8.9,0.0,700.00,"6,260.00"
36,2026-07-06,9.06,9.1,8.9,8.9,1.14,"3,584.00","32,225.20"
37,2026-07-03,8.66,8.8,8.66,8.8,-1.35,"4,400.00","38,120.75"
38,2026-07-02,8.76,9.08,8.5,8.92,1.83,900.00,"7,869.00"
39,2026-07-01,8.69,9.0,8.69,8.76,0.81,"5,500.00","49,216.00"
40,2026-06-30,8.7,8.95,8.5,8.69,-2.36,"2,000.00","17,369.00"
41,2026-06-29,8.7,8.9,8.7,8.9,-0.22,950.00,"8,339.00"
42,2026-06-26,9.0,9.26,8.73,8.92,-0.89,942.00,"8,422.70"
43,2026-06-25,8.62,9.01,8.62,9.0,1.35,"14,250.00","124,854.00"
44,2026-06-24,8.88,9.0,8.62,8.88,0.0,"4,100.00","35,856.12"
45,2026-06-23,8.6,8.88,8.6,8.88,1.72,"4,895.00","43,356.60"
46,2026-06-22,8.7,8.96,8.7,8.73,-1.13,"2,700.00","23,827.00"
