S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-17,9.02,9.25,9.02,9.25,1.54,"2,300.00","21,233.00"
2,2026-08-14,9.11,9.11,9.11,9.11,-2.04,200.00,"1,822.00"
3,2026-08-13,9.1,9.3,9.1,9.3,-0.64,500.00,"4,589.00"
4,2026-08-12,9.6,9.6,9.35,9.36,0.32,"2,130.00","20,235.50"
5,2026-08-11,9.19,9.33,9.19,9.33,-1.48,"6,350.00","58,410.50"
6,2026-08-10,9.49,9.49,8.97,9.47,-0.53,"7,000.00","64,297.40"
7,2026-08-07,9.23,9.53,9.23,9.52,0.21,"43,030.00","409,345.60"
8,2026-08-06,9.47,9.78,9.47,9.5,-2.56,973.00,"9,285.70"
9,2026-08-05,9.47,9.75,9.47,9.75,0.0,530.00,"5,083.50"
10,2026-08-04,9.6,9.75,9.57,9.75,-1.02,500.00,"4,812.00"
11,2026-08-03,9.54,10.08,9.54,9.85,0.61,"706,646.00","7,120,970.80"
12,2026-07-31,9.61,9.79,9.5,9.79,-1.11,"3,382.00","32,750.05"
13,2026-07-30,9.9,9.9,9.9,9.9,0.0,"1,300.00","12,870.00"
14,2026-07-29,9.95,9.95,9.66,9.9,-0.5,"1,100.00","10,750.00"
15,2026-07-28,9.56,9.96,9.56,9.95,1.22,"3,700.00","36,764.00"
16,2026-07-27,9.5,9.83,9.5,9.83,2.93,701.00,"6,742.82"
17,2026-07-24,9.48,9.55,9.48,9.55,-2.05,"1,200.00","11,408.00"
18,2026-07-23,9.75,9.75,9.75,9.75,-0.1,"1,400.00","13,650.00"
19,2026-07-22,10.0,10.0,9.76,9.76,-2.4,"10,300.00","100,580.00"
20,2026-07-21,9.75,10.0,9.46,10.0,2.56,"29,495.00","294,755.00"
21,2026-07-20,9.75,9.75,9.75,9.75,0.0,800.00,"7,800.00"
22,2026-07-17,10.0,10.01,9.71,9.75,-2.79,700.00,"6,869.00"
23,2026-07-16,9.75,10.03,9.75,10.03,2.87,300.00,"2,953.00"
24,2026-07-15,9.75,9.75,9.75,9.75,-0.51,"6,044.00","58,929.00"
25,2026-07-14,9.22,9.8,9.22,9.8,3.16,"3,550.00","34,505.00"
