S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-03,9.00,9.10,9.00,9.01,0.11,"2,000.00","18,058.00"
2,2026-09-02,8.86,9.0,8.85,9.0,1.58,"3,300.00","29,270.00"
3,2026-09-01,8.73,9.05,8.6,8.86,-1.56,"2,000.00","17,744.00"
4,2026-08-31,9.11,9.11,8.88,9.0,-1.21,"5,850.00","52,538.00"
5,2026-08-27,9.0,9.11,8.8,9.11,1.22,"2,300.00","20,451.00"
6,2026-08-26,8.89,9.01,8.75,9.0,0.56,"2,600.00","23,270.00"
7,2026-08-25,8.85,9.18,8.85,8.95,0.22,"4,100.00","36,816.00"
8,2026-08-24,8.55,9.15,8.55,8.93,-0.22,"22,100.00","196,962.00"
9,2026-08-21,8.9,9.0,8.9,8.95,-0.56,"5,100.00","45,554.00"
10,2026-08-20,8.95,9.1,8.9,9.0,0.56,"2,300.00","20,632.00"
11,2026-08-19,9.1,9.3,8.76,8.95,-1.65,"2,700.00","24,242.00"
12,2026-08-18,9.0,9.2,8.95,9.1,-0.33,"3,900.00","35,139.00"
13,2026-08-17,9.1,9.27,9.0,9.13,-2.67,"2,600.00","23,723.00"
14,2026-08-14,9.0,9.38,9.0,9.38,3.88,"6,200.00","57,102.00"
15,2026-08-13,9.0,9.1,9.0,9.03,-0.22,"3,950.00","35,669.50"
16,2026-08-12,9.1,9.2,8.9,9.05,-0.66,"12,750.00","115,171.00"
17,2026-08-11,9.0,9.27,8.91,9.11,0.66,"5,800.00","52,535.00"
18,2026-08-10,9.0,9.1,9.0,9.05,-1.63,"5,120.00","46,476.00"
19,2026-08-07,9.07,9.2,8.85,9.2,-1.6,"5,900.00","53,754.00"
20,2026-08-06,10.0,10.0,9.19,9.35,-6.5,"11,700.00","109,512.00"
