S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-18,10.14,10.14,9.73,9.92,-5.07,"56,700.00","564,706.00"
2,2026-08-17,10.8,10.89,10.41,10.45,0.67,"46,300.00","491,921.00"
3,2026-08-14,10.4,10.4,10.36,10.38,-1.24,"2,000.00","20,748.00"
4,2026-08-13,10.23,10.51,10.23,10.51,1.64,"146,895.00","1,528,675.45"
5,2026-08-12,10.13,10.34,10.13,10.34,0.19,"137,100.00","1,412,626.00"
6,2026-08-11,10.21,10.34,10.21,10.32,0.39,"30,200.00","311,055.00"
7,2026-08-10,10.29,10.34,10.27,10.28,0.0,"581,500.00","5,982,257.00"
8,2026-08-07,10.28,10.37,10.21,10.28,0.0,"758,456.00","7,792,735.49"
9,2026-08-06,10.0,10.3,10.0,10.28,0.29,"7,210.00","72,999.00"
10,2026-08-05,10.0,10.25,9.95,10.25,0.0,"1,300.00","13,115.00"
11,2026-08-04,10.26,10.3,10.0,10.25,2.4,"155,270.00","1,594,755.20"
12,2026-08-03,9.82,10.28,9.8,10.01,-0.89,"1,700.00","16,870.00"
13,2026-07-31,9.9,10.1,9.9,10.1,0.0,600.00,"6,040.00"
14,2026-07-30,10.0,10.2,10.0,10.1,-0.98,"6,350.00","63,652.50"
15,2026-07-29,10.01,10.27,9.92,10.2,2.0,"4,900.00","48,920.00"
16,2026-07-28,9.82,10.15,9.82,10.0,-0.99,"2,800.00","28,003.00"
17,2026-07-27,9.9,10.2,9.9,10.1,-0.98,"2,700.00","27,147.00"
18,2026-07-24,10.02,10.2,10.02,10.2,0.0,"1,500.00","15,095.00"
19,2026-07-23,10.01,10.2,10.01,10.2,0.0,"2,000.00","20,071.00"
20,2026-07-22,10.0,10.28,10.0,10.2,2.0,900.00,"9,077.00"
21,2026-07-21,10.0,10.2,10.0,10.0,-0.5,800.00,"8,021.00"
22,2026-07-20,10.0,10.05,10.0,10.05,0.0,"2,000.00","20,026.00"
23,2026-07-17,9.84,10.13,9.84,10.05,0.5,"7,970.00","79,634.80"
24,2026-07-16,9.88,10.1,9.88,10.0,-1.38,"1,600.00","16,010.00"
25,2026-07-15,9.88,10.14,9.88,10.14,0.7,"6,200.00","62,653.00"
26,2026-07-14,9.91,10.18,9.83,10.07,1.61,"16,500.00","165,353.00"
27,2026-07-13,10.0,10.17,9.91,9.91,-0.9,"510,600.00","5,165,999.00"
