S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-01,8.00,8.42,8.00,8.17,-0.12,"2,050.00","16,747.50"
2,2026-08-31,8.16,8.18,8.16,8.18,-2.73,400.00,"3,268.00"
3,2026-08-27,8.41,8.41,8.41,8.41,0.0,"5,650.00","47,516.50"
4,2026-08-25,8.24,8.41,8.24,8.41,-0.71,710.00,"5,915.10"
5,2026-08-24,8.16,8.47,8.16,8.47,1.68,"6,900.00","58,268.00"
6,2026-08-21,8.5,8.5,8.25,8.33,-0.6,"4,737.00","39,613.21"
7,2026-08-20,8.31,8.41,8.31,8.38,-0.36,"6,650.00","55,474.00"
8,2026-08-19,8.38,8.64,8.38,8.41,0.36,"1,500.00","12,840.00"
9,2026-08-18,8.25,8.62,8.25,8.38,-0.59,930.00,"7,781.60"
10,2026-08-17,8.58,8.65,8.4,8.43,-1.63,"17,974.00","153,364.42"
11,2026-08-14,8.81,8.98,8.57,8.57,0.12,"118,351.00","1,055,374.58"
12,2026-08-13,8.56,8.59,8.56,8.56,0.12,650.00,"5,574.50"
13,2026-08-12,8.5,8.75,8.5,8.55,-0.47,"8,722.00","76,004.50"
14,2026-08-11,8.54,8.8,8.54,8.59,0.59,"1,200.00","10,296.00"
15,2026-08-10,8.55,8.55,8.5,8.54,-2.84,"2,610.00","22,294.40"
16,2026-08-07,8.6,8.8,8.53,8.79,0.0,"6,700.00","58,714.00"
17,2026-08-06,8.3,8.79,8.3,8.79,2.81,"17,927.00","156,035.52"
18,2026-08-05,8.55,8.55,8.51,8.55,-2.95,690.00,"5,885.50"
19,2026-08-04,8.6,8.81,8.4,8.81,1.26,"8,480.00","72,767.80"
20,2026-08-03,8.41,9.13,8.22,8.7,0.93,"63,800.00","569,587.50"
21,2026-07-31,8.89,8.89,8.62,8.62,-1.71,"4,373.00","38,708.24"
22,2026-07-30,8.73,8.77,8.52,8.77,-2.45,"1,201.00","10,467.77"
23,2026-07-29,8.66,8.99,8.61,8.99,2.16,"2,627.00","22,827.77"
24,2026-07-28,8.7,8.9,8.66,8.8,0.0,"1,000.00","8,802.00"
25,2026-07-27,8.8,8.8,8.7,8.8,0.0,"10,400.00","90,604.40"
26,2026-07-24,8.85,8.85,8.64,8.8,-0.56,"3,286.00","28,930.60"
27,2026-07-23,8.6,8.85,8.6,8.85,2.91,"6,740.00","59,299.31"
28,2026-07-22,8.7,8.8,8.56,8.6,-0.81,"11,900.00","104,432.00"
29,2026-07-21,8.66,8.91,8.66,8.67,-2.69,"1,500.00","13,025.00"
30,2026-07-20,8.91,9.16,8.9,8.91,-2.94,"59,800.00","532,994.00"
31,2026-07-17,8.8,9.18,8.54,9.18,1.55,"24,400.00","213,611.50"
32,2026-07-16,8.92,9.45,8.3,9.04,6.35,"36,531.00","314,008.48"
33,2026-07-15,8.9,8.9,8.5,8.5,-6.28,"93,040.00","803,911.40"
34,2026-07-14,8.67,9.07,8.6,9.07,7.72,"28,000.00","243,999.00"
35,2026-07-13,8.72,9.11,8.15,8.42,-0.59,"151,627.00","1,252,239.55"
