S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-03,8.55,8.98,8.55,8.98,4.66,"1,700.00","14,829.00"
2,2026-09-02,8.44,8.7,8.44,8.58,-1.38,"1,500.00","12,832.00"
3,2026-09-01,8.5,8.75,8.5,8.7,2.35,750.00,"6,432.50"
4,2026-08-31,8.36,8.6,8.36,8.5,-1.16,"2,300.00","19,736.00"
5,2026-08-27,8.6,8.6,8.6,8.6,-2.71,500.00,"4,300.00"
6,2026-08-26,8.93,8.94,8.84,8.84,-3.91,700.00,"6,207.00"
7,2026-08-25,9.18,9.2,9.18,9.2,-2.75,"1,460.00","13,411.90"
8,2026-08-24,9.62,9.62,9.46,9.46,-4.54,400.00,"3,813.00"
9,2026-08-21,9.85,9.96,9.85,9.91,0.1,"36,510.00","361,822.30"
10,2026-08-20,9.7,9.9,9.7,9.9,0.1,"29,640.00","293,258.00"
11,2026-08-19,9.61,10.0,9.61,9.89,-0.1,"616,880.00","6,116,867.20"
12,2026-08-18,9.75,9.9,9.75,9.9,1.54,"177,644.00","1,758,167.29"
13,2026-08-17,9.83,9.84,9.65,9.75,1.04,"59,956.00","586,513.77"
14,2026-08-14,9.53,9.65,9.53,9.65,-1.03,"3,400.00","32,783.00"
15,2026-08-13,9.55,9.75,9.53,9.75,2.09,"1,850.00","17,835.00"
16,2026-08-12,9.5,9.57,9.5,9.55,-0.21,"1,200.00","11,464.00"
17,2026-08-11,9.56,9.57,9.54,9.57,0.31,"2,200.00","21,023.00"
18,2026-08-10,9.6,9.6,9.53,9.54,-1.65,"1,400.00","13,373.00"
19,2026-08-07,9.53,9.7,9.53,9.7,1.04,"16,200.00","156,413.00"
20,2026-08-06,9.53,9.6,9.53,9.6,-0.52,"2,800.00","26,847.00"
21,2026-08-05,9.7,9.7,9.51,9.65,0.0,"7,110.00","68,388.10"
22,2026-08-04,9.5,9.65,9.5,9.65,-1.23,900.00,"8,652.00"
23,2026-08-03,9.58,9.77,9.5,9.77,1.88,"14,041.00","135,543.07"
24,2026-07-31,9.58,9.76,9.58,9.59,-1.64,"8,121.00","79,019.96"
25,2026-07-30,9.58,9.75,9.58,9.75,1.77,"1,800.00","17,386.00"
26,2026-07-29,9.58,9.78,9.58,9.58,-0.31,"80,624.00","787,316.98"
27,2026-07-28,9.6,9.77,9.57,9.61,-1.64,"2,300.00","22,249.00"
28,2026-07-27,9.81,9.84,9.59,9.77,0.0,"126,205.00","1,237,098.94"
29,2026-07-24,9.58,9.77,9.56,9.77,0.72,"1,973.00","19,068.07"
30,2026-07-23,9.84,9.84,9.56,9.7,1.04,"3,600.00","34,814.00"
31,2026-07-22,9.52,9.65,9.52,9.6,-1.03,"2,250.00","21,529.50"
32,2026-07-21,9.58,9.75,9.57,9.7,-0.72,"26,800.00","259,893.23"
33,2026-07-20,9.5,9.77,9.45,9.77,2.2,"8,620.00","83,776.23"
34,2026-07-17,9.93,9.93,9.55,9.56,-5.63,"8,650.00","84,723.00"
35,2026-07-16,9.5,10.13,9.47,10.13,7.77,"79,180.00","772,151.60"
36,2026-07-15,9.5,9.55,9.4,9.4,-1.57,"1,800.00","17,090.00"
37,2026-07-14,9.51,9.55,9.51,9.55,0.42,"1,910.00","18,184.10"
38,2026-07-13,9.58,9.62,9.51,9.51,-2.76,"10,001,600.00","96,045,296.80"
39,2026-07-10,9.39,9.78,9.39,9.78,4.04,"3,799.00","36,402.02"
40,2026-07-09,9.5,9.55,9.4,9.4,-3.98,"1,650.00","15,708.50"
41,2026-07-08,9.6,9.79,9.53,9.79,2.3,"3,180.00","30,750.20"
42,2026-07-07,9.51,9.7,9.5,9.57,-2.35,"4,500.00","43,221.00"
