S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-25,9.01,9.28,9.01,9.20,2.22,"6,900.00","62,794.00"
2,2026-08-24,9.7,9.7,8.89,9.0,-5.46,"8,700.00","79,852.00"
3,2026-08-21,8.86,9.52,8.86,9.52,4.62,"1,900.00","17,279.00"
4,2026-08-20,9.03,9.3,9.03,9.1,-2.15,"1,416.00","13,049.80"
5,2026-08-19,9.0,9.3,8.9,9.3,0.98,"3,400.00","30,779.00"
6,2026-08-18,8.9,9.44,8.85,9.21,0.44,"3,500.00","32,333.00"
7,2026-08-17,9.17,9.45,9.16,9.17,-0.33,"4,700.00","43,561.00"
8,2026-08-14,9.17,9.3,9.17,9.2,-0.11,"3,400.00","31,236.00"
9,2026-08-13,9.16,9.3,9.16,9.21,-2.02,"1,700.00","15,650.00"
10,2026-08-12,9.0,9.46,9.0,9.4,2.17,"25,500.00","234,405.49"
11,2026-08-11,9.3,9.4,9.13,9.2,-2.95,"1,700.00","15,649.00"
12,2026-08-10,9.2,9.48,8.93,9.48,3.04,"5,320.00","49,101.20"
13,2026-08-07,9.19,9.3,9.06,9.2,0.0,"23,000.00","213,571.00"
14,2026-08-06,9.03,9.45,9.03,9.2,-1.08,"4,500.00","41,656.00"
15,2026-08-05,9.3,9.5,9.1,9.3,-0.11,"4,200.00","38,940.00"
16,2026-08-04,9.35,9.6,9.3,9.31,-0.43,"3,810.00","35,718.00"
17,2026-08-03,9.3,9.67,9.15,9.35,-1.06,"33,000.00","316,840.00"
18,2026-07-31,9.3,9.5,9.1,9.45,1.61,"2,700.00","24,928.00"
19,2026-07-30,9.22,9.5,9.22,9.3,-2.11,"3,100.00","28,948.00"
20,2026-07-29,9.4,9.5,9.12,9.5,-1.04,"19,600.00","184,932.00"
21,2026-07-28,9.36,9.6,9.1,9.6,2.56,"1,600.00","14,941.00"
22,2026-07-27,9.33,9.5,9.28,9.36,0.32,"3,200.00","29,882.00"
23,2026-07-24,9.23,9.59,9.23,9.33,-1.79,"9,600.00","89,827.00"
24,2026-07-23,9.21,9.5,9.21,9.5,1.28,"13,500.00","127,929.00"
25,2026-07-22,9.2,9.44,9.2,9.38,-0.42,"2,700.00","25,235.00"
26,2026-07-21,9.41,9.57,9.16,9.42,-2.89,"7,100.00","66,703.00"
27,2026-07-17,9.46,9.7,9.2,9.7,-0.51,"2,500.00","23,477.00"
28,2026-07-16,10.09,10.09,9.06,9.75,1.46,"19,800.00","188,067.00"
29,2026-07-15,9.2,9.61,9.14,9.61,4.46,"26,340.00","248,666.00"
30,2026-07-14,9.08,9.77,9.06,9.2,-1.18,"9,760.00","93,196.00"
31,2026-07-13,9.09,9.52,9.09,9.31,-0.64,"21,950.00","207,243.00"
32,2026-07-10,9.3,9.57,9.26,9.37,-1.06,"35,400.00","336,188.00"
33,2026-07-09,9.29,9.57,9.02,9.47,-1.04,"8,900.00","82,714.00"
34,2026-07-08,9.19,9.57,9.19,9.57,1.7,"5,400.00","50,484.00"
35,2026-07-07,9.24,9.55,9.16,9.41,1.18,"23,490.00","223,167.50"
36,2026-07-06,9.23,9.45,9.23,9.3,-2.11,"1,900.00","17,702.00"
37,2026-07-03,9.31,9.5,9.23,9.5,2.04,"1,700.00","15,762.00"
38,2026-07-02,9.55,9.55,9.2,9.31,-2.51,"2,900.00","26,961.00"
39,2026-07-01,9.1,9.55,9.1,9.55,2.91,"4,000.00","36,972.00"
40,2026-06-30,9.0,9.49,9.0,9.28,-0.22,"5,940.00","55,027.40"
41,2026-06-29,9.2,9.5,9.16,9.3,-1.27,"5,000.00","46,310.00"
42,2026-06-26,9.28,9.5,9.22,9.42,1.51,"6,250.00","58,772.00"
43,2026-06-25,9.35,9.46,9.15,9.28,-0.75,"2,200.00","20,607.00"
44,2026-06-24,9.58,9.58,9.25,9.35,-1.58,"8,500.00","79,346.00"
45,2026-06-23,9.39,9.55,9.39,9.5,-1.66,"9,700.00","91,863.00"
46,2026-06-22,9.38,9.66,9.31,9.66,0.0,"4,600.00","43,368.80"
47,2026-06-19,9.45,9.68,9.38,9.66,1.68,"5,950.00","56,147.00"
48,2026-06-18,9.79,9.79,9.41,9.5,-1.04,"2,850.00","27,034.50"
49,2026-06-17,9.3,9.6,9.3,9.6,2.02,"2,750.00","25,883.00"
50,2026-06-16,9.3,9.5,9.3,9.41,-0.95,"8,426.00","79,207.00"
51,2026-06-15,9.5,9.51,9.4,9.5,-0.11,"27,775.00","263,399.75"
52,2026-06-12,9.43,9.55,9.35,9.51,0.63,"8,650.00","82,022.50"
53,2026-06-11,9.36,9.58,9.36,9.45,-1.46,"12,200.00","116,576.00"
54,2026-06-10,9.22,9.59,9.22,9.59,0.95,"22,600.00","212,662.00"
55,2026-06-09,9.52,9.52,9.32,9.5,-0.21,"5,700.00","53,847.00"
56,2026-06-08,9.41,9.79,9.41,9.52,-1.75,"5,700.00","54,408.00"
57,2026-06-05,9.79,9.79,9.41,9.69,1.89,"13,865.00","132,824.55"
58,2026-06-04,9.33,9.6,9.33,9.51,0.42,"19,550.00","185,455.00"
59,2026-06-03,9.42,9.5,9.4,9.47,-2.37,"4,600.00","43,498.00"
60,2026-06-02,9.44,9.7,9.44,9.7,0.52,"6,200.00","59,070.00"
61,2026-06-01,9.69,9.69,9.44,9.65,-0.41,"14,500.00","139,187.00"
62,2026-05-27,9.46,9.7,9.46,9.69,1.68,"5,000.00","47,876.00"
63,2026-05-26,9.44,9.7,9.44,9.53,0.0,"6,100.00","58,092.00"
64,2026-05-25,9.44,9.63,9.35,9.53,-1.55,"8,470.00","81,209.00"
65,2026-05-22,9.45,9.68,9.43,9.68,0.83,"5,100.00","48,552.00"
66,2026-05-21,9.44,9.6,9.43,9.6,0.0,"8,612.00","81,792.12"
67,2026-05-20,9.43,9.6,9.43,9.6,1.05,"3,300.00","31,248.00"
68,2026-05-19,9.43,9.5,9.43,9.5,0.0,"6,200.00","58,630.00"
69,2026-05-18,9.43,9.75,9.43,9.5,0.0,"55,400.00","535,974.00"
70,2026-05-15,9.46,9.59,9.46,9.5,-1.25,"9,700.00","92,403.00"
71,2026-05-14,9.5,9.62,9.25,9.62,1.26,"8,670.00","81,967.40"
72,2026-05-13,9.28,9.6,9.28,9.5,0.53,"10,810.00","102,785.00"
73,2026-05-12,9.18,9.6,9.18,9.45,0.0,"153,990.00","1,456,841.26"
74,2026-05-11,9.5,9.57,9.26,9.45,-0.84,"9,920.00","93,621.10"
75,2026-05-08,9.5,9.68,9.25,9.53,-2.06,"9,565.00","90,846.20"
76,2026-05-07,9.26,9.73,9.26,9.73,2.42,"6,850.00","64,774.00"
77,2026-05-06,9.28,9.6,9.28,9.5,-0.52,"14,638.00","138,756.80"
78,2026-05-05,9.28,9.55,9.13,9.55,2.91,"51,900.00","492,593.00"
79,2026-05-04,9.25,9.5,9.13,9.28,-1.69,"8,750.00","80,820.00"
80,2026-04-30,9.38,9.66,9.31,9.44,-2.38,"5,350.00","50,381.00"
81,2026-04-29,9.31,9.68,9.25,9.67,3.87,"18,600.00","176,142.50"
82,2026-04-28,9.5,9.5,9.27,9.31,-2.0,"13,300.00","124,544.00"
83,2026-04-27,9.62,9.7,9.18,9.5,-1.25,"12,700.00","120,591.00"
84,2026-04-24,9.32,9.83,9.06,9.62,0.21,"4,900.00","46,262.00"
85,2026-04-23,9.49,9.77,9.32,9.6,-1.84,"8,300.00","78,636.00"
86,2026-04-22,9.5,9.78,9.45,9.78,0.82,"6,600.00","63,156.00"
87,2026-04-21,9.32,9.7,9.32,9.7,1.04,"15,630.00","147,828.00"
88,2026-04-20,9.5,9.81,9.5,9.6,-1.54,"13,900.00","133,446.00"
89,2026-04-17,9.57,9.75,9.57,9.75,0.83,"4,800.00","46,063.00"
90,2026-04-16,9.53,9.79,9.53,9.67,-0.41,"4,800.00","46,320.00"
91,2026-04-15,9.7,9.8,9.51,9.71,-1.72,"24,470.00","237,438.80"
92,2026-04-13,9.53,9.88,9.35,9.88,1.65,"16,800.00","161,260.00"
93,2026-04-10,9.72,9.73,9.62,9.72,-1.92,"6,930.00","67,003.50"
94,2026-04-09,9.5,9.91,9.4,9.91,4.32,"13,800.00","132,657.00"
95,2026-04-08,9.4,9.7,9.4,9.5,-0.84,"5,400.00","51,429.00"
96,2026-04-07,9.8,9.99,9.55,9.58,-0.83,"16,300.00","159,352.00"
97,2026-04-06,9.25,9.66,9.25,9.66,2.66,"22,100.00","209,406.00"
98,2026-04-05,9.32,9.5,9.32,9.41,-0.95,"21,200.00","200,461.00"
99,2026-04-02,9.4,9.74,9.4,9.5,-0.52,"6,600.00","62,617.00"
100,2026-04-01,9.4,9.72,9.35,9.55,0.42,"24,800.00","236,731.00"
101,2026-03-31,9.42,9.8,9.24,9.51,-1.04,"19,350.00","183,744.00"
102,2026-03-30,9.66,10.0,9.47,9.61,-2.44,"12,330.00","118,741.00"
103,2026-03-29,9.7,9.87,9.57,9.85,-0.4,"21,740.00","212,816.80"
104,2026-03-26,9.7,9.9,9.62,9.89,1.85,"8,000.00","77,973.00"
105,2026-03-25,9.8,9.85,9.61,9.71,-1.62,"18,980.00","185,295.00"
106,2026-03-24,10.02,10.02,9.6,9.87,-1.5,"21,500.00","210,289.16"
107,2026-03-23,9.57,10.02,9.35,10.02,2.77,"41,060.00","396,097.80"
108,2026-03-22,9.55,9.8,9.46,9.75,1.25,"35,620.00","341,587.00"
109,2026-03-19,9.95,9.95,9.5,9.63,-5.12,"29,470.00","283,924.90"
110,2026-03-17,10.0,10.19,9.43,10.15,1.5,"40,890.00","396,551.20"
