S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-25,9.10,9.38,9.10,9.30,3.33,"123,752.00","1,135,204.94"
2,2026-08-24,8.88,9.1,8.88,9.0,1.01,"259,800.00","2,364,030.00"
3,2026-08-21,8.78,9.04,8.78,8.91,-1.0,400.00,"3,564.00"
4,2026-08-20,8.83,9.1,8.83,9.0,-1.1,"7,200.00","64,778.00"
5,2026-08-19,8.97,9.1,8.8,9.1,0.55,"12,450.00","111,096.50"
6,2026-08-18,8.97,9.14,8.97,9.05,0.44,"8,200.00","74,814.00"
7,2026-08-17,8.97,9.01,8.97,9.01,0.0,"1,350.00","12,151.00"
8,2026-08-14,8.93,9.18,8.93,9.01,-1.96,"4,150.00","37,362.00"
9,2026-08-13,9.1,9.19,8.94,9.19,0.99,"12,144.00","110,548.36"
10,2026-08-12,9.2,10.35,9.1,9.1,1.0,"32,410.00","300,087.00"
11,2026-08-11,9.1,9.11,9.01,9.01,-1.21,"25,941.00","234,139.41"
12,2026-08-10,9.0,9.14,9.0,9.12,1.22,"3,054.00","27,672.48"
13,2026-08-07,9.49,9.49,9.01,9.01,-0.33,"1,948.00","17,817.52"
14,2026-08-06,9.02,9.1,9.02,9.04,-1.2,"14,700.00","133,028.56"
15,2026-08-05,9.0,9.15,9.0,9.15,2.01,"24,909.00","225,529.85"
16,2026-08-04,9.0,9.2,8.97,8.97,-2.71,"23,100.00","210,049.00"
17,2026-08-03,9.2,9.27,9.0,9.22,2.1,"13,150.00","119,847.80"
18,2026-07-31,9.29,9.29,9.01,9.03,0.11,"4,000.00","36,367.00"
19,2026-07-30,9.27,9.42,9.02,9.02,-2.7,"1,343.00","12,377.06"
20,2026-07-29,9.27,9.54,9.11,9.27,3.0,"53,594.00","496,885.34"
21,2026-07-28,9.05,9.26,9.0,9.0,-3.12,"411,785.00","3,710,751.21"
22,2026-07-27,9.07,9.3,9.07,9.29,-0.32,"49,048.00","448,136.30"
23,2026-07-24,8.95,9.32,8.95,9.32,1.41,"11,700.00","106,156.00"
24,2026-07-23,9.07,9.2,9.01,9.19,-1.61,"176,251.00","1,597,370.55"
25,2026-07-22,9.21,9.34,9.15,9.34,1.74,"49,105.00","451,476.80"
26,2026-07-21,9.1,9.2,9.1,9.18,0.0,"6,700.00","61,530.00"
27,2026-07-20,9.38,9.38,9.18,9.18,-2.13,"91,250.00","850,946.00"
28,2026-07-17,9.7,9.7,9.23,9.38,-6.11,"15,441.00","143,952.50"
29,2026-07-16,9.71,9.99,9.15,9.99,8.0,"12,450.00","116,937.00"
30,2026-07-15,9.3,9.3,9.03,9.25,-0.54,"38,301.00","355,287.80"
31,2026-07-14,9.15,9.5,9.01,9.3,1.64,"2,451,040.00","22,650,705.00"
32,2026-07-13,9.5,9.53,9.15,9.15,-1.19,"2,652,000.00","24,557,553.10"
33,2026-07-10,9.25,9.5,9.25,9.26,-2.53,"2,400.00","22,233.00"
34,2026-07-09,9.79,9.79,9.5,9.5,-3.36,"2,700.00","25,708.00"
35,2026-07-08,10.05,10.36,9.5,9.83,-5.12,"10,481.00","103,171.38"
36,2026-07-07,9.2,10.36,9.2,10.36,13.85,"10,150.00","96,815.00"
37,2026-07-06,9.2,9.4,9.1,9.1,-1.62,"7,700.00","70,614.00"
38,2026-07-03,9.12,9.47,9.12,9.25,0.54,"1,550.00","14,418.50"
39,2026-07-02,9.1,9.4,9.1,9.2,0.77,"2,100.00","19,512.00"
40,2026-07-01,9.03,9.39,9.03,9.13,-1.83,800.00,"7,312.00"
41,2026-06-30,9.2,9.47,9.16,9.3,0.54,"2,100.00","19,374.00"
42,2026-06-29,9.18,9.45,9.1,9.25,0.76,700.00,"6,471.00"
43,2026-06-26,9.11,9.19,9.11,9.18,-0.76,"2,100.00","19,276.00"
44,2026-06-25,9.15,9.25,9.15,9.25,0.54,"1,900.00","17,456.00"
