S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-01,9.40,9.50,9.40,9.42,-1.98,"3,700.00","34,844.00"
2,2026-08-31,9.51,9.61,9.51,9.61,1.8,800.00,"7,664.00"
3,2026-08-27,9.9,9.9,9.4,9.44,-4.93,"11,800.00","112,990.00"
4,2026-08-26,10.23,10.23,9.93,9.93,-5.79,"1,100.00","10,953.00"
5,2026-08-25,10.4,10.68,10.4,10.54,-1.5,"42,400.00","449,409.00"
6,2026-08-24,10.4,10.7,10.4,10.7,0.47,"4,700.00","49,195.00"
7,2026-08-21,10.25,10.65,10.25,10.65,0.95,"14,400.00","152,791.00"
8,2026-08-20,10.3,10.55,10.3,10.55,0.29,"10,300.00","108,370.00"
9,2026-08-19,10.42,10.53,10.42,10.52,0.19,"254,400.00","2,667,636.50"
10,2026-08-18,10.41,10.56,10.4,10.5,0.48,"44,150.00","462,982.60"
11,2026-08-17,10.36,10.5,10.36,10.45,-0.48,"180,769.00","1,896,962.05"
12,2026-08-14,10.39,10.5,10.39,10.5,0.0,"1,300.00","13,589.00"
13,2026-08-13,10.25,10.55,10.25,10.5,0.96,"280,158.00","2,942,051.00"
14,2026-08-12,10.11,10.49,10.11,10.4,1.27,"11,300.00","116,933.00"
15,2026-08-11,10.14,10.28,10.14,10.27,-1.25,"2,650.00","27,181.00"
16,2026-08-10,10.24,10.4,10.11,10.4,1.36,"2,600.00","26,630.00"
17,2026-08-07,10.31,10.49,10.24,10.26,0.1,"5,300.00","55,042.00"
18,2026-08-06,10.4,10.4,10.21,10.25,-1.54,"11,700.00","121,421.00"
19,2026-08-05,10.41,10.5,10.41,10.41,-0.76,"80,490.00","839,299.40"
20,2026-08-04,10.17,10.5,10.17,10.49,1.75,"11,600.00","120,860.60"
21,2026-08-03,10.31,10.4,10.31,10.31,0.1,"2,000.00","20,675.00"
22,2026-07-31,10.01,10.3,10.01,10.3,0.49,900.00,"9,135.00"
23,2026-07-30,9.71,10.34,9.71,10.25,0.29,"83,208.00","848,717.08"
24,2026-07-29,10.2,10.4,10.2,10.22,0.2,"6,950.00","71,179.50"
25,2026-07-28,9.91,10.49,9.91,10.2,0.0,"77,100.00","792,814.00"
26,2026-07-27,10.05,10.41,10.05,10.2,-1.45,"13,319.00","137,238.80"
27,2026-07-24,10.35,10.4,10.14,10.35,0.0,"5,150.00","53,305.50"
28,2026-07-23,10.03,10.35,10.03,10.35,0.58,"1,700.00","17,315.00"
29,2026-07-22,10.02,10.33,10.02,10.29,1.88,"64,700.00","665,634.00"
30,2026-07-21,9.95,10.39,9.8,10.1,0.0,"50,908.00","526,102.80"
31,2026-07-20,9.95,10.25,9.95,10.1,1.0,"12,000.00","121,546.00"
32,2026-07-17,10.2,10.24,9.9,10.0,-2.34,"46,100.00","470,438.00"
33,2026-07-16,9.76,10.24,9.76,10.24,2.3,"8,910.00","90,254.65"
34,2026-07-15,9.74,10.04,9.74,10.01,0.1,"2,105.00","21,020.20"
35,2026-07-14,9.7,10.0,9.7,10.0,0.0,"1,200.00","11,929.00"
36,2026-07-13,9.81,10.0,9.81,10.0,-0.99,"5,700.00","56,942.00"
37,2026-07-10,9.95,10.2,9.95,10.1,1.51,"3,200.00","32,269.00"
38,2026-07-09,9.8,10.2,9.75,9.95,-1.49,"1,100.00","10,910.00"
39,2026-07-08,10.01,10.1,9.75,10.1,-0.88,"66,505.00","669,664.15"
40,2026-07-07,9.81,10.19,9.81,10.19,1.9,"51,410.00","523,291.00"
41,2026-07-06,10.2,10.2,9.78,10.0,-0.1,"79,800.00","798,403.00"
42,2026-07-03,10.0,10.01,10.0,10.01,-2.82,400.00,"4,003.00"
43,2026-07-02,10.04,10.3,10.04,10.3,1.58,"2,350.00","23,793.00"
44,2026-07-01,9.8,10.14,9.8,10.14,1.4,"1,100.00","11,018.00"
45,2026-06-30,9.71,10.3,9.71,10.0,-0.1,"2,300.00","22,925.00"
46,2026-06-29,10.15,10.15,10.01,10.01,-1.18,"18,800.00","190,297.00"
47,2026-06-26,10.12,10.2,10.12,10.13,-0.3,"2,900.00","29,383.00"
48,2026-06-25,10.16,10.2,10.12,10.16,0.0,"2,300.00","23,376.00"
49,2026-06-24,10.16,10.16,10.16,10.16,0.1,"5,200.00","52,832.00"
