S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-02,9.00,9.20,8.97,8.99,-0.11,"3,300.00","29,809.00"
2,2026-09-01,8.8,9.05,8.8,9.0,0.0,"4,925.00","44,383.00"
3,2026-08-31,8.87,9.05,8.8,9.0,-0.55,"4,700.00","42,201.00"
4,2026-08-27,8.93,9.2,8.93,9.05,0.0,"5,400.00","48,707.00"
5,2026-08-26,9.04,9.1,9.02,9.05,0.11,"2,600.00","23,562.00"
6,2026-08-25,9.01,9.3,9.01,9.04,-0.22,"8,210.00","74,466.80"
7,2026-08-24,9.0,9.1,9.0,9.06,0.55,"4,500.00","40,643.00"
8,2026-08-21,9.01,9.02,9.0,9.01,-0.33,"5,300.00","47,758.00"
9,2026-08-20,9.02,9.08,9.02,9.04,0.11,"3,950.00","35,687.00"
10,2026-08-19,9.0,9.27,9.0,9.03,-0.44,"6,370.00","57,640.80"
11,2026-08-18,8.9,9.25,8.9,9.07,-0.22,"6,430.00","58,458.00"
12,2026-08-17,9.1,9.4,8.92,9.09,-0.44,"6,120.00","55,847.50"
13,2026-08-14,9.0,9.78,9.0,9.13,1.22,"8,200.00","74,998.00"
14,2026-08-13,9.0,9.4,8.76,9.02,-0.66,"8,395.00","76,023.50"
15,2026-08-12,9.0,9.34,8.9,9.08,0.11,"8,590.00","77,872.50"
16,2026-08-11,9.1,9.11,9.0,9.07,-2.05,"11,415.00","103,320.05"
17,2026-08-10,9.22,9.4,9.15,9.26,-2.53,"7,350.00","67,761.00"
18,2026-08-07,9.4,9.5,9.13,9.5,0.0,"12,800.00","119,230.00"
19,2026-08-06,10.0,10.0,9.4,9.5,-5.0,"26,800.00","255,176.00"
